"deg4","deg5"
1,1.89925028039731e-94
1,5.66497000680108e-96
1,1.10345892359946e-95
1,3.23884916716325e-99
1,5.91879668101403e-97
1,1.34467003320606e-97
1,1.90999668101883e-96
1,5.90511969640271e-96
1,2.66053518788519e-98
1,2.11505943041408e-95
1,6.64459915016554e-96
1,9.88835935990899e-97
1,6.32361821697376e-96
1,2.33563497941694e-95
1,1.14996266671052e-98
1,2.95042993421922e-95
1,2.03251927328339e-94
1,4.52376278508421e-96
1,1.08688246048887e-96
1,5.42869084730972e-96
1,1.43012637009255e-96
1,1.3151607830552e-96
1,5.46330693213755e-95
1,6.66351053113991e-97
1,1.49183522624522e-97
1,2.52432849608744e-98
1,6.34438004949658e-96
1,4.86764163422609e-97
1,9.11571829072079e-95
1,4.01535447279362e-97
