"deg2","deg3"
1,1.96488314822259e-92
1,6.04309010462644e-93
1,5.74290591136593e-96
1,2.66486398126526e-95
1,1.42495010235828e-93
1,1.16406173886934e-92
1,1.48632314669545e-93
1,1.57252043240872e-92
1,1.98465169701365e-94
1,4.41744521862907e-93
1,2.83677603752908e-95
1,1.11207975104695e-93
1,8.6990943095053e-94
1,3.1769225141652e-92
1,6.9645209577135e-95
1,2.44042967875498e-93
1,2.67406997863247e-91
1,8.71408815305153e-92
1,1.13263119204764e-92
1,6.4685958112183e-93
1,1.18754419795047e-94
1,2.33461498894307e-94
1,1.23313311849337e-92
1,2.09851898802249e-94
1,3.8197669992064e-94
1,7.08403629092613e-95
1,4.66383924623148e-93
1,5.52419808180316e-93
1,9.04317786926693e-93
1,1.55363921027112e-93
