T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 AG ND 0.0 1.0 -19919.93 1437.295 71.632481 -21357.224210149998 0.0 0.0 -19919.93 0.0 -0.0
298.15 AG ND 1.0 0.0 -9599.34 3400.001 43.600002 -12999.3405963 0.0 0.0 -9599.34 0.0 -0.0
298.15 AG ND 0.01 0.99 -20175.82 1236.647 71.817781 -21412.471405149998 0.0 0.0 -19816.7241 -138.82602141683572 -0.0
298.15 AG ND 0.02 0.98 -20392.65 1040.449 71.886978 -21433.1024907 0.0 0.0 -19713.5182 -243.03584172567548 -0.0
298.15 AG ND 0.03 0.97 -20591.81 848.7009 71.911822 -21440.5097293 0.0 0.0 -19610.312299999998 -334.02154674813943 -0.0
298.15 AG ND 0.04 0.96 -20777.83 661.4029 71.907555 -21439.237523249998 0.0 0.0 -19507.1064 -416.3281974105132 -0.0
298.15 AG ND 0.05 0.95 -20952.89 478.555 71.881414 -21431.4435841 0.0 0.0 -19403.9005 -492.11297050679866 -0.0
298.15 AG ND 0.06 0.94 -21118.24 300.1571 71.837656 -21418.397136399995 0.0 0.0 -19300.6946 -562.6452650375949 -0.0
298.15 AG ND 0.07 0.93 -21274.73 126.2091 71.779091 -21400.935981649996 0.0 0.0 -19197.488699999998 -628.7628773593874 -0.0
298.15 AG ND 0.08 0.92 -21422.94 -43.28882 71.707713 -21379.654630949997 0.0 0.0 -19094.2828 -691.0604007790716 -0.0
298.15 AG ND 0.09 0.91 -21563.33 -208.3368 71.625011 -21354.99702965 0.0 0.0 -18991.076900000004 -749.9816351924776 -0.0
298.15 AG ND 0.1 0.9 -21696.24 -368.9347 71.532139 -21327.307242849998 0.0 0.0 -18887.871000000003 -805.870345271772 -0.0
298.15 AG ND 0.11 0.89 -21821.94 -525.0826 71.430013 -21296.85837595 0.0 0.0 -18784.665100000002 -859.000492370776 -0.0
298.15 AG ND 0.12 0.88 -21940.66 -676.7806 71.319385 -21263.87463775 0.0 0.0 -18681.4592 -909.5953759771999 -0.0
298.15 AG ND 0.13 0.87 -22052.57 -824.0285 71.200875 -21228.54088125 0.0 0.0 -18578.2533 -957.840348132521 -0.0
298.15 AG ND 0.14 0.86 -22157.84 -966.8265 71.075007 -21191.013337049997 0.0 0.0 -18475.0474 -1003.8915915105914 -0.0
298.15 AG ND 0.15 0.85 -22256.6 -1105.174 70.942228 -21151.425278199997 0.0 0.0 -18371.841500000002 -1047.882375954332 -0.0
298.15 AG ND 0.16 0.84 -22348.96 -1239.072 70.802924 -21109.8917906 0.0 0.0 -18268.6356 -1089.9276385420173 -0.0
298.15 AG ND 0.17 0.83 -22435.03 -1368.52 70.65743 -21066.5127545 0.0 0.0 -18165.4297 -1130.1274135160918 -0.0
298.15 AG ND 0.18 0.82 -22514.89 -1493.518 70.50604 -21021.375826 0.0 0.0 -18062.223800000003 -1168.5694517045056 -0.0
298.15 AG ND 0.19 0.81 -22588.63 -1614.066 70.349016 -20974.5591204 0.0 0.0 -17959.017900000003 -1205.3312553507326 -0.0
298.15 AG ND 0.2 0.8 -22656.29 -1730.164 70.186586 -20926.1306159 0.0 0.0 -17855.812 -1240.4816826440385 -0.0
298.15 AG ND 0.21 0.79 -22717.96 -1841.812 70.018958 -20876.152327699998 0.0 0.0 -17752.6061 -1274.08222978906 -0.0
298.15 AG ND 0.22 0.78 -22773.69 -1949.01 69.846317 -20824.67941355 0.0 0.0 -17649.4002 -1306.188067542519 -0.0
298.15 AG ND 0.23 0.77 -22823.52 -2051.758 69.668829 -20771.761366349998 0.0 0.0 -17546.1943 -1336.8488881016199 -0.0
298.15 AG ND 0.24 0.76 -22867.5 -2150.056 69.486645 -20717.44320675 0.0 0.0 -17442.988400000002 -1366.1096036088943 -0.0
298.15 AG ND 0.25 0.75 -22905.67 -2243.904 69.299902 -20661.7657813 0.0 0.0 -17339.7825 -1394.0109271940482 -0.0
298.15 AG ND 0.26 0.74 -22938.07 -2333.302 69.108724 -20604.766060599995 0.0 0.0 -17236.5766 -1420.5898600324033 -0.0
298.15 AG ND 0.27 0.73 -22964.73 -2418.25 68.913223 -20546.477437449998 0.0 0.0 -17133.3707 -1445.8801024662048 -0.0
298.15 AG ND 0.28 0.72 -22985.68 -2498.748 68.713503 -20486.93091945 0.0 0.0 -17030.1648 -1469.9124032129614 -0.0
298.15 AG ND 0.29 0.71 -23000.95 -2574.796 68.509658 -20426.1545327 0.0 0.0 -16926.958899999998 -1492.7148576699553 -0.0
298.15 AG ND 0.3 0.7 -23010.57 -2646.393 68.301775 -20364.17421625 0.0 0.0 -16823.753 -1514.313164037668 -0.0
298.15 AG ND 0.31 0.69 -23014.55 -2713.541 68.089931 -20301.01292765 0.0 0.0 -16720.5471 -1534.730844232385 -0.0
298.15 AG ND 0.32 0.68 -23012.93 -2776.239 67.8742 -20236.69273 0.0 0.0 -16617.3412 -1553.9894352015579 -0.0
298.15 AG ND 0.33 0.67 -23005.72 -2834.487 67.654647 -20171.233003049998 0.0 0.0 -16514.135299999998 -1572.1086551954763 -0.0
298.15 AG ND 0.34 0.66 -22992.94 -2888.285 67.431334 -20104.6522321 0.0 0.0 -16410.929399999997 -1589.1065487133012 -0.0
298.15 AG ND 0.35 0.65 -22974.6 -2937.633 67.204315 -20036.966517249995 0.0 0.0 -16307.7235 -1604.9996131775667 -0.0
298.15 AG ND 0.36 0.64 -22950.72 -2982.531 66.973641 -19968.19106415 0.0 0.0 -16204.5176 -1619.8029098595373 -0.0
298.15 AG ND 0.37 0.63 -22921.32 -3022.979 66.739357 -19898.339289549996 0.0 0.0 -16101.311699999998 -1633.5301611487748 -0.0
298.15 AG ND 0.38 0.62 -22886.4 -3058.977 66.501507 -19827.42431205 0.0 0.0 -15998.105800000001 -1646.193835911596 -0.0
298.15 AG ND 0.39 0.61 -22845.98 -3090.525 66.260127 -19755.456865049997 0.0 0.0 -15894.8999 -1657.8052243977716 -0.0
298.15 AG ND 0.4 0.6 -22800.07 -3117.623 66.015252 -19682.4473838 0.0 0.0 -15791.694000000001 -1668.3745039196444 -0.0
298.15 AG ND 0.41 0.59 -22748.68 -3140.271 65.766912 -19608.4048128 0.0 0.0 -15688.488100000002 -1677.9107963326926 -0.0
298.15 AG ND 0.42 0.58 -22691.81 -3158.469 65.515134 -19533.3372021 0.0 0.0 -15585.282200000001 -1686.4222181834425 -0.0
298.15 AG ND 0.43 0.57 -22629.47 -3172.217 65.259944 -19457.2523036 0.0 0.0 -15482.0763 -1693.9159242532326 -0.0
298.15 AG ND 0.44 0.56 -22561.67 -3181.515 65.00136 -19380.155484 0.0 0.0 -15378.870400000002 -1700.3981451097393 -0.0
298.15 AG ND 0.45 0.55 -22488.42 -3186.363 64.739402 -19302.052706299997 0.0 0.0 -15275.664500000003 -1705.8742191782392 -0.0
298.15 AG ND 0.46 0.54 -22409.71 -3186.761 64.474085 -19222.94844275 0.0 0.0 -15172.458600000002 -1710.3486197582595 -0.0
298.15 AG ND 0.47 0.53 -22325.55 -3182.708 64.20542 -19142.845973 0.0 0.0 -15069.252700000001 -1713.8249773357109 -0.0
298.15 AG ND 0.48 0.52 -22235.95 -3174.206 63.933417 -19061.74827855 0.0 0.0 -14966.0468 -1716.3060974737868 -0.0
298.15 AG ND 0.49 0.51 -22140.91 -3161.254 63.658082 -18979.657148299997 0.0 0.0 -14862.8409 -1717.7939745058845 -0.0
298.15 AG ND 0.5 0.5 -22040.43 -3143.852 63.379421 -18896.57437115 0.0 0.0 -14759.635 -1718.289801199083 -0.0
298.15 AG ND 0.51 0.49 -21934.5 -3122.0 63.097433 -18812.49964895 0.0 0.0 -14656.429100000001 -1717.7939745058845 -0.0
298.15 AG ND 0.52 0.48 -21823.13 -3095.698 62.812118 -18727.4329817 0.0 0.0 -14553.2232 -1716.3060974737868 -0.0
298.15 AG ND 0.53 0.47 -21706.32 -3064.946 62.523471 -18641.37287865 0.0 0.0 -14450.0173 -1713.8249773357109 -0.0
298.15 AG ND 0.54 0.46 -21584.06 -3029.744 62.231487 -18554.31784905 0.0 0.0 -14346.811399999999 -1710.3486197582595 -0.0
298.15 AG ND 0.55 0.45 -21456.36 -2990.092 61.936155 -18466.264613249998 0.0 0.0 -14243.6055 -1705.8742191782392 -0.0
298.15 AG ND 0.56 0.44 -21323.2 -2945.99 61.637463 -18377.20959345 0.0 0.0 -14140.3996 -1700.3981451097393 -0.0
298.15 AG ND 0.57 0.43 -21184.59 -2897.438 61.335397 -18287.14861555 0.0 0.0 -14037.1937 -1693.9159242532328 -0.0
298.15 AG ND 0.58 0.42 -21040.51 -2844.436 61.029938 -18196.0760147 0.0 0.0 -13933.987799999999 -1686.4222181834425 -0.0
