T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 AL SC 0.0 1.0 -8654.576 1979.731 35.66764 -10634.306865999999 0.0 0.0 -8654.576 0.0 -0.0
298.15 AL SC 1.0 0.0 210.3581 10083.0 33.112997 -9872.640055549999 0.0 0.0 210.3581 0.0 -0.0
298.15 AL SC 0.01 0.99 -9829.284 936.2325 36.107719 -10765.51641985 0.0 0.0 -8565.926658999999 -138.82602141683572 -0.0
298.15 AL SC 0.02 0.98 -10946.66 -84.54816 36.431695 -10862.109864249998 0.0 0.0 -8477.277317999999 -243.03584172567548 -0.0
298.15 AL SC 0.03 0.97 -12028.09 -1082.611 36.711316 -10945.478865399999 0.0 0.0 -8388.627976999998 -334.02154674813943 -0.0
298.15 AL SC 0.04 0.96 -13078.12 -2057.956 36.961828 -11020.169018199998 0.0 0.0 -8299.978636 -416.3281974105132 -0.0
298.15 AL SC 0.05 0.95 -14098.92 -3010.583 37.190465 -11088.33713975 0.0 0.0 -8211.329294999998 -492.11297050679866 -0.0
298.15 AL SC 0.06 0.94 -15091.75 -3940.493 37.401485 -11151.252752749999 0.0 0.0 -8122.679953999998 -562.6452650375949 -0.0
298.15 AL SC 0.07 0.93 -16057.44 -4847.684 37.597699 -11209.753956849998 0.0 0.0 -8034.030612999998 -628.7628773593874 -0.0
298.15 AL SC 0.08 0.92 -16996.59 -5732.158 37.7811 -11264.434965 0.0 0.0 -7945.381272 -691.0604007790716 -0.0
298.15 AL SC 0.09 0.91 -17909.65 -6593.914 37.953176 -11315.739424399999 0.0 0.0 -7856.731930999999 -749.9816351924776 -0.0
298.15 AL SC 0.1 0.9 -18796.96 -7432.952 38.115082 -11364.011698299999 0.0 0.0 -7768.082589999999 -805.870345271772 -0.0
298.15 AL SC 0.11 0.89 -19658.8 -8249.273 38.267735 -11409.52519025 0.0 0.0 -7679.433249 -859.000492370776 -0.0
298.15 AL SC 0.12 0.88 -20495.38 -9042.875 38.411885 -11452.503512749998 0.0 0.0 -7590.783907999999 -909.5953759771999 -0.0
298.15 AL SC 0.13 0.87 -21306.89 -9813.76 38.548153 -11493.13181695 0.0 0.0 -7502.134566999999 -957.840348132521 -0.0
298.15 AL SC 0.14 0.86 -22093.49 -10561.93 38.677063 -11531.566333449999 0.0 0.0 -7413.485226 -1003.8915915105914 -0.0
298.15 AL SC 0.15 0.85 -22855.32 -11287.38 38.799063 -11567.940633449998 0.0 0.0 -7324.835884999999 -1047.882375954332 -0.0
298.15 AL SC 0.16 0.84 -23592.48 -11990.11 38.914537 -11602.36920655 0.0 0.0 -7236.186543999998 -1089.9276385420173 -0.0
298.15 AL SC 0.17 0.83 -24305.07 -12670.12 39.023821 -11634.952231149999 0.0 0.0 -7147.537202999999 -1130.1274135160918 -0.0
298.15 AL SC 0.18 0.82 -24993.2 -13327.42 39.12721 -11665.777661499998 0.0 0.0 -7058.887862 -1168.5694517045056 -0.0
298.15 AL SC 0.19 0.81 -25656.92 -13962.0 39.224964 -11694.9230166 0.0 0.0 -6970.238520999999 -1205.3312553507326 -0.0
298.15 AL SC 0.2 0.8 -26296.31 -14573.86 39.317313 -11722.456870949998 0.0 0.0 -6881.58918 -1240.4816826440385 -0.0
298.15 AL SC 0.21 0.79 -26911.44 -15163.0 39.404463 -11748.44064345 0.0 0.0 -6792.939839 -1274.08222978906 -0.0
298.15 AL SC 0.22 0.78 -27502.35 -15729.42 39.4866 -11772.92979 0.0 0.0 -6704.290497999999 -1306.188067542519 -0.0
298.15 AL SC 0.23 0.77 -28069.1 -16273.13 39.563891 -11795.97410165 0.0 0.0 -6615.641157 -1336.8488881016199 -0.0
298.15 AL SC 0.24 0.76 -28611.74 -16794.12 39.636485 -11817.61800275 0.0 0.0 -6526.991816 -1366.1096036088943 -0.0
298.15 AL SC 0.25 0.75 -29130.29 -17292.39 39.704521 -11837.90293615 0.0 0.0 -6438.342474999999 -1394.0109271940482 -0.0
298.15 AL SC 0.26 0.74 -29624.81 -17767.94 39.76812 -11856.864978 0.0 0.0 -6349.693133999999 -1420.5898600324033 -0.0
298.15 AL SC 0.27 0.73 -30095.32 -18220.78 39.827398 -11874.5387137 0.0 0.0 -6261.043792999999 -1445.8801024662048 -0.0
298.15 AL SC 0.28 0.72 -30541.85 -18650.9 39.882456 -11890.954256399998 0.0 0.0 -6172.394451999999 -1469.9124032129614 -0.0
298.15 AL SC 0.29 0.71 -30964.44 -19058.3 39.93339 -11906.1402285 0.0 0.0 -6083.745110999999 -1492.7148576699553 -0.0
298.15 AL SC 0.3 0.7 -31363.1 -19442.98 39.980285 -11920.12197275 0.0 0.0 -5995.095769999999 -1514.313164037668 -0.0
298.15 AL SC 0.31 0.69 -31737.87 -19804.94 40.023219 -11932.922744849999 0.0 0.0 -5906.446428999999 -1534.730844232385 -0.0
298.15 AL SC 0.32 0.68 -32088.75 -20144.19 40.062267 -11944.564906049998 0.0 0.0 -5817.797087999999 -1553.9894352015579 -0.0
298.15 AL SC 0.33 0.67 -32415.79 -20460.72 40.097493 -11955.067537949999 0.0 0.0 -5729.147746999999 -1572.1086551954763 -0.0
298.15 AL SC 0.34 0.66 -32718.98 -20754.53 40.128957 -11964.44852955 0.0 0.0 -5640.498405999999 -1589.1065487133012 -0.0
298.15 AL SC 0.35 0.65 -32998.35 -21025.62 40.156717 -11972.72517355 0.0 0.0 -5551.849065 -1604.9996131775667 -0.0
298.15 AL SC 0.36 0.64 -33253.91 -21274.0 40.180821 -11979.91178115 0.0 0.0 -5463.199723999999 -1619.8029098595373 -0.0
298.15 AL SC 0.37 0.63 -33485.68 -21499.66 40.201316 -11986.022365399998 0.0 0.0 -5374.550382999999 -1633.5301611487748 -0.0
298.15 AL SC 0.38 0.62 -33693.67 -21702.6 40.218244 -11991.0694486 0.0 0.0 -5285.9010419999995 -1646.193835911596 -0.0
298.15 AL SC 0.39 0.61 -33877.88 -21882.82 40.231642 -11995.0640623 0.0 0.0 -5197.251700999999 -1657.8052243977716 -0.0
298.15 AL SC 0.4 0.6 -34038.34 -22040.32 40.241545 -11998.01664175 0.0 0.0 -5108.602359999999 -1668.3745039196444 -0.0
298.15 AL SC 0.41 0.59 -34175.04 -22175.11 40.247984 -11999.9364296 0.0 0.0 -5019.9530190000005 -1677.9107963326926 -0.0
298.15 AL SC 0.42 0.58 -34288.01 -22287.18 40.250985 -12000.831177749998 0.0 0.0 -4931.303678 -1686.4222181834425 -0.0
298.15 AL SC 0.43 0.57 -34377.24 -22376.53 40.250572 -12000.708041799999 0.0 0.0 -4842.654337 -1693.9159242532326 -0.0
298.15 AL SC 0.44 0.56 -34442.73 -22443.16 40.246767 -11999.57358105 0.0 0.0 -4754.004996000001 -1700.3981451097393 -0.0
298.15 AL SC 0.45 0.55 -34484.51 -22487.08 40.239588 -11997.433162199999 0.0 0.0 -4665.355655 -1705.8742191782392 -0.0
298.15 AL SC 0.46 0.54 -34502.56 -22508.27 40.229049 -11994.29095935 0.0 0.0 -4576.706313999999 -1710.3486197582595 -0.0
298.15 AL SC 0.47 0.53 -34496.9 -22506.75 40.215162 -11990.150550299999 0.0 0.0 -4488.056973 -1713.8249773357109 -0.0
298.15 AL SC 0.48 0.52 -34467.53 -22482.52 40.197937 -11985.01491655 0.0 0.0 -4399.4076319999995 -1716.3060974737868 -0.0
298.15 AL SC 0.49 0.51 -34414.45 -22435.56 40.177381 -11978.886145149998 0.0 0.0 -4310.758290999999 -1717.7939745058845 -0.0
298.15 AL SC 0.5 0.5 -34337.65 -22365.89 40.153498 -11971.765428699999 0.0 0.0 -4222.10895 -1718.289801199083 -0.0
298.15 AL SC 0.51 0.49 -34237.15 -22273.49 40.126288 -11963.6527672 0.0 0.0 -4133.459609 -1717.7939745058845 -0.0
298.15 AL SC 0.52 0.48 -34112.93 -22158.38 40.095751 -11954.54816065 0.0 0.0 -4044.8102679999997 -1716.3060974737868 -0.0
298.15 AL SC 0.53 0.47 -33965.01 -22020.56 40.061883 -11944.45041645 0.0 0.0 -3956.160926999999 -1713.8249773357109 -0.0
298.15 AL SC 0.54 0.46 -33793.37 -21860.01 40.024677 -11933.357447549999 0.0 0.0 -3867.511585999999 -1710.3486197582595 -0.0
298.15 AL SC 0.55 0.45 -33598.02 -21676.75 39.984123 -11921.266272449999 0.0 0.0 -3778.8622449999993 -1705.8742191782392 -0.0
298.15 AL SC 0.56 0.44 -33378.94 -21470.77 39.94021 -11908.173611499999 0.0 0.0 -3690.212903999999 -1700.3981451097393 -0.0
298.15 AL SC 0.57 0.43 -33136.15 -21242.07 39.892922 -11894.0746943 0.0 0.0 -3601.563563 -1693.9159242532328 -0.0
298.15 AL SC 0.58 0.42 -32869.62 -20990.65 39.842242 -11878.964452299999 0.0 0.0 -3512.914222 -1686.4222181834425 -0.0
298.15 AL SC 0.59 0.41 -32579.36 -20716.52 39.788148 -11862.836326199998 0.0 0.0 -3424.2648809999996 -1677.910796332693 -0.0
298.15 AL SC 0.6 0.4 -32265.35 -20419.67 39.730616 -11845.683160399998 0.0 0.0 -3335.61554 -1668.3745039196444 -0.0
298.15 AL SC 0.61 0.39 -31927.6 -20100.1 39.66962 -11827.497202999999 0.0 0.0 -3246.966199 -1657.8052243977716 -0.0
298.15 AL SC 0.62 0.38 -31566.08 -19757.81 39.605129 -11808.269211349998 0.0 0.0 -3158.3168579999997 -1646.193835911596 -0.0
298.15 AL SC 0.63 0.37 -31180.8 -19392.81 39.537108 -11787.9887502 0.0 0.0 -3069.6675169999994 -1633.5301611487748 -0.0
298.15 AL SC 0.64 0.36 -30771.73 -19005.08 39.465521 -11766.64508615 0.0 0.0 -2981.0181759999996 -1619.8029098595373 -0.0
298.15 AL SC 0.65 0.35 -30338.87 -18594.64 39.390324 -11744.225100599999 0.0 0.0 -2892.3688349999993 -1604.9996131775667 -0.0
298.15 AL SC 0.66 0.34 -29882.2 -18161.48 39.311471 -11720.715078649999 0.0 0.0 -2803.7194939999995 -1589.106548713301 -0.0
298.15 AL SC 0.67 0.33 -29401.71 -17705.61 39.228914 -11696.1007091 0.0 0.0 -2715.0701529999997 -1572.1086551954763 -0.0
298.15 AL SC 0.68 0.32 -28897.38 -17227.01 39.142595 -11670.36469925 0.0 0.0 -2626.420811999999 -1553.9894352015576 -0.0
298.15 AL SC 0.69 0.31 -28369.19 -16725.7 39.052455 -11643.48945825 0.0 0.0 -2537.771471 -1534.730844232385 -0.0
298.15 AL SC 0.7 0.3 -27817.13 -16201.67 38.958427 -11615.45501005 0.0 0.0 -2449.12213 -1514.313164037668 -0.0
298.15 AL SC 0.71 0.29 -27241.16 -15654.92 38.86044 -11586.240185999999 0.0 0.0 -2360.472789 -1492.7148576699553 -0.0
298.15 AL SC 0.72 0.28 -26641.28 -15085.46 38.758413 -11555.820835949999 0.0 0.0 -2271.823448 -1469.9124032129614 -0.0
298.15 AL SC 0.73 0.27 -26017.45 -14493.28 38.652262 -11524.1719153 0.0 0.0 -2183.174107 -1445.8801024662048 -0.0
298.15 AL SC 0.74 0.26 -25369.64 -13878.38 38.541892 -11491.265099799999 0.0 0.0 -2094.5247659999995 -1420.5898600324033 -0.0
298.15 AL SC 0.75 0.25 -24697.83 -13240.76 38.427199 -11457.06938185 0.0 0.0 -2005.8754249999997 -1394.0109271940482 -0.0
298.15 AL SC 0.76 0.24 -24001.97 -12580.42 38.308071 -11421.551368649998 0.0 0.0 -1917.226084 -1366.1096036088943 -0.0
298.15 AL SC 0.77 0.23 -23282.04 -11897.37 38.184383 -11384.673791449999 0.0 0.0 -1828.5767429999996 -1336.8488881016199 -0.0
298.15 AL SC 0.78 0.22 -22537.99 -11191.59 38.056 -11346.396399999998 0.0 0.0 -1739.9274019999996 -1306.188067542519 -0.0
298.15 AL SC 0.79 0.21 -21769.78 -10463.1 37.92277 -11306.673875499999 0.0 0.0 -1651.2780609999995 -1274.08222978906 -0.0
298.15 AL SC 0.8 0.2 -20977.35 -9711.895 37.784526 -11265.456426899998 0.0 0.0 -1562.6287199999995 -1240.4816826440385 -0.0
298.15 AL SC 0.81 0.19 -20160.66 -8937.97 37.641085 -11222.689492749998 0.0 0.0 -1473.9793789999992 -1205.3312553507324 -0.0
298.15 AL SC 0.82 0.18 -19319.64 -8141.326 37.492238 -11178.3107597 0.0 0.0 -1385.3300380000003 -1168.5694517045058 -0.0
298.15 AL SC 0.83 0.17 -18454.22 -7321.965 37.337757 -11132.25224955 0.0 0.0 -1296.6806970000002 -1130.127413516092 -0.0
298.15 AL SC 0.84 0.16 -17564.32 -6479.886 37.177379 -11084.43554885 0.0 0.0 -1208.031356 -1089.9276385420173 -0.0
298.15 AL SC 0.85 0.15 -16649.86 -5615.09 37.010812 -11034.7735978 0.0 0.0 -1119.3820150000001 -1047.882375954332 -0.0
298.15 AL SC 0.86 0.14 -15710.74 -4727.575 36.83772 -10983.166217999998 0.0 0.0 -1030.732674 -1003.8915915105914 -0.0
298.15 AL SC 0.87 0.13 -14746.84 -3817.343 36.657717 -10929.498323549999 0.0 0.0 -942.0833329999998 -957.840348132521 -0.0
298.15 AL SC 0.88 0.12 -13758.03 -2884.392 36.470355 -10873.636343249998 0.0 0.0 -853.4339919999999 -909.5953759771999 -0.0
298.15 AL SC 0.89 0.11 -12744.15 -1928.724 36.275113 -10815.424940949999 0.0 0.0 -764.7846509999998 -859.000492370776 -0.0
298.15 AL SC 0.9 0.1 -11705.02 -950.3387 36.071367 -10754.67807105 0.0 0.0 -676.1353099999997 -805.870345271772 -0.0
298.15 AL SC 0.91 0.09 -10640.41 50.76491 35.858368 -10691.172419199998 0.0 0.0 -587.4859689999996 -749.9816351924775 -0.0
298.15 AL SC 0.92 0.08 -9550.048 1074.586 35.635199 -10624.63458185 0.0 0.0 -498.83662799999956 -691.0604007790713 -0.0
298.15 AL SC 0.93 0.07 -8433.595 2121.125 35.400705 -10554.72019575 0.0 0.0 -410.18728699999946 -628.762877359387 -0.0
298.15 AL SC 0.94 0.06 -7290.604 3190.382 35.153399 -10480.985911849999 0.0 0.0 -321.5379460000004 -562.6452650375951 -0.0
298.15 AL SC 0.95 0.05 -6120.48 4282.357 34.891286 -10402.8369209 0.0 0.0 -232.88860500000033 -492.1129705067989 -0.0
298.15 AL SC 0.96 0.04 -4922.386 5397.05 34.611556 -10319.4354214 0.0 0.0 -144.2392640000003 -416.3281974105133 -0.0
298.15 AL SC 0.97 0.03 -3695.052 6534.46 34.309951 -10229.51189065 0.0 0.0 -55.5899230000002 -334.02154674813966 -0.0
298.15 AL SC 0.98 0.02 -2436.321 7694.588 33.979237 -10130.909511549999 0.0 0.0 33.05941799999985 -243.03584172567562 -0.0
298.15 AL SC 0.99 0.01 -1141.649 8877.434 33.604168 -10019.0826892 0.0 0.0 121.70875899999994 -138.82602141683583 -0.0
1270.0 AL SC 0.0 1.0 -67060.81 30951.17 77.174784 -98011.97568 0.0 0.0 -67060.81 0.0 -0.0
1270.0 AL SC 1.0 0.0 -55839.76 39110.52 74.764005 -94950.28635 0.0 0.0 -55839.76 0.0 -0.0
1270.0 AL SC 0.01 0.99 -68664.47 29908.23 77.616301 -98572.70227000001 0.0 0.0 -66948.5995 -591.3434418895904 -0.0
1270.0 AL SC 0.02 0.98 -70097.97 28888.01 77.941716 -98985.97932 0.0 0.0 -66836.389 -1035.2356833527012 -0.0
1270.0 AL SC 0.03 0.97 -71452.42 27890.51 78.222776 -99342.92551999999 0.0 0.0 -66724.1785 -1422.798471809952 -0.0
1270.0 AL SC 0.04 0.96 -72747.18 26915.72 78.474726 -99662.90202000001 0.0 0.0 -66611.968 -1773.3919527464425 -0.0
1270.0 AL SC 0.05 0.95 -73991.44 25963.66 78.704802 -99955.09854 0.0 0.0 -66499.75749999999 -2096.2048383150573 -0.0
