T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 AL TA 0.0 1.0 -12364.82 -0.00107989 41.471805 -12364.81866075 0.0 0.0 -12364.82 0.0 -0.0
298.15 AL TA 1.0 0.0 210.3581 10083.0 33.112997 -9872.640055549999 0.0 0.0 210.3581 0.0 -0.0
298.15 AL TA 0.01 0.99 -12383.63 95.09779 41.853843 -12478.723290449998 0.0 0.0 -12239.068219 -138.82602141683572 -0.0
298.15 AL TA 0.02 0.98 -12367.7 190.3124 42.119776 -12558.0112144 0.0 0.0 -12113.316437999998 -243.03584172567548 -0.0
298.15 AL TA 0.03 0.97 -12338.43 285.6429 42.341356 -12624.075291399999 0.0 0.0 -11987.564656999999 -334.02154674813943 -0.0
298.15 AL TA 0.04 0.96 -12300.37 381.0891 42.533826 -12681.460221899999 0.0 0.0 -11861.812876 -416.3281974105132 -0.0
298.15 AL TA 0.05 0.95 -12255.67 476.6511 42.704422 -12732.323419299999 0.0 0.0 -11736.061095 -492.11297050679866 -0.0
298.15 AL TA 0.06 0.94 -12205.61 572.3289 42.857401 -12777.93410815 0.0 0.0 -11610.309313999998 -562.6452650375949 -0.0
298.15 AL TA 0.07 0.93 -12151.01 668.1224 42.995572 -12819.1297918 0.0 0.0 -11484.557533 -628.7628773593874 -0.0
298.15 AL TA 0.08 0.92 -12092.47 764.0318 43.120931 -12856.50557765 0.0 0.0 -11358.805752 -691.0604007790716 -0.0
298.15 AL TA 0.09 0.91 -12030.45 860.0569 43.234966 -12890.505112899998 0.0 0.0 -11233.053971 -749.9816351924776 -0.0
298.15 AL TA 0.1 0.9 -11965.27 956.1978 43.33883 -12921.472164499999 0.0 0.0 -11107.30219 -805.870345271772 -0.0
298.15 AL TA 0.11 0.89 -11897.23 1052.454 43.433442 -12949.6807323 0.0 0.0 -10981.550409 -859.000492370776 -0.0
298.15 AL TA 0.12 0.88 -11826.53 1148.827 43.51955 -12975.353832499999 0.0 0.0 -10855.798628 -909.5953759771999 -0.0
298.15 AL TA 0.13 0.87 -11753.36 1245.315 43.597776 -12998.676914399999 0.0 0.0 -10730.046847 -957.840348132521 -0.0
298.15 AL TA 0.14 0.86 -11677.89 1341.919 43.668645 -13019.80650675 0.0 0.0 -10604.295065999999 -1003.8915915105914 -0.0
298.15 AL TA 0.15 0.85 -11600.24 1438.639 43.732603 -13038.875584449997 0.0 0.0 -10478.543285 -1047.882375954332 -0.0
298.15 AL TA 0.16 0.84 -11520.52 1535.475 43.790036 -13055.9992334 0.0 0.0 -10352.791504 -1089.9276385420173 -0.0
298.15 AL TA 0.17 0.83 -11438.85 1632.426 43.841278 -13071.277035699999 0.0 0.0 -10227.039722999998 -1130.1274135160918 -0.0
298.15 AL TA 0.18 0.82 -11355.3 1729.493 43.886626 -13084.7975419 0.0 0.0 -10101.287942 -1168.5694517045056 -0.0
298.15 AL TA 0.19 0.81 -11269.96 1826.676 43.926337 -13096.637376549997 0.0 0.0 -9975.536161000002 -1205.3312553507326 -0.0
298.15 AL TA 0.2 0.8 -11182.89 1923.975 43.960645 -13106.866306749998 0.0 0.0 -9849.78438 -1240.4816826440385 -0.0
298.15 AL TA 0.21 0.79 -11094.16 2021.389 43.989753 -13115.544856949999 0.0 0.0 -9724.032599 -1274.08222978906 -0.0
298.15 AL TA 0.22 0.78 -11003.81 2118.919 44.013849 -13122.72907935 0.0 0.0 -9598.280818000001 -1306.188067542519 -0.0
298.15 AL TA 0.23 0.77 -10911.9 2216.565 44.033098 -13128.4681687 0.0 0.0 -9472.529037 -1336.8488881016199 -0.0
298.15 AL TA 0.24 0.76 -10818.48 2314.327 44.047651 -13132.80714565 0.0 0.0 -9346.777256 -1366.1096036088943 -0.0
298.15 AL TA 0.25 0.75 -10723.58 2412.205 44.057644 -13135.7865586 0.0 0.0 -9221.025475 -1394.0109271940482 -0.0
298.15 AL TA 0.26 0.74 -10627.25 2510.198 44.063203 -13137.44397445 0.0 0.0 -9095.273694 -1420.5898600324033 -0.0
298.15 AL TA 0.27 0.73 -10529.5 2608.307 44.064438 -13137.8121897 0.0 0.0 -8969.521912999999 -1445.8801024662048 -0.0
298.15 AL TA 0.28 0.72 -10430.39 2706.532 44.061455 -13136.92280825 0.0 0.0 -8843.770132 -1469.9124032129614 -0.0
298.15 AL TA 0.29 0.71 -10329.93 2804.873 44.054347 -13134.803558049998 0.0 0.0 -8718.018350999999 -1492.7148576699553 -0.0
298.15 AL TA 0.3 0.7 -10228.15 2903.33 44.0432 -13131.48008 0.0 0.0 -8592.26657 -1514.313164037668 -0.0
298.15 AL TA 0.31 0.69 -10125.07 3001.902 44.028093 -13126.975927949998 0.0 0.0 -8466.514788999999 -1534.730844232385 -0.0
298.15 AL TA 0.32 0.68 -10020.72 3100.59 44.009099 -13121.31286685 0.0 0.0 -8340.763007999998 -1553.9894352015579 -0.0
298.15 AL TA 0.33 0.67 -9915.117 3199.394 43.986283 -13114.510276449999 0.0 0.0 -8215.011226999999 -1572.1086551954763 -0.0
298.15 AL TA 0.34 0.66 -9808.273 3298.313 43.959706 -13106.586343899999 0.0 0.0 -8089.259445999998 -1589.1065487133012 -0.0
298.15 AL TA 0.35 0.65 -9700.209 3397.349 43.929424 -13097.557765599999 0.0 0.0 -7963.507665 -1604.9996131775667 -0.0
298.15 AL TA 0.36 0.64 -9590.939 3496.5 43.895486 -13087.439150899998 0.0 0.0 -7837.755884 -1619.8029098595373 -0.0
298.15 AL TA 0.37 0.63 -9480.478 3595.767 43.85794 -13076.244810999999 0.0 0.0 -7712.004102999999 -1633.5301611487748 -0.0
298.15 AL TA 0.38 0.62 -9368.837 3695.15 43.816826 -13063.986671899998 0.0 0.0 -7586.252322 -1646.193835911596 -0.0
298.15 AL TA 0.39 0.61 -9256.028 3794.648 43.772183 -13050.676361449998 0.0 0.0 -7460.500540999999 -1657.8052243977716 -0.0
298.15 AL TA 0.4 0.6 -9142.061 3894.262 43.724044 -13036.323718599999 0.0 0.0 -7334.7487599999995 -1668.3745039196444 -0.0
298.15 AL TA 0.41 0.59 -9026.946 3993.992 43.672441 -13020.93828415 0.0 0.0 -7208.996979000001 -1677.9107963326926 -0.0
298.15 AL TA 0.42 0.58 -8910.69 4093.838 43.6174 -13004.52781 0.0 0.0 -7083.2451980000005 -1686.4222181834425 -0.0
298.15 AL TA 0.43 0.57 -8793.3 4193.8 43.558946 -12987.099749899999 0.0 0.0 -6957.493417000001 -1693.9159242532326 -0.0
298.15 AL TA 0.44 0.56 -8674.783 4293.877 43.4971 -12968.660365 0.0 0.0 -6831.741636000001 -1700.3981451097393 -0.0
298.15 AL TA 0.45 0.55 -8555.144 4394.071 43.431878 -12949.214425699998 0.0 0.0 -6705.989855000001 -1705.8742191782392 -0.0
298.15 AL TA 0.46 0.54 -8434.388 4494.38 43.363298 -12928.767298699999 0.0 0.0 -6580.238074 -1710.3486197582595 -0.0
298.15 AL TA 0.47 0.53 -8312.517 4594.804 43.291369 -12907.32166735 0.0 0.0 -6454.486293000001 -1713.8249773357109 -0.0
298.15 AL TA 0.48 0.52 -8189.536 4695.345 43.216103 -12884.881109449998 0.0 0.0 -6328.734512 -1716.3060974737868 -0.0
298.15 AL TA 0.49 0.51 -8065.446 4796.001 43.137505 -12861.447115749997 0.0 0.0 -6202.982731 -1717.7939745058845 -0.0
298.15 AL TA 0.5 0.5 -7940.248 4896.773 43.05558 -12837.021176999999 0.0 0.0 -6077.23095 -1718.289801199083 -0.0
298.15 AL TA 0.51 0.49 -7813.942 4997.661 42.970329 -12811.603591349998 0.0 0.0 -5951.479168999999 -1717.7939745058845 -0.0
298.15 AL TA 0.52 0.48 -7686.529 5098.665 42.881751 -12785.19406065 0.0 0.0 -5825.727387999999 -1716.3060974737868 -0.0
298.15 AL TA 0.53 0.47 -7558.007 5199.784 42.789841 -12757.79109415 0.0 0.0 -5699.975606999999 -1713.8249773357109 -0.0
298.15 AL TA 0.54 0.46 -7428.373 5301.02 42.694593 -12729.392902949998 0.0 0.0 -5574.2238259999995 -1710.3486197582595 -0.0
298.15 AL TA 0.55 0.45 -7297.626 5402.371 42.595998 -12699.9968037 0.0 0.0 -5448.472044999999 -1705.8742191782392 -0.0
298.15 AL TA 0.56 0.44 -7165.762 5503.837 42.494043 -12669.598920449998 0.0 0.0 -5322.720264 -1700.3981451097393 -0.0
298.15 AL TA 0.57 0.43 -7032.775 5605.42 42.388713 -12638.19478095 0.0 0.0 -5196.968483000001 -1693.9159242532328 -0.0
298.15 AL TA 0.58 0.42 -6898.661 5707.118 42.279991 -12605.77931665 0.0 0.0 -5071.216702 -1686.4222181834425 -0.0
298.15 AL TA 0.59 0.41 -6763.414 5808.932 42.167855 -12572.34596825 0.0 0.0 -4945.464921000001 -1677.910796332693 -0.0
298.15 AL TA 0.6 0.4 -6627.026 5910.862 42.052282 -12537.887878299998 0.0 0.0 -4819.71314 -1668.3745039196444 -0.0
298.15 AL TA 0.61 0.39 -6489.489 6012.908 41.933245 -12502.39699675 0.0 0.0 -4693.961359 -1657.8052243977716 -0.0
298.15 AL TA 0.62 0.38 -6350.794 6115.069 41.810712 -12465.8637828 0.0 0.0 -4568.209578 -1646.193835911596 -0.0
298.15 AL TA 0.63 0.37 -6210.932 6217.347 41.68465 -12428.278397499998 0.0 0.0 -4442.457797 -1633.5301611487748 -0.0
298.15 AL TA 0.64 0.36 -6069.89 6319.74 41.55502 -12389.629212999998 0.0 0.0 -4316.706015999999 -1619.8029098595373 -0.0
298.15 AL TA 0.65 0.35 -5927.656 6422.248 41.421781 -12349.90400515 0.0 0.0 -4190.954235 -1604.9996131775667 -0.0
298.15 AL TA 0.66 0.34 -5784.216 6524.873 41.284888 -12309.0893572 0.0 0.0 -4065.2024539999993 -1589.106548713301 -0.0
298.15 AL TA 0.67 0.33 -5639.556 6627.613 41.144288 -12267.1694672 0.0 0.0 -3939.4506729999994 -1572.1086551954763 -0.0
298.15 AL TA 0.68 0.32 -5493.659 6730.47 40.999928 -12224.128533199999 0.0 0.0 -3813.698891999999 -1553.9894352015576 -0.0
298.15 AL TA 0.69 0.31 -5346.507 6833.441 40.851746 -12179.948069899998 0.0 0.0 -3687.9471110000004 -1534.730844232385 -0.0
298.15 AL TA 0.7 0.3 -5198.079 6936.529 40.699677 -12134.60869755 0.0 0.0 -3562.1953300000005 -1514.313164037668 -0.0
298.15 AL TA 0.71 0.29 -5048.356 7039.733 40.543647 -12088.08835305 0.0 0.0 -3436.443549 -1492.7148576699553 -0.0
298.15 AL TA 0.72 0.28 -4897.312 7143.052 40.383579 -12040.364078849998 0.0 0.0 -3310.691768 -1469.9124032129614 -0.0
298.15 AL TA 0.73 0.27 -4744.923 7246.487 40.219387 -11991.410234049998 0.0 0.0 -3184.939987 -1445.8801024662048 -0.0
298.15 AL TA 0.74 0.26 -4591.16 7350.038 40.050974 -11941.197898099997 0.0 0.0 -3059.188206 -1420.5898600324033 -0.0
298.15 AL TA 0.75 0.25 -4435.993 7453.704 39.87824 -11889.697255999998 0.0 0.0 -2933.436425 -1394.0109271940482 -0.0
298.15 AL TA 0.76 0.24 -4279.387 7557.487 39.70107 -11836.8740205 0.0 0.0 -2807.684644 -1366.1096036088943 -0.0
298.15 AL TA 0.77 0.23 -4121.307 7661.385 39.519341 -11782.691519149997 0.0 0.0 -2681.9328629999995 -1336.8488881016199 -0.0
298.15 AL TA 0.78 0.22 -3961.71 7765.399 39.332916 -11727.108905399999 0.0 0.0 -2556.1810819999996 -1306.188067542519 -0.0
298.15 AL TA 0.79 0.21 -3800.553 7869.529 39.141644 -11670.081158599998 0.0 0.0 -2430.4293009999997 -1274.08222978906 -0.0
298.15 AL TA 0.8 0.2 -3637.785 7973.774 38.945359 -11611.55878585 0.0 0.0 -2304.6775199999993 -1240.4816826440385 -0.0
298.15 AL TA 0.81 0.19 -3473.351 8078.135 38.743876 -11551.486629399998 0.0 0.0 -2178.9257389999993 -1205.3312553507324 -0.0
298.15 AL TA 0.82 0.18 -3307.191 8182.612 38.536988 -11489.8029722 0.0 0.0 -2053.1739580000008 -1168.5694517045058 -0.0
298.15 AL TA 0.83 0.17 -3139.234 8287.205 38.324465 -11426.439239749998 0.0 0.0 -1927.4221770000006 -1130.127413516092 -0.0
298.15 AL TA 0.84 0.16 -2969.404 8391.914 38.106046 -11361.3176149 0.0 0.0 -1801.6703960000002 -1089.9276385420173 -0.0
298.15 AL TA 0.85 0.15 -2797.612 8496.738 37.881437 -11294.35044155 0.0 0.0 -1675.9186150000003 -1047.882375954332 -0.0
298.15 AL TA 0.86 0.14 -2623.759 8601.679 37.650303 -11225.43783945 0.0 0.0 -1550.166834 -1003.8915915105914 -0.0
298.15 AL TA 0.87 0.13 -2447.73 8706.735 37.412258 -11154.464722699999 0.0 0.0 -1424.415053 -957.840348132521 -0.0
298.15 AL TA 0.88 0.12 -2269.392 8811.906 37.166855 -11081.29781825 0.0 0.0 -1298.663272 -909.5953759771999 -0.0
298.15 AL TA 0.89 0.11 -2088.587 8917.194 36.913571 -11005.781193649998 0.0 0.0 -1172.9114909999998 -859.000492370776 -0.0
298.15 AL TA 0.9 0.1 -1905.132 9022.597 36.651783 -10927.72910145 0.0 0.0 -1047.1597099999997 -805.870345271772 -0.0
298.15 AL TA 0.91 0.09 -1718.802 9128.116 36.380743 -10846.91852545 0.0 0.0 -921.4079289999996 -749.9816351924775 -0.0
298.15 AL TA 0.92 0.08 -1529.324 9233.751 36.099532 -10763.0754658 0.0 0.0 -795.6561479999995 -691.0604007790713 -0.0
298.15 AL TA 0.93 0.07 -1336.354 9339.502 35.806997 -10675.85615555 0.0 0.0 -669.9043669999994 -628.762877359387 -0.0
298.15 AL TA 0.94 0.06 -1139.449 9445.368 35.501649 -10584.81664935 0.0 0.0 -544.1525860000006 -562.6452650375951 -0.0
298.15 AL TA 0.95 0.05 -938.0122 9551.35 35.181494 -10489.3624361 0.0 0.0 -418.40080500000056 -492.1129705067989 -0.0
298.15 AL TA 0.96 0.04 -731.2075 9657.448 34.843722 -10388.655714299999 0.0 0.0 -292.6490240000004 -416.3281974105133 -0.0
298.15 AL TA 0.97 0.03 -517.7652 9763.662 34.484076 -10281.4272594 0.0 0.0 -166.89724300000032 -334.02154674813966 -0.0
298.15 AL TA 0.98 0.02 -295.5281 9869.992 34.09532 -10165.519658 0.0 0.0 -41.14546200000021 -243.03584172567562 -0.0
298.15 AL TA 0.99 0.01 -59.951 9976.437 33.66221 -10036.3879115 0.0 0.0 84.60631899999991 -138.82602141683583 -0.0
1610.0 AL TA 0.0 1.0 -104017.2 36340.05 87.178408 -140357.23688 0.0 0.0 -104017.2 0.0 -0.0
1610.0 AL TA 1.0 0.0 -82592.58 49917.52 82.304408 -132510.09688 0.0 0.0 -82592.58 0.0 -0.0
1610.0 AL TA 0.01 0.99 -104558.3 36470.09 87.595294 -141028.42333999998 0.0 0.0 -103802.95379999999 -749.655859403339 -0.0
1610.0 AL TA 0.02 0.98 -104912.4 36600.25 87.896076 -141512.68235999998 0.0 0.0 -103588.7076 -1312.3853938565742 -0.0
1610.0 AL TA 0.03 0.97 -105195.0 36730.52 88.152504 -141925.53144 0.0 0.0 -103374.4614 -1803.7051493023798 -0.0
1610.0 AL TA 0.04 0.96 -105430.6 36860.91 88.379822 -142291.51342 0.0 0.0 -103160.21519999999 -2248.1583023006083 -0.0
1610.0 AL TA 0.05 0.95 -105630.9 36991.42 88.585265 -142622.27665 0.0 0.0 -102945.969 -2657.393535186805 -0.0
1610.0 AL TA 0.06 0.94 -105802.6 37122.04 88.773092 -142924.67812 0.0 0.0 -102731.72279999999 -3038.2655599883547 -0.0
1610.0 AL TA 0.07 0.93 -105950.5 37252.78 88.946112 -143203.24032 0.0 0.0 -102517.47659999998 -3395.2984489304504 -0.0
1610.0 AL TA 0.08 0.92 -106077.5 37383.64 89.106319 -143461.17359 0.0 0.0 -102303.2304 -3731.7029859275713 -0.0
1620.0 AL TA 0.0 1.0 -104889.9 36636.1 87.361723 -141525.99126 0.0 0.0 -104889.9 0.0 -0.0
1620.0 AL TA 1.0 0.0 -83416.61 50235.09 82.501048 -133651.69776 0.0 0.0 -83416.61 0.0 -0.0
1620.0 AL TA 0.01 0.99 -105435.2 36766.36 87.778742 -142201.56204 0.0 0.0 -104675.16709999999 -754.3121069772728 -0.0
1620.0 AL TA 0.02 0.98 -105792.3 36896.73 88.079657 -142689.04434 0.0 0.0 -104460.4342 -1320.5368559302176 -0.0
1620.0 AL TA 0.03 0.97 -106077.5 37027.22 88.336218 -143104.67316 0.0 0.0 -104245.7013 -1814.9082868756866 -0.0
1620.0 AL TA 0.04 0.96 -106315.3 37157.83 88.56367 -143473.1454 0.0 0.0 -104030.96839999998 -2262.122018463966 -0.0
1620.0 AL TA 0.05 0.95 -106517.6 37288.55 88.769247 -143806.18013999998 0.0 0.0 -103816.23549999998 -2673.8990850947976 -0.0
1620.0 AL TA 0.06 0.94 -106691.3 37419.39 88.957207 -144110.67534 0.0 0.0 -103601.50259999999 -3057.1367746466676 -0.0
1620.0 AL TA 0.07 0.93 -106840.8 37550.34 89.13036 -144391.1832 0.0 0.0 -103386.76969999999 -3416.3872591722547 -0.0
1620.0 AL TA 0.08 0.92 -106969.5 37681.41 89.2907 -144650.934 0.0 0.0 -103172.0368 -3754.881265343271 -0.0
1630.0 AL TA 0.0 1.0 -105764.4 36932.42 87.544076 -142696.84388 0.0 0.0 -105764.4 0.0 -0.0
1630.0 AL TA 1.0 0.0 -84242.6 50552.66 82.696476 -134795.25588 0.0 0.0 -84242.6 0.0 -0.0
1630.0 AL TA 0.01 0.99 -106313.9 37062.89 87.961225 -143376.79675 0.0 0.0 -105549.182 -758.9683545512065 -0.0
1630.0 AL TA 0.02 0.98 -106674.0 37193.48 88.262271 -143867.50173 0.0 0.0 -105333.96399999999 -1328.6883180038608 -0.0
1630.0 AL TA 0.03 0.97 -106961.7 37324.18 88.518963 -144285.90969 0.0 0.0 -105118.746 -1826.1114244489931 -0.0
1630.0 AL TA 0.04 0.96 -107201.9 37455.0 88.746545 -144656.86835 0.0 0.0 -104903.52799999999 -2276.0857346273237 -0.0
1630.0 AL TA 0.05 0.95 -107406.2 37585.93 88.952253 -144992.17239 0.0 0.0 -104688.31 -2690.40463500279 -0.0
1630.0 AL TA 0.06 0.94 -107581.8 37716.98 89.140343 -145298.75909 0.0 0.0 -104473.09199999999 -3076.0079893049797 -0.0
1630.0 AL TA 0.07 0.93 -107733.1 37848.15 89.313627 -145581.21201 0.0 0.0 -104257.874 -3437.476069414058 -0.0
1630.0 AL TA 0.08 0.92 -107863.3 37979.43 89.474098 -145842.77974 0.0 0.0 -104042.65599999999 -3778.0595447589694 -0.0
1640.0 AL TA 0.0 1.0 -106640.8 37229.01 87.725479 -143869.78556000002 0.0 0.0 -106640.8 0.0 -0.0
1640.0 AL TA 1.0 0.0 -85070.53 50870.22 82.890704 -135940.75456 0.0 0.0 -85070.53 0.0 -0.0
1640.0 AL TA 0.01 0.99 -107194.4 37359.69 88.142757 -144554.12148 0.0 0.0 -106425.09730000001 -763.6246021251403 -0.0
1640.0 AL TA 0.02 0.98 -107557.6 37490.49 88.443931 -145048.04684000002 0.0 0.0 -106209.3946 -1336.839780077504 -0.0
1640.0 AL TA 0.03 0.97 -107847.8 37621.4 88.700751 -145469.23163999998 0.0 0.0 -105993.6919 -1837.3145620223 -0.0
1640.0 AL TA 0.04 0.96 -108090.2 37752.43 88.928461 -145842.67604 0.0 0.0 -105777.98920000001 -2290.0494507906815 -0.0
1640.0 AL TA 0.05 0.95 -108296.7 37883.58 89.134297 -146180.24708 0.0 0.0 -105562.28649999999 -2706.910184910783 -0.0
1640.0 AL TA 0.06 0.94 -108474.1 38014.84 89.322516 -146488.92624 0.0 0.0 -105346.5838 -3094.8792039632926 -0.0
1640.0 AL TA 0.07 0.93 -108627.1 38146.21 89.495928 -146773.32192000002 0.0 0.0 -105130.8811 -3458.5648796558626 -0.0
1640.0 AL TA 0.08 0.92 -108759.0 38277.7 89.656528 -147036.70591999998 0.0 0.0 -104915.1784 -3801.2378241746687 -0.0
1650.0 AL TA 0.0 1.0 -107518.9 37525.88 87.905947 -145044.81255 0.0 0.0 -107518.9 0.0 -0.0
1650.0 AL TA 1.0 0.0 -85900.41 51187.78 83.083749 -137088.18585 0.0 0.0 -85900.41 0.0 -0.0
1650.0 AL TA 0.01 0.99 -108076.8 37656.77 88.323351 -145733.52915000002 0.0 0.0 -107302.7151 -768.2808496990742 -0.0
1650.0 AL TA 0.02 0.98 -108442.9 37787.78 88.624651 -146230.67415 0.0 0.0 -107086.5302 -1344.9912421511474 -0.0
1650.0 AL TA 0.03 0.97 -108735.7 37918.89 88.881597 -146654.63505 0.0 0.0 -106870.3453 -1848.5176995956067 -0.0
1650.0 AL TA 0.04 0.96 -108980.4 38050.13 89.109433 -147030.56445 0.0 0.0 -106654.1604 -2304.013166954039 -0.0
1650.0 AL TA 0.05 0.95 -109188.9 38181.48 89.315395 -147370.40175 0.0 0.0 -106437.97549999999 -2723.4157348187755 -0.0
1650.0 AL TA 0.06 0.94 -109368.2 38312.95 89.503739 -147681.16934999998 0.0 0.0 -106221.7906 -3113.7504186216056 -0.0
1650.0 AL TA 0.07 0.93 -109523.0 38444.53 89.677277 -147967.50705000001 0.0 0.0 -106005.60569999999 -3479.6536898976665 -0.0
1650.0 AL TA 0.08 0.92 -109656.5 38576.23 89.838002 -148232.7033 0.0 0.0 -105789.42079999999 -3824.416103590368 -0.0
1660.0 AL TA 0.0 1.0 -108398.9 37823.03 88.085495 -146221.92169999998 0.0 0.0 -108398.9 0.0 -0.0
1660.0 AL TA 1.0 0.0 -86732.2 51505.34 83.275625 -138237.5375 0.0 0.0 -86732.2 0.0 -0.0
1660.0 AL TA 0.01 0.99 -108960.9 37954.13 88.503021 -146915.01486 0.0 0.0 -108182.233 -772.937097273008 -0.0
1660.0 AL TA 0.02 0.98 -109330.0 38085.33 88.804445 -147415.3787 0.0 0.0 -107965.56599999999 -1353.1427042247908 -0.0
1660.0 AL TA 0.03 0.97 -109625.5 38216.66 89.061514 -147842.11324 0.0 0.0 -107748.89899999999 -1859.7208371689135 -0.0
1660.0 AL TA 0.04 0.96 -109872.4 38348.1 89.289473 -148220.52518 0.0 0.0 -107532.23199999999 -2317.9768831173974 -0.0
1660.0 AL TA 0.05 0.95 -110083.0 38479.65 89.495558 -148562.62628 0.0 0.0 -107315.56499999999 -2739.921284726768 -0.0
1660.0 AL TA 0.06 0.94 -110264.2 38611.32 89.684026 -148875.48316 0.0 0.0 -107098.89799999999 -3132.6216332799186 -0.0
1660.0 AL TA 0.07 0.93 -110420.7 38743.11 89.857687 -149163.76042 0.0 0.0 -106882.23099999999 -3500.742500139471 -0.0
1660.0 AL TA 0.08 0.92 -110555.8 38875.01 90.018536 -149430.76976 0.0 0.0 -106665.564 -3847.594383006068 -0.0
1670.0 AL TA 0.0 1.0 -109280.6 38120.47 88.264134 -147401.10378 0.0 0.0 -109280.6 0.0 -0.0
1670.0 AL TA 1.0 0.0 -87565.91 51822.88 83.466346 -139388.79782 0.0 0.0 -87565.91 0.0 -0.0
1670.0 AL TA 0.01 0.99 -109846.8 38251.76 88.681782 -148098.57594 0.0 0.0 -109063.45310000001 -777.5933448469418 -0.0
1670.0 AL TA 0.02 0.98 -110219.0 38383.17 88.983326 -148602.15442 0.0 0.0 -108846.30619999999 -1361.2941662984342 -0.0
1670.0 AL TA 0.03 0.97 -110517.0 38514.69 89.240516 -149031.66172 0.0 0.0 -108629.1593 -1870.9239747422203 -0.0
1670.0 AL TA 0.04 0.96 -110766.2 38646.33 89.468596 -149412.55532 0.0 0.0 -108412.0124 -2331.940599280755 -0.0
1670.0 AL TA 0.05 0.95 -110978.8 38778.09 89.674802 -149756.91934 0.0 0.0 -108194.86550000001 -2756.426834634761 -0.0
1670.0 AL TA 0.06 0.94 -111161.9 38909.96 89.863391 -150071.86297 0.0 0.0 -107977.7186 -3151.492847938231 -0.0
1670.0 AL TA 0.07 0.93 -111320.1 39041.95 90.037173 -150362.07890999998 0.0 0.0 -107760.5717 -3521.8313103812748 -0.0
1670.0 AL TA 0.08 0.92 -111456.8 39174.05 90.198142 -150630.89714000002 0.0 0.0 -107543.42480000002 -3870.772662421767 -0.0
1680.0 AL TA 0.0 1.0 -110164.2 38418.19 88.441879 -148582.35672 0.0 0.0 -110164.2 0.0 -0.0
1680.0 AL TA 1.0 0.0 -88401.53 52140.43 83.655926 -140541.95567999998 0.0 0.0 -88401.53 0.0 -0.0
1680.0 AL TA 0.01 0.99 -110734.5 38549.68 88.859645 -149284.2036 0.0 0.0 -109946.57329999999 -782.2495924208755 -0.0
1680.0 AL TA 0.02 0.98 -111109.7 38681.29 89.161307 -149790.99576 0.0 0.0 -109728.9466 -1369.4456283720774 -0.0
1680.0 AL TA 0.03 0.97 -111410.3 38813.01 89.418616 -150223.27488 0.0 0.0 -109511.31989999999 -1882.1271123155268 -0.0
1680.0 AL TA 0.04 0.96 -111661.8 38944.85 89.646814 -150606.64752 0.0 0.0 -109293.6932 -2345.904315444113 -0.0
1680.0 AL TA 0.05 0.95 -111876.5 39076.8 89.853138 -150953.27184 0.0 0.0 -109076.06649999999 -2772.932384542753 -0.0
1680.0 AL TA 0.06 0.94 -112061.4 39208.87 90.041846 -151270.30128 0.0 0.0 -108858.4398 -3170.3640625965436 -0.0
1680.0 AL TA 0.07 0.93 -112221.4 39341.06 90.215746 -151562.45328 0.0 0.0 -108640.81309999998 -3542.9201206230787 -0.0
1680.0 AL TA 0.08 0.92 -112359.7 39473.36 90.376834 -151833.08112000002 0.0 0.0 -108423.1864 -3893.9509418374655 -0.0
1690.0 AL TA 0.0 1.0 -111049.5 38716.2 88.618742 -149765.67398 0.0 0.0 -111049.5 0.0 -0.0
1690.0 AL TA 1.0 0.0 -89239.03 52457.97 83.844379 -141697.00051 0.0 0.0 -89239.03 0.0 -0.0
1690.0 AL TA 0.01 0.99 -111624.0 38847.89 89.036624 -150471.89456000002 0.0 0.0 -110831.3953 -786.9058399948093 -0.0
1690.0 AL TA 0.02 0.98 -112002.2 38979.69 89.338402 -150981.89938000002 0.0 0.0 -110613.2906 -1377.5970904457206 -0.0
1690.0 AL TA 0.03 0.97 -112305.3 39111.61 89.595827 -151416.94763 0.0 0.0 -110395.1859 -1893.3302498888336 -0.0
1690.0 AL TA 0.04 0.96 -112559.2 39243.64 89.824141 -151802.79829 0.0 0.0 -110177.08119999999 -2359.8680316074706 -0.0
1690.0 AL TA 0.05 0.95 -112775.9 39375.79 90.030581 -152151.68189 0.0 0.0 -109958.97649999999 -2789.4379344507456 -0.0
1690.0 AL TA 0.06 0.94 -112962.7 39508.06 90.219404 -152470.79275999998 0.0 0.0 -109740.8718 -3189.2352772548566 -0.0
1690.0 AL TA 0.07 0.93 -113124.4 39640.44 90.393421 -152764.88149 0.0 0.0 -109522.76709999998 -3564.0089308648826 -0.0
1690.0 AL TA 0.08 0.92 -113264.4 39772.94 90.554624 -153037.31456 0.0 0.0 -109304.6624 -3917.129221253165 -0.0
1700.0 AL TA 0.0 1.0 -111936.5 39014.51 88.794737 -150951.0529 0.0 0.0 -111936.5 0.0 -0.0
1700.0 AL TA 1.0 0.0 -90078.41 52775.51 84.031718 -142853.92059999998 0.0 0.0 -90078.41 0.0 -0.0
1700.0 AL TA 0.01 0.99 -112515.3 39146.39 89.212732 -151661.6444 0.0 0.0 -111717.9191 -791.5620875687431 -0.0
