T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 B TA 0.0 1.0 -12364.82 -0.00107989 41.471806 -12364.8189589 0.0 0.0 -12364.82 0.0 -0.0
298.15 B TA 1.0 0.0 2357.925 20000.0 59.171805 -17642.073660749997 0.0 0.0 2357.925 0.0 -0.0
298.15 B TA 0.01 0.99 -12763.71 79.21891 43.075382 -12842.925143299999 0.0 0.0 -12217.59255 -138.82602141683572 -0.0
298.15 B TA 0.02 0.98 -13056.12 160.8789 44.330048 -13217.003811199998 0.0 0.0 -12070.365099999999 -243.03584172567548 -0.0
298.15 B TA 0.03 0.97 -13306.25 244.9789 45.451052 -13551.231153799998 0.0 0.0 -11923.137649999999 -334.02154674813943 -0.0
298.15 B TA 0.04 0.96 -13527.72 331.5189 46.484126 -13859.2421669 0.0 0.0 -11775.910199999998 -416.3281974105132 -0.0
298.15 B TA 0.05 0.95 -13727.01 420.4989 47.450977 -14147.50879255 0.0 0.0 -11628.68275 -492.11297050679866 -0.0
298.15 B TA 0.06 0.94 -13907.92 511.9189 48.364377 -14419.839002549998 0.0 0.0 -11481.455299999998 -562.6452650375949 -0.0
298.15 B TA 0.07 0.93 -14072.97 605.7789 49.232757 -14678.74649955 0.0 0.0 -11334.22785 -628.7628773593874 -0.0
298.15 B TA 0.08 0.92 -14223.94 702.0789 50.062098 -14926.014518699998 0.0 0.0 -11187.0004 -691.0604007790716 -0.0
298.15 B TA 0.09 0.91 -14362.16 800.8188 50.856867 -15162.97489605 0.0 0.0 -11039.772949999999 -749.9816351924776 -0.0
298.15 B TA 0.1 0.9 -14488.66 901.9988 51.620523 -15390.658932449998 0.0 0.0 -10892.5455 -805.870345271772 -0.0
298.15 B TA 0.11 0.89 -14604.27 1005.619 52.355822 -15609.8883293 0.0 0.0 -10745.31805 -859.000492370776 -0.0
298.15 B TA 0.12 0.88 -14709.65 1111.679 53.065011 -15821.333029649999 0.0 0.0 -10598.0906 -909.5953759771999 -0.0
298.15 B TA 0.13 0.87 -14805.37 1220.179 53.749954 -16025.5487851 0.0 0.0 -10450.86315 -957.840348132521 -0.0
298.15 B TA 0.14 0.86 -14891.89 1331.119 54.412225 -16223.004883749998 0.0 0.0 -10303.635699999999 -1003.8915915105914 -0.0
298.15 B TA 0.15 0.85 -14969.6 1444.499 55.053163 -16414.10054845 0.0 0.0 -10156.40825 -1047.882375954332 -0.0
298.15 B TA 0.16 0.84 -15038.86 1560.319 55.673925 -16599.180738749998 0.0 0.0 -10009.1808 -1089.9276385420173 -0.0
298.15 B TA 0.17 0.83 -15099.97 1678.579 56.275517 -16778.545393549997 0.0 0.0 -9861.953349999998 -1130.1274135160918 -0.0
298.15 B TA 0.18 0.82 -15153.18 1799.279 56.858824 -16952.4583756 0.0 0.0 -9714.725900000001 -1168.5694517045056 -0.0
298.15 B TA 0.19 0.81 -15198.73 1922.419 57.424623 -17121.15134745 0.0 0.0 -9567.498450000001 -1205.3312553507326 -0.0
298.15 B TA 0.2 0.8 -15236.83 2047.999 57.973609 -17284.83152335 0.0 0.0 -9420.271 -1240.4816826440385 -0.0
298.15 B TA 0.21 0.79 -15267.66 2176.019 58.5064 -17443.683159999997 0.0 0.0 -9273.04355 -1274.08222978906 -0.0
298.15 B TA 0.22 0.78 -15291.39 2306.479 59.02355 -17597.8714325 0.0 0.0 -9125.8161 -1306.188067542519 -0.0
298.15 B TA 0.23 0.77 -15308.17 2439.379 59.525562 -17747.5463103 0.0 0.0 -8978.588650000002 -1336.8488881016199 -0.0
298.15 B TA 0.24 0.76 -15318.12 2574.719 60.012885 -17892.841662749997 0.0 0.0 -8831.3612 -1366.1096036088943 -0.0
298.15 B TA 0.25 0.75 -15321.38 2712.499 60.485929 -18033.87973135 0.0 0.0 -8684.133749999999 -1394.0109271940482 -0.0
298.15 B TA 0.26 0.74 -15318.05 2852.719 60.945068 -18170.7720242 0.0 0.0 -8536.9063 -1420.5898600324033 -0.0
298.15 B TA 0.27 0.73 -15308.24 2995.379 61.39064 -18303.619315999997 0.0 0.0 -8389.678849999998 -1445.8801024662048 -0.0
298.15 B TA 0.28 0.72 -15292.04 3140.479 61.822955 -18432.514033249998 0.0 0.0 -8242.451399999998 -1469.9124032129614 -0.0
298.15 B TA 0.29 0.71 -15269.52 3288.019 62.242294 -18557.539956099998 0.0 0.0 -8095.22395 -1492.7148576699553 -0.0
298.15 B TA 0.3 0.7 -15240.78 3437.999 62.648918 -18678.7749017 0.0 0.0 -7947.996499999999 -1514.313164037668 -0.0
298.15 B TA 0.31 0.69 -15205.87 3590.419 63.043062 -18796.2889353 0.0 0.0 -7800.769049999998 -1534.730844232385 -0.0
298.15 B TA 0.32 0.68 -15164.87 3745.279 63.424943 -18910.146755449998 0.0 0.0 -7653.541599999999 -1553.9894352015579 -0.0
298.15 B TA 0.33 0.67 -15117.83 3902.579 63.79476 -19020.407693999998 0.0 0.0 -7506.314149999999 -1572.1086551954763 -0.0
298.15 B TA 0.34 0.66 -15064.81 4062.319 64.152693 -19127.12541795 0.0 0.0 -7359.086699999998 -1589.1065487133012 -0.0
298.15 B TA 0.35 0.65 -15005.85 4224.499 64.49891 -19230.350016499997 0.0 0.0 -7211.8592499999995 -1604.9996131775667 -0.0
298.15 B TA 0.36 0.64 -14941.01 4389.119 64.833562 -19330.126510299997 0.0 0.0 -7064.6318 -1619.8029098595373 -0.0
298.15 B TA 0.37 0.63 -14870.32 4556.179 65.156786 -19426.495745899996 0.0 0.0 -6917.40435 -1633.5301611487748 -0.0
298.15 B TA 0.38 0.62 -14793.82 4725.679 65.468709 -19519.49558835 0.0 0.0 -6770.1769 -1646.193835911596 -0.0
298.15 B TA 0.39 0.61 -14711.54 4897.619 65.769444 -19609.159728599996 0.0 0.0 -6622.949449999999 -1657.8052243977716 -0.0
298.15 B TA 0.4 0.6 -14623.52 5071.999 66.059092 -19695.5182798 0.0 0.0 -6475.722 -1668.3745039196444 -0.0
298.15 B TA 0.41 0.59 -14529.78 5248.819 66.337747 -19778.599268049995 0.0 0.0 -6328.494550000001 -1677.9107963326926 -0.0
298.15 B TA 0.42 0.58 -14430.35 5428.079 66.60549 -19858.426843499998 0.0 0.0 -6181.267100000001 -1686.4222181834425 -0.0
298.15 B TA 0.43 0.57 -14325.24 5609.779 66.862392 -19935.022174799997 0.0 0.0 -6034.039650000001 -1693.9159242532326 -0.0
298.15 B TA 0.44 0.56 -14214.49 5793.919 67.108516 -20008.404045399995 0.0 0.0 -5886.8122 -1700.3981451097393 -0.0
298.15 B TA 0.45 0.55 -14098.09 5980.499 67.343917 -20078.58885355 0.0 0.0 -5739.584750000001 -1705.8742191782392 -0.0
298.15 B TA 0.46 0.54 -13976.07 6169.519 67.568638 -20145.5894197 0.0 0.0 -5592.3573 -1710.3486197582595 -0.0
298.15 B TA 0.47 0.53 -13848.44 6360.979 67.782718 -20209.417371699998 0.0 0.0 -5445.12985 -1713.8249773357109 -0.0
298.15 B TA 0.48 0.52 -13715.2 6554.879 67.986183 -20270.080461449998 0.0 0.0 -5297.9024 -1716.3060974737868 -0.0
298.15 B TA 0.49 0.51 -13576.37 6751.219 68.179054 -20327.584950099998 0.0 0.0 -5150.6749500000005 -1717.7939745058845 -0.0
298.15 B TA 0.5 0.5 -13431.94 6949.999 68.361343 -20381.93441545 0.0 0.0 -5003.4475 -1718.289801199083 -0.0
298.15 B TA 0.51 0.49 -13281.91 7151.218 68.533054 -20433.1300501 0.0 0.0 -4856.220049999999 -1717.7939745058845 -0.0
298.15 B TA 0.52 0.48 -13126.29 7354.878 68.694183 -20481.170661449996 0.0 0.0 -4708.9926 -1716.3060974737868 -0.0
298.15 B TA 0.53 0.47 -12965.07 7560.978 68.844718 -20526.0526717 0.0 0.0 -4561.765149999999 -1713.8249773357109 -0.0
298.15 B TA 0.54 0.46 -12798.25 7769.518 68.984638 -20567.7698197 0.0 0.0 -4414.537699999999 -1710.3486197582595 -0.0
298.15 B TA 0.55 0.45 -12625.82 7980.498 69.113917 -20606.31435355 0.0 0.0 -4267.310249999999 -1705.8742191782392 -0.0
298.15 B TA 0.56 0.44 -12447.76 8193.918 69.232516 -20641.6746454 0.0 0.0 -4120.082799999999 -1700.3981451097393 -0.0
298.15 B TA 0.57 0.43 -12264.06 8409.778 69.340391 -20673.837576649996 0.0 0.0 -3972.8553500000007 -1693.9159242532328 -0.0
298.15 B TA 0.58 0.42 -12074.71 8628.078 69.437489 -20702.78734535 0.0 0.0 -3825.6279 -1686.4222181834425 -0.0
298.15 B TA 0.59 0.41 -11879.69 8848.818 69.523747 -20728.50516805 0.0 0.0 -3678.40045 -1677.910796332693 -0.0
