T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CA NA 0.0 1.0 -15295.09 0.001639839 51.300004 -15295.0961926 0.0 0.0 -15295.09 0.0 -0.0
298.15 CA NA 1.0 0.0 -11663.79 1405.08 43.8332 -13068.868579999998 0.0 0.0 -11663.79 0.0 -0.0
298.15 CA NA 0.01 0.99 -14956.95 571.0066 52.081031 -15527.95939265 0.0 0.0 -15258.777 -138.82602141683572 -0.0
298.15 CA NA 0.02 0.98 -14593.1 1130.76 52.738074 -15723.856763099999 0.0 0.0 -15222.464 -243.03584172567548 -0.0
298.15 CA NA 0.03 0.97 -14224.92 1679.262 53.342884 -15904.180864599999 0.0 0.0 -15186.150999999998 -334.02154674813943 -0.0
298.15 CA NA 0.04 0.96 -13856.96 2216.512 53.910703 -16073.476099449997 0.0 0.0 -15149.838 -416.3281974105132 -0.0
298.15 CA NA 0.05 0.95 -13491.39 2742.511 54.448768 -16233.9001792 0.0 0.0 -15113.525 -492.11297050679866 -0.0
298.15 CA NA 0.06 0.94 -13129.46 3257.258 54.961336 -16386.7223284 0.0 0.0 -15077.212 -562.6452650375949 -0.0
298.15 CA NA 0.07 0.93 -12772.03 3760.753 55.451216 -16532.7800504 0.0 0.0 -15040.899 -628.7628773593874 -0.0
298.15 CA NA 0.08 0.92 -12419.67 4252.997 55.920404 -16672.6684526 0.0 0.0 -15004.586000000001 -691.0604007790716 -0.0
298.15 CA NA 0.09 0.91 -12072.84 4733.989 56.370387 -16806.83088405 0.0 0.0 -14968.273 -749.9816351924776 -0.0
298.15 CA NA 0.1 0.9 -11731.88 5203.729 56.802319 -16935.611409849997 0.0 0.0 -14931.960000000001 -805.870345271772 -0.0
298.15 CA NA 0.11 0.89 -11397.07 5662.218 57.217118 -17059.283731699998 0.0 0.0 -14895.647 -859.000492370776 -0.0
298.15 CA NA 0.12 0.88 -11068.62 6109.456 57.615534 -17178.071462099997 0.0 0.0 -14859.334 -909.5953759771999 -0.0
298.15 CA NA 0.13 0.87 -10746.72 6545.442 57.998188 -17292.159752199997 0.0 0.0 -14823.021 -957.840348132521 -0.0
298.15 CA NA 0.14 0.86 -10431.53 6970.176 58.365604 -17401.704832599997 0.0 0.0 -14786.707999999999 -1003.8915915105914 -0.0
298.15 CA NA 0.15 0.85 -10123.18 7383.658 58.71823 -17506.8402745 0.0 0.0 -14750.394999999999 -1047.882375954332 -0.0
298.15 CA NA 0.16 0.84 -9821.791 7785.889 59.056449 -17607.68026935 0.0 0.0 -14714.082 -1089.9276385420173 -0.0
298.15 CA NA 0.17 0.83 -9527.457 8176.869 59.380599 -17704.325591849996 0.0 0.0 -14677.769 -1130.1274135160918 -0.0
298.15 CA NA 0.18 0.82 -9240.267 8556.597 59.690972 -17796.8633018 0.0 0.0 -14641.456000000002 -1168.5694517045056 -0.0
298.15 CA NA 0.19 0.81 -8960.299 8925.073 59.987831 -17885.37181265 0.0 0.0 -14605.143000000002 -1205.3312553507326 -0.0
298.15 CA NA 0.2 0.8 -8687.622 9282.297 60.271404 -17969.919102599997 0.0 0.0 -14568.83 -1240.4816826440385 -0.0
298.15 CA NA 0.21 0.79 -8422.297 9628.27 60.541899 -18050.56718685 0.0 0.0 -14532.517 -1274.08222978906 -0.0
298.15 CA NA 0.22 0.78 -8164.379 9962.992 60.7995 -18127.370925 0.0 0.0 -14496.204000000002 -1306.188067542519 -0.0
298.15 CA NA 0.23 0.77 -7913.919 10286.46 61.044374 -18200.3801081 0.0 0.0 -14459.891000000001 -1336.8488881016199 -0.0
298.15 CA NA 0.24 0.76 -7670.96 10598.68 61.276673 -18269.64005495 0.0 0.0 -14423.578000000001 -1366.1096036088943 -0.0
298.15 CA NA 0.25 0.75 -7435.545 10899.65 61.496531 -18335.19071765 0.0 0.0 -14387.265000000001 -1394.0109271940482 -0.0
298.15 CA NA 0.26 0.74 -7207.709 11189.36 61.704075 -18397.06996125 0.0 0.0 -14350.952 -1420.5898600324033 -0.0
298.15 CA NA 0.27 0.73 -6987.486 11467.82 61.899415 -18455.310582249997 0.0 0.0 -14314.639 -1445.8801024662048 -0.0
298.15 CA NA 0.28 0.72 -6774.908 11735.04 62.082656 -18509.9438864 0.0 0.0 -14278.326000000001 -1469.9124032129614 -0.0
298.15 CA NA 0.29 0.71 -6570.001 11991.0 62.253893 -18560.998197949997 0.0 0.0 -14242.012999999999 -1492.7148576699553 -0.0
298.15 CA NA 0.3 0.7 -6372.793 12235.71 62.41321 -18608.498561499997 0.0 0.0 -14205.7 -1514.313164037668 -0.0
298.15 CA NA 0.31 0.69 -6183.307 12469.16 62.560687 -18652.468829049998 0.0 0.0 -14169.386999999999 -1534.730844232385 -0.0
298.15 CA NA 0.32 0.68 -6001.563 12691.37 62.696396 -18692.930467399998 0.0 0.0 -14133.073999999999 -1553.9894352015579 -0.0
298.15 CA NA 0.33 0.67 -5827.582 12902.32 62.820404 -18729.9034526 0.0 0.0 -14096.760999999999 -1572.1086551954763 -0.0
298.15 CA NA 0.34 0.66 -5661.382 13102.02 62.932771 -18763.40567365 0.0 0.0 -14060.448 -1589.1065487133012 -0.0
298.15 CA NA 0.35 0.65 -5502.979 13290.47 63.033551 -18793.45323065 0.0 0.0 -14024.135000000002 -1604.9996131775667 -0.0
298.15 CA NA 0.36 0.64 -5352.389 13467.67 63.122797 -18820.06192555 0.0 0.0 -13987.822 -1619.8029098595373 -0.0
298.15 CA NA 0.37 0.63 -5209.624 13633.62 63.200553 -18843.244876949997 0.0 0.0 -13951.509 -1633.5301611487748 -0.0
298.15 CA NA 0.38 0.62 -5074.698 13788.32 63.266862 -18863.0149053 0.0 0.0 -13915.196 -1646.193835911596 -0.0
298.15 CA NA 0.39 0.61 -4947.622 13931.76 63.321761 -18879.38304215 0.0 0.0 -13878.883000000002 -1657.8052243977716 -0.0
298.15 CA NA 0.4 0.6 -4828.406 14063.95 63.365284 -18892.3594246 0.0 0.0 -13842.57 -1668.3745039196444 -0.0
298.15 CA NA 0.41 0.59 -4717.06 14184.89 63.397463 -18901.953593449998 0.0 0.0 -13806.257000000001 -1677.9107963326926 -0.0
298.15 CA NA 0.42 0.58 -4613.59 14294.58 63.418324 -18908.1733006 0.0 0.0 -13769.944 -1686.4222181834425 -0.0
298.15 CA NA 0.43 0.57 -4518.005 14393.02 63.427892 -18911.0259998 0.0 0.0 -13733.631000000001 -1693.9159242532326 -0.0
298.15 CA NA 0.44 0.56 -4430.31 14480.21 63.426187 -18910.51765405 0.0 0.0 -13697.318000000001 -1700.3981451097393 -0.0
298.15 CA NA 0.45 0.55 -4350.511 14556.14 63.413226 -18906.653331899997 0.0 0.0 -13661.005000000001 -1705.8742191782392 -0.0
298.15 CA NA 0.46 0.54 -4278.613 14620.82 63.389027 -18899.43840005 0.0 0.0 -13624.692000000003 -1710.3486197582595 -0.0
298.15 CA NA 0.47 0.53 -4214.619 14674.26 63.353599 -18888.87554185 0.0 0.0 -13588.379 -1713.8249773357109 -0.0
298.15 CA NA 0.48 0.52 -4158.532 14716.44 63.306953 -18874.96803695 0.0 0.0 -13552.066 -1716.3060974737868 -0.0
298.15 CA NA 0.49 0.51 -4110.354 14747.36 63.249096 -18857.717972399998 0.0 0.0 -13515.753 -1717.7939745058845 -0.0
298.15 CA NA 0.5 0.5 -4070.085 14767.04 63.180031 -18837.12624265 0.0 0.0 -13479.44 -1718.289801199083 -0.0
298.15 CA NA 0.51 0.49 -4037.727 14775.47 63.09976 -18813.193444 0.0 0.0 -13443.127 -1717.7939745058845 -0.0
298.15 CA NA 0.52 0.48 -4013.28 14772.64 63.008281 -18785.918980149996 0.0 0.0 -13406.814 -1716.3060974737868 -0.0
298.15 CA NA 0.53 0.47 -3996.741 14758.56 62.905591 -18755.30195665 0.0 0.0 -13370.501 -1713.8249773357109 -0.0
298.15 CA NA 0.54 0.46 -3988.109 14733.23 62.791682 -18721.3399883 0.0 0.0 -13334.188000000002 -1710.3486197582595 -0.0
298.15 CA NA 0.55 0.45 -3987.381 14696.65 62.666546 -18684.0306899 0.0 0.0 -13297.875 -1705.8742191782392 -0.0
298.15 CA NA 0.56 0.44 -3994.553 14648.82 62.53017 -18643.370185499996 0.0 0.0 -13261.562000000002 -1700.3981451097393 -0.0
298.15 CA NA 0.57 0.43 -4009.622 14589.73 62.382539 -18599.35400285 0.0 0.0 -13225.249 -1693.9159242532328 -0.0
298.15 CA NA 0.58 0.42 -4032.581 14519.4 62.223636 -18551.977073399998 0.0 0.0 -13188.936000000002 -1686.4222181834425 -0.0
298.15 CA NA 0.59 0.41 -4063.424 14437.81 62.053438 -18501.2325397 0.0 0.0 -13152.623 -1677.910796332693 -0.0
298.15 CA NA 0.6 0.4 -4102.145 14344.97 61.871924 -18447.1141406 0.0 0.0 -13116.310000000001 -1668.3745039196444 -0.0
298.15 CA NA 0.61 0.39 -4148.735 14240.88 61.679064 -18389.612931599997 0.0 0.0 -13079.997 -1657.8052243977716 -0.0
298.15 CA NA 0.62 0.38 -4203.185 14125.54 61.474829 -18328.72026635 0.0 0.0 -13043.684000000001 -1646.193835911596 -0.0
298.15 CA NA 0.63 0.37 -4265.485 13998.94 61.259184 -18264.425709599996 0.0 0.0 -13007.371 -1633.5301611487748 -0.0
298.15 CA NA 0.64 0.36 -4335.623 13861.1 61.032092 -18196.718229799997 0.0 0.0 -12971.058 -1619.8029098595373 -0.0
298.15 CA NA 0.65 0.35 -4413.587 13712.0 60.79351 -18125.585006499998 0.0 0.0 -12934.745 -1604.9996131775667 -0.0
