T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CE SB 0.0 1.0 1799.574 19874.0 60.621918 -18074.424851699998 0.0 0.0 1799.574 0.0 -0.0
298.15 CE SB 1.0 0.0 -19160.05 1966.432 70.858565 -21126.48115475 0.0 0.0 -19160.05 0.0 -0.0
298.15 CE SB 0.01 0.99 -919.5209 17324.25 61.18991 -18243.771666499997 0.0 0.0 1589.97776 -138.82602141683572 -0.0
298.15 CE SB 0.02 0.98 -3556.108 14822.39 61.641798 -18378.502073699998 0.0 0.0 1380.38152 -243.03584172567548 -0.0
298.15 CE SB 0.03 0.97 -6131.578 12368.43 62.049332 -18500.008335799997 0.0 0.0 1170.78528 -334.02154674813943 -0.0
298.15 CE SB 0.04 0.96 -8650.476 9962.359 62.427757 -18612.83574955 0.0 0.0 961.18904 -416.3281974105132 -0.0
298.15 CE SB 0.05 0.95 -11114.96 7604.181 62.784307 -18719.141132049997 0.0 0.0 751.5927999999999 -492.11297050679866 -0.0
298.15 CE SB 0.06 0.94 -13526.3 5293.894 63.12324 -18820.194005999998 0.0 0.0 541.99656 -562.6452650375949 -0.0
298.15 CE SB 0.07 0.93 -15885.33 3031.5 63.447367 -18916.83247105 0.0 0.0 332.40031999999997 -628.7628773593874 -0.0
298.15 CE SB 0.08 0.92 -18192.65 816.9979 63.75868 -19009.650442 0.0 0.0 122.80408000000011 -691.0604007790716 -0.0
298.15 CE SB 0.09 0.91 -20448.7 -1349.612 64.05867 -19099.0924605 0.0 0.0 -86.79215999999974 -749.9816351924776 -0.0
298.15 CE SB 0.1 0.9 -22653.83 -3468.329 64.348488 -19185.5016972 0.0 0.0 -296.38840000000005 -805.870345271772 -0.0
298.15 CE SB 0.11 0.89 -24808.31 -5539.153 64.629054 -19269.1524501 0.0 0.0 -505.9846400000001 -859.000492370776 -0.0
298.15 CE SB 0.12 0.88 -26912.35 -7562.086 64.901117 -19350.268033549997 0.0 0.0 -715.5808799999995 -909.5953759771999 -0.0
298.15 CE SB 0.13 0.87 -28966.16 -9537.125 65.165298 -19429.0335987 0.0 0.0 -925.1771200000001 -957.840348132521 -0.0
298.15 CE SB 0.14 0.86 -30969.88 -11464.27 65.422121 -19505.60537615 0.0 0.0 -1134.7733600000001 -1003.8915915105914 -0.0
298.15 CE SB 0.15 0.85 -32923.65 -13343.53 65.672034 -19580.116937099996 0.0 0.0 -1344.3695999999998 -1047.882375954332 -0.0
298.15 CE SB 0.16 0.84 -34827.57 -15174.89 65.915421 -19652.682771149997 0.0 0.0 -1553.96584 -1089.9276385420173 -0.0
298.15 CE SB 0.17 0.83 -36681.76 -16958.36 66.152618 -19723.4030567 0.0 0.0 -1763.5620800000002 -1130.1274135160918 -0.0
298.15 CE SB 0.18 0.82 -38486.31 -18693.94 66.38392 -19792.365748 0.0 0.0 -1973.1583199999995 -1168.5694517045056 -0.0
298.15 CE SB 0.19 0.81 -40241.27 -20381.63 66.609587 -19859.64836405 0.0 0.0 -2182.7545599999994 -1205.3312553507326 -0.0
298.15 CE SB 0.2 0.8 -41946.74 -22021.42 66.829848 -19925.319181199997 0.0 0.0 -2392.3508 -1240.4816826440385 -0.0
298.15 CE SB 0.21 0.79 -43602.76 -23613.32 67.044912 -19989.440512799996 0.0 0.0 -2601.9470399999996 -1274.08222978906 -0.0
298.15 CE SB 0.22 0.78 -45209.39 -25157.33 67.254962 -20052.0669203 0.0 0.0 -2811.54328 -1306.188067542519 -0.0
298.15 CE SB 0.23 0.77 -46766.69 -26653.44 67.460165 -20113.24819475 0.0 0.0 -3021.1395199999997 -1336.8488881016199 -0.0
298.15 CE SB 0.24 0.76 -48274.7 -28101.67 67.660673 -20173.029654949998 0.0 0.0 -3230.7357599999996 -1366.1096036088943 -0.0
298.15 CE SB 0.25 0.75 -49733.45 -29502.0 67.856621 -20231.45155115 0.0 0.0 -3440.332 -1394.0109271940482 -0.0
298.15 CE SB 0.26 0.74 -51142.99 -30854.44 68.048134 -20288.5511521 0.0 0.0 -3649.92824 -1420.5898600324033 -0.0
298.15 CE SB 0.27 0.73 -52503.35 -32158.98 68.235324 -20344.3618506 0.0 0.0 -3859.52448 -1445.8801024662048 -0.0
298.15 CE SB 0.28 0.72 -53814.55 -33415.64 68.418295 -20398.91465425 0.0 0.0 -4069.1207200000003 -1469.9124032129614 -0.0
298.15 CE SB 0.29 0.71 -55076.64 -34624.4 68.597142 -20452.2378873 0.0 0.0 -4278.716959999999 -1492.7148576699553 -0.0
298.15 CE SB 0.3 0.7 -56289.63 -35785.27 68.771949 -20504.35659435 0.0 0.0 -4488.3132 -1514.313164037668 -0.0
298.15 CE SB 0.31 0.69 -57453.54 -36898.25 68.942797 -20555.29492555 0.0 0.0 -4697.909439999999 -1534.730844232385 -0.0
298.15 CE SB 0.32 0.68 -58568.41 -37963.33 69.109757 -20605.07404955 0.0 0.0 -4907.50568 -1553.9894352015579 -0.0
298.15 CE SB 0.33 0.67 -59634.24 -38980.52 69.272896 -20653.713942399998 0.0 0.0 -5117.10192 -1572.1086551954763 -0.0
