T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CE ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 0.0 0.0 -6719.723 0.0 -0.0
298.15 CE ZR 1.0 0.0 -19160.05 1966.432 70.858565 -21126.48115475 0.0 0.0 -19160.05 0.0 -0.0
298.15 CE ZR 0.01 0.99 -6665.291 7554.678 47.694008 -14219.968485199997 0.0 0.0 -6844.126270000001 -138.82602141683572 -0.0
298.15 CE ZR 0.02 0.98 -6582.659 7792.231 48.213619 -14374.89050485 0.0 0.0 -6968.5295399999995 -243.03584172567548 -0.0
298.15 CE ZR 0.03 0.97 -6493.221 8023.784 48.690275 -14517.005491249998 0.0 0.0 -7092.932809999999 -334.02154674813943 -0.0
298.15 CE ZR 0.04 0.96 -6401.522 8249.337 49.139222 -14650.859039299998 0.0 0.0 -7217.33608 -416.3281974105132 -0.0
298.15 CE ZR 0.05 0.95 -6309.718 8468.89 49.567694 -14778.6079661 0.0 0.0 -7341.73935 -492.11297050679866 -0.0
298.15 CE ZR 0.06 0.94 -6219.079 8682.443 49.97995 -14901.5220925 0.0 0.0 -7466.14262 -562.6452650375949 -0.0
298.15 CE ZR 0.07 0.93 -6130.442 8889.996 50.378798 -15020.4386237 0.0 0.0 -7590.545889999999 -628.7628773593874 -0.0
298.15 CE ZR 0.08 0.92 -6044.403 9091.549 50.766234 -15135.952667099999 0.0 0.0 -7714.94916 -691.0604007790716 -0.0
298.15 CE ZR 0.09 0.91 -5961.405 9287.103 51.143746 -15248.507869899999 0.0 0.0 -7839.35243 -749.9816351924776 -0.0
298.15 CE ZR 0.1 0.9 -5881.792 9476.656 51.512487 -15358.447999049999 0.0 0.0 -7963.755700000001 -805.870345271772 -0.0
298.15 CE ZR 0.11 0.89 -5805.838 9660.209 51.873375 -15466.04675625 0.0 0.0 -8088.15897 -859.000492370776 -0.0
298.15 CE ZR 0.12 0.88 -5733.766 9837.762 52.22716 -15571.527753999999 0.0 0.0 -8212.56224 -909.5953759771999 -0.0
298.15 CE ZR 0.13 0.87 -5665.761 10009.31 52.574463 -15675.07614345 0.0 0.0 -8336.96551 -957.840348132521 -0.0
298.15 CE ZR 0.14 0.86 -5601.981 10174.87 52.915809 -15776.84845335 0.0 0.0 -8461.36878 -1003.8915915105914 -0.0
298.15 CE ZR 0.15 0.85 -5542.557 10334.42 53.251644 -15876.977658599999 0.0 0.0 -8585.77205 -1047.882375954332 -0.0
298.15 CE ZR 0.16 0.84 -5487.605 10487.97 53.582353 -15975.578546949999 0.0 0.0 -8710.17532 -1089.9276385420173 -0.0
298.15 CE ZR 0.17 0.83 -5437.224 10635.53 53.908273 -16072.75159495 0.0 0.0 -8834.57859 -1130.1274135160918 -0.0
298.15 CE ZR 0.18 0.82 -5391.504 10777.08 54.229697 -16168.584160549999 0.0 0.0 -8958.98186 -1168.5694517045056 -0.0
298.15 CE ZR 0.19 0.81 -5350.521 10912.63 54.546885 -16263.15376275 0.0 0.0 -9083.385129999999 -1205.3312553507326 -0.0
298.15 CE ZR 0.2 0.8 -5314.343 11042.19 54.860069 -16356.52957235 0.0 0.0 -9207.788400000001 -1240.4816826440385 -0.0
298.15 CE ZR 0.21 0.79 -5283.034 11165.74 55.169455 -16448.77300825 0.0 0.0 -9332.19167 -1274.08222978906 -0.0
298.15 CE ZR 0.22 0.78 -5256.647 11283.29 55.475227 -16539.938930049997 0.0 0.0 -9456.594939999999 -1306.188067542519 -0.0
298.15 CE ZR 0.23 0.77 -5235.232 11394.85 55.777553 -16630.07742695 0.0 0.0 -9580.99821 -1336.8488881016199 -0.0
298.15 CE ZR 0.24 0.76 -5218.835 11500.4 56.076583 -16719.23322145 0.0 0.0 -9705.40148 -1366.1096036088943 -0.0
298.15 CE ZR 0.25 0.75 -5207.495 11599.95 56.372453 -16807.44686195 0.0 0.0 -9829.80475 -1394.0109271940482 -0.0
298.15 CE ZR 0.26 0.74 -5201.251 11693.5 56.665288 -16894.755617199997 0.0 0.0 -9954.20802 -1420.5898600324033 -0.0
298.15 CE ZR 0.27 0.73 -5200.135 11781.06 56.955201 -16981.19317815 0.0 0.0 -10078.61129 -1445.8801024662048 -0.0
298.15 CE ZR 0.28 0.72 -5204.179 11862.61 57.242294 -17066.789956099998 0.0 0.0 -10203.01456 -1469.9124032129614 -0.0
