T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CO MO 0.0 1.0 -8515.141 -0.002619643 28.559915 -8515.13865725 2.25e-27 2.095e-30 -8515.141 0.0 -0.0
298.15 CO MO 1.0 0.0 -7023.669 2142.445 30.743297 -9166.114000549998 1450.0 1.35 -7023.669 0.0 -6747.367288577929
298.15 CO MO 0.01 0.99 -8308.665 350.4535 29.042826 -8659.1185719 22.13 0.0206055 -8500.226279999999 -138.82602141683572 -4.86271808429592e-06
298.15 CO MO 0.02 0.98 -8080.321 688.6129 29.411148 -8768.9337762 43.52 0.040522 -8485.311559999998 -243.03584172567548 -0.00027855211802237713
298.15 CO MO 0.03 0.97 -7851.273 1014.691 29.736589 -8865.964010349999 64.17 0.0597495 -8470.39684 -334.02154674813943 -0.0028363333364850767
298.15 CO MO 0.04 0.96 -7625.846 1328.869 30.034261 -8954.714917149999 84.08 0.078288 -8455.482119999999 -416.3281974105132 -0.01422701908891219
298.15 CO MO 0.05 0.95 -7405.988 1631.272 30.31112 -9037.260428 103.25 0.0961375 -8440.5674 -492.11297050679866 -0.04838200193101051
298.15 CO MO 0.06 0.94 -7192.772 1921.957 30.570952 -9114.729338799998 121.68 0.113298 -8425.65268 -562.6452650375949 -0.1285971142003492
298.15 CO MO 0.07 0.93 -6986.856 2200.903 30.815895 -9187.75909425 139.37 0.1297695 -8410.737959999999 -628.7628773593874 -0.28819541045858194
298.15 CO MO 0.08 0.92 -6788.668 2468.02 31.047084 -9256.6880946 156.32 0.145552 -8395.82324 -691.0604007790716 -0.5697658437491478
298.15 CO MO 0.09 0.91 -6598.496 2723.164 31.265 -9321.659749999999 172.53 0.1606455 -8380.908519999999 -749.9816351924776 -1.0231134174593615
298.15 CO MO 0.1 0.9 -6416.534 2966.156 31.469697 -9382.690160549999 188.0 0.17505 -8365.9938 -805.870345271772 -1.7022174013701543
298.15 CO MO 0.11 0.89 -6242.909 3196.808 31.660964 -9439.716416599998 202.73 0.1887655 -8351.07908 -859.000492370776 -2.661592261259285
298.15 CO MO 0.12 0.88 -6077.689 3414.945 31.838452 -9492.6344638 216.72 0.201792 -8336.164359999999 -909.5953759771999 -3.9524882695304724
298.15 CO MO 0.13 0.87 -5920.897 3620.423 32.001744 -9541.3199736 229.97 0.2141295 -8321.24964 -957.840348132521 -5.619358091679333
298.15 CO MO 0.14 0.86 -5772.51 3813.13 32.150393 -9585.63967295 242.48 0.225778 -8306.33492 -1003.8915915105914 -7.696957111183212
298.15 CO MO 0.15 0.85 -5632.465 3992.98 32.283902 -9625.445381299998 254.25 0.2367375 -8291.420199999999 -1047.882375954332 -10.2083479049761
298.15 CO MO 0.16 0.84 -5500.664 4159.886 32.401645 -9660.55045675 265.28 0.247008 -8276.50548 -1089.9276385420173 -13.163947389955696
298.15 CO MO 0.17 0.83 -5376.972 4313.72 32.50274 -9690.691931 275.57 0.2565895 -8261.59076 -1130.1274135160918 -16.561575836796894
298.15 CO MO 0.18 0.82 -5261.225 4454.26 32.585896 -9715.484892399998 285.12 0.265482 -8246.67604 -1168.5694517045056 -20.387213105924694
298.15 CO MO 0.19 0.81 -5153.232 4581.155 32.649294 -9734.387006099998 293.93 0.2736855 -8231.76132 -1205.3312553507326 -24.615833380595546
298.15 CO MO 0.2 0.8 -5052.814 4689.062 32.674413 -9741.87623595 302.0 0.2812 -8216.8466 -1240.4816826440385 -29.30100996264532
298.15 CO MO 0.21 0.79 -4959.788 4788.692 32.696563 -9748.48025845 309.33 0.2880255 -8201.93188 -1274.08222978906 -34.77303303594309
298.15 CO MO 0.22 0.78 -4873.586 4887.779 32.739777 -9761.364512549999 315.92 0.294162 -8187.017159999999 -1306.188067542519 -40.671714975600764
298.15 CO MO 0.23 0.77 -4793.676 4985.442 32.799322 -9779.117854299999 321.77 0.2996095 -8172.10244 -1336.8488881016199 -46.62770719306896
