T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR CE 0.0 1.0 -7017.642 9.681211 23.569757 -7027.323049549999 0.0 0.0 -7017.642 0.0 -0.0
298.15 CR CE 1.0 0.0 -19160.05 1966.432 70.858565 -21126.48115475 0.0 0.0 -19160.05 0.0 -0.0
298.15 CR CE 0.01 0.99 -6683.328 623.8132 24.50827 -7307.140700499999 0.0 0.0 -7139.0660800000005 -138.82602141683572 -0.0
298.15 CR CE 0.02 0.98 -6346.316 1206.026 25.33068 -7552.342242 0.0 0.0 -7260.490159999999 -243.03584172567548 -0.0
298.15 CR CE 0.03 0.97 -6026.917 1757.403 26.108736 -7784.319638399999 0.0 0.0 -7381.914239999999 -334.02154674813943 -0.0
298.15 CR CE 0.04 0.96 -5728.61 2279.008 26.857682 -8007.617888299999 0.0 0.0 -7503.33832 -416.3281974105132 -0.0
298.15 CR CE 0.05 0.95 -5452.51 2771.884 27.584754 -8224.3944051 0.0 0.0 -7624.7624 -492.11297050679866 -0.0
298.15 CR CE 0.06 0.94 -5198.861 3237.058 28.294209 -8435.918413349998 0.0 0.0 -7746.186479999999 -562.6452650375949 -0.0
298.15 CR CE 0.07 0.93 -4967.496 3675.532 28.988857 -8643.027714549999 0.0 0.0 -7867.610559999999 -628.7628773593874 -0.0
298.15 CR CE 0.08 0.92 -4758.023 4088.294 29.670692 -8846.316819799998 0.0 0.0 -7989.03464 -691.0604007790716 -0.0
298.15 CR CE 0.09 0.91 -4569.922 4476.308 30.341203 -9046.22967445 0.0 0.0 -8110.45872 -749.9816351924776 -0.0
298.15 CR CE 0.1 0.9 -4402.588 4840.522 31.001543 -9243.11004545 0.0 0.0 -8231.8828 -805.870345271772 -0.0
298.15 CR CE 0.11 0.89 -4255.37 5181.862 31.652631 -9437.231932649998 0.0 0.0 -8353.30688 -859.000492370776 -0.0
298.15 CR CE 0.12 0.88 -4127.583 5501.236 32.295215 -9628.818352249998 0.0 0.0 -8474.730959999999 -909.5953759771999 -0.0
298.15 CR CE 0.13 0.87 -4018.524 5799.531 32.929918 -9818.0550517 0.0 0.0 -8596.15504 -957.840348132521 -0.0
298.15 CR CE 0.14 0.86 -3927.482 6077.616 33.557263 -10005.097963449998 0.0 0.0 -8717.57912 -1003.8915915105914 -0.0
298.15 CR CE 0.15 0.85 -3853.741 6336.34 34.177697 -10190.08036055 0.0 0.0 -8839.0032 -1047.882375954332 -0.0
298.15 CR CE 0.16 0.84 -3796.587 6576.531 34.791606 -10373.1173289 0.0 0.0 -8960.42728 -1089.9276385420173 -0.0
298.15 CR CE 0.17 0.83 -3755.309 6798.999 35.399325 -10554.308748749998 0.0 0.0 -9081.85136 -1130.1274135160918 -0.0
298.15 CR CE 0.18 0.82 -3729.207 7004.535 36.001148 -10733.742276199999 0.0 0.0 -9203.27544 -1168.5694517045056 -0.0
298.15 CR CE 0.19 0.81 -3717.586 7193.91 36.597336 -10911.4957284 0.0 0.0 -9324.69952 -1205.3312553507326 -0.0
298.15 CR CE 0.2 0.8 -3719.765 7367.873 37.188119 -11087.637679849999 0.0 0.0 -9446.1236 -1240.4816826440385 -0.0
298.15 CR CE 0.21 0.79 -3735.073 7527.157 37.773704 -11262.2298476 0.0 0.0 -9567.54768 -1274.08222978906 -0.0
298.15 CR CE 0.22 0.78 -3762.854 7672.474 38.354276 -11435.3273894 0.0 0.0 -9688.97176 -1306.188067542519 -0.0
298.15 CR CE 0.23 0.77 -3802.464 7804.516 38.930001 -11606.979798149998 0.0 0.0 -9810.395840000001 -1336.8488881016199 -0.0
298.15 CR CE 0.24 0.76 -3853.277 7923.956 39.50103 -11777.2320945 0.0 0.0 -9931.819919999998 -1366.1096036088943 -0.0
298.15 CR CE 0.25 0.75 -3914.678 8031.447 40.0675 -11946.125125 0.0 0.0 -10053.243999999999 -1394.0109271940482 -0.0
298.15 CR CE 0.26 0.74 -3986.072 8127.624 40.629534 -12113.6955621 0.0 0.0 -10174.66808 -1420.5898600324033 -0.0
298.15 CR CE 0.27 0.73 -4066.878 8213.1 41.187247 -12279.97769305 0.0 0.0 -10296.09216 -1445.8801024662048 -0.0
298.15 CR CE 0.28 0.72 -4156.531 8288.47 41.740739 -12445.001332849999 0.0 0.0 -10417.51624 -1469.9124032129614 -0.0
298.15 CR CE 0.29 0.71 -4254.485 8354.311 42.290107 -12608.795402049998 0.0 0.0 -10538.940319999998 -1492.7148576699553 -0.0
298.15 CR CE 0.3 0.7 -4360.209 8411.176 42.835437 -12771.385541549998 0.0 0.0 -10660.364399999999 -1514.313164037668 -0.0
298.15 CR CE 0.31 0.69 -4473.192 8459.603 43.376806 -12932.794708899999 0.0 0.0 -10781.78848 -1534.730844232385 -0.0
298.15 CR CE 0.32 0.68 -4592.937 8500.108 43.914288 -13093.0449672 0.0 0.0 -10903.21256 -1553.9894352015579 -0.0
298.15 CR CE 0.33 0.67 -4718.968 8533.188 44.447948 -13252.155696199998 0.0 0.0 -11024.63664 -1572.1086551954763 -0.0
298.15 CR CE 0.34 0.66 -4850.825 8559.32 44.977848 -13410.1453812 0.0 0.0 -11146.06072 -1589.1065487133012 -0.0
298.15 CR CE 0.35 0.65 -4988.066 8578.964 45.504041 -13567.029824149999 0.0 0.0 -11267.484799999998 -1604.9996131775667 -0.0
298.15 CR CE 0.36 0.64 -5130.269 8592.556 46.02658 -13722.824827 0.0 0.0 -11388.908879999999 -1619.8029098595373 -0.0
298.15 CR CE 0.37 0.63 -5277.027 8600.517 46.545509 -13877.54350835 0.0 0.0 -11510.33296 -1633.5301611487748 -0.0
298.15 CR CE 0.38 0.62 -5427.954 8603.245 47.060872 -14031.1989868 0.0 0.0 -11631.75704 -1646.193835911596 -0.0
298.15 CR CE 0.39 0.61 -5582.682 8601.12 47.572705 -14183.801995749998 0.0 0.0 -11753.181120000001 -1657.8052243977716 -0.0
298.15 CR CE 0.4 0.6 -5740.86 8594.503 48.081042 -14335.362672299998 0.0 0.0 -11874.6052 -1668.3745039196444 -0.0
298.15 CR CE 0.41 0.59 -5902.156 8583.735 48.585915 -14485.890557249999 0.0 0.0 -11996.029279999999 -1677.9107963326926 -0.0
298.15 CR CE 0.42 0.58 -6066.258 8569.136 49.087351 -14635.393700649998 0.0 0.0 -12117.45336 -1686.4222181834425 -0.0
298.15 CR CE 0.43 0.57 -6232.871 8551.008 49.585373 -14783.878959949998 0.0 0.0 -12238.87744 -1693.9159242532326 -0.0
298.15 CR CE 0.44 0.56 -6401.718 8529.634 50.080003 -14931.352894449998 0.0 0.0 -12360.30152 -1700.3981451097393 -0.0
298.15 CR CE 0.45 0.55 -6572.544 8505.277 50.571258 -15077.820572699999 0.0 0.0 -12481.7256 -1705.8742191782392 -0.0
298.15 CR CE 0.46 0.54 -6745.108 8478.178 51.059153 -15223.28646695 0.0 0.0 -12603.149679999999 -1710.3486197582595 -0.0
298.15 CR CE 0.47 0.53 -6919.191 8448.563 51.543701 -15367.754453149999 0.0 0.0 -12724.57376 -1713.8249773357109 -0.0
298.15 CR CE 0.48 0.52 -7094.593 8416.634 52.024911 -15511.22721465 0.0 0.0 -12845.997839999998 -1716.3060974737868 -0.0
298.15 CR CE 0.49 0.51 -7271.129 8382.577 52.502789 -15653.706540349998 0.0 0.0 -12967.421919999999 -1717.7939745058845 -0.0
