T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR FE 0.0 1.0 -5402.283 -7973.06 -8.6224273 2570.776699495 1043.0 2.22 -5402.283 0.0 -5837.568155846089
298.15 CR FE 1.0 0.0 -69.26879 -397.8866 -1.1021895 328.61779942499993 310.0 0.4 -69.26879 0.0 -46.87861390464776
298.15 CR FE 0.01 0.99 -5327.202 -7705.612 -7.9772257 2378.4098424549998 1044.3853 2.18984 -5348.952857900001 -138.82602141683572 -5802.038394254107
298.15 CR FE 0.02 0.98 -5215.817 -7436.929 -7.4496457 2221.1118654549996 1045.2067 2.15976 -5295.6227158 -243.03584172567548 -5761.379835734003
298.15 CR FE 0.03 0.97 -5089.704 -7167.195 -6.9679404 2077.4914302599996 1045.4722 2.12976 -5242.2925737 -334.02154674813943 -5715.765463106959
298.15 CR FE 0.04 0.96 -4953.588 -6896.592 -6.5168664 1943.0037171599997 1045.1898 2.09984 -5188.9624316 -416.3281974105132 -5665.36762951513
298.15 CR FE 0.05 0.95 -4809.808 -6625.299 -6.0891879 1815.4913723849997 1044.3675 2.07 -5135.6322895 -492.11297050679866 -5610.358045498059
298.15 CR FE 0.06 0.94 -4659.814 -6353.498 -5.680645 1693.68430675 1043.0134 2.04024 -5082.3021474 -562.6452650375949 -5550.908560091486
298.15 CR FE 0.07 0.93 -4504.622 -6081.366 -5.2884243 1576.7437050449998 1041.1356 2.01056 -5028.9720053 -628.7628773593874 -5487.190331182247
298.15 CR FE 0.08 0.92 -4345.007 -5809.081 -4.9105266 1464.07350579 1038.7421 1.98096 -4975.6418632 -691.0604007790716 -5419.373038899721
298.15 CR FE 0.09 0.91 -4181.591 -5536.819 -4.5454573 1355.2280939949999 1035.8409 1.95144 -4922.311721100001 -749.9816351924776 -5347.625685000757
298.15 CR FE 0.1 0.9 -4014.893 -5264.755 -4.1920563 1249.8615858449998 1032.44 1.922 -4868.981579 -805.870345271772 -5272.116587446527
298.15 CR FE 0.11 0.89 -3845.366 -4993.063 -3.8493961 1147.6974472149998 1028.5475 1.89264 -4815.651436900001 -859.000492370776 -5193.014132648307
298.15 CR FE 0.12 0.88 -3673.407 -4721.917 -3.5167181 1048.5095015149998 1024.1715 1.86336 -4762.3212948 -909.5953759771999 -5110.485986502304
298.15 CR FE 0.13 0.87 -3499.378 -4451.487 -3.1933901 952.1092583149999 1019.32 1.83416 -4708.9911527 -957.840348132521 -5024.6983497142855
298.15 CR FE 0.14 0.86 -3323.609 -4181.946 -2.8788762 858.3369390299999 1014.001 1.80504 -4655.6610106 -1003.8915915105914 -4935.816727539835
298.15 CR FE 0.15 0.85 -3146.406 -3913.461 -2.5727164 767.0553946599999 1008.2225 1.776 -4602.3308685 -1047.882375954332 -4844.005929546078
298.15 CR FE 0.16 0.84 -2968.058 -3646.203 -2.274511 678.1454546499999 1001.9926 1.74704 -4549.0007264000005 -1089.9276385420173 -4749.430789769224
298.15 CR FE 0.17 0.83 -2788.835 -3380.338 -1.9839091 591.5024981649999 995.31942 1.71816 -4495.670584300001 -1130.1274135160918 -4652.255560953488
298.15 CR FE 0.18 0.82 -2608.999 -3116.032 -1.7005997 507.03380055499997 988.21088 1.68936 -4442.3404422 -1168.5694517045056 -4552.642359957443
298.15 CR FE 0.19 0.81 -2428.795 -2853.452 -1.4243049 424.656505935 980.67506 1.66064 -4389.010300100001 -1205.3312553507326 -4450.753755206869
298.15 CR FE 0.2 0.8 -2248.464 -2592.76 -1.1547746 344.29604699 972.72 1.632 -4335.680158000001 -1240.4816826440385 -4346.751332616038
298.15 CR FE 0.21 0.79 -2068.235 -2334.119 -0.89178164 265.884695966 964.35374 1.60344 -4282.3500159000005 -1274.08222978906 -4240.795989310844
298.15 CR FE 0.22 0.78 -1888.331 -2077.692 -0.63511888 189.360694072 955.58432 1.57496 -4229.0198738 -1306.188067542519 -4133.047940909177
298.15 CR FE 0.23 0.77 -1708.971 -1823.638 -0.38459581 114.66724075149999 946.41978 1.54656 -4175.6897317 -1336.8488881016199 -4023.6667302418264
298.15 CR FE 0.24 0.76 -1530.365 -1572.117 -0.14003628 41.751816882 936.86816 1.51824 -4122.359589600001 -1366.1096036088943 -3912.8112376569115
298.15 CR FE 0.25 0.75 -1352.722 -1323.287 0.098723653 -29.434457141949995 926.9375 1.49 -4069.0294475000005 -1394.0109271940482 -3800.6396930772416
