T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR FE 0.0 1.0 -8133.465 -0.0297885 27.279676 -8133.435399399999 1043.0 2.22 -8133.465 0.0 -5837.568155846089
298.15 CR FE 1.0 0.0 -7019.328 -0.001116951 23.542939 -7019.32726285 311.5 0.008 -7019.328 0.0 -1.145642488486718
298.15 CR FE 0.01 0.99 -8075.986 208.9197 27.787711 -8284.90603465 1040.4539 2.189305 -8122.323630000001 -138.82602141683572 -5768.715749100145
298.15 CR FE 0.02 0.98 -7987.516 413.7604 28.17802 -8401.276662999999 1037.9012 2.15878 -8111.18226 -243.03584172567548 -5699.965236159097
298.15 CR FE 0.03 0.97 -7889.393 614.5477 28.522358 -8503.9410377 1035.3353 2.128425 -8100.04089 -334.02154674813943 -5631.265311932821
298.15 CR FE 0.04 0.96 -7786.11 811.3351 28.835973 -8597.44534995 1032.7496 2.09824 -8088.89952 -416.3281974105132 -5562.566528944616
298.15 CR FE 0.05 0.95 -7679.774 1004.174 29.126104 -8683.9479076 1030.1375 2.068225 -8077.75815 -492.11297050679866 -5493.821316375769
298.15 CR FE 0.06 0.94 -7571.606 1193.113 29.397013 -8764.71942595 1027.4924 2.03838 -8066.616779999999 -562.6452650375949 -5424.983999390354
298.15 CR FE 0.07 0.93 -7462.398 1378.201 29.651515 -8840.59919725 1024.8077 2.008705 -8055.47541 -628.7628773593874 -5356.010818741877
298.15 CR FE 0.08 0.92 -7352.7 1559.483 29.891608 -8912.182925199999 1022.0768 1.9792 -8044.33404 -691.0604007790716 -5286.859950663395
298.15 CR FE 0.09 0.91 -7242.915 1737.001 30.118786 -8979.9160459 1019.2931 1.949865 -8033.19267 -749.9816351924776 -5217.491527042456
298.15 CR FE 0.1 0.9 -7133.346 1910.798 30.334206 -9044.143518899999 1016.45 1.9207 -8022.051300000001 -805.870345271772 -5147.867655882417
298.15 CR FE 0.11 0.89 -7024.228 2080.912 30.53879 -9105.140238499998 1013.5409 1.891705 -8010.90993 -859.000492370776 -5077.952442051386
298.15 CR FE 0.12 0.88 -6915.751 2247.381 30.733294 -9163.1316061 1010.5592 1.86288 -7999.76856 -909.5953759771999 -5007.712008320332
298.15 CR FE 0.13 0.87 -6808.065 2410.239 30.918342 -9218.303667299999 1007.4983 1.834225 -7988.62719 -957.840348132521 -4937.114516691743
298.15 CR FE 0.14 0.86 -6701.295 2569.519 31.094462 -9270.8138453 1004.3516 1.80574 -7977.485820000001 -1003.8915915105914 -4866.130190020509
298.15 CR FE 0.15 0.85 -6595.546 2725.252 31.262108 -9320.7975002 1001.1125 1.777425 -7966.34445 -1047.882375954332 -4794.73133392869
298.15 CR FE 0.16 0.84 -6490.905 2877.466 31.421668 -9368.3703142 997.7744 1.74928 -7955.20308 -1089.9276385420173 -4722.892359016245
298.15 CR FE 0.17 0.83 -6387.447 3026.187 31.573483 -9413.63395645 994.3307 1.721305 -7944.06171 -1130.1274135160918 -4650.589803369861
298.15 CR FE 0.18 0.82 -6285.238 3171.439 31.717852 -9456.6775738 990.7748 1.6935 -7932.920340000001 -1168.5694517045056 -4577.802355372594
298.15 CR FE 0.19 0.81 -6184.336 3313.244 31.855039 -9497.57987785 987.1001 1.665865 -7921.778970000001 -1205.3312553507326 -4504.510876817274
298.15 CR FE 0.2 0.8 -6084.791 3451.621 31.985281 -9536.411530149999 983.3 1.6384 -7910.637600000001 -1240.4816826440385 -4430.698426327326
