T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR GE 0.0 1.0 -6789.009 9487.0 54.590002 -16276.009096299998 1.23615e-26 8e-33 -6789.009 0.0 -0.0
298.15 CR GE 1.0 0.0 -7019.328 -0.001117069 23.542939 -7019.32726285 311.5 0.008 -7019.328 0.0 -1.145642488486718
298.15 CR GE 0.01 0.99 -6385.723 10046.56 55.114163 -16432.28769845 122.41 8e-05 -6791.312190000001 -138.82602141683572 -9.876073807198807e-05
298.15 CR GE 0.02 0.98 -5986.572 10561.23 55.501591 -16547.799356649997 242.41 0.00016 -6793.61538 -243.03584172567548 -0.006040126579359994
298.15 CR GE 0.03 0.97 -5612.179 11031.6 55.823524 -16643.783680599998 360.0 0.00024 -6795.91857 -334.02154674813943 -0.08296178393758859
298.15 CR GE 0.04 0.96 -5266.324 11458.94 56.096804 -16725.262112599998 475.18 0.00032 -6798.221759999999 -416.3281974105132 -0.32867518949431496
298.15 CR GE 0.05 0.95 -4950.285 11844.23 56.329075 -16794.513711249998 587.95 0.0004 -6800.52495 -492.11297050679866 -0.7131596931197912
298.15 CR GE 0.06 0.94 -4664.47 12188.42 56.524881 -16852.893270149998 698.31 0.00048 -6802.82814 -562.6452650375949 -1.2236676725720599
298.15 CR GE 0.07 0.93 -4408.86 12492.49 56.687397 -16901.347415549997 806.26 0.00056 -6805.13133 -628.7628773593874 -1.8532586103361992
298.15 CR GE 0.08 0.92 -4183.196 12757.39 56.819004 -16940.5860426 911.8 0.00064 -6807.43452 -691.0604007790716 -2.5966237447739404
298.15 CR GE 0.09 0.91 -3987.066 12984.1 56.921584 -16971.1702696 1014.93 0.00072 -6809.73771 -749.9816351924776 -3.449058314843663
298.15 CR GE 0.1 0.9 -3819.962 13173.6 56.996685 -16993.56163275 1115.65 0.0008 -6812.0409 -805.870345271772 -4.406119418619125
298.15 CR GE 0.11 0.89 -3681.302 13326.85 57.045626 -17008.1533919 1213.96 0.00088 -6814.3440900000005 -859.000492370776 -5.463491009522714
