T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR MN 0.0 1.0 -6300.583 3888.498 34.174348 -10189.0818562 580.0 0.27 -6300.583 0.0 -413.1990706628121
298.15 CR MN 1.0 0.0 -7019.328 -0.001117013 23.542939 -7019.32726285 311.5 0.008 -7019.328 0.0 -1.145642488486718
298.15 CR MN 0.01 0.99 -6765.17 3430.615 34.19683 -10195.7848645 697.81372 0.28706129 -6307.77045 -138.82602141683572 -642.6238840892803
298.15 CR MN 0.02 0.98 -7142.415 3045.136 34.169214 -10187.551154099998 780.26002 0.30041111 -6314.957899999999 -243.03584172567548 -821.2948087230391
298.15 CR MN 0.03 0.97 -7457.088 2719.941 34.133924 -10177.0294406 836.13622 0.31041648 -6322.14535 -334.02154674813943 -952.0922538660601
298.15 CR MN 0.04 0.96 -7720.945 2444.783 34.096018 -10165.7277667 872.44254 0.31741995 -6329.332799999999 -416.3281974105132 -1041.8121421688252
298.15 CR MN 0.05 0.95 -7944.279 2209.986 34.057572 -10154.2650918 894.67681 0.3217406 -6336.52025 -492.11297050679866 -1098.202135848031
298.15 CR MN 0.06 0.94 -8136.124 2006.798 34.019525 -10142.92137875 907.0912 0.32367514 -6343.707699999999 -562.6452650375949 -1128.679918518894
298.15 CR MN 0.07 0.93 -8304.093 1827.709 33.98223 -10131.801874499999 912.91469 0.3234989 -6350.895149999999 -628.7628773593874 -1139.7376944098476
298.15 CR MN 0.08 0.92 -8454.338 1666.575 33.94571 -10120.913436499999 914.54482 0.32146682 -6358.0826 -691.0604007790716 -1136.717276812468
298.15 CR MN 0.09 0.91 -8591.634 1518.574 33.909803 -10110.207764449999 913.71173 0.3178144 -6365.27005 -749.9816351924776 -1123.7970746755311
298.15 CR MN 0.1 0.9 -8719.533 1380.075 33.874252 -10099.6082338 911.61771 0.31275867 -6372.4575 -805.870345271772 -1104.0965787647083
298.15 CR MN 0.11 0.89 -8840.575 1248.451 33.838757 -10089.025399549999 909.05479 0.30649912 -6379.64495 -859.000492370776 -1079.8373593206306
298.15 CR MN 0.12 0.88 -8956.486 1121.879 33.803001 -10078.36474815 906.50308 0.29921857 -6386.8324 -909.5953759771999 -1052.5225441408666
298.15 CR MN 0.13 0.87 -9068.383 999.1515 33.766675 -10067.53415125 904.21196 0.29108408 -6394.01985 -957.840348132521 -1023.1111585818494
298.15 CR MN 0.14 0.86 -9176.941 879.5033 33.729481 -10056.44476015 902.26655 0.28224779 -6401.2073 -1003.8915915105914 -992.1741808252827
298.15 CR MN 0.15 0.85 -9282.544 762.4692 33.691139 -10045.013092849998 900.64107 0.27284777 -6408.3947499999995 -1047.882375954332 -960.0254164186364
298.15 CR MN 0.16 0.84 -9385.391 647.7698 33.651385 -10033.160437749999 899.24114 0.26300881 -6415.5822 -1089.9276385420173 -926.8255295016622
298.15 CR MN 0.17 0.83 -9485.588 535.2256 33.609972 -10020.8131518 897.93639 0.25284323 -6422.76965 -1130.1274135160918 -892.6599874127355
298.15 CR MN 0.18 0.82 -9583.206 424.6964 33.566668 -10007.9020642 896.58506 0.24245165 -6429.9571000000005 -1168.5694517045056 -857.5937770932123
298.15 CR MN 0.19 0.81 -9678.32 316.0431 33.521258 -9994.3630727 895.0517 0.23192369 -6437.144550000001 -1205.3312553507326 -821.7059953112047
298.15 CR MN 0.2 0.8 -9771.031 209.1058 33.473542 -9980.1365473 893.21918 0.22133879 -6444.332 -1240.4816826440385 -785.1088648604841
298.15 CR MN 0.21 0.79 -9861.472 103.6961 33.423336 -9965.167628399999 890.9962 0.2107668 -6451.51945 -1274.08222978906 -747.9540774342439
298.15 CR MN 0.22 0.78 -9949.809 -0.401321 33.370478 -9949.408015699999 888.32091 0.20026875 -6458.7069 -1306.188067542519 -710.4308089526744
298.15 CR MN 0.23 0.77 -10036.23 -103.4215 33.31482 -9932.813583 885.16183 0.18989743 -6465.8943500000005 -1336.8488881016199 -672.7578218068825
298.15 CR MN 0.24 0.76 -10120.95 -205.6076 33.256237 -9915.34706155 881.51637 0.17969809 -6473.0818 -1366.1096036088943 -635.1726232915131
298.15 CR MN 0.25 0.75 -10204.18 -307.1991 33.194625 -9896.97744375 877.40796 0.16970902 -6480.26925 -1394.0109271940482 -597.9194411456562
298.15 CR MN 0.26 0.74 -10286.1 -408.4192 33.1299 -9877.679685 872.88191 0.15996215 -6487.4567 -1420.5898600324033 -561.2374554788147
298.15 CR MN 0.27 0.73 -10366.9 -509.4651 33.062001 -9857.43559815 868.00079 0.15048359 -6494.64415 -1445.8801024662048 -525.3504912459005
298.15 CR MN 0.28 0.72 -10446.73 -610.4993 32.990888 -9836.2332572 862.83944 0.14129422 -6501.8315999999995 -1469.9124032129614 -490.45885874551306
298.15 CR MN 0.29 0.71 -10525.71 -711.6437 32.91654 -9814.066400999998 857.48006 0.13241018 -6509.01905 -1492.7148576699553 -456.73332882225674
298.15 CR MN 0.3 0.7 -10603.91 -812.9767 32.838959 -9790.93562585 852.00753 0.12384339 -6516.2065 -1514.313164037668 -424.31161467401085
298.15 CR MN 0.31 0.69 -10681.38 -914.5319 32.758166 -9766.8471929 846.50513 0.11560201 -6523.39395 -1534.730844232385 -393.2969198465897
298.15 CR MN 0.32 0.68 -10758.11 -1016.3 32.674198 -9741.812133699998 841.05091 0.10769093 -6530.581399999999 -1553.9894352015579 -363.7586625514159
298.15 CR MN 0.33 0.67 -10834.08 -1118.23 32.587111 -9715.847144649999 835.71465 0.10011215 -6537.76885 -1572.1086551954763 -335.7344375105217
298.15 CR MN 0.34 0.66 -10909.21 -1220.236 32.496975 -9688.97309625 830.55552 0.092865248 -6544.9563 -1589.1065487133012 -309.2335246236332
298.15 CR MN 0.35 0.65 -10983.41 -1322.199 32.403873 -9661.21473495 825.6205 0.085947732 -6552.143749999999 -1604.9996131775667 -284.24092560281184
298.15 CR MN 0.36 0.64 -11056.58 -1423.978 32.307899 -9632.60008685 820.94346 0.079355425 -6559.3312 -1619.8029098595373 -260.72198668488664
298.15 CR MN 0.37 0.63 -11128.57 -1525.407 32.209156 -9603.1598614 816.54491 0.073082805 -6566.51865 -1633.5301611487748 -238.6270786264007
298.15 CR MN 0.38 0.62 -11199.24 -1626.309 32.107755 -9572.927153249999 812.43241 0.067123328 -6573.706099999999 -1646.193835911596 -217.89618259122608
298.15 CR MN 0.39 0.61 -11268.43 -1726.498 32.003811 -9541.93624965 808.60143 0.061469728 -6580.89355 -1657.8052243977716 -198.46308817245432
298.15 CR MN 0.4 0.6 -11336.0 -1825.78 31.89744 -9510.221736 805.03677 0.056114298 -6588.081 -1668.3745039196444 -180.25916916252945
298.15 CR MN 0.41 0.59 -11401.78 -1923.965 31.78876 -9477.818793999999 801.71425 0.051049141 -6595.2684500000005 -1677.9107963326926 -163.21651366638042
298.15 CR MN 0.42 0.58 -11465.63 -2020.863 31.677889 -9444.762605349999 798.60276 0.046266409 -6602.455900000001 -1686.4222181834425 -147.27050243715755
298.15 CR MN 0.43 0.57 -11527.38 -2116.29 31.564938 -9411.0862647 795.66638 0.041758513 -6609.64335 -1693.9159242532326 -132.36169941467605
298.15 CR MN 0.44 0.56 -11586.89 -2210.07 31.450017 -9376.822568549998 792.86667 0.037518311 -6616.8308 -1700.3981451097393 -118.43717549228988
298.15 CR MN 0.45 0.55 -11644.04 -2302.035 31.333226 -9342.001331899999 790.16491 0.033539274 -6624.018250000001 -1705.8742191782392 -105.4512657195022
298.15 CR MN 0.46 0.54 -11698.68 -2392.027 31.214661 -9306.651177149999 787.52421 0.029815635 -6631.2057 -1710.3486197582595 -93.36585138196037
298.15 CR MN 0.47 0.53 -11750.69 -2479.896 31.094406 -9270.7971489 784.91145 0.026342507 -6638.39315 -1713.8249773357109 -82.15021427831223
298.15 CR MN 0.48 0.52 -11799.97 -2565.505 30.972539 -9234.46250285 782.29903 0.023115986 -6645.5806 -1716.3060974737868 -71.78060359121314
298.15 CR MN 0.49 0.51 -11846.39 -2648.722 30.849126 -9197.666916899998 779.66617 0.020133226 -6652.768050000001 -1717.7939745058845 -62.23952547024422
298.15 CR MN 0.5 0.5 -11889.85 -2729.425 30.724223 -9160.427087449998 777.0 0.0173925 -6659.9555 -1718.289801199083 -53.514940328019385
298.15 CR MN 0.51 0.49 -11930.25 -2807.499 30.597875 -9122.756431249998 774.29617 0.014893226 -6667.1429499999995 -1717.7939745058845 -45.59934022006834
298.15 CR MN 0.52 0.48 -11967.5 -2882.835 30.470116 -9084.6650854 771.55903 0.012635986 -6674.3304 -1716.3060974737868 -38.48888520431242
298.15 CR MN 0.53 0.47 -12001.49 -2955.33 30.340972 -9046.160801799999 768.80145 0.010622507 -6681.51785 -1713.8249773357109 -32.18257559225185
