T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR MO 0.0 1.0 -1.363413e-25 3.49e-26 5.74346e-28 -1.712412599e-25 0.0 0.0 -1.363413e-25 0.0 -0.0
298.15 CR MO 1.0 0.0 -3.60757e-08 3.49e-08 2.3805365e-10 -7.097569574749999e-08 0.0 0.0 -3.60757e-08 0.0 -0.0
298.15 CR MO 0.01 0.99 206.6838 345.51 0.46562532 -138.826189158 0.0 0.0 -3.607570000000002e-10 -138.82602141683572 -0.0
298.15 CR MO 0.02 0.98 441.0039 684.04 0.81514719 -243.03613469849998 0.0 0.0 -7.215140000000002e-10 -243.03584172567548 -0.0
298.15 CR MO 0.03 0.97 681.5681 1015.59 1.1203151 -334.02194706499995 0.0 0.0 -1.0822710000000001e-09 -334.02154674813943 -0.0
298.15 CR MO 0.04 0.96 923.8313 1340.16 1.3963733 -416.328699395 0.0 0.0 -1.4430280000000003e-09 -416.3281974105132 -0.0
298.15 CR MO 0.05 0.95 1165.636 1657.75 1.650557 -492.11356954999997 0.0 0.0 -1.8037850000000003e-09 -492.11297050679866 -0.0
298.15 CR MO 0.06 0.94 1405.714 1968.36 1.8871237 -562.645931155 0.0 0.0 -2.164542e-09 -562.6452650375949 -0.0
298.15 CR MO 0.07 0.93 1643.226 2271.99 2.1088836 -628.7636453399999 0.0 0.0 -2.5252990000000005e-09 -628.7628773593874 -0.0
298.15 CR MO 0.08 0.92 1877.579 2568.64 2.3178307 -691.0612232049999 0.0 0.0 -2.8860560000000002e-09 -691.0604007790716 -0.0
298.15 CR MO 0.09 0.91 2108.327 2858.31 2.5154538 -749.98255047 0.0 0.0 -3.246813e-09 -749.9816351924776 -0.0
298.15 CR MO 0.1 0.9 2335.129 3141.0 2.7029056 -805.8713046399998 0.0 0.0 -3.60757e-09 -805.870345271772 -0.0
298.15 CR MO 0.11 0.89 2557.708 3416.71 2.8811052 -859.0015153799999 0.0 0.0 -3.968327e-09 -859.000492370776 -0.0
298.15 CR MO 0.12 0.88 2775.844 3685.44 3.0508015 -909.596467225 0.0 0.0 -4.329084e-09 -909.5953759771999 -0.0
298.15 CR MO 0.13 0.87 2989.348 3947.19 3.2126161 -957.8414902149999 0.0 0.0 -4.689841000000001e-09 -957.840348132521 -0.0
298.15 CR MO 0.14 0.86 3198.067 4201.96 3.3670729 -1003.8927851349999 0.0 0.0 -5.050598000000001e-09 -1003.8915915105914 -0.0
298.15 CR MO 0.15 0.85 3401.866 4449.75 3.5146189 -1047.8836250349998 0.0 0.0 -5.411355e-09 -1047.882375954332 -0.0
298.15 CR MO 0.16 0.84 3600.631 4690.56 3.6556396 -1089.92894674 0.0 0.0 -5.7721120000000005e-09 -1089.9276385420173 -0.0
298.15 CR MO 0.17 0.83 3794.261 4924.39 3.7904705 -1130.128779575 0.0 0.0 -6.132869000000001e-09 -1130.1274135160918 -0.0
298.15 CR MO 0.18 0.82 3982.669 5151.24 3.9194059 -1168.570869085 0.0 0.0 -6.493626e-09 -1168.5694517045056 -0.0
298.15 CR MO 0.19 0.81 4165.777 5371.11 4.0427057 -1205.3327044549999 0.0 0.0 -6.854383e-09 -1205.3312553507326 -0.0
298.15 CR MO 0.2 0.8 4343.517 5584.0 4.160601 -1240.48318815 0.0 0.0 -7.21514e-09 -1240.4816826440385 -0.0
298.15 CR MO 0.21 0.79 4515.826 5789.91 4.2732979 -1274.083768885 0.0 0.0 -7.575897e-09 -1274.08222978906 -0.0
298.15 CR MO 0.22 0.78 4682.65 5988.84 4.3809815 -1306.189634225 0.0 0.0 -7.936654e-09 -1306.188067542519 -0.0
298.15 CR MO 0.23 0.77 4843.94 6180.79 4.4838185 -1336.850485775 0.0 0.0 -8.297411e-09 -1336.8488881016199 -0.0
298.15 CR MO 0.24 0.76 4999.649 6365.76 4.5819596 -1366.11125474 0.0 0.0 -8.658168e-09 -1366.1096036088943 -0.0
298.15 CR MO 0.25 0.75 5149.737 6543.75 4.6755412 -1394.0126087799997 0.0 0.0 -9.018925e-09 -1394.0109271940482 -0.0
298.15 CR MO 0.26 0.74 5294.168 6714.76 4.7646875 -1420.5915781249998 0.0 0.0 -9.379682000000001e-09 -1420.5898600324033 -0.0
298.15 CR MO 0.27 0.73 5432.908 6878.79 4.8495115 -1445.881853725 0.0 0.0 -9.740439000000001e-09 -1445.8801024662048 -0.0
298.15 CR MO 0.28 0.72 5565.926 7035.84 4.9301163 -1469.914174845 0.0 0.0 -1.0101196000000002e-08 -1469.9124032129614 -0.0
298.15 CR MO 0.29 0.71 5693.193 7185.91 5.0065962 -1492.7166570299999 0.0 0.0 -1.0461953e-08 -1492.7148576699553 -0.0
298.15 CR MO 0.3 0.7 5814.685 7329.0 5.0790373 -1514.314970995 0.0 0.0 -1.082271e-08 -1514.313164037668 -0.0
298.15 CR MO 0.31 0.69 5930.377 7465.11 5.1475187 -1534.7327004049998 0.0 0.0 -1.1183467e-08 -1534.730844232385 -0.0
298.15 CR MO 0.32 0.68 6040.249 7594.24 5.2121124 -1553.9913120599997 0.0 0.0 -1.1544224000000001e-08 -1553.9894352015579 -0.0
