T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR NI 0.0 1.0 5247.833 5559.4 1.045 -311.56674999999996 0.0 0.0 5247.833 0.0 -0.0
298.15 CR NI 1.0 0.0 -15705.48 -18200.4 -8.368 2494.9192 0.0 0.0 -15705.48 0.0 -0.0
298.15 CR NI 0.01 0.99 4766.763 5196.001 1.4396692 -429.23737198 0.0 0.0 5038.29987 -138.82602141683572 -0.0
298.15 CR NI 0.02 0.98 4334.634 4848.251 1.7226825 -513.6177873749999 0.0 0.0 4828.76674 -243.03584172567548 -0.0
298.15 CR NI 0.03 0.97 3929.695 4515.751 1.9656389 -586.055238035 0.0 0.0 4619.23361 -334.02154674813943 -0.0
298.15 CR NI 0.04 0.96 3547.047 4198.097 2.1836322 -651.0499404299999 0.0 0.0 4409.7004799999995 -416.3281974105132 -0.0
298.15 CR NI 0.05 0.95 3184.176 3894.89 2.383747 -710.71416805 0.0 0.0 4200.167349999999 -492.11297050679866 -0.0
298.15 CR NI 0.06 0.94 2839.455 3605.728 2.5700905 -766.2724825749999 0.0 0.0 3990.6342199999995 -562.6452650375949 -0.0
298.15 CR NI 0.07 0.93 2511.691 3330.209 2.7453221 -818.5177841149999 0.0 0.0 3781.101089999999 -628.7628773593874 -0.0
298.15 CR NI 0.08 0.92 2199.932 3067.932 2.9112858 -867.9998612699999 0.0 0.0 3571.5679600000003 -691.0604007790716 -0.0
298.15 CR NI 0.09 0.91 1903.378 2818.496 3.0693194 -915.11757911 0.0 0.0 3362.0348299999996 -749.9816351924776 -0.0
298.15 CR NI 0.1 0.9 1621.33 2581.5 3.2204256 -960.16989264 0.0 0.0 3152.5017 -805.870345271772 -0.0
298.15 CR NI 0.11 0.89 1353.156 2356.542 3.3653728 -1003.3859003199999 0.0 0.0 2942.96857 -859.000492370776 -0.0
298.15 CR NI 0.12 0.88 1098.278 2143.222 3.5047593 -1044.943985295 0.0 0.0 2733.43544 -909.5953759771999 -0.0
298.15 CR NI 0.13 0.87 856.1524 1941.137 3.6390564 -1084.9846656599998 0.0 0.0 2523.9023099999995 -957.840348132521 -0.0
298.15 CR NI 0.14 0.86 626.2676 1749.887 3.7686374 -1123.6192408099998 0.0 0.0 2314.3691799999997 -1003.8915915105914 -0.0
298.15 CR NI 0.15 0.85 408.1338 1569.07 3.8937989 -1160.9361420349999 0.0 0.0 2104.8360500000003 -1047.882375954332 -0.0
298.15 CR NI 0.16 0.84 201.2797 1398.285 4.0147759 -1197.0054345849999 0.0 0.0 1895.3029199999992 -1089.9276385420173 -0.0
298.15 CR NI 0.17 0.83 5.248673 1237.131 4.1317534 -1231.8822762099999 0.0 0.0 1685.769789999999 -1130.1274135160918 -0.0
298.15 CR NI 0.18 0.82 -180.4033 1085.206 4.2448753 -1265.609570695 0.0 0.0 1476.2366600000005 -1168.5694517045056 -0.0
298.15 CR NI 0.19 0.81 -356.1103 942.1097 4.354251 -1298.2199356499998 0.0 0.0 1266.7035300000002 -1205.3312553507326 -0.0
298.15 CR NI 0.2 0.8 -522.2974 807.44 4.459961 -1329.7373721499998 0.0 0.0 1057.1703999999995 -1240.4816826440385 -0.0
298.15 CR NI 0.21 0.79 -679.3826 680.7959 4.562061 -1360.17848715 0.0 0.0 847.6372699999997 -1274.08222978906 -0.0
298.15 CR NI 0.22 0.78 -827.7775 561.7762 4.6605857 -1389.553626455 0.0 0.0 638.1041399999999 -1306.188067542519 -0.0
298.15 CR NI 0.23 0.77 -967.8881 449.9794 4.7555512 -1417.86759028 0.0 0.0 428.57100999999966 -1336.8488881016199 -0.0
298.15 CR NI 0.24 0.76 -1100.116 345.0045 4.8469577 -1445.120438255 0.0 0.0 219.0378800000003 -1366.1096036088943 -0.0
298.15 CR NI 0.25 0.75 -1224.858 246.45 4.9347912 -1471.30799628 0.0 0.0 9.504750000000058 -1394.0109271940482 -0.0
298.15 CR NI 0.26 0.74 -1342.508 153.9147 5.0190254 -1496.4224230099999 0.0 0.0 -200.02838000000065 -1420.5898600324033 -0.0
298.15 CR NI 0.27 0.73 -1453.455 66.99736 5.0996228 -1520.4525378199999 0.0 0.0 -409.5615100000009 -1445.8801024662048 -0.0
298.15 CR NI 0.28 0.72 -1558.088 -14.70336 5.1765361 -1543.3842382149999 0.0 0.0 -619.0946400000007 -1469.9124032129614 -0.0
298.15 CR NI 0.29 0.71 -1656.789 -91.58872 5.2497091 -1565.2007681649998 0.0 0.0 -828.62777 -1492.7148576699553 -0.0
298.15 CR NI 0.3 0.7 -1749.943 -164.06 5.3190773 -1585.8828969949998 0.0 0.0 -1038.1608999999999 -1514.313164037668 -0.0
298.15 CR NI 0.31 0.69 -1837.928 -232.5185 5.3845694 -1605.40936661 0.0 0.0 -1247.6940300000006 -1534.730844232385 -0.0
298.15 CR NI 0.32 0.68 -1921.122 -297.3654 5.4461069 -1623.756772235 0.0 0.0 -1457.2271600000004 -1553.9894352015579 -0.0
298.15 CR NI 0.33 0.67 -1999.902 -359.0022 5.5036056 -1640.90000964 0.0 0.0 -1666.7602900000006 -1572.1086551954763 -0.0
298.15 CR NI 0.34 0.66 -2074.642 -417.8299 5.5569756 -1656.8122751399999 0.0 0.0 -1876.2934200000013 -1589.1065487133012 -0.0
298.15 CR NI 0.35 0.65 -2145.715 -474.25 5.6061216 -1671.46515504 0.0 0.0 -2085.8265499999998 -1604.9996131775667 -0.0
298.15 CR NI 0.36 0.64 -2213.493 -528.6637 5.6509436 -1684.8288343399997 0.0 0.0 -2295.3596799999996 -1619.8029098595373 -0.0
298.15 CR NI 0.37 0.63 -2278.344 -581.4722 5.6913374 -1696.8722458099999 0.0 0.0 -2504.89281 -1633.5301611487748 -0.0
298.15 CR NI 0.38 0.62 -2340.64 -633.077 5.7271941 -1707.562920915 0.0 0.0 -2714.4259400000005 -1646.193835911596 -0.0
298.15 CR NI 0.39 0.61 -2400.746 -683.8791 5.7584011 -1716.867287965 0.0 0.0 -2923.9590700000003 -1657.8052243977716 -0.0
298.15 CR NI 0.4 0.6 -2459.031 -734.28 5.7848422 -1724.7507019299999 0.0 0.0 -3133.4922 -1668.3745039196444 -0.0
298.15 CR NI 0.41 0.59 -2515.858 -784.6809 5.8063975 -1731.177414625 0.0 0.0 -3343.0253299999986 -1677.9107963326926 -0.0
298.15 CR NI 0.42 0.58 -2571.594 -835.483 5.8229436 -1736.11063434 0.0 0.0 -3552.5584599999997 -1686.4222181834425 -0.0
298.15 CR NI 0.43 0.57 -2626.6 -887.0878 5.8343541 -1739.5126749149997 0.0 0.0 -3762.0915899999995 -1693.9159242532326 -0.0
298.15 CR NI 0.44 0.56 -2681.241 -939.8963 5.8404995 -1741.3449259249999 0.0 0.0 -3971.6247199999993 -1700.3981451097393 -0.0
298.15 CR NI 0.45 0.55 -2735.878 -994.31 5.841247 -1741.5677930499999 0.0 0.0 -4181.1578500000005 -1705.8742191782392 -0.0
298.15 CR NI 0.46 0.54 -2790.871 -1050.73 5.8364614 -1740.14096641 0.0 0.0 -4390.69098 -1710.3486197582595 -0.0
298.15 CR NI 0.47 0.53 -2846.581 -1109.558 5.8260042 -1737.0231522299998 0.0 0.0 -4600.224109999999 -1713.8249773357109 -0.0
298.15 CR NI 0.48 0.52 -2903.367 -1171.195 5.8097344 -1732.1723113599999 0.0 0.0 -4809.757239999999 -1716.3060974737868 -0.0
298.15 CR NI 0.49 0.51 -2961.587 -1236.042 5.7875082 -1725.54556983 0.0 0.0 -5019.290370000001 -1717.7939745058845 -0.0
298.15 CR NI 0.5 0.5 -3021.599 -1304.5 5.7591792 -1717.0992784799998 0.0 0.0 -5228.8235 -1718.289801199083 -0.0
298.15 CR NI 0.51 0.49 -3083.76 -1376.971 5.7245981 -1706.7889235149999 0.0 0.0 -5438.35663 -1717.7939745058845 -0.0
298.15 CR NI 0.52 0.48 -3148.426 -1453.857 5.6836131 -1694.5692457649998 0.0 0.0 -5647.889760000001 -1716.3060974737868 -0.0
298.15 CR NI 0.53 0.47 -3215.952 -1535.557 5.6360699 -1680.3942406849999 0.0 0.0 -5857.42289 -1713.8249773357109 -0.0
298.15 CR NI 0.54 0.46 -3286.692 -1622.475 5.5818112 -1664.2170092799997 0.0 0.0 -6066.956020000001 -1710.3486197582595 -0.0
298.15 CR NI 0.55 0.45 -3361.0 -1715.01 5.520677 -1645.98984755 0.0 0.0 -6276.489150000001 -1705.8742191782392 -0.0
298.15 CR NI 0.56 0.44 -3439.229 -1813.564 5.4525049 -1625.6643359349998 0.0 0.0 -6486.022280000001 -1700.3981451097393 -0.0
298.15 CR NI 0.57 0.43 -3521.731 -1918.539 5.3771292 -1603.1910709799997 0.0 0.0 -6695.555409999999 -1693.9159242532328 -0.0
298.15 CR NI 0.58 0.42 -3608.856 -2030.336 5.2943817 -1578.5199038549997 0.0 0.0 -6905.088539999999 -1686.4222181834425 -0.0
298.15 CR NI 0.59 0.41 -3700.956 -2149.356 5.2040908 -1551.59967202 0.0 0.0 -7114.621669999999 -1677.910796332693 -0.0
298.15 CR NI 0.6 0.4 -3798.378 -2276.0 5.1060822 -1522.37840793 0.0 0.0 -7324.154799999998 -1668.3745039196444 -0.0
298.15 CR NI 0.61 0.39 -3901.473 -2410.67 5.0001782 -1490.8031303299997 0.0 0.0 -7533.68793 -1657.8052243977716 -0.0
298.15 CR NI 0.62 0.38 -4010.586 -2553.766 4.8861976 -1456.8198144399998 0.0 0.0 -7743.22106 -1646.193835911596 -0.0
298.15 CR NI 0.63 0.37 -4126.064 -2705.691 4.7639558 -1420.3734217699998 0.0 0.0 -7952.754190000001 -1633.5301611487748 -0.0
298.15 CR NI 0.64 0.36 -4248.253 -2866.845 4.6332646 -1381.4078404900001 0.0 0.0 -8162.28732 -1619.8029098595373 -0.0
298.15 CR NI 0.65 0.35 -4377.496 -3037.63 4.4939316 -1339.8657065399998 0.0 0.0 -8371.82045 -1604.9996131775667 -0.0
298.15 CR NI 0.66 0.34 -4514.135 -3218.447 4.3457602 -1295.6884036299998 0.0 0.0 -8581.353579999999 -1589.106548713301 -0.0
298.15 CR NI 0.67 0.33 -4658.513 -3409.697 4.1885496 -1248.81606324 0.0 0.0 -8790.88671 -1572.1086551954763 -0.0
298.15 CR NI 0.68 0.32 -4810.969 -3611.782 4.0220938 -1199.18726647 0.0 0.0 -9000.419840000002 -1553.9894352015576 -0.0
298.15 CR NI 0.69 0.31 -4971.841 -3825.102 3.8461819 -1146.739133485 0.0 0.0 -9209.952969999998 -1534.730844232385 -0.0
298.15 CR NI 0.7 0.3 -5141.467 -4050.06 3.6605973 -1091.4070849949999 0.0 0.0 -9419.486099999998 -1514.313164037668 -0.0
298.15 CR NI 0.71 0.29 -5320.181 -4287.056 3.4651173 -1033.124722995 0.0 0.0 -9629.01923 -1492.7148576699553 -0.0
298.15 CR NI 0.72 0.28 -5508.315 -4536.492 3.2595124 -971.8236220599999 0.0 0.0 -9838.55236 -1469.9124032129614 -0.0
298.15 CR NI 0.73 0.27 -5706.202 -4798.769 3.0435461 -907.4332697149999 0.0 0.0 -10048.08549 -1445.8801024662048 -0.0
298.15 CR NI 0.74 0.26 -5914.168 -5074.288 2.8169735 -839.8806490249999 0.0 0.0 -10257.61862 -1420.5898600324033 -0.0
298.15 CR NI 0.75 0.25 -6132.54 -5363.45 2.5795412 -769.0902087799999 0.0 0.0 -10467.15175 -1394.0109271940482 -0.0
298.15 CR NI 0.76 0.24 -6361.641 -5666.657 2.3309855 -694.983326825 0.0 0.0 -10676.68488 -1366.1096036088943 -0.0
298.15 CR NI 0.77 0.23 -6601.789 -5984.311 2.0710319 -617.4781609849999 0.0 0.0 -10886.21801 -1336.8488881016199 -0.0
298.15 CR NI 0.78 0.22 -6853.3 -6316.811 1.7993934 -536.48914221 0.0 0.0 -11095.75114 -1306.188067542519 -0.0
298.15 CR NI 0.79 0.21 -7116.487 -6664.561 1.5157688 -451.92646771999995 0.0 0.0 -11305.28427 -1274.08222978906 -0.0
298.15 CR NI 0.8 0.2 -7391.656 -7027.96 1.219841 -363.69559415 0.0 0.0 -11514.8174 -1240.4816826440385 -0.0
298.15 CR NI 0.81 0.19 -7679.107 -7407.41 0.91127442 -271.696468323 0.0 0.0 -11724.35053 -1205.3312553507324 -0.0
298.15 CR NI 0.82 0.18 -7979.136 -7803.313 0.58971242 -175.82275802299998 0.0 0.0 -11933.883659999998 -1168.5694517045058 -0.0
298.15 CR NI 0.83 0.17 -8292.031 -8216.07 0.25477352 -75.96072498799998 0.0 0.0 -12143.41679 -1130.127413516092 -0.0
298.15 CR NI 0.84 0.16 -8618.07 -8646.082 -0.093952711 28.012000784649995 0.0 0.0 -12352.94992 -1089.9276385420173 -0.0
298.15 CR NI 0.85 0.15 -8957.522 -9093.75 -0.45691106 136.228032539 0.0 0.0 -12562.483049999999 -1047.882375954332 -0.0
298.15 CR NI 0.86 0.14 -9310.643 -9559.476 -0.83458753 248.83227206949996 0.0 0.0 -12772.016179999999 -1003.8915915105914 -0.0
298.15 CR NI 0.87 0.13 -9677.676 -10043.66 -1.2275181 365.984521515 0.0 0.0 -12981.549309999999 -957.840348132521 -0.0
298.15 CR NI 0.88 0.12 -10058.84 -10546.7 -1.6363003 487.86293444499995 0.0 0.0 -13191.082439999998 -909.5953759771999 -0.0
298.15 CR NI 0.89 0.11 -10454.34 -11069.01 -2.0616083 614.668514645 0.0 0.0 -13400.61557 -859.000492370776 -0.0
298.15 CR NI 0.9 0.1 -10864.35 -11610.98 -2.5042144 746.63152336 0.0 0.0 -13610.148700000002 -805.870345271772 -0.0
298.15 CR NI 0.91 0.09 -11288.99 -12173.01 -2.9650179 884.0200868849998 0.0 0.0 -13819.681830000001 -749.9816351924775 -0.0
298.15 CR NI 0.92 0.08 -11728.36 -12755.51 -3.4450883 1027.153076645 0.0 0.0 -14029.214960000001 -691.0604007790713 -0.0
298.15 CR NI 0.93 0.07 -12182.46 -13358.88 -3.945729 1176.41910135 0.0 0.0 -14238.748090000001 -628.762877359387 -0.0
298.15 CR NI 0.94 0.06 -12651.2 -13983.51 -4.468579 1332.3068288499999 0.0 0.0 -14448.281219999999 -562.6452650375951 -0.0
298.15 CR NI 0.95 0.05 -13134.35 -14629.81 -5.015783 1495.4557014499999 0.0 0.0 -14657.814349999999 -492.1129705067989 -0.0
298.15 CR NI 0.96 0.04 -13631.43 -15298.18 -5.5903016 1666.74842204 0.0 0.0 -14867.347479999999 -416.3281974105133 -0.0
