T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR RE 0.0 1.0 30577.38 30577.38 5.74346e-28 -1.712412599e-25 0.0 0.0 30577.38 0.0 -0.0
298.15 CR RE 1.0 0.0 -5.759832e-08 1.337738e-08 2.3805365e-10 -7.097569574749999e-08 0.0 0.0 -5.759832e-08 0.0 -0.0
298.15 CR RE 0.01 0.99 29962.5 30101.32 0.46562532 -138.826189158 0.0 0.0 30271.606199999427 -138.82602141683572 -0.0
298.15 CR RE 0.02 0.98 29385.67 29628.71 0.81514719 -243.03613469849998 0.0 0.0 29965.832399998846 -243.03584172567548 -0.0
298.15 CR RE 0.03 0.97 28825.51 29159.54 1.1203151 -334.02194706499995 0.0 0.0 29660.058599998272 -334.02154674813943 -0.0
298.15 CR RE 0.04 0.96 28277.47 28693.8 1.3963733 -416.328699395 0.0 0.0 29354.2847999977 -416.3281974105132 -0.0
298.15 CR RE 0.05 0.95 27739.4 28231.51 1.650557 -492.11356954999997 0.0 0.0 29048.510999997117 -492.11297050679866 -0.0
298.15 CR RE 0.06 0.94 27210.01 27772.66 1.8871237 -562.645931155 0.0 0.0 28742.737199996543 -562.6452650375949 -0.0
298.15 CR RE 0.07 0.93 26688.48 27317.24 2.1088836 -628.7636453399999 0.0 0.0 28436.96339999597 -628.7628773593874 -0.0
298.15 CR RE 0.08 0.92 26174.21 26865.27 2.3178307 -691.0612232049999 0.0 0.0 28131.189599995392 -691.0604007790716 -0.0
298.15 CR RE 0.09 0.91 25666.75 26416.73 2.5154538 -749.98255047 0.0 0.0 27825.41579999482 -749.9816351924776 -0.0
298.15 CR RE 0.1 0.9 25165.77 25971.64 2.7029056 -805.8713046399998 0.0 0.0 27519.64199999424 -805.870345271772 -0.0
298.15 CR RE 0.11 0.89 24670.99 25529.99 2.8811052 -859.0015153799999 0.0 0.0 27213.868199993663 -859.000492370776 -0.0
298.15 CR RE 0.12 0.88 24182.18 25091.77 3.0508015 -909.596467225 0.0 0.0 26908.09439999309 -909.5953759771999 -0.0
298.15 CR RE 0.13 0.87 23699.16 24657.0 3.2126161 -957.8414902149999 0.0 0.0 26602.320599992512 -957.840348132521 -0.0
298.15 CR RE 0.14 0.86 23221.77 24225.67 3.3670729 -1003.8927851349999 0.0 0.0 26296.546799991935 -1003.8915915105914 -0.0
298.15 CR RE 0.15 0.85 22749.89 23797.77 3.5146189 -1047.8836250349998 0.0 0.0 25990.77299999136 -1047.882375954332 -0.0
