T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR SI 0.0 1.0 34683.41 47000.0 41.310031 -12316.58574265 3.115e-28 8e-33 34683.41 0.0 -0.0
298.15 CR SI 1.0 0.0 -7019.328 -0.001117067 23.542939 -7019.32726285 311.5 0.008 -7019.328 0.0 -1.145642488486718
298.15 CR SI 0.01 0.99 33832.47 46281.34 41.753696 -12448.864462399999 3.115 8e-05 34266.382620000004 -138.82602141683572 -1.0538728489636033e-12
298.15 CR SI 0.02 0.98 33002.82 45546.82 42.072789 -12544.002040349998 6.23 0.00016 33849.355240000004 -243.03584172567548 -6.74451647427917e-11
298.15 CR SI 0.03 0.97 32173.66 44797.1 42.339225 -12623.439933749998 9.345 0.00024 33432.327860000005 -334.02154674813943 -7.682118556805948e-10
298.15 CR SI 0.04 0.96 31341.04 44032.81 42.568409 -12691.771143349999 12.46 0.00032 33015.300480000005 -416.3281974105132 -4.316145307153442e-09
298.15 CR SI 0.05 0.95 30503.39 43254.59 42.767741 -12751.201979149999 15.575 0.0004 32598.273100000002 -492.11297050679866 -1.6464129320400515e-08
298.15 CR SI 0.06 0.94 29660.03 42463.08 42.94164 -12803.049965999999 18.69 0.00048 32181.24572 -562.6452650375949 -4.9159661019639107e-08
298.15 CR SI 0.07 0.93 28810.72 41658.92 43.093081 -12848.202100149998 21.805 0.00056 31764.21834 -628.7628773593874 -1.239573414078547e-07
298.15 CR SI 0.08 0.92 27955.44 40842.74 43.22422 -12887.301193 24.92 0.00064 31347.190960000004 -691.0604007790716 -2.7618912353371084e-07
298.15 CR SI 0.09 0.91 27094.35 40015.19 43.336709 -12920.839788349998 28.035 0.00072 30930.163580000004 -749.9816351924776 -5.598921062978131e-07
298.15 CR SI 0.1 0.9 26227.69 39176.9 43.431864 -12949.210251599998 31.15 0.0008 30513.136200000004 -805.870345271772 -1.053493662018591e-06
298.15 CR SI 0.11 0.89 25355.78 38328.51 43.510767 -12972.735181049999 34.265 0.00088 30096.10882 -859.000492370776 -1.866253685971364e-06
298.15 CR SI 0.12 0.88 24478.98 37470.67 43.574329 -12991.686191349998 37.38 0.00096 29679.08144 -909.5953759771999 -3.145463756205784e-06
298.15 CR SI 0.13 0.87 23597.71 36604.01 43.623337 -13006.297926549998 40.495 0.00104 29262.054060000002 -957.840348132521 -5.0844029920581164e-06
298.15 CR SI 0.14 0.86 22712.39 35729.16 43.658476 -13016.7746194 43.61 0.00112 28845.026680000003 -1003.8915915105914 -7.931050399896908e-06
298.15 CR SI 0.15 0.85 21823.48 34846.78 43.680357 -13023.298439549999 46.725 0.0012 28427.999300000003 -1047.882375954332 -1.199755349478165e-05
298.15 CR SI 0.16 0.84 20931.46 33957.49 43.689529 -13026.033071349999 49.84 0.00128 28010.971920000004 -1089.9276385420173 -1.7670452986962314e-05
298.15 CR SI 0.17 0.83 20036.82 33061.95 43.686489 -13025.12669535 52.955 0.00136 27593.944540000004 -1130.1274135160918 -2.5421663322472473e-05
298.15 CR SI 0.18 0.82 19140.06 32160.77 43.671695 -13020.715864249998 56.07 0.00144 27176.917160000008 -1168.5694517045056 -3.582020886755318e-05
298.15 CR SI 0.19 0.81 18241.69 31254.62 43.645571 -13012.926993649999 59.185 0.00152 26759.889780000005 -1205.3312553507326 -4.954471552756093e-05
298.15 CR SI 0.2 0.8 17342.23 30344.11 43.60851 -13001.8772565 62.3 0.0016 26342.8624 -1240.4816826440385 -6.739665759230414e-05
298.15 CR SI 0.21 0.79 16442.22 29429.9 43.560881 -12987.67667015 65.415 0.00168 25925.835020000002 -1274.08222978906 -9.031435960173968e-05
298.15 CR SI 0.22 0.78 15542.19 28512.62 43.503033 -12970.42928895 68.53 0.00176 25508.807640000003 -1306.188067542519 -0.00011938775302946994
298.15 CR SI 0.23 0.77 14642.68 27592.91 43.435296 -12950.233502399999 71.645 0.00184 25091.780260000003 -1336.8488881016199 -0.00015587388758593103
298.15 CR SI 0.24 0.76 13744.23 26671.41 43.357983 -12927.182631449998 74.76 0.00192 24674.752880000004 -1366.1096036088943 -0.00020121319695092527
298.15 CR SI 0.25 0.75 12847.4 25748.76 43.271393 -12901.36582295 77.875 0.002 24257.725500000004 -1394.0109271940482 -0.00025704651875559315
298.15 CR SI 0.26 0.74 11952.73 24825.6 43.175815 -12872.869242249999 80.99 0.00208 23840.69812 -1420.5898600324033 -0.00032523286864908285
298.15 CR SI 0.27 0.73 11060.79 23902.57 43.071523 -12841.774582449998 84.105 0.00216 23423.67074 -1445.8801024662048 -0.00040786796830767223
298.15 CR SI 0.28 0.72 10172.13 22980.3 42.958784 -12808.1614496 87.22 0.00224 23006.643360000002 -1469.9124032129614 -0.0005073035272742946
298.15 CR SI 0.29 0.71 9287.323 22059.43 42.837856 -12772.1067664 90.335 0.00232 22589.615980000002 -1492.7148576699553 -0.0006261672785583096
298.15 CR SI 0.3 0.7 8406.923 21140.61 42.708987 -12733.68447405 93.45 0.0024 22172.588600000003 -1514.313164037668 -0.000767383767984219
298.15 CR SI 0.31 0.69 7531.5 20224.47 42.572419 -12692.966724849997 96.565 0.00248 21755.56122 -1534.730844232385 -0.0009341958973551058
298.15 CR SI 0.32 0.68 6661.625 19311.65 42.428389 -12650.02418035 99.68 0.00256 21338.53384 -1553.9894352015579 -0.0011301872215997944
298.15 CR SI 0.33 0.67 5797.866 18402.79 42.277124 -12604.9245206 102.795 0.00264 20921.506459999997 -1572.1086551954763 -0.0013593050002128416
298.15 CR SI 0.34 0.66 4940.796 17498.53 42.118848 -12557.7345312 105.91 0.00272 20504.479079999997 -1589.1065487133012 -0.0016258840034722468
298.15 CR SI 0.35 0.65 4090.99 16599.51 41.95378 -12508.519506999999 109.025 0.0028 20087.4517 -1604.9996131775667 -0.0019346710741576676
298.15 CR SI 0.36 0.64 3249.023 15706.37 41.782133 -12457.34295395 112.14 0.00288 19670.424320000002 -1619.8029098595373 -0.0022908504457901774
298.15 CR SI 0.37 0.63 2415.47 14819.74 41.604117 -12404.26748355 115.255 0.00296 19253.396940000002 -1633.5301611487748 -0.0027000698187977295
298.15 CR SI 0.38 0.62 1590.911 13940.26 41.419935 -12349.35362025 118.37 0.00304 18836.369560000003 -1646.193835911596 -0.003168467196502105
