T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 3.115e-28 8e-33 -6719.723 0.0 -0.0
298.15 CR ZR 1.0 0.0 -7019.328 -0.001116882 23.542939 -7019.32726285 311.5 0.008 -7019.328 0.0 -1.145642488486718
298.15 CR ZR 0.01 0.99 -6343.344 7817.287 47.49499 -14160.6312685 3.115 8e-05 -6722.719050000001 -138.82602141683572 -1.0538728489636033e-12
298.15 CR ZR 0.02 0.98 -5937.211 8318.681 47.814495 -14255.891684249998 6.23 0.00016 -6725.715099999999 -243.03584172567548 -6.74451647427917e-11
298.15 CR ZR 0.03 0.97 -5522.888 8815.093 48.089825 -14337.981323749998 9.345 0.00024 -6728.71115 -334.02154674813943 -7.682118556805948e-10
298.15 CR ZR 0.04 0.96 -5105.092 9306.312 48.336086 -14411.404040899999 12.46 0.00032 -6731.7072 -416.3281974105132 -4.316145307153442e-09
298.15 CR ZR 0.05 0.95 -4686.151 9792.126 48.560379 -14478.276998849999 15.575 0.0004 -6734.70325 -492.11297050679866 -1.6464129320400515e-08
298.15 CR ZR 0.06 0.94 -4267.507 10272.32 48.766823 -14539.82827745 18.69 0.00048 -6737.699299999999 -562.6452650375949 -4.9159661019639107e-08
298.15 CR ZR 0.07 0.93 -3850.168 10746.69 48.958094 -14596.8557261 21.805 0.00056 -6740.69535 -628.7628773593874 -1.239573414078547e-07
298.15 CR ZR 0.08 0.92 -3434.901 11215.01 49.136049 -14649.913009349999 24.92 0.00064 -6743.6914 -691.0604007790716 -2.7618912353371084e-07
298.15 CR ZR 0.09 0.91 -3022.322 11677.08 49.302041 -14699.40352415 28.035 0.00072 -6746.68745 -749.9816351924776 -5.598921062978131e-07
298.15 CR ZR 0.1 0.9 -2612.946 12132.68 49.457087 -14745.63048905 31.15 0.0008 -6749.683500000001 -805.870345271772 -1.053493662018591e-06
298.15 CR ZR 0.11 0.89 -2207.218 12581.61 49.601969 -14788.827057349998 34.265 0.00088 -6752.67955 -859.000492370776 -1.866253685971364e-06
298.15 CR ZR 0.12 0.88 -1805.533 13023.64 49.737301 -14829.17629315 37.38 0.00096 -6755.6756000000005 -909.5953759771999 -3.145463756205784e-06
298.15 CR ZR 0.13 0.87 -1408.248 13458.57 49.863567 -14866.82250105 40.495 0.00104 -6758.67165 -957.840348132521 -5.0844029920581164e-06
298.15 CR ZR 0.14 0.86 -1015.692 13886.19 49.981155 -14901.881363249999 43.61 0.00112 -6761.6677 -1003.8915915105914 -7.931050399896908e-06
298.15 CR ZR 0.15 0.85 -628.1679 14306.28 50.090377 -14934.445902549998 46.725 0.0012 -6764.66375 -1047.882375954332 -1.199755349478165e-05
298.15 CR ZR 0.16 0.84 -245.9637 14718.63 50.191482 -14964.5903583 49.84 0.00128 -6767.6598 -1089.9276385420173 -1.7670452986962314e-05
298.15 CR ZR 0.17 0.83 130.6494 15123.02 50.284669 -14992.37406235 52.955 0.00136 -6770.655849999999 -1130.1274135160918 -2.5421663322472473e-05
298.15 CR ZR 0.18 0.82 501.4121 15519.26 50.370097 -15017.84442055 56.07 0.00144 -6773.651900000001 -1168.5694517045056 -3.582020886755318e-05
298.15 CR ZR 0.19 0.81 866.0751 15907.11 50.447888 -15041.037807199998 59.185 0.00152 -6776.6479500000005 -1205.3312553507326 -4.954471552756093e-05
298.15 CR ZR 0.2 0.8 1224.398 16286.38 50.518139 -15061.983142849998 62.3 0.0016 -6779.644 -1240.4816826440385 -6.739665759230414e-05
298.15 CR ZR 0.21 0.79 1576.148 16656.85 50.580918 -15080.700701699998 65.415 0.00168 -6782.64005 -1274.08222978906 -9.031435960173968e-05
298.15 CR ZR 0.22 0.78 1921.098 17018.3 50.636276 -15097.2056894 68.53 0.00176 -6785.6361 -1306.188067542519 -0.00011938775302946994
298.15 CR ZR 0.23 0.77 2259.027 17370.53 50.684242 -15111.506752299998 71.645 0.00184 -6788.63215 -1336.8488881016199 -0.00015587388758593103
298.15 CR ZR 0.24 0.76 2589.717 17713.33 50.724831 -15123.608362649999 74.76 0.00192 -6791.6282 -1366.1096036088943 -0.00020121319695092527
298.15 CR ZR 0.25 0.75 2912.958 18046.47 50.758044 -15133.510818599998 77.875 0.002 -6794.624250000001 -1394.0109271940482 -0.00025704651875559315
298.15 CR ZR 0.26 0.74 3228.54 18369.75 50.783868 -15141.210244199998 80.99 0.00208 -6797.6203 -1420.5898600324033 -0.00032523286864908285
298.15 CR ZR 0.27 0.73 3536.258 18682.96 50.80228 -15146.699782 84.105 0.00216 -6800.61635 -1445.8801024662048 -0.00040786796830767223
298.15 CR ZR 0.28 0.72 3835.91 18985.88 50.813247 -15149.969593049998 87.22 0.00224 -6803.6124 -1469.9124032129614 -0.0005073035272742946
298.15 CR ZR 0.29 0.71 4127.296 19278.3 50.816728 -15151.007453199998 90.335 0.00232 -6806.60845 -1492.7148576699553 -0.0006261672785583096
298.15 CR ZR 0.3 0.7 4410.218 19560.02 50.812672 -15149.798156799998 93.45 0.0024 -6809.6044999999995 -1514.313164037668 -0.000767383767984219
298.15 CR ZR 0.31 0.69 4684.482 19830.81 50.801022 -15146.324709299999 96.565 0.00248 -6812.60055 -1534.730844232385 -0.0009341958973551058
298.15 CR ZR 0.32 0.68 4949.894 20090.46 50.781714 -15140.568029099999 99.68 0.00256 -6815.596599999999 -1553.9894352015579 -0.0011301872215997944
298.15 CR ZR 0.33 0.67 5206.262 20338.77 50.754678 -15132.507245699999 102.795 0.00264 -6818.5926500000005 -1572.1086551954763 -0.0013593050002128416
298.15 CR ZR 0.34 0.66 5453.399 20575.52 50.719839 -15122.119997849999 105.91 0.00272 -6821.5887 -1589.1065487133012 -0.0016258840034722468
298.15 CR ZR 0.35 0.65 5691.114 20800.5 50.677114 -15109.381539099999 109.025 0.0028 -6824.58475 -1604.9996131775667 -0.0019346710741576676
298.15 CR ZR 0.36 0.64 5919.222 21013.49 50.62642 -15094.267123 112.14 0.00288 -6827.5808 -1619.8029098595373 -0.0022908504457901774
298.15 CR ZR 0.37 0.63 6137.537 21214.29 50.567665 -15076.749319749999 115.255 0.00296 -6830.5768499999995 -1633.5301611487748 -0.0027000698187977295
298.15 CR ZR 0.38 0.62 6345.875 21402.68 50.500755 -15056.800103249998 118.37 0.00304 -6833.5729 -1646.193835911596 -0.003168467196502105
298.15 CR ZR 0.39 0.61 6544.054 21578.44 50.425592 -15034.390254799999 121.485 0.00312 -6836.568950000001 -1657.8052243977716 -0.0037026984834342986
298.15 CR ZR 0.4 0.6 6731.89 21741.38 50.342074 -15009.489363099998 124.6 0.0032 -6839.5650000000005 -1668.3745039196444 -0.004309965849252586
298.15 CR ZR 0.41 0.59 6909.205 21891.27 50.250094 -14982.065526099997 127.715 0.00328 -6842.56105 -1677.9107963326926 -0.004998046862501155
298.15 CR ZR 0.42 0.58 7075.817 22027.9 50.149545 -14952.08684175 130.83 0.00336 -6845.5571 -1686.4222181834425 -0.005775324399626951
298.15 CR ZR 0.43 0.57 7231.548 22151.07 50.040312 -14919.5190228 133.945 0.00344 -6848.553150000001 -1693.9159242532326 -0.00665081733612822
298.15 CR ZR 0.44 0.56 7376.221 22260.55 49.922283 -14884.328676449999 137.06 0.00352 -6851.5492 -1700.3981451097393 -0.00763421202850401
298.15 CR ZR 0.45 0.55 7509.658 22356.14 49.795336 -14846.479428399998 140.175 0.0036 -6854.545250000001 -1705.8742191782392 -0.008735894597843767
298.15 CR ZR 0.46 0.54 7631.683 22437.62 49.659352 -14805.9357988 143.29 0.00368 -6857.541300000001 -1710.3486197582595 -0.009966984028535722
298.15 CR ZR 0.47 0.53 7742.121 22504.78 49.514207 -14762.660817049999 146.405 0.00376 -6860.5373500000005 -1713.8249773357109 -0.011339366098785057
298.15 CR ZR 0.48 0.52 7840.798 22557.41 49.359772 -14716.616021799999 149.52 0.00384 -6863.5334 -1716.3060974737868 -0.012865728163451285
298.15 CR ZR 0.49 0.51 7927.539 22595.3 49.195919 -14667.76324985 152.635 0.00392 -6866.52945 -1717.7939745058845 -0.014559594814357719
298.15 CR ZR 0.5 0.5 8002.173 22618.24 49.022516 -14616.0631454 155.75 0.004 -6869.5255 -1718.289801199083 -0.016435364448725075
298.15 CR ZR 0.51 0.49 8064.526 22626.0 48.839426 -14561.4748619 158.865 0.00408 -6872.5215499999995 -1717.7939745058845 -0.018508346782954006
298.15 CR ZR 0.52 0.48 8114.429 22618.39 48.646512 -14503.957552799999 161.98 0.00416 -6875.5176 -1716.3060974737868 -0.020794801356821963
