T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 3.115e-28 8e-33 -6719.723 0.0 -0.0
298.15 CR ZR 1.0 0.0 -7019.328 -0.001116917 23.542939 -7019.32726285 311.5 0.008 -7019.328 0.0 -1.145642488486718
298.15 CR ZR 0.01 0.99 -6503.75 7619.272 47.368848 -14123.022031199998 3.115 8e-05 -6722.719050000001 -138.82602141683572 -1.0538728489636033e-12
298.15 CR ZR 0.02 0.98 -6257.155 7923.665 47.562705 -14180.820495749998 6.23 0.00016 -6725.715099999999 -243.03584172567548 -6.74451647427917e-11
298.15 CR ZR 0.03 0.97 -6001.43 8224.183 47.712942 -14225.613657299999 9.345 0.00024 -6728.71115 -334.02154674813943 -7.682118556805948e-10
298.15 CR ZR 0.04 0.96 -5741.22 8520.705 47.834729 -14261.92445135 12.46 0.00032 -6731.7072 -416.3281974105132 -4.316145307153442e-09
298.15 CR ZR 0.05 0.95 -5478.779 8813.109 47.935229 -14291.88852635 15.575 0.0004 -6734.70325 -492.11297050679866 -1.6464129320400515e-08
298.15 CR ZR 0.06 0.94 -5215.477 9101.276 48.018626 -14316.753341899997 18.69 0.00048 -6737.699299999999 -562.6452650375949 -4.9159661019639107e-08
298.15 CR ZR 0.07 0.93 -4952.25 9385.085 48.087657 -14337.33493455 21.805 0.00056 -6740.69535 -628.7628773593874 -1.239573414078547e-07
298.15 CR ZR 0.08 0.92 -4689.792 9664.414 48.144243 -14354.20605045 24.92 0.00064 -6743.6914 -691.0604007790716 -2.7618912353371084e-07
298.15 CR ZR 0.09 0.91 -4428.645 9939.143 48.1898 -14367.788869999998 28.035 0.00072 -6746.68745 -749.9816351924776 -5.598921062978131e-07
298.15 CR ZR 0.1 0.9 -4169.253 10209.15 48.225406 -14378.4047989 31.15 0.0008 -6749.683500000001 -805.870345271772 -1.053493662018591e-06
298.15 CR ZR 0.11 0.89 -3911.988 10474.32 48.251908 -14386.306370199998 34.265 0.00088 -6752.67955 -859.000492370776 -1.866253685971364e-06
298.15 CR ZR 0.12 0.88 -3657.172 10734.52 48.269981 -14391.69483515 37.38 0.00096 -6755.6756000000005 -909.5953759771999 -3.145463756205784e-06
298.15 CR ZR 0.13 0.87 -3405.09 10989.64 48.280175 -14394.734176249998 40.495 0.00104 -6758.67165 -957.840348132521 -5.0844029920581164e-06
298.15 CR ZR 0.14 0.86 -3155.997 11239.56 48.282939 -14395.558262849998 43.61 0.00112 -6761.6677 -1003.8915915105914 -7.931050399896908e-06
298.15 CR ZR 0.15 0.85 -2910.125 11484.15 48.278647 -14394.27860305 46.725 0.0012 -6764.66375 -1047.882375954332 -1.199755349478165e-05
298.15 CR ZR 0.16 0.84 -2667.688 11723.3 48.267612 -14390.988517799999 49.84 0.00128 -6767.6598 -1089.9276385420173 -1.7670452986962314e-05
298.15 CR ZR 0.17 0.83 -2428.885 11956.88 48.250096 -14385.766122399998 52.955 0.00136 -6770.655849999999 -1130.1274135160918 -2.5421663322472473e-05
298.15 CR ZR 0.18 0.82 -2193.903 12184.77 48.22632 -14378.677307999998 56.07 0.00144 -6773.651900000001 -1168.5694517045056 -3.582020886755318e-05
298.15 CR ZR 0.19 0.81 -1962.918 12406.86 48.196471 -14369.77782865 59.185 0.00152 -6776.6479500000005 -1205.3312553507326 -4.954471552756093e-05
298.15 CR ZR 0.2 0.8 -1736.098 12623.02 48.160706 -14359.114493899999 62.3 0.0016 -6779.644 -1240.4816826440385 -6.739665759230414e-05
298.15 CR ZR 0.21 0.79 -1513.604 12833.12 48.119159 -14346.72725585 65.415 0.00168 -6782.64005 -1274.08222978906 -9.031435960173968e-05
298.15 CR ZR 0.22 0.78 -1295.589 13037.06 48.071941 -14332.64920915 68.53 0.00176 -6785.6361 -1306.188067542519 -0.00011938775302946994
298.15 CR ZR 0.23 0.77 -1082.203 13234.71 48.019146 -14316.908379899998 71.645 0.00184 -6788.63215 -1336.8488881016199 -0.00015587388758593103
298.15 CR ZR 0.24 0.76 -873.5885 13425.94 47.960852 -14299.5280238 74.76 0.00192 -6791.6282 -1366.1096036088943 -0.00020121319695092527
298.15 CR ZR 0.25 0.75 -669.8861 13610.64 47.897121 -14280.526626149998 77.875 0.002 -6794.624250000001 -1394.0109271940482 -0.00025704651875559315
298.15 CR ZR 0.26 0.74 -471.2314 13788.69 47.828004 -14259.919392599999 80.99 0.00208 -6797.6203 -1420.5898600324033 -0.00032523286864908285
298.15 CR ZR 0.27 0.73 -277.7572 13959.96 47.753542 -14237.718547299999 84.105 0.00216 -6800.61635 -1445.8801024662048 -0.00040786796830767223
298.15 CR ZR 0.28 0.72 -89.59323 14124.34 47.673763 -14213.93243845 87.22 0.00224 -6803.6124 -1469.9124032129614 -0.0005073035272742946
298.15 CR ZR 0.29 0.71 93.13351 14281.7 47.58869 -14188.567923499999 90.335 0.00232 -6806.60845 -1492.7148576699553 -0.0006261672785583096
298.15 CR ZR 0.3 0.7 270.2983 14431.93 47.498335 -14161.628580249999 93.45 0.0024 -6809.6044999999995 -1514.313164037668 -0.000767383767984219
298.15 CR ZR 0.31 0.69 441.7788 14574.89 47.402703 -14133.11589945 96.565 0.00248 -6812.60055 -1534.730844232385 -0.0009341958973551058
298.15 CR ZR 0.32 0.68 607.4543 14710.48 47.301794 -14103.0298811 99.68 0.00256 -6815.596599999999 -1553.9894352015579 -0.0011301872215997944
298.15 CR ZR 0.33 0.67 767.2062 14838.57 47.195601 -14071.36843815 102.795 0.00264 -6818.5926500000005 -1572.1086551954763 -0.0013593050002128416
298.15 CR ZR 0.34 0.66 920.9175 14959.04 47.08411 -14038.1273965 105.91 0.00272 -6821.5887 -1589.1065487133012 -0.0016258840034722468
298.15 CR ZR 0.35 0.65 1068.473 15071.77 46.967304 -14003.301687599998 109.025 0.0028 -6824.58475 -1604.9996131775667 -0.0019346710741576676
298.15 CR ZR 0.36 0.64 1209.758 15176.64 46.845159 -13966.884155849999 112.14 0.00288 -6827.5808 -1619.8029098595373 -0.0022908504457901774
298.15 CR ZR 0.37 0.63 1344.66 15273.53 46.71765 -13928.867347499998 115.255 0.00296 -6830.5768499999995 -1633.5301611487748 -0.0027000698187977295
298.15 CR ZR 0.38 0.62 1473.068 15362.31 46.584743 -13889.24112545 118.37 0.00304 -6833.5729 -1646.193835911596 -0.003168467196502105
298.15 CR ZR 0.39 0.61 1594.872 15442.87 46.446405 -13847.99565075 121.485 0.00312 -6836.568950000001 -1657.8052243977716 -0.0037026984834342986
298.15 CR ZR 0.4 0.6 1709.962 15515.08 46.302594 -13805.118401099999 124.6 0.0032 -6839.5650000000005 -1668.3745039196444 -0.004309965849252586
