T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CU DY 0.0 1.0 -20997.4 1565.429 75.67611 -22562.832196499996 0.0 0.0 -20997.4 0.0 -0.0
298.15 CU DY 1.0 0.0 -6240.85 4017.002 34.405002 -10257.8513463 0.0 0.0 -6240.85 0.0 -0.0
298.15 CU DY 0.01 0.99 -21515.04 1094.407 75.83245 -22609.444967499996 0.0 0.0 -20849.8345 -138.82602141683572 -0.0
298.15 CU DY 0.02 0.98 -21987.42 633.396 75.870596 -22620.8181974 0.0 0.0 -20702.269 -243.03584172567548 -0.0
298.15 CU DY 0.03 0.97 -22435.95 182.3956 75.8623 -22618.344745 0.0 0.0 -20554.7035 -334.02154674813943 -0.0
298.15 CU DY 0.04 0.96 -22865.16 -258.5939 75.822804 -22606.5690126 0.0 0.0 -20407.138 -416.3281974105132 -0.0
298.15 CU DY 0.05 0.95 -23277.22 -689.5725 75.759344 -22587.648413599996 0.0 0.0 -20259.5725 -492.11297050679866 -0.0
298.15 CU DY 0.06 0.94 -23673.39 -1110.54 75.676178 -22562.852470699996 0.0 0.0 -20112.007 -562.6452650375949 -0.0
298.15 CU DY 0.07 0.93 -24054.52 -1521.497 75.576116 -22533.0189854 0.0 0.0 -19964.441499999997 -628.7628773593874 -0.0
298.15 CU DY 0.08 0.92 -24421.19 -1922.443 75.461151 -22498.74217065 0.0 0.0 -19816.876000000004 -691.0604007790716 -0.0
298.15 CU DY 0.09 0.91 -24773.84 -2313.378 75.332773 -22460.46626995 0.0 0.0 -19669.310500000003 -749.9816351924776 -0.0
298.15 CU DY 0.1 0.9 -25112.84 -2694.303 75.192135 -22418.535050249997 0.0 0.0 -19521.745000000003 -805.870345271772 -0.0
298.15 CU DY 0.11 0.89 -25438.44 -3065.216 75.040155 -22373.22221325 0.0 0.0 -19374.179500000002 -859.000492370776 -0.0
298.15 CU DY 0.12 0.88 -25750.87 -3426.119 74.877582 -22324.751073299998 0.0 0.0 -19226.614 -909.5953759771999 -0.0
298.15 CU DY 0.13 0.87 -26050.32 -3777.01 74.705038 -22273.3070797 0.0 0.0 -19079.0485 -957.840348132521 -0.0
298.15 CU DY 0.14 0.86 -26336.94 -4117.891 74.523047 -22219.04646305 0.0 0.0 -18931.483 -1003.8915915105914 -0.0
298.15 CU DY 0.15 0.85 -26610.86 -4448.761 74.332055 -22162.10219825 0.0 0.0 -18783.9175 -1047.882375954332 -0.0
298.15 CU DY 0.16 0.84 -26872.21 -4769.62 74.132449 -22102.589669349996 0.0 0.0 -18636.352 -1089.9276385420173 -0.0
298.15 CU DY 0.17 0.83 -27121.08 -5080.469 73.924564 -22040.6087566 0.0 0.0 -18488.786500000002 -1130.1274135160918 -0.0
298.15 CU DY 0.18 0.82 -27357.55 -5381.306 73.708694 -21976.247116099996 0.0 0.0 -18341.221 -1168.5694517045056 -0.0
298.15 CU DY 0.19 0.81 -27581.71 -5672.132 73.485099 -21909.58226685 0.0 0.0 -18193.655500000004 -1205.3312553507326 -0.0
298.15 CU DY 0.2 0.8 -27793.63 -5952.948 73.254009 -21840.682783349996 0.0 0.0 -18046.090000000004 -1240.4816826440385 -0.0
298.15 CU DY 0.21 0.79 -27993.36 -6223.753 73.015633 -21769.610978949997 0.0 0.0 -17898.524500000003 -1274.08222978906 -0.0
298.15 CU DY 0.22 0.78 -28180.97 -6484.547 72.770153 -21696.421116949998 0.0 0.0 -17750.959000000003 -1306.188067542519 -0.0
298.15 CU DY 0.23 0.77 -28356.49 -6735.33 72.517737 -21621.163286549996 0.0 0.0 -17603.393500000002 -1336.8488881016199 -0.0
298.15 CU DY 0.24 0.76 -28519.98 -6976.102 72.258537 -21543.88280655 0.0 0.0 -17455.828 -1366.1096036088943 -0.0
298.15 CU DY 0.25 0.75 -28671.48 -7206.863 71.992687 -21464.61962905 0.0 0.0 -17308.2625 -1394.0109271940482 -0.0
298.15 CU DY 0.26 0.74 -28811.03 -7427.614 71.720312 -21383.4110228 0.0 0.0 -17160.697 -1420.5898600324033 -0.0
298.15 CU DY 0.27 0.73 -28938.64 -7638.353 71.441526 -21300.290976899996 0.0 0.0 -17013.1315 -1445.8801024662048 -0.0
298.15 CU DY 0.28 0.72 -29054.37 -7839.082 71.156431 -21215.289902649998 0.0 0.0 -16865.566000000003 -1469.9124032129614 -0.0
298.15 CU DY 0.29 0.71 -29158.24 -8029.8 70.865122 -21128.4361243 0.0 0.0 -16718.000500000002 -1492.7148576699553 -0.0
298.15 CU DY 0.3 0.7 -29250.26 -8210.507 70.567685 -21039.755282749997 0.0 0.0 -16570.435 -1514.313164037668 -0.0
298.15 CU DY 0.31 0.69 -29330.47 -8381.203 70.264199 -20949.27093185 0.0 0.0 -16422.8695 -1534.730844232385 -0.0
298.15 CU DY 0.32 0.68 -29398.89 -8541.889 69.954735 -20857.004240249997 0.0 0.0 -16275.304 -1553.9894352015579 -0.0
298.15 CU DY 0.33 0.67 -29455.54 -8692.563 69.639361 -20762.975482149996 0.0 0.0 -16127.7385 -1572.1086551954763 -0.0
298.15 CU DY 0.34 0.66 -29500.43 -8833.226 69.318136 -20667.202248399997 0.0 0.0 -15980.172999999999 -1589.1065487133012 -0.0
298.15 CU DY 0.35 0.65 -29533.58 -8963.879 68.991116 -20569.7012354 0.0 0.0 -15832.607500000002 -1604.9996131775667 -0.0
298.15 CU DY 0.36 0.64 -29555.01 -9084.521 68.658352 -20470.487648799997 0.0 0.0 -15685.042000000001 -1619.8029098595373 -0.0
298.15 CU DY 0.37 0.63 -29564.73 -9195.152 68.319889 -20369.57490535 0.0 0.0 -15537.4765 -1633.5301611487748 -0.0
298.15 CU DY 0.38 0.62 -29562.75 -9295.772 67.97577 -20266.975825499998 0.0 0.0 -15389.911 -1646.193835911596 -0.0
298.15 CU DY 0.39 0.61 -29549.08 -9386.381 67.626032 -20162.701440799996 0.0 0.0 -15242.345500000001 -1657.8052243977716 -0.0
298.15 CU DY 0.4 0.6 -29523.74 -9466.98 67.270709 -20056.761888349996 0.0 0.0 -15094.78 -1668.3745039196444 -0.0
298.15 CU DY 0.41 0.59 -29486.73 -9537.567 66.909832 -19949.166410799997 0.0 0.0 -14947.214500000002 -1677.9107963326926 -0.0
298.15 CU DY 0.42 0.58 -29438.07 -9598.144 66.543429 -19839.92335635 0.0 0.0 -14799.649000000001 -1686.4222181834425 -0.0
298.15 CU DY 0.43 0.57 -29377.75 -9648.709 66.171522 -19729.039284299997 0.0 0.0 -14652.083500000002 -1693.9159242532326 -0.0
