T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CU SI 0.0 1.0 34683.41 47000.0 41.310031 -12316.58574265 0.0 0.0 34683.41 0.0 -0.0
298.15 CU SI 1.0 0.0 -6240.85 4017.002 34.405002 -10257.8513463 0.0 0.0 -6240.85 0.0 -0.0
298.15 CU SI 0.01 0.99 34856.52 47232.85 41.510388 -12376.3221822 0.0 0.0 34274.167400000006 -138.82602141683572 -0.0
298.15 CU SI 0.02 0.98 35013.96 47417.63 41.602134 -12403.676252099998 0.0 0.0 33864.9248 -243.03584172567548 -0.0
298.15 CU SI 0.03 0.97 35135.41 47555.42 41.656909 -12420.007418349998 0.0 0.0 33455.6822 -334.02154674813943 -0.0
298.15 CU SI 0.04 0.96 35217.44 47647.27 41.689851 -12429.82907565 0.0 0.0 33046.439600000005 -416.3281974105132 -0.0
298.15 CU SI 0.05 0.95 35258.98 47694.25 41.708087 -12435.266139049998 0.0 0.0 32637.197000000004 -492.11297050679866 -0.0
298.15 CU SI 0.06 0.94 35259.85 47697.41 41.715765 -12437.555334749999 0.0 0.0 32227.9544 -562.6452650375949 -0.0
298.15 CU SI 0.07 0.93 35220.31 47657.82 41.715589 -12437.50286035 0.0 0.0 31818.7118 -628.7628773593874 -0.0
298.15 CU SI 0.08 0.92 35140.86 47576.53 41.709444 -12435.670728599998 0.0 0.0 31409.469200000003 -691.0604007790716 -0.0
298.15 CU SI 0.09 0.91 35022.15 47454.62 41.69871 -12432.4703865 0.0 0.0 31000.2266 -749.9816351924776 -0.0
298.15 CU SI 0.1 0.9 34864.93 47293.14 41.684434 -12428.2139971 0.0 0.0 30590.984000000004 -805.870345271772 -0.0
298.15 CU SI 0.11 0.89 34670.01 47093.15 41.667425 -12423.14276375 0.0 0.0 30181.741400000003 -859.000492370776 -0.0
298.15 CU SI 0.12 0.88 34438.27 46855.72 41.648325 -12417.44809875 0.0 0.0 29772.4988 -909.5953759771999 -0.0
298.15 CU SI 0.13 0.87 34170.61 46581.9 41.627648 -12411.283251199999 0.0 0.0 29363.256200000003 -957.840348132521 -0.0
298.15 CU SI 0.14 0.86 33867.98 46272.76 41.605808 -12404.7716552 0.0 0.0 28954.013600000002 -1003.8915915105914 -0.0
298.15 CU SI 0.15 0.85 33531.34 45929.35 41.583146 -12398.0149799 0.0 0.0 28544.771000000004 -1047.882375954332 -0.0
298.15 CU SI 0.16 0.84 33161.65 45552.75 41.559938 -12391.0955147 0.0 0.0 28135.528400000003 -1089.9276385420173 -0.0
298.15 CU SI 0.17 0.83 32759.92 45144.01 41.536413 -12384.08153595 0.0 0.0 27726.2858 -1130.1274135160918 -0.0
298.15 CU SI 0.18 0.82 32327.16 44704.19 41.512756 -12377.0282014 0.0 0.0 27317.043200000007 -1168.5694517045056 -0.0
298.15 CU SI 0.19 0.81 31864.37 44234.35 41.489119 -12369.98082985 0.0 0.0 26907.800600000006 -1205.3312553507326 -0.0
298.15 CU SI 0.2 0.8 31372.58 43735.56 41.465626 -12362.9763919 0.0 0.0 26498.558000000005 -1240.4816826440385 -0.0
298.15 CU SI 0.21 0.79 30852.83 43208.88 41.442375 -12356.04410625 0.0 0.0 26089.315400000003 -1274.08222978906 -0.0
298.15 CU SI 0.22 0.78 30306.15 42655.36 41.419442 -12349.206632299998 0.0 0.0 25680.0728 -1306.188067542519 -0.0
298.15 CU SI 0.23 0.77 29733.59 42076.07 41.396887 -12342.481859049998 0.0 0.0 25270.830200000004 -1336.8488881016199 -0.0
298.15 CU SI 0.24 0.76 29136.2 41472.08 41.374752 -12335.882308799999 0.0 0.0 24861.587600000003 -1366.1096036088943 -0.0
298.15 CU SI 0.25 0.75 28515.02 40844.44 41.353065 -12329.41632975 0.0 0.0 24452.345 -1394.0109271940482 -0.0
298.15 CU SI 0.26 0.74 27871.12 40194.21 41.331843 -12323.088990449998 0.0 0.0 24043.102400000003 -1420.5898600324033 -0.0
298.15 CU SI 0.27 0.73 27205.55 39522.46 41.311091 -12316.901781649998 0.0 0.0 23633.859800000002 -1445.8801024662048 -0.0
298.15 CU SI 0.28 0.72 26519.39 38830.24 41.290803 -12310.852914449999 0.0 0.0 23224.6172 -1469.9124032129614 -0.0
298.15 CU SI 0.29 0.71 25813.68 38118.62 41.270967 -12304.938811049999 0.0 0.0 22815.374600000003 -1492.7148576699553 -0.0
298.15 CU SI 0.3 0.7 25089.51 37388.66 41.25156 -12299.152613999999 0.0 0.0 22406.132 -1514.313164037668 -0.0
298.15 CU SI 0.31 0.69 24347.94 36641.42 41.232553 -12293.48567695 0.0 0.0 21996.8894 -1534.730844232385 -0.0
298.15 CU SI 0.32 0.68 23590.04 35877.96 41.21391 -12287.927266499999 0.0 0.0 21587.6468 -1553.9894352015579 -0.0
298.15 CU SI 0.33 0.67 22816.89 35099.35 41.19559 -12282.4651585 0.0 0.0 21178.404199999997 -1572.1086551954763 -0.0
298.15 CU SI 0.34 0.66 22029.56 34306.64 41.177545 -12277.08504175 0.0 0.0 20769.1616 -1589.1065487133012 -0.0
298.15 CU SI 0.35 0.65 21229.13 33500.9 41.159723 -12271.77141245 0.0 0.0 20359.919 -1604.9996131775667 -0.0
298.15 CU SI 0.36 0.64 20416.68 32683.19 41.142065 -12266.50667975 0.0 0.0 19950.676400000004 -1619.8029098595373 -0.0
298.15 CU SI 0.37 0.63 19593.29 31854.56 41.12451 -12261.2726565 0.0 0.0 19541.433800000003 -1633.5301611487748 -0.0
298.15 CU SI 0.38 0.62 18760.04 31016.09 41.106992 -12256.049664799999 0.0 0.0 19132.1912 -1646.193835911596 -0.0
298.15 CU SI 0.39 0.61 17918.01 30168.83 41.089441 -12250.816834149999 0.0 0.0 18722.948600000003 -1657.8052243977716 -0.0
298.15 CU SI 0.4 0.6 17068.29 29313.84 41.071782 -12245.551803299999 0.0 0.0 18313.706000000002 -1668.3745039196444 -0.0
298.15 CU SI 0.41 0.59 16211.95 28452.19 41.053939 -12240.231912849998 0.0 0.0 17904.463400000004 -1677.9107963326926 -0.0
298.15 CU SI 0.42 0.58 15350.1 27584.93 41.03583 -12234.832714499998 0.0 0.0 17495.220800000006 -1686.4222181834425 -0.0
298.15 CU SI 0.43 0.57 14483.8 26713.13 41.017371 -12229.329163649998 0.0 0.0 17085.978200000005 -1693.9159242532326 -0.0
298.15 CU SI 0.44 0.56 13614.15 25837.85 40.998477 -12223.69591755 0.0 0.0 16676.735600000007 -1700.3981451097393 -0.0
298.15 CU SI 0.45 0.55 12742.24 24960.15 40.979055 -12217.90524825 0.0 0.0 16267.493000000002 -1705.8742191782392 -0.0
298.15 CU SI 0.46 0.54 11869.16 24081.09 40.959014 -12211.9300241 0.0 0.0 15858.2504 -1710.3486197582595 -0.0
298.15 CU SI 0.47 0.53 10995.99 23201.73 40.938258 -12205.741622699998 0.0 0.0 15449.007800000001 -1713.8249773357109 -0.0
298.15 CU SI 0.48 0.52 10123.83 22323.14 40.916687 -12199.31022905 0.0 0.0 15039.765200000002 -1716.3060974737868 -0.0
298.15 CU SI 0.49 0.51 9253.772 21446.38 40.894201 -12192.60602815 0.0 0.0 14630.522600000002 -1717.7939745058845 -0.0
298.15 CU SI 0.5 0.5 8386.902 20572.5 40.870696 -12185.5980124 0.0 0.0 14221.280000000002 -1718.289801199083 -0.0
298.15 CU SI 0.51 0.49 7524.318 19702.57 40.846065 -12178.25427975 0.0 0.0 13812.037400000001 -1717.7939745058845 -0.0
298.15 CU SI 0.52 0.48 6667.111 18837.65 40.820198 -12170.542033699998 0.0 0.0 13402.794800000001 -1716.3060974737868 -0.0
298.15 CU SI 0.53 0.47 5816.378 17978.81 40.792984 -12162.428179599998 0.0 0.0 12993.5522 -1713.8249773357109 -0.0
298.15 CU SI 0.54 0.46 4973.214 17127.09 40.764308 -12153.878430199999 0.0 0.0 12584.3096 -1710.3486197582595 -0.0
298.15 CU SI 0.55 0.45 4138.715 16283.57 40.734052 -12144.8576038 0.0 0.0 12175.067 -1705.8742191782392 -0.0
298.15 CU SI 0.56 0.44 3313.979 15449.31 40.702097 -12135.33022055 0.0 0.0 11765.8244 -1700.3981451097393 -0.0
298.15 CU SI 0.57 0.43 2500.103 14625.36 40.668319 -12125.259309849998 0.0 0.0 11356.581800000004 -1693.9159242532328 -0.0
298.15 CU SI 0.58 0.42 1698.187 13812.8 40.632593 -12114.607602949998 0.0 0.0 10947.339200000004 -1686.4222181834425 -0.0
298.15 CU SI 0.59 0.41 909.3307 13012.67 40.594789 -12103.336340349999 0.0 0.0 10538.096600000003 -1677.910796332693 -0.0
298.15 CU SI 0.6 0.4 134.6342 12226.04 40.554776 -12091.406464399997 0.0 0.0 10128.854000000001 -1668.3745039196444 -0.0
298.15 CU SI 0.61 0.39 -624.8005 11453.98 40.512418 -12078.777426699999 0.0 0.0 9719.611400000002 -1657.8052243977716 -0.0
298.15 CU SI 0.62 0.38 -1367.871 10697.54 40.467577 -12065.408082549999 0.0 0.0 9310.3688 -1646.193835911596 -0.0
298.15 CU SI 0.63 0.37 -2093.472 9957.784 40.420111 -12051.256094649998 0.0 0.0 8901.1262 -1633.5301611487748 -0.0
298.15 CU SI 0.64 0.36 -2800.501 9235.777 40.369873 -12036.277634949998 0.0 0.0 8491.883600000001 -1619.8029098595373 -0.0
298.15 CU SI 0.65 0.35 -3487.85 8532.578 40.316714 -12020.428279099999 0.0 0.0 8082.641000000001 -1604.9996131775667 -0.0
298.15 CU SI 0.66 0.34 -4154.412 7849.25 40.26048 -12003.662112 0.0 0.0 7673.398399999999 -1589.106548713301 -0.0
298.15 CU SI 0.67 0.33 -4799.08 7186.852 40.201012 -11985.931727799998 0.0 0.0 7264.155799999999 -1572.1086551954763 -0.0
298.15 CU SI 0.68 0.32 -5420.742 6546.447 40.138148 -11967.1888262 0.0 0.0 6854.913199999999 -1553.9894352015576 -0.0
