T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 DY ER 0.0 1.0 -17961.76 4599.997 75.672509 -22561.75855835 0.0 0.0 -17961.76 0.0 -0.0
298.15 DY ER 1.0 0.0 -20997.4 1565.429 75.67611 -22562.832196499996 0.0 0.0 -20997.4 0.0 -0.0
298.15 DY ER 0.01 0.99 -18130.94 4569.652 76.13817 -22700.5953855 0.0 0.0 -17992.116399999995 -138.82602141683572 -0.0
298.15 DY ER 0.02 0.98 -18265.51 4539.306 76.487728 -22804.8161032 0.0 0.0 -18022.4728 -243.03584172567548 -0.0
298.15 DY ER 0.03 0.97 -18386.85 4508.96 76.792932 -22895.812675799996 0.0 0.0 -18052.829199999996 -334.02154674813943 -0.0
298.15 DY ER 0.04 0.96 -18499.52 4478.615 77.069027 -22978.13040005 0.0 0.0 -18083.185599999997 -416.3281974105132 -0.0
298.15 DY ER 0.05 0.95 -18605.66 4448.269 77.323246 -23053.9257949 0.0 0.0 -18113.541999999998 -492.11297050679866 -0.0
298.15 DY ER 0.06 0.94 -18706.55 4417.923 77.559849 -23124.468979349997 0.0 0.0 -18143.8984 -562.6452650375949 -0.0
298.15 DY ER 0.07 0.93 -18803.02 4387.578 77.781645 -23190.597456749998 0.0 0.0 -18174.254799999995 -628.7628773593874 -0.0
298.15 DY ER 0.08 0.92 -18895.67 4357.232 77.990628 -23252.9057382 0.0 0.0 -18204.6112 -691.0604007790716 -0.0
298.15 DY ER 0.09 0.91 -18984.95 4326.886 78.188287 -23311.83776905 0.0 0.0 -18234.9676 -749.9816351924776 -0.0
298.15 DY ER 0.1 0.9 -19071.2 4296.541 78.375775 -23367.73731625 0.0 0.0 -18265.324 -805.870345271772 -0.0
298.15 DY ER 0.11 0.89 -19154.68 4266.195 78.554011 -23420.87837965 0.0 0.0 -18295.6804 -859.000492370776 -0.0
298.15 DY ER 0.12 0.88 -19235.63 4235.849 78.723743 -23471.48397545 0.0 0.0 -18326.036799999998 -909.5953759771999 -0.0
298.15 DY ER 0.13 0.87 -19314.24 4205.503 78.885593 -23519.73955295 0.0 0.0 -18356.3932 -957.840348132521 -0.0
298.15 DY ER 0.14 0.86 -19390.64 4175.158 79.040086 -23565.801640899997 0.0 0.0 -18386.7496 -1003.8915915105914 -0.0
298.15 DY ER 0.15 0.85 -19464.99 4144.812 79.187668 -23609.803214199997 0.0 0.0 -18417.105999999996 -1047.882375954332 -0.0
298.15 DY ER 0.16 0.84 -19537.39 4114.466 79.328725 -23651.85935875 0.0 0.0 -18447.462399999997 -1089.9276385420173 -0.0
298.15 DY ER 0.17 0.83 -19607.95 4084.121 79.463592 -23692.0699548 0.0 0.0 -18477.818799999997 -1130.1274135160918 -0.0
298.15 DY ER 0.18 0.82 -19676.75 4053.775 79.592563 -23730.522658449998 0.0 0.0 -18508.1752 -1168.5694517045056 -0.0
298.15 DY ER 0.19 0.81 -19743.87 4023.429 79.715899 -23767.295286849996 0.0 0.0 -18538.5316 -1205.3312553507326 -0.0
298.15 DY ER 0.2 0.8 -19809.37 3993.084 79.83383 -23802.4564145 0.0 0.0 -18568.888 -1240.4816826440385 -0.0
298.15 DY ER 0.21 0.79 -19873.33 3962.738 79.946563 -23836.067758449997 0.0 0.0 -18599.2444 -1274.08222978906 -0.0
298.15 DY ER 0.22 0.78 -19935.79 3932.392 80.054283 -23868.18447645 0.0 0.0 -18629.6008 -1306.188067542519 -0.0
298.15 DY ER 0.23 0.77 -19996.81 3902.047 80.157156 -23898.856061399998 0.0 0.0 -18659.9572 -1336.8488881016199 -0.0
298.15 DY ER 0.24 0.76 -20056.43 3871.701 80.255333 -23928.127533949995 0.0 0.0 -18690.3136 -1366.1096036088943 -0.0
298.15 DY ER 0.25 0.75 -20114.68 3841.355 80.348951 -23956.039740649998 0.0 0.0 -18720.67 -1394.0109271940482 -0.0
298.15 DY ER 0.26 0.74 -20171.62 3811.01 80.438133 -23982.629353949997 0.0 0.0 -18751.0264 -1420.5898600324033 -0.0
298.15 DY ER 0.27 0.73 -20227.27 3780.664 80.522993 -24007.93036295 0.0 0.0 -18781.3828 -1445.8801024662048 -0.0
298.15 DY ER 0.28 0.72 -20281.66 3750.318 80.603634 -24031.973477099997 0.0 0.0 -18811.7392 -1469.9124032129614 -0.0
298.15 DY ER 0.29 0.71 -20334.81 3719.973 80.68015 -24054.786722499997 0.0 0.0 -18842.095599999997 -1492.7148576699553 -0.0
298.15 DY ER 0.3 0.7 -20386.77 3689.627 80.752627 -24076.39574005 0.0 0.0 -18872.451999999997 -1514.313164037668 -0.0
298.15 DY ER 0.31 0.69 -20437.54 3659.281 80.821144 -24096.8240836 0.0 0.0 -18902.808399999998 -1534.730844232385 -0.0
298.15 DY ER 0.32 0.68 -20487.16 3628.936 80.885774 -24116.0935181 0.0 0.0 -18933.1648 -1553.9894352015579 -0.0
298.15 DY ER 0.33 0.67 -20535.63 3598.59 80.946582 -24134.2234233 0.0 0.0 -18963.5212 -1572.1086551954763 -0.0
298.15 DY ER 0.34 0.66 -20582.99 3568.244 81.003629 -24151.231986349998 0.0 0.0 -18993.8776 -1589.1065487133012 -0.0
298.15 DY ER 0.35 0.65 -20629.24 3537.898 81.056971 -24167.13590365 0.0 0.0 -19024.234 -1604.9996131775667 -0.0
298.15 DY ER 0.36 0.64 -20674.4 3507.553 81.106658 -24181.950082699997 0.0 0.0 -19054.5904 -1619.8029098595373 -0.0
298.15 DY ER 0.37 0.63 -20718.48 3477.207 81.152735 -24195.68794025 0.0 0.0 -19084.946799999998 -1633.5301611487748 -0.0
