T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE NB 0.0 1.0 -10813.9 0.0003004229 36.270001 -10813.90079815 1.043e-27 2.22e-30 -10813.9 0.0 -0.0
298.15 FE NB 1.0 0.0 -8133.465 -0.02978846 27.279676 -8133.435399399999 1043.0 2.22 -8133.465 0.0 -5837.568155846089
298.15 FE NB 0.01 0.99 -10839.89 74.56514 36.607268 -10914.456954199999 10.43 0.0222 -10787.095650000001 -138.82602141683572 -1.2173716933975972e-07
298.15 FE NB 0.02 0.98 -10826.07 157.0028 36.837393 -10983.068722949998 20.86 0.0444 -10760.291299999999 -243.03584172567548 -7.707477287391463e-06
298.15 FE NB 0.03 0.97 -10793.99 247.0821 37.031931 -11041.07022765 31.29 0.0666 -10733.48695 -334.02154674813943 -8.686631064102029e-05
298.15 FE NB 0.04 0.96 -10748.38 344.5709 37.205931 -11092.94832765 41.72 0.0888 -10706.682599999998 -416.3281974105132 -0.00048300851422781164
298.15 FE NB 0.05 0.95 -10691.57 449.2338 37.366424 -11140.7993156 52.15 0.111 -10679.87825 -492.11297050679866 -0.0018237377253851313
298.15 FE NB 0.06 0.94 -10625.0 560.8306 37.517451 -11185.828015649999 62.58 0.1332 -10653.0739 -562.6452650375949 -0.005391022825081831
298.15 FE NB 0.07 0.93 -10549.69 679.1138 37.661584 -11228.801269599999 73.01 0.1554 -10626.269549999999 -628.7628773593874 -0.013459980631745846
298.15 FE NB 0.08 0.92 -10466.41 803.8252 37.800552 -11270.2345788 83.44 0.1776 -10599.4652 -691.0604007790716 -0.0297000666995776
298.15 FE NB 0.09 0.91 -10375.79 934.6927 37.935542 -11310.481847299998 93.87 0.1998 -10572.66085 -749.9816351924776 -0.05963488252441791
298.15 FE NB 0.1 0.9 -10278.36 1071.427 38.067356 -11349.782191399998 104.3 0.222 -10545.8565 -805.870345271772 -0.1111571782788611
298.15 FE NB 0.11 0.89 -10174.57 1213.715 38.196502 -11388.2870713 114.73 0.2442 -10519.05215 -859.000492370776 -0.19509598485936586
298.15 FE NB 0.12 0.88 -10064.86 1361.219 38.32325 -11426.076987499999 125.16 0.2664 -10492.2478 -909.5953759771999 -0.3258331923045998
298.15 FE NB 0.13 0.87 -9949.6 1513.568 38.447653 -11463.16774195 135.59 0.2886 -10465.443449999999 -957.840348132521 -0.5219673891792395
298.15 FE NB 0.14 0.86 -9829.162 1670.355 38.56957 -11499.517295499998 146.02 0.3108 -10438.6391 -1003.8915915105914 -0.8070235485126451
298.15 FE NB 0.15 0.85 -9703.896 1831.13 38.688667 -11535.026066049999 156.45 0.333 -10411.834749999998 -1047.882375954332 -1.2102084740511028
298.15 FE NB 0.16 0.84 -9574.144 1995.393 38.804416 -11569.5366304 166.88 0.3552 -10385.0304 -1089.9276385420173 -1.7672142920549188
298.15 FE NB 0.17 0.83 -9440.243 2162.589 38.916088 -11602.831637199999 177.31 0.3774 -10358.22605 -1130.1274135160918 -2.5210764974203363
298.15 FE NB 0.18 0.82 -9302.533 2332.098 39.022741 -11634.63022915 187.74 0.3996 -10331.4217 -1168.5694517045056 -3.5231004638124275
298.15 FE NB 0.19 0.81 -9161.355 2503.227 39.123198 -11664.5814837 198.17 0.4218 -10304.61735 -1205.3312553507326 -4.833883083843802
298.15 FE NB 0.2 0.8 -9017.058 2675.198 39.216019 -11692.25606485 208.6 0.444 -10277.813000000002 -1240.4816826440385 -6.524477980236605
298.15 FE NB 0.21 0.79 -8870.003 2847.129 39.299451 -11717.131315649998 219.03 0.4662 -10251.00865 -1274.08222978906 -8.677789934804087
298.15 FE NB 0.22 0.78 -8720.562 3018.008 39.371358 -11738.5703877 229.46 0.4884 -10224.204300000001 -1306.188067542519 -11.390348589596279
298.15 FE NB 0.23 0.77 -8569.129 3186.655 39.429093 -11755.78407795 239.89 0.5106 -10197.399949999999 -1336.8488881016199 -14.774725621218478
298.15 FE NB 0.24 0.76 -8416.121 3351.646 39.469282 -11767.7664283 250.32 0.5328 -10170.5956 -1366.1096036088943 -18.963067854996847
298.15 FE NB 0.25 0.75 -8261.987 3511.192 39.487438 -11773.179639699998 260.75 0.555 -10143.791249999998 -1394.0109271940482 -24.11260958983446
298.15 FE NB 0.26 0.74 -8107.227 3662.91 39.477235 -11770.13761525 271.18 0.5772 -10116.9869 -1420.5898600324033 -30.41477658185903
298.15 FE NB 0.27 0.73 -7952.411 3803.385 39.429133 -11755.79600395 281.61 0.5994 -10090.18255 -1445.8801024662048 -38.11094748966209
298.15 FE NB 0.28 0.72 -7798.222 3927.334 39.327709 -11725.556438349999 292.04 0.6216 -10063.3782 -1469.9124032129614 -47.520764992741064
298.15 FE NB 0.29 0.71 -7645.626 4015.522 39.111681 -11661.14769015 302.47 0.6438 -10036.57385 -1492.7148576699553 -59.3184222629027
298.15 FE NB 0.3 0.7 -7495.93 4090.195 38.860052 -11586.1245038 312.9 0.666 -10009.769499999999 -1514.313164037668 -75.57614608994102
298.15 FE NB 0.31 0.69 -7349.006 4176.015 38.65511 -11525.0210465 323.33 0.6882 -9982.96515 -1534.730844232385 -96.15414048481144
298.15 FE NB 0.32 0.68 -7204.612 4269.646 38.48485 -11474.2580275 333.76 0.7104 -9956.1608 -1553.9894352015579 -120.56220295948354
298.15 FE NB 0.33 0.67 -7062.613 4368.803 38.341157 -11431.41595955 344.19 0.7326 -9929.35645 -1572.1086551954763 -148.43308248158627
298.15 FE NB 0.34 0.66 -6922.945 4471.854 38.218345 -11394.799561749998 354.62 0.7548 -9902.552099999999 -1589.1065487133012 -179.48192524367187
298.15 FE NB 0.35 0.65 -6785.593 4577.584 38.112283 -11363.177176449999 365.05 0.777 -9875.747749999999 -1604.9996131775667 -213.4810948940227
298.15 FE NB 0.36 0.64 -6650.577 4685.05 38.019878 -11335.626625699999 375.48 0.7992 -9848.9434 -1619.8029098595373 -250.24401204396992
298.15 FE NB 0.37 0.63 -6517.94 4793.496 37.938742 -11311.4359273 385.91 0.8214 -9822.13905 -1633.5301611487748 -289.61444856585655
298.15 FE NB 0.38 0.62 -6387.746 4902.293 37.866977 -11290.039192549999 396.34 0.8436 -9795.3347 -1646.193835911596 -331.4592198033345
298.15 FE NB 0.39 0.61 -6260.075 5010.902 37.803044 -11270.9775686 406.77 0.8658 -9768.530349999999 -1657.8052243977716 -375.66305454464634
298.15 FE NB 0.4 0.6 -6135.017 5118.852 37.745662 -11253.8691253 417.2 0.888 -9741.725999999999 -1668.3745039196444 -422.1248993169814
298.15 FE NB 0.41 0.59 -6012.671 5225.72 37.693747 -11238.39066805 427.63 0.9102 -9714.92165 -1677.9107963326926 -470.7551921398433
298.15 FE NB 0.42 0.58 -5893.143 5331.12 37.646363 -11224.26312845 438.06 0.9324 -9688.117300000002 -1686.4222181834425 -521.4738077302391
298.15 FE NB 0.43 0.57 -5776.546 5434.697 37.602694 -11211.2432161 448.49 0.9546 -9661.312950000001 -1693.9159242532326 -574.208478499063
298.15 FE NB 0.44 0.56 -5662.999 5536.115 37.562012 -11199.1138778 458.92 0.9768 -9634.508600000001 -1700.3981451097393 -628.8935599163234
298.15 FE NB 0.45 0.55 -5552.622 5635.058 37.523666 -11187.681017899999 469.35 0.999 -9607.70425 -1705.8742191782392 -685.4690500445063
298.15 FE NB 0.46 0.54 -5445.543 5731.225 37.487063 -11176.76783345 479.78 1.0212 -9580.8999 -1710.3486197582595 -743.8798000586988
298.15 FE NB 0.47 0.53 -5341.888 5824.325 37.451662 -11166.2130253 490.21 1.0434 -9554.09555 -1713.8249773357109 -804.0748706452165
298.15 FE NB 0.48 0.52 -5241.79 5914.077 37.416961 -11155.866922149999 500.64 1.0656 -9527.2912 -1716.3060974737868 -866.0070014951294
298.15 FE NB 0.49 0.51 -5145.381 6000.208 37.38249 -11145.589393499999 511.07 1.0878 -9500.48685 -1717.7939745058845 -929.632169668956
298.15 FE NB 0.5 0.5 -5052.796 6082.454 37.34781 -11135.2495515 521.5 1.11 -9473.682499999999 -1718.289801199083 -994.9092186575349
298.15 FE NB 0.51 0.49 -4964.172 6160.552 37.312507 -11124.723962049999 531.93 1.1322 -9446.87815 -1717.7939745058845 -1061.7995443085556
298.15 FE NB 0.52 0.48 -4879.646 6234.248 37.276184 -11113.8942596 542.36 1.1544 -9420.0738 -1716.3060974737868 -1130.26682695647
