T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE NI 0.0 1.0 4083.022 3000.265 -3.6315838 1082.75670997 575.0 0.85 4083.022 0.0 -1042.4491903721046
298.15 FE NI 1.0 0.0 -5402.283 -7973.06 -8.6224273 2570.776699495 1043.0 2.22 -5402.283 0.0 -5837.568155846089
298.15 FE NI 0.01 0.99 3855.409 2907.04 -3.180846 948.3692348999999 579.68 0.8637 3988.16895 -138.82602141683572 -1074.8891459194165
298.15 FE NI 0.02 0.98 3662.194 2813.429 -2.846771 848.7647736499999 584.36 0.8774 3893.3158999999996 -243.03584172567548 -1107.7358199784396
298.15 FE NI 0.03 0.97 3481.988 2719.436 -2.5576144 762.5527333599999 589.04 0.8911 3798.46285 -334.02154674813943 -1140.9852667610262
298.15 FE NI 0.04 0.96 3310.251 2625.062 -2.2981375 685.189695625 593.72 0.9048 3703.6097999999997 -416.3281974105132 -1174.6335987572645
298.15 FE NI 0.05 0.95 3144.83 2530.31 -2.0611104 614.52006576 598.4 0.9185 3608.75675 -492.11297050679866 -1208.6769861873872
298.15 FE NI 0.06 0.94 2984.458 2435.182 -1.8422808 549.27602052 603.08 0.9322 3513.9037 -562.6452650375949 -1243.1116564059826
298.15 FE NI 0.07 0.93 2828.303 2339.681 -1.6388442 488.62139823 607.76 0.9459 3419.0506499999997 -628.7628773593874 -1277.933893265184
298.15 FE NI 0.08 0.92 2675.772 2243.809 -1.4488118 431.96323817 612.44 0.9596 3324.1976 -691.0604007790716 -1313.1400364429019
298.15 FE NI 0.09 0.91 2526.426 2147.567 -1.2707005 378.859354075 617.12 0.9733 3229.3445500000003 -749.9816351924776 -1348.7264807414358
298.15 FE NI 0.1 0.9 2379.926 2050.958 -1.1033626 328.96755919 621.8 0.987 3134.4914999999996 -805.870345271772 -1384.6896753613403
298.15 FE NI 0.11 0.89 2235.999 1953.984 -0.94588463 282.0155024345 626.48 1.0007 3039.63845 -859.000492370776 -1421.0261231548445
298.15 FE NI 0.12 0.88 2094.428 1856.646 -0.79752309 237.7815092835 631.16 1.0144 2944.7853999999998 -909.5953759771999 -1457.7323798627162
298.15 FE NI 0.13 0.87 1955.029 1758.948 -0.6576616 196.08180603999998 635.84 1.0281 2849.93235 -957.840348132521 -1494.8050533380174
298.15 FE NI 0.14 0.86 1817.651 1660.889 -0.52578163 156.76179298449998 640.52 1.0418 2755.0793 -1003.8915915105914 -1532.2408027598626
298.15 FE NI 0.15 0.85 1682.163 1562.473 -0.40144146 119.689771299 645.2 1.0555 2660.2262499999997 -1047.882375954332 -1570.036337839925
298.15 FE NI 0.16 0.84 1548.454 1463.701 -0.2842608 84.75235751999999 649.88 1.0692 2565.3732 -1089.9276385420173 -1608.1884180241655
298.15 FE NI 0.17 0.83 1416.426 1364.575 -0.17390934 51.851069720999995 654.56 1.0829 2470.5201499999994 -1130.1274135160918 -1646.6938516919683
298.15 FE NI 0.18 0.82 1285.996 1265.096 -0.070097894 20.899687096099996 659.24 1.0966 2375.6671000000006 -1168.5694517045056 -1685.5494953546379
298.15 FE NI 0.19 0.81 1157.089 1165.267 0.027428391 -8.177774776649999 663.92 1.1103 2280.81405 -1205.3312553507326 -1724.7522528549698
298.15 FE NI 0.2 0.8 1029.639 1065.088 0.11889542 -35.448669472999995 668.6 1.124 2185.9610000000002 -1240.4816826440385 -1764.2990745694433
298.15 FE NI 0.21 0.79 903.5883 964.5613 0.20450447 -60.973007730499994 673.28 1.1377 2091.1079499999996 -1274.08222978906 -1804.1869566143816
298.15 FE NI 0.22 0.78 778.8842 863.6887 0.28443564 -84.804486066 677.96 1.1514 1996.2549000000001 -1306.188067542519 -1844.4129400572472
298.15 FE NI 0.23 0.77 655.4803 762.4716 0.35885073 -106.99134514949999 682.64 1.1651 1901.4018499999997 -1336.8488881016199 -1884.9741101341542
298.15 FE NI 0.24 0.76 533.3344 660.9115 0.42789554 -127.57705525099999 687.32 1.1788 1806.5488 -1366.1096036088943 -1925.8675954744722
298.15 FE NI 0.25 0.75 412.4089 559.0098 0.49170186 -146.60090955899997 692.0 1.1925 1711.6957499999996 -1394.0109271940482 -1967.0905673333416
298.15 FE NI 0.26 0.74 292.6695 456.768 0.55038908 -164.098504202 696.68 1.2062 1616.8426999999997 -1420.5898600324033 -2008.6402388327751
298.15 FE NI 0.27 0.73 174.0855 354.1876 0.60406559 -180.1021556585 701.36 1.2199 1521.98965 -1445.8801024662048 -2050.5138642119464
298.15 FE NI 0.28 0.72 56.62869 251.2699 0.65282993 -194.6412436295 706.04 1.2336 1427.1365999999996 -1469.9124032129614 -2092.7087380871503
