T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE NI 0.0 1.0 -1521.871 7989.419 31.901023 -9511.29000745 575.0 0.85 -1521.871 0.0 -1042.4491903721046
298.15 FE NI 1.0 0.0 -8133.465 -0.0297885 27.279676 -8133.435399399999 1043.0 2.22 -8133.465 0.0 -5837.568155846089
298.15 FE NI 0.01 0.99 -1639.759 8014.162 32.379407 -9653.92019705 555.227 0.8580768 -1587.98694 -138.82602141683572 -966.3493159186743
298.15 FE NI 0.02 0.98 -1725.638 8037.212 32.74476 -9762.850193999999 536.536 0.8668944 -1654.1028800000001 -243.03584172567548 -894.8069052218206
298.15 FE NI 0.03 0.97 -1800.807 8058.774 33.069197 -9859.58108555 518.909 0.8764336 -1720.21882 -334.02154674813943 -827.6998750639632
298.15 FE NI 0.04 0.96 -1869.732 8079.016 33.368266 -9948.748507899998 502.328 0.8866752 -1786.3347600000002 -416.3281974105132 -764.9222749113371
298.15 FE NI 0.05 0.95 -1934.508 8098.067 33.649421 -10032.574871149998 486.775 0.8976 -1852.4507 -492.11297050679866 -706.3809798787591
298.15 FE NI 0.06 0.94 -1996.353 8116.01 33.917032 -10112.3630908 472.232 0.9091888 -1918.56664 -562.6452650375949 -651.9922634336405
298.15 FE NI 0.07 0.93 -2056.063 8132.883 34.173892 -10188.9458998 458.681 0.9214224 -1984.6825800000001 -628.7628773593874 -601.6783428788924
298.15 FE NI 0.08 0.92 -2114.194 8148.672 34.421821 -10262.86593115 446.104 0.9342816 -2050.7985200000003 -691.0604007790716 -555.3640169708705
298.15 FE NI 0.09 0.91 -2171.155 8163.308 34.661959 -10334.46307585 434.483 0.9477472 -2116.91446 -749.9816351924776 -512.9735400338377
298.15 FE NI 0.1 0.9 -2227.252 8176.665 34.894909 -10403.917118349998 423.8 0.9618 -2183.0304000000006 -805.870345271772 -474.42789749728684
298.15 FE NI 0.11 0.89 -2282.721 8188.555 35.120834 -10471.2766571 414.037 0.9764208 -2249.1463400000002 -859.000492370776 -439.64266014975425
298.15 FE NI 0.12 0.88 -2337.743 8198.729 35.339502 -10536.4725213 405.176 0.9915904 -2315.26228 -909.5953759771999 -408.52659439414015
298.15 FE NI 0.13 0.87 -2392.455 8206.88 35.550342 -10599.3344673 397.199 1.0072896 -2381.3782200000005 -957.840348132521 -380.98118915392956
298.15 FE NI 0.14 0.86 -2446.96 8212.642 35.75248 -10659.601911999998 390.088 1.0234992 -2447.49416 -1003.8915915105914 -356.90122305122907
298.15 FE NI 0.15 0.85 -2501.336 8215.604 35.944794 -10716.9403311 383.825 1.0402 -2513.6101 -1047.882375954332 -336.17643563306376
298.15 FE NI 0.16 0.84 -2555.642 8215.316 36.125971 -10770.958253649998 378.392 1.0573728 -2579.72604 -1089.9276385420173 -318.69428387561663
298.15 FE NI 0.17 0.83 -2609.922 8211.306 36.294578 -10821.228430699999 373.771 1.0749984 -2645.84198 -1130.1274135160918 -304.34366399975414
298.15 FE NI 0.18 0.82 -2664.216 8203.097 36.449147 -10867.31317805 369.944 1.0930576 -2711.95792 -1168.5694517045056 -293.0193679640969
298.15 FE NI 0.19 0.81 -2718.561 8190.228 36.588259 -10908.78942085 366.893 1.1115312 -2778.0738600000004 -1205.3312553507326 -284.6269384273424
298.15 FE NI 0.2 0.8 -2773.002 8172.276 36.710642 -10945.2779123 364.6 1.1304 -2844.1898 -1240.4816826440385 -279.0875039881621
298.15 FE NI 0.21 0.79 -2827.591 8148.875 36.815249 -10976.46648935 363.047 1.1496448 -2910.30574 -1274.08222978906 -276.3421370276389
