T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE V 0.0 1.0 -9209.853 0.0002657617 30.89 -9209.8535 8.35e-28 4e-32 -9209.853 0.0 -0.0
298.15 FE V 1.0 0.0 -8133.465 -0.02978852 27.279676 -8133.435399399999 1043.0 2.22 -8133.465 0.0 -5837.568155846089
298.15 FE V 0.01 0.99 -9533.811 -191.8937 31.332945 -9341.917551749999 7.4000916 0.000174 -9199.08912 -138.82602141683572 -1.7342922776953555e-10
298.15 FE V 0.02 0.98 -9815.221 -375.1835 31.662043 -9440.038120449999 13.052246 0.000104 -9188.325239999998 -243.03584172567548 -1.7695480280457538e-09
298.15 FE V 0.03 0.97 -10075.56 -549.9571 31.949025 -9525.60180375 17.176078 0.000834 -9177.56136 -334.02154674813943 -5.597967543094724e-08
298.15 FE V 0.04 0.96 -10319.45 -716.3027 32.209117 -9603.148233549999 19.980434 0.002016 -9166.797479999997 -416.3281974105132 -2.8807333363995476e-07
298.15 FE V 0.05 0.95 -10549.14 -874.3085 32.449537 -9674.829456549998 21.663598 0.00365 -9156.033599999999 -492.11297050679866 -7.808718471119142e-07
298.15 FE V 0.06 0.94 -10765.97 -1024.063 32.674525 -9741.90962875 22.413497 0.005736 -9145.269719999998 -562.6452650375949 -1.4532489056346538e-06
298.15 FE V 0.07 0.93 -10970.87 -1165.653 32.886871 -9805.22058865 22.407917 0.008274 -9134.505839999998 -628.7628773593874 -2.0910180644017662e-06
298.15 FE V 0.08 0.92 -11164.52 -1299.168 33.088553 -9865.35207695 21.814704 0.011264 -9123.74196 -691.0604007790716 -2.4855932767293523e-06
298.15 FE V 0.09 0.91 -11347.44 -1424.696 33.28104 -9922.742075999999 20.791973 0.014706 -9112.97808 -749.9816351924776 -2.54814682472649e-06
298.15 FE V 0.1 0.9 -11520.05 -1542.325 33.465468 -9977.729284199999 19.48832 0.0186 -9102.214199999999 -805.870345271772 -2.327031801222203e-06
298.15 FE V 0.11 0.89 -11682.72 -1652.143 33.642737 -10030.582036549999 18.043029 0.022946 -9091.45032 -859.000492370776 -1.9486951414490606e-06
298.15 FE V 0.12 0.88 -11835.76 -1754.237 33.813578 -10081.518280699998 16.586277 0.027744 -9080.68644 -909.5953759771999 -1.5430605366206472e-06
298.15 FE V 0.13 0.87 -11979.42 -1848.697 33.978594 -10130.7178011 15.239346 0.032994 -9069.922559999999 -957.840348132521 -1.198461247390882e-06
298.15 FE V 0.14 0.86 -12113.94 -1935.611 34.138292 -10178.3317598 14.11483 0.038696 -9059.158679999999 -1003.8915915105914 -9.5543108288319e-07
298.15 FE V 0.15 0.85 -12239.55 -2015.066 34.293101 -10224.48806315 13.316842 0.04485 -9048.394799999998 -1047.882375954332 -8.253387253326638e-07
298.15 FE V 0.16 0.84 -12356.45 -2087.151 34.443387 -10269.295834049999 12.941225 0.051456 -9037.63092 -1089.9276385420173 -8.18082682449231e-07
298.15 FE V 0.17 0.83 -12464.8 -2151.954 34.589468 -10312.849884199999 13.075755 0.058514 -9026.86704 -1130.1274135160918 -9.76364965418756e-07
298.15 FE V 0.18 0.82 -12564.79 -2209.562 34.73162 -10355.232503 13.800357 0.066024 -9016.10316 -1168.5694517045056 -1.4375445875417435e-06
298.15 FE V 0.19 0.81 -12656.58 -2260.065 34.870086 -10396.5161409 15.187306 0.073986 -9005.33928 -1205.3312553507326 -2.5905209737792264e-06
298.15 FE V 0.2 0.8 -12740.31 -2303.55 35.005077 -10436.763707549999 17.30144 0.0824 -8994.5754 -1240.4816826440385 -5.5138693799043845e-06
298.15 FE V 0.21 0.79 -12816.14 -2340.105 35.136782 -10476.031553299998 20.200364 0.091266 -8983.81152 -1274.08222978906 -1.319553495109673e-05
298.15 FE V 0.22 0.78 -12884.19 -2369.819 35.265368 -10514.369469199999 23.934664 0.100584 -8973.04764 -1306.188067542519 -3.381529042275776e-05
298.15 FE V 0.23 0.77 -12944.6 -2392.781 35.390983 -10551.821581449998 28.548107 0.110354 -8962.28376 -1336.8488881016199 -8.916019420520753e-05
298.15 FE V 0.24 0.76 -12997.5 -2409.077 35.513759 -10588.42724585 34.07786 0.120576 -8951.51988 -1366.1096036088943 -0.00023501340456887277
298.15 FE V 0.25 0.75 -13043.02 -2418.798 35.63381 -10624.220451499998 40.554688 0.13125 -8940.756 -1394.0109271940482 -0.0006076807930582627
298.15 FE V 0.26 0.74 -13081.27 -2422.035 35.751237 -10659.23131155 48.003167 0.142376 -8929.992119999999 -1420.5898600324033 -0.0015240052903280484
298.15 FE V 0.27 0.73 -13112.36 -2418.88 35.86612 -10693.483678 56.441893 0.153954 -8919.228239999999 -1445.8801024662048 -0.003684333629182244
298.15 FE V 0.28 0.72 -13136.43 -2409.432 35.978516 -10726.994545399999 65.883688 0.165984 -8908.464359999998 -1469.9124032129614 -0.008562648898187157
298.15 FE V 0.29 0.71 -13153.57 -2393.803 36.088439 -10759.76808785 76.33581 0.178466 -8897.70048 -1492.7148576699553 -0.019119479100265086
298.15 FE V 0.3 0.7 -13163.91 -2372.123 36.195843 -10791.79059045 87.80016 0.1914 -8886.936599999999 -1514.313164037668 -0.04104499725966262
298.15 FE V 0.31 0.69 -13167.58 -2344.56 36.300579 -10823.017628849999 100.27349 0.204786 -8876.172719999999 -1534.730844232385 -0.08483472823308344
298.15 FE V 0.32 0.68 -13164.69 -2311.34 36.402323 -10853.35260245 113.74761 0.218624 -8865.408839999998 -1553.9894352015579 -0.16911939568797996
298.15 FE V 0.33 0.67 -13155.41 -2272.793 36.50048 -10882.618112 128.20961 0.232914 -8854.644959999998 -1572.1086551954763 -0.3258122420942372
298.15 FE V 0.34 0.66 -13139.91 -2229.404 36.594027 -10910.509150049998 143.64204 0.247656 -8843.88108 -1589.1065487133012 -0.6077966486823868
298.15 FE V 0.35 0.65 -13118.43 -2181.9 36.681283 -10936.524526449999 160.02313 0.26285 -8833.1172 -1604.9996131775667 -1.1000527970674312
298.15 FE V 0.36 0.64 -13091.24 -2131.371 36.759597 -10959.873845549999 177.32703 0.278496 -8822.35332 -1619.8029098595373 -1.9353256320671075
