T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE W 0.0 1.0 -9724.927 0.0001853305 32.617565 -9724.92700475 1.043e-27 2.22e-30 -9724.927 0.0 -0.0
298.15 FE W 1.0 0.0 -8133.465 -0.02978848 27.279676 -8133.435399399999 1043.0 2.22 -8133.465 0.0 -5837.568155846089
298.15 FE W 0.01 0.99 -9410.562 433.9726 33.01873 -9844.534349499998 10.43 0.0222 -9709.01238 -138.82602141683572 -1.2173716933975972e-07
298.15 FE W 0.02 0.98 -9078.315 851.8541 33.305951 -9930.16929065 20.86 0.0444 -9693.097759999999 -243.03584172567548 -7.707477287391463e-06
298.15 FE W 0.03 0.97 -8749.124 1254.099 33.550976 -10003.2234944 31.29 0.0666 -9677.18314 -334.02154674813943 -8.686631064102029e-05
298.15 FE W 0.04 0.96 -8427.087 1641.154 33.769046 -10068.2410649 41.72 0.0888 -9661.268519999998 -416.3281974105132 -0.00048300851422781164
298.15 FE W 0.05 0.95 -8113.919 2013.455 33.967382 -10127.3749433 52.15 0.111 -9645.353899999998 -492.11297050679866 -0.0018237377253851313
298.15 FE W 0.06 0.94 -7810.46 2371.427 34.150216 -10181.886900399999 62.58 0.1332 -9629.43928 -562.6452650375949 -0.005391022825081831
298.15 FE W 0.07 0.93 -7517.124 2715.477 34.320312 -10232.6010228 73.01 0.1554 -9613.52466 -628.7628773593874 -0.013459980631745846
298.15 FE W 0.08 0.92 -7234.091 3045.999 34.479591 -10280.090056649999 83.44 0.1776 -9597.61004 -691.0604007790716 -0.0297000666995776
298.15 FE W 0.09 0.91 -6961.402 3363.363 34.62943 -10324.7645545 93.87 0.1998 -9581.69542 -749.9816351924776 -0.05963488252441791
298.15 FE W 0.1 0.9 -6699.007 3667.914 34.770822 -10366.9205793 104.3 0.222 -9565.7808 -805.870345271772 -0.1111571782788611
298.15 FE W 0.11 0.89 -6446.799 3959.968 34.904468 -10406.7671342 114.73 0.2442 -9549.86618 -859.000492370776 -0.19509598485936586
298.15 FE W 0.12 0.88 -6204.632 4239.809 35.030827 -10444.44107005 125.16 0.2664 -9533.95156 -909.5953759771999 -0.3258331923045998
298.15 FE W 0.13 0.87 -5972.337 4507.679 35.150145 -10480.01573175 135.59 0.2886 -9518.03694 -957.840348132521 -0.5219673891792395
298.15 FE W 0.14 0.86 -5749.729 4763.777 35.262472 -10513.5060268 146.02 0.3108 -9502.12232 -1003.8915915105914 -0.8070235485126451
298.15 FE W 0.15 0.85 -5536.616 5008.253 35.367664 -10544.869021599998 156.45 0.333 -9486.207699999999 -1047.882375954332 -1.2102084740511028
298.15 FE W 0.16 0.84 -5332.804 5241.2 35.465385 -10574.00453775 166.88 0.3552 -9470.29308 -1089.9276385420173 -1.7672142920549188
298.15 FE W 0.17 0.83 -5138.105 5462.647 35.555098 -10600.752468699999 177.31 0.3774 -9454.37846 -1130.1274135160918 -2.5210764974203363
298.15 FE W 0.18 0.82 -4952.335 5672.553 35.636051 -10624.88860565 187.74 0.3996 -9438.46384 -1168.5694517045056 -3.5231004638124275
