T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 GD PB 0.0 1.0 -17248.09 2400.0 65.900001 -19648.08529815 0.0 0.0 -17248.09 0.0 -0.0
298.15 GD PB 1.0 0.0 -17556.99 3982.022 72.242212 -21539.015507799995 0.0 0.0 -17556.99 0.0 -0.0
298.15 GD PB 0.01 0.99 -18080.95 1758.495 66.541839 -19839.44929785 0.0 0.0 -17251.179 -138.82602141683572 -0.0
298.15 GD PB 0.02 0.98 -18864.87 1130.651 67.065295 -19995.51770425 0.0 0.0 -17254.268 -243.03584172567548 -0.0
298.15 GD PB 0.03 0.97 -19621.23 516.4572 67.542118 -20137.682481699998 0.0 0.0 -17257.357 -334.02154674813943 -0.0
298.15 GD PB 0.04 0.96 -20354.59 -84.09849 67.987554 -20270.4892251 0.0 0.0 -17260.446 -416.3281974105132 -0.0
298.15 GD PB 0.05 0.95 -21067.12 -671.0278 68.408836 -20396.094453399997 0.0 0.0 -17263.535 -492.11297050679866 -0.0
298.15 GD PB 0.06 0.94 -21760.11 -1244.342 68.810222 -20515.7676893 0.0 0.0 -17266.624 -562.6452650375949 -0.0
298.15 GD PB 0.07 0.93 -22434.4 -1804.054 69.194523 -20630.34703245 0.0 0.0 -17269.713 -628.7628773593874 -0.0
298.15 GD PB 0.08 0.92 -23090.6 -2350.174 69.563733 -20740.426993949997 0.0 0.0 -17272.802 -691.0604007790716 -0.0
298.15 GD PB 0.09 0.91 -23729.17 -2882.715 69.91934 -20846.451221 0.0 0.0 -17275.891000000003 -749.9816351924776 -0.0
298.15 GD PB 0.1 0.9 -24350.45 -3401.688 70.262497 -20948.76348055 0.0 0.0 -17278.98 -805.870345271772 -0.0
298.15 GD PB 0.11 0.89 -24954.74 -3907.105 70.594124 -21047.638070599998 0.0 0.0 -17282.069 -859.000492370776 -0.0
298.15 GD PB 0.12 0.88 -25542.27 -4398.977 70.914968 -21143.2977092 0.0 0.0 -17285.158 -909.5953759771999 -0.0
298.15 GD PB 0.13 0.87 -26113.24 -4877.316 71.225653 -21235.928441949996 0.0 0.0 -17288.247 -957.840348132521 -0.0
298.15 GD PB 0.14 0.86 -26667.82 -5342.134 71.5267 -21325.685605 0.0 0.0 -17291.336000000003 -1003.8915915105914 -0.0
298.15 GD PB 0.15 0.85 -27206.15 -5793.443 71.818559 -21412.703365849997 0.0 0.0 -17294.425 -1047.882375954332 -0.0
298.15 GD PB 0.16 0.84 -27728.35 -6231.254 72.101613 -21497.095915949998 0.0 0.0 -17297.514 -1089.9276385420173 -0.0
298.15 GD PB 0.17 0.83 -28234.54 -6655.579 72.376199 -21578.96373185 0.0 0.0 -17300.603 -1130.1274135160918 -0.0
298.15 GD PB 0.18 0.82 -28724.82 -7066.43 72.642611 -21658.39446965 0.0 0.0 -17303.692000000003 -1168.5694517045056 -0.0
298.15 GD PB 0.19 0.81 -29199.28 -7463.818 72.901109 -21735.46564835 0.0 0.0 -17306.781 -1205.3312553507326 -0.0
298.15 GD PB 0.2 0.8 -29658.0 -7847.756 73.151924 -21810.246140599997 0.0 0.0 -17309.870000000003 -1240.4816826440385 -0.0
298.15 GD PB 0.21 0.79 -30101.05 -8218.254 73.395262 -21882.7973653 0.0 0.0 -17312.959000000003 -1274.08222978906 -0.0
298.15 GD PB 0.22 0.78 -30528.5 -8575.324 73.631308 -21953.1744802 0.0 0.0 -17316.048000000003 -1306.188067542519 -0.0
298.15 GD PB 0.23 0.77 -30940.41 -8918.979 73.860228 -22021.4269782 0.0 0.0 -17319.137000000002 -1336.8488881016199 -0.0
298.15 GD PB 0.24 0.76 -31336.83 -9249.23 74.082174 -22087.600178099998 0.0 0.0 -17322.226 -1366.1096036088943 -0.0
