T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 LA IN 0.0 1.0 -15085.65 2932.558 60.433381 -18018.212545149996 0.0 0.0 -15085.65 0.0 -0.0
298.15 LA IN 1.0 0.0 -16626.87 800.0001 58.45 -17426.8675 0.0 0.0 -16626.87 0.0 -0.0
298.15 LA IN 0.01 0.99 -16157.79 1910.821 60.602409 -18068.608243349998 0.0 0.0 -15101.0622 -138.82602141683572 -0.0
298.15 LA IN 0.02 0.98 -17197.4 888.6562 60.660924 -18086.0544906 0.0 0.0 -15116.4744 -243.03584172567548 -0.0
298.15 LA IN 0.03 0.97 -18225.25 -133.3045 60.680677 -18091.94384755 0.0 0.0 -15131.8866 -334.02154674813943 -0.0
298.15 LA IN 0.04 0.96 -19245.25 -1154.429 60.676912 -18090.8213128 0.0 0.0 -15147.298799999999 -416.3281974105132 -0.0
298.15 LA IN 0.05 0.95 -20258.93 -2174.087 60.656863 -18084.84370345 0.0 0.0 -15162.711 -492.11297050679866 -0.0
298.15 LA IN 0.06 0.94 -21266.93 -3191.644 60.624788 -18075.2805422 0.0 0.0 -15178.123199999998 -562.6452650375949 -0.0
298.15 LA IN 0.07 0.93 -22269.44 -4206.471 60.583498 -18062.969928699997 0.0 0.0 -15193.535399999999 -628.7628773593874 -0.0
298.15 LA IN 0.08 0.92 -23266.44 -5217.935 60.534986 -18048.5060759 0.0 0.0 -15208.947600000001 -691.0604007790716 -0.0
298.15 LA IN 0.09 0.91 -24257.74 -6225.404 60.480741 -18032.332929149998 0.0 0.0 -15224.3598 -749.9816351924776 -0.0
298.15 LA IN 0.1 0.9 -25243.04 -7228.247 60.421916 -18014.7942554 0.0 0.0 -15239.771999999999 -805.870345271772 -0.0
298.15 LA IN 0.11 0.89 -26221.99 -8225.831 60.35943 -17996.1640545 0.0 0.0 -15255.1842 -859.000492370776 -0.0
298.15 LA IN 0.12 0.88 -27194.19 -9217.525 60.294032 -17976.665640799998 0.0 0.0 -15270.596399999999 -909.5953759771999 -0.0
298.15 LA IN 0.13 0.87 -28159.18 -10202.7 60.226344 -17956.484463599998 0.0 0.0 -15286.0086 -957.840348132521 -0.0
298.15 LA IN 0.14 0.86 -29116.49 -11180.72 60.156889 -17935.77645535 0.0 0.0 -15301.4208 -1003.8915915105914 -0.0
298.15 LA IN 0.15 0.85 -30065.62 -12150.95 60.086114 -17914.6748891 0.0 0.0 -15316.832999999999 -1047.882375954332 -0.0
298.15 LA IN 0.16 0.84 -31006.06 -13112.77 60.014405 -17893.294850749997 0.0 0.0 -15332.2452 -1089.9276385420173 -0.0
298.15 LA IN 0.17 0.83 -31937.27 -14065.53 59.942097 -17871.73622055 0.0 0.0 -15347.657399999998 -1130.1274135160918 -0.0
298.15 LA IN 0.18 0.82 -32858.71 -15008.62 59.869486 -17850.0872509 0.0 0.0 -15363.069599999999 -1168.5694517045056 -0.0
298.15 LA IN 0.19 0.81 -33769.82 -15941.39 59.796829 -17828.42456635 0.0 0.0 -15378.4818 -1205.3312553507326 -0.0
298.15 LA IN 0.2 0.8 -34670.04 -16863.22 59.72436 -17806.817934 0.0 0.0 -15393.894 -1240.4816826440385 -0.0
298.15 LA IN 0.21 0.79 -35558.81 -17773.48 59.652283 -17785.32817645 0.0 0.0 -15409.3062 -1274.08222978906 -0.0
298.15 LA IN 0.22 0.78 -36435.53 -18671.52 59.580784 -17764.0107496 0.0 0.0 -15424.718400000002 -1306.188067542519 -0.0
298.15 LA IN 0.23 0.77 -37299.65 -19556.73 59.51003 -17742.9154445 0.0 0.0 -15440.1306 -1336.8488881016199 -0.0
298.15 LA IN 0.24 0.76 -38150.55 -20428.47 59.440171 -17722.08698365 0.0 0.0 -15455.5428 -1366.1096036088943 -0.0
298.15 LA IN 0.25 0.75 -38987.66 -21286.1 59.371343 -17701.56591545 0.0 0.0 -15470.954999999998 -1394.0109271940482 -0.0
298.15 LA IN 0.26 0.74 -39810.38 -22128.99 59.303672 -17681.389806799998 0.0 0.0 -15486.3672 -1420.5898600324033 -0.0
298.15 LA IN 0.27 0.73 -40618.12 -22956.52 59.237269 -17661.59175235 0.0 0.0 -15501.7794 -1445.8801024662048 -0.0
298.15 LA IN 0.28 0.72 -41410.26 -23768.06 59.172239 -17642.203057849998 0.0 0.0 -15517.1916 -1469.9124032129614 -0.0
298.15 LA IN 0.29 0.71 -42186.21 -24562.96 59.108675 -17623.25145125 0.0 0.0 -15532.603799999999 -1492.7148576699553 -0.0
298.15 LA IN 0.3 0.7 -42945.36 -25340.6 59.046663 -17604.76257345 0.0 0.0 -15548.016 -1514.313164037668 -0.0
298.15 LA IN 0.31 0.69 -43687.1 -26100.34 58.986282 -17586.7599783 0.0 0.0 -15563.428199999998 -1534.730844232385 -0.0
298.15 LA IN 0.32 0.68 -44410.83 -26841.56 58.927605 -17569.265430749998 0.0 0.0 -15578.840399999997 -1553.9894352015579 -0.0
298.15 LA IN 0.33 0.67 -45115.92 -27563.63 58.870698 -17552.2986087 0.0 0.0 -15594.252599999998 -1572.1086551954763 -0.0
298.15 LA IN 0.34 0.66 -45801.78 -28265.9 58.815621 -17535.87740115 0.0 0.0 -15609.664799999999 -1589.1065487133012 -0.0
298.15 LA IN 0.35 0.65 -46467.77 -28947.75 58.762429 -17520.01820635 0.0 0.0 -15625.077000000001 -1604.9996131775667 -0.0
298.15 LA IN 0.36 0.64 -47113.29 -29608.55 58.711174 -17504.7365281 0.0 0.0 -15640.4892 -1619.8029098595373 -0.0
298.15 LA IN 0.37 0.63 -47737.71 -30247.67 58.661901 -17490.04578315 0.0 0.0 -15655.901399999999 -1633.5301611487748 -0.0
298.15 LA IN 0.38 0.62 -48340.42 -30864.47 58.614651 -17475.95819565 0.0 0.0 -15671.313599999998 -1646.193835911596 -0.0
298.15 LA IN 0.39 0.61 -48920.8 -31458.32 58.569464 -17462.4856916 0.0 0.0 -15686.7258 -1657.8052243977716 -0.0
298.15 LA IN 0.4 0.6 -49478.23 -32028.59 58.526372 -17449.6378118 0.0 0.0 -15702.137999999999 -1668.3745039196444 -0.0
298.15 LA IN 0.41 0.59 -50012.07 -32574.65 58.485407 -17437.42409705 0.0 0.0 -15717.550200000001 -1677.9107963326926 -0.0
298.15 LA IN 0.42 0.58 -50521.72 -33095.86 58.446596 -17425.852597399997 0.0 0.0 -15732.9624 -1686.4222181834425 -0.0
298.15 LA IN 0.43 0.57 -51006.54 -33591.61 58.409962 -17414.9301703 0.0 0.0 -15748.374600000001 -1693.9159242532326 -0.0
298.15 LA IN 0.44 0.56 -51465.9 -34061.24 58.375527 -17404.663375049997 0.0 0.0 -15763.7868 -1700.3981451097393 -0.0
298.15 LA IN 0.45 0.55 -51899.19 -34504.14 58.343309 -17395.05757835 0.0 0.0 -15779.199 -1705.8742191782392 -0.0
298.15 LA IN 0.46 0.54 -52305.78 -34919.66 58.313322 -17386.1169543 0.0 0.0 -15794.6112 -1710.3486197582595 -0.0
298.15 LA IN 0.47 0.53 -52685.03 -35307.18 58.285579 -17377.845378849997 0.0 0.0 -15810.023399999998 -1713.8249773357109 -0.0
298.15 LA IN 0.48 0.52 -53036.32 -35666.07 58.260089 -17370.245535349997 0.0 0.0 -15825.4356 -1716.3060974737868 -0.0
298.15 LA IN 0.49 0.51 -53359.01 -35995.7 58.236858 -17363.319212699997 0.0 0.0 -15840.8478 -1717.7939745058845 -0.0
298.15 LA IN 0.5 0.5 -53652.49 -36295.42 58.215892 -17357.068199799996 0.0 0.0 -15856.259999999998 -1718.289801199083 -0.0
298.15 LA IN 0.51 0.49 -53916.11 -36564.62 58.197191 -17351.492496649997 0.0 0.0 -15871.6722 -1717.7939745058845 -0.0
298.15 LA IN 0.52 0.48 -54149.24 -36802.65 58.180753 -17346.59150695 0.0 0.0 -15887.0844 -1716.3060974737868 -0.0
298.15 LA IN 0.53 0.47 -54351.26 -37008.89 58.166576 -17342.364634399997 0.0 0.0 -15902.496599999999 -1713.8249773357109 -0.0
298.15 LA IN 0.54 0.46 -54521.52 -37182.71 58.154651 -17338.80919565 0.0 0.0 -15917.9088 -1710.3486197582595 -0.0
298.15 LA IN 0.55 0.45 -54659.4 -37323.47 58.144971 -17335.92310365 0.0 0.0 -15933.321 -1705.8742191782392 -0.0
298.15 LA IN 0.56 0.44 -54764.25 -37430.54 58.137521 -17333.70188615 0.0 0.0 -15948.733199999999 -1700.3981451097393 -0.0
298.15 LA IN 0.57 0.43 -54835.44 -37503.3 58.132289 -17332.141965349998 0.0 0.0 -15964.145399999998 -1693.9159242532328 -0.0
298.15 LA IN 0.58 0.42 -54872.34 -37541.1 58.129255 -17331.23737825 0.0 0.0 -15979.5576 -1686.4222181834425 -0.0
298.15 LA IN 0.59 0.41 -54874.3 -37543.32 58.128399 -17330.98216185 0.0 0.0 -15994.969799999999 -1677.910796332693 -0.0
298.15 LA IN 0.6 0.4 -54840.69 -37509.32 58.129696 -17331.3688624 0.0 0.0 -16010.382 -1668.3745039196444 -0.0
298.15 LA IN 0.61 0.39 -54770.86 -37438.47 58.13312 -17332.389728 0.0 0.0 -16025.7942 -1657.8052243977716 -0.0
298.15 LA IN 0.62 0.38 -54664.18 -37330.15 58.13864 -17334.035516 0.0 0.0 -16041.2064 -1646.193835911596 -0.0
298.15 LA IN 0.63 0.37 -54520.01 -37183.71 58.146222 -17336.296089299998 0.0 0.0 -16056.618599999998 -1633.5301611487748 -0.0
298.15 LA IN 0.64 0.36 -54337.7 -36998.54 58.155828 -17339.160118199998 0.0 0.0 -16072.0308 -1619.8029098595373 -0.0
298.15 LA IN 0.65 0.35 -54116.6 -36773.98 58.167415 -17342.61478225 0.0 0.0 -16087.443 -1604.9996131775667 -0.0
298.15 LA IN 0.66 0.34 -53856.07 -36509.43 58.180939 -17346.646962849998 0.0 0.0 -16102.855199999998 -1589.106548713301 -0.0
298.15 LA IN 0.67 0.33 -53555.47 -36204.23 58.196349 -17351.241454349998 0.0 0.0 -16118.267399999999 -1572.1086551954763 -0.0
298.15 LA IN 0.68 0.32 -53214.15 -35857.77 58.213588 -17356.3812622 0.0 0.0 -16133.6796 -1553.9894352015576 -0.0
298.15 LA IN 0.69 0.31 -52831.45 -35469.4 58.232598 -17362.0490937 0.0 0.0 -16149.091799999998 -1534.730844232385 -0.0
298.15 LA IN 0.7 0.3 -52406.73 -35038.5 58.25331 -17368.2243765 0.0 0.0 -16164.504 -1514.313164037668 -0.0
298.15 LA IN 0.71 0.29 -51939.32 -34564.44 58.275655 -17374.886538249997 0.0 0.0 -16179.9162 -1492.7148576699553 -0.0
298.15 LA IN 0.72 0.28 -51428.59 -34046.58 58.299551 -17382.01113065 0.0 0.0 -16195.328399999999 -1469.9124032129614 -0.0
298.15 LA IN 0.73 0.27 -50873.86 -33484.29 58.324914 -17389.573109099998 0.0 0.0 -16210.7406 -1445.8801024662048 -0.0
298.15 LA IN 0.74 0.26 -50274.48 -32876.94 58.351649 -17397.54414935 0.0 0.0 -16226.1528 -1420.5898600324033 -0.0
298.15 LA IN 0.75 0.25 -49629.79 -32223.89 58.379653 -17405.893541949998 0.0 0.0 -16241.565 -1394.0109271940482 -0.0
298.15 LA IN 0.76 0.24 -48939.12 -31524.53 58.408813 -17414.58759595 0.0 0.0 -16256.977199999998 -1366.1096036088943 -0.0
298.15 LA IN 0.77 0.23 -48201.8 -30778.21 58.439004 -17423.589042599997 0.0 0.0 -16272.3894 -1336.8488881016199 -0.0
298.15 LA IN 0.78 0.22 -47417.16 -29984.3 58.470091 -17432.857631649997 0.0 0.0 -16287.801599999999 -1306.188067542519 -0.0
298.15 LA IN 0.79 0.21 -46584.52 -29142.17 58.501922 -17442.348044299997 0.0 0.0 -16303.2138 -1274.08222978906 -0.0
298.15 LA IN 0.8 0.2 -45703.2 -28251.19 58.534332 -17452.011085799997 0.0 0.0 -16318.625999999998 -1240.4816826440385 -0.0
298.15 LA IN 0.81 0.19 -44772.52 -27310.73 58.567134 -17461.7910021 0.0 0.0 -16334.038199999999 -1205.3312553507324 -0.0
298.15 LA IN 0.82 0.18 -43791.78 -26320.16 58.600122 -17471.626374299998 0.0 0.0 -16349.4504 -1168.5694517045058 -0.0
298.15 LA IN 0.83 0.17 -42760.28 -25278.84 58.633066 -17481.448627899998 0.0 0.0 -16364.8626 -1130.127413516092 -0.0
298.15 LA IN 0.84 0.16 -41677.32 -24186.14 58.665706 -17491.1802439 0.0 0.0 -16380.2748 -1089.9276385420173 -0.0
298.15 LA IN 0.85 0.15 -40542.16 -23041.43 58.697748 -17500.733566199997 0.0 0.0 -16395.686999999998 -1047.882375954332 -0.0
298.15 LA IN 0.86 0.14 -39354.08 -21844.08 58.728855 -17510.00811825 0.0 0.0 -16411.099199999997 -1003.8915915105914 -0.0
298.15 LA IN 0.87 0.13 -38112.34 -20593.45 58.758642 -17518.8891123 0.0 0.0 -16426.5114 -957.840348132521 -0.0
298.15 LA IN 0.88 0.12 -36816.16 -19288.92 58.786663 -17527.24357345 0.0 0.0 -16441.9236 -909.5953759771999 -0.0
298.15 LA IN 0.89 0.11 -35464.77 -17929.85 58.812394 -17534.9152711 0.0 0.0 -16457.335799999997 -859.000492370776 -0.0
298.15 LA IN 0.9 0.1 -34057.34 -16515.62 58.835212 -17541.718457799998 0.0 0.0 -16472.748 -805.870345271772 -0.0
298.15 LA IN 0.91 0.09 -32593.01 -15045.58 58.854369 -17547.43011735 0.0 0.0 -16488.1602 -749.9816351924775 -0.0
298.15 LA IN 0.92 0.08 -31070.89 -13519.12 58.868946 -17551.7762499 0.0 0.0 -16503.5724 -691.0604007790713 -0.0
298.15 LA IN 0.93 0.07 -29490.0 -11935.58 58.877791 -17554.413386649998 0.0 0.0 -16518.9846 -628.762877359387 -0.0
298.15 LA IN 0.94 0.06 -27849.25 -10294.36 58.879413 -17554.89698595 0.0 0.0 -16534.3968 -562.6452650375951 -0.0
298.15 LA IN 0.95 0.05 -26147.43 -8594.801 58.87182 -17552.633133 0.0 0.0 -16549.808999999997 -492.1129705067989 -0.0
298.15 LA IN 0.96 0.04 -24383.07 -6836.287 58.852202 -17546.7840263 0.0 0.0 -16565.2212 -416.3281974105133 -0.0
298.15 LA IN 0.97 0.03 -22554.26 -5018.181 58.8163 -17536.079844999997 0.0 0.0 -16580.6334 -334.02154674813966 -0.0
298.15 LA IN 0.98 0.02 -20658.22 -3139.853 58.756879 -17518.363473849997 0.0 0.0 -16596.045599999998 -243.03584172567562 -0.0
298.15 LA IN 0.99 0.01 -18689.76 -1200.67 58.658696 -17489.0902124 0.0 0.0 -16611.4578 -138.82602141683583 -0.0
1000.0 LA IN 0.0 1.0 -71005.42 23278.62 94.284042 -94284.042 0.0 0.0 -71005.42 0.0 -0.0
1000.0 LA IN 1.0 0.0 -71966.95 20420.54 92.387485 -92387.485 0.0 0.0 -71966.95 0.0 -0.0
1000.0 LA IN 0.9 0.1 -89586.54 3177.472 92.764014 -92764.01400000001 0.0 0.0 -71870.79699999999 -2702.902382263196 -0.0
1000.0 LA IN 0.91 0.09 -88143.79 4640.252 92.78404 -92784.04000000001 0.0 0.0 -71880.4123 -2515.450730144147 -0.0
1000.0 LA IN 0.92 0.08 -86640.02 6159.465 92.799485 -92799.485 0.0 0.0 -71890.0276 -2317.827941569919 -0.0
