T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 LA TI 0.0 1.0 -4597.55 6475.8 37.1402 -11073.350629999999 0.0 0.0 -4597.55 0.0 -0.0
298.15 LA TI 1.0 0.0 -15085.65 2932.558 60.433381 -18018.212545149996 0.0 0.0 -15085.65 0.0 -0.0
298.15 LA TI 0.01 0.99 -4150.042 7131.583 37.838757 -11281.62539955 0.0 0.0 -4702.431 -138.82602141683572 -0.0
298.15 LA TI 0.02 0.98 -3684.161 7771.123 38.42121 -11455.283761499999 0.0 0.0 -4807.312 -243.03584172567548 -0.0
298.15 LA TI 0.03 0.97 -3221.229 8394.49 38.95931 -11615.7182765 0.0 0.0 -4912.192999999999 -334.02154674813943 -0.0
298.15 LA TI 0.04 0.96 -2765.721 9001.753 39.4683 -11767.473644999998 0.0 0.0 -5017.0740000000005 -416.3281974105132 -0.0
298.15 LA TI 0.05 0.95 -2319.725 9592.982 39.955416 -11912.707280399998 0.0 0.0 -5121.955 -492.11297050679866 -0.0
298.15 LA TI 0.06 0.94 -1884.441 10168.25 40.424914 -12052.6881091 0.0 0.0 -5226.836 -562.6452650375949 -0.0
298.15 LA TI 0.07 0.93 -1460.636 10727.62 40.879606 -12188.254528899999 0.0 0.0 -5331.717 -628.7628773593874 -0.0
298.15 LA TI 0.08 0.92 -1048.836 11271.16 41.321485 -12320.00075275 0.0 0.0 -5436.598 -691.0604007790716 -0.0
298.15 LA TI 0.09 0.91 -649.4136 11798.96 41.75204 -12448.370726 0.0 0.0 -5541.479 -749.9816351924776 -0.0
298.15 LA TI 0.1 0.9 -262.6438 12311.06 42.172423 -12573.70791745 0.0 0.0 -5646.360000000001 -805.870345271772 -0.0
298.15 LA TI 0.11 0.89 111.2694 12807.56 42.583555 -12696.286923249998 0.0 0.0 -5751.241 -859.000492370776 -0.0
298.15 LA TI 0.12 0.88 472.1725 13288.5 42.986183 -12816.330461449998 0.0 0.0 -5856.121999999999 -909.5953759771999 -0.0
298.15 LA TI 0.13 0.87 819.95 13753.97 43.380929 -12934.02398135 0.0 0.0 -5961.003000000001 -957.840348132521 -0.0
298.15 LA TI 0.14 0.86 1154.515 14204.04 43.768318 -13049.5240117 0.0 0.0 -6065.884 -1003.8915915105914 -0.0
298.15 LA TI 0.15 0.85 1475.805 14638.77 44.148796 -13162.963527399997 0.0 0.0 -6170.764999999999 -1047.882375954332 -0.0
298.15 LA TI 0.16 0.84 1783.774 15058.23 44.522748 -13274.4573162 0.0 0.0 -6275.646000000001 -1089.9276385420173 -0.0
298.15 LA TI 0.17 0.83 2078.392 15462.5 44.890511 -13384.105854649997 0.0 0.0 -6380.527 -1130.1274135160918 -0.0
298.15 LA TI 0.18 0.82 2359.641 15851.64 45.252378 -13491.9965007 0.0 0.0 -6485.408 -1168.5694517045056 -0.0
298.15 LA TI 0.19 0.81 2627.513 16225.72 45.60861 -13598.207071499999 0.0 0.0 -6590.289000000001 -1205.3312553507326 -0.0
298.15 LA TI 0.2 0.8 2882.01 16584.82 45.959437 -13702.80614155 0.0 0.0 -6695.17 -1240.4816826440385 -0.0
298.15 LA TI 0.21 0.79 3123.139 16928.99 46.305065 -13805.855129749998 0.0 0.0 -6800.051 -1274.08222978906 -0.0
298.15 LA TI 0.22 0.78 3350.915 17258.32 46.645681 -13907.409790149999 0.0 0.0 -6904.932000000001 -1306.188067542519 -0.0
298.15 LA TI 0.23 0.77 3565.358 17572.88 46.98145 -14007.5193175 0.0 0.0 -7009.813 -1336.8488881016199 -0.0
298.15 LA TI 0.24 0.76 3766.493 17872.72 47.312523 -14106.22873245 0.0 0.0 -7114.6939999999995 -1366.1096036088943 -0.0
