T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 MG ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 0.0 0.0 -6719.723 0.0 -0.0
298.15 MG ZR 1.0 0.0 -7266.973 3100.0 34.771001 -10366.973948149998 0.0 0.0 -7266.973 0.0 -0.0
298.15 MG ZR 0.01 0.99 -6877.859 7113.2 46.926242 -13991.0590523 0.0 0.0 -6725.1955 -138.82602141683572 -0.0
298.15 MG ZR 0.02 0.98 -7001.1 6918.423 46.686307 -13919.522432049998 0.0 0.0 -6730.668 -243.03584172567548 -0.0
298.15 MG ZR 0.03 0.97 -7110.837 6726.793 46.411638 -13837.6298697 0.0 0.0 -6736.1404999999995 -334.02154674813943 -0.0
298.15 MG ZR 0.04 0.96 -7211.615 6538.311 46.11748 -13749.926662 0.0 0.0 -6741.613 -416.3281974105132 -0.0
298.15 MG ZR 0.05 0.95 -7305.592 6352.977 45.811066 -13658.569327899999 0.0 0.0 -6747.085499999999 -492.11297050679866 -0.0
298.15 MG ZR 0.06 0.94 -7394.037 6170.791 45.496656 -13564.8279864 0.0 0.0 -6752.557999999999 -562.6452650375949 -0.0
298.15 MG ZR 0.07 0.93 -7477.788 5991.752 45.177059 -13469.540140849998 0.0 0.0 -6758.0305 -628.7628773593874 -0.0
298.15 MG ZR 0.08 0.92 -7557.439 5815.861 44.854269 -13373.30030235 0.0 0.0 -6763.503 -691.0604007790716 -0.0
298.15 MG ZR 0.09 0.91 -7633.434 5643.118 44.529775 -13276.552416249999 0.0 0.0 -6768.9755000000005 -749.9816351924776 -0.0
298.15 MG ZR 0.1 0.9 -7706.117 5473.523 44.20473 -13179.640249499998 0.0 0.0 -6774.448 -805.870345271772 -0.0
298.15 MG ZR 0.11 0.89 -7775.762 5307.076 43.880053 -13082.837801949998 0.0 0.0 -6779.9205 -859.000492370776 -0.0
298.15 MG ZR 0.12 0.88 -7842.592 5143.776 43.556492 -12986.368089799998 0.0 0.0 -6785.393 -909.5953759771999 -0.0
298.15 MG ZR 0.13 0.87 -7906.793 4983.624 43.23467 -12890.4168605 0.0 0.0 -6790.8655 -957.840348132521 -0.0
298.15 MG ZR 0.14 0.86 -7968.52 4826.62 42.91511 -12795.140046499999 0.0 0.0 -6796.338 -1003.8915915105914 -0.0
298.15 MG ZR 0.15 0.85 -8027.908 4672.763 42.598259 -12700.670920849998 0.0 0.0 -6801.8105 -1047.882375954332 -0.0
298.15 MG ZR 0.16 0.84 -8085.07 4522.054 42.284503 -12607.12456945 0.0 0.0 -6807.283 -1089.9276385420173 -0.0
298.15 MG ZR 0.17 0.83 -8140.107 4374.493 41.974177 -12514.600872549998 0.0 0.0 -6812.755499999999 -1130.1274135160918 -0.0
298.15 MG ZR 0.18 0.82 -8193.107 4230.08 41.667575 -12423.187486249999 0.0 0.0 -6818.228000000001 -1168.5694517045056 -0.0
298.15 MG ZR 0.19 0.81 -8244.148 4088.815 41.364958 -12332.9622277 0.0 0.0 -6823.7005 -1205.3312553507326 -0.0
298.15 MG ZR 0.2 0.8 -8293.297 3950.697 41.066556 -12243.993671399998 0.0 0.0 -6829.173000000001 -1240.4816826440385 -0.0
298.15 MG ZR 0.21 0.79 -8340.617 3815.727 40.772576 -12156.343534399999 0.0 0.0 -6834.6455000000005 -1274.08222978906 -0.0
298.15 MG ZR 0.22 0.78 -8386.162 3683.905 40.483203 -12070.06697445 0.0 0.0 -6840.1179999999995 -1306.188067542519 -0.0
298.15 MG ZR 0.23 0.77 -8429.983 3555.23 40.198603 -11985.213484449998 0.0 0.0 -6845.5905 -1336.8488881016199 -0.0
298.15 MG ZR 0.24 0.76 -8472.125 3429.703 39.918927 -11901.828085049998 0.0 0.0 -6851.063 -1366.1096036088943 -0.0
298.15 MG ZR 0.25 0.75 -8512.627 3307.324 39.644312 -11819.9516228 0.0 0.0 -6856.5355 -1394.0109271940482 -0.0
