T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 MO RE 0.0 1.0 30577.38 30577.38 5.74346e-28 -1.712412599e-25 0.0 0.0 30577.38 0.0 -0.0
298.15 MO RE 1.0 0.0 -6.039832e-08 1.057738e-08 2.3805365e-10 -7.097569574749999e-08 0.0 0.0 -6.039832e-08 0.0 -0.0
298.15 MO RE 0.01 0.99 29934.78 30073.6 0.46562532 -138.826189158 0.0 0.0 30271.606199999398 -138.82602141683572 -0.0
298.15 MO RE 0.02 0.98 29330.79 29573.83 0.81514719 -243.03613469849998 0.0 0.0 29965.83239999879 -243.03584172567548 -0.0
298.15 MO RE 0.03 0.97 28744.03 29078.06 1.1203151 -334.02194706499995 0.0 0.0 29660.05859999819 -334.02154674813943 -0.0
298.15 MO RE 0.04 0.96 28169.95 28586.28 1.3963733 -416.328699395 0.0 0.0 29354.284799997586 -416.3281974105132 -0.0
298.15 MO RE 0.05 0.95 27606.4 28098.51 1.650557 -492.11356954999997 0.0 0.0 29048.51099999698 -492.11297050679866 -0.0
298.15 MO RE 0.06 0.94 27052.09 27614.74 1.8871237 -562.645931155 0.0 0.0 28742.737199996376 -562.6452650375949 -0.0
298.15 MO RE 0.07 0.93 26506.2 27134.96 2.1088836 -628.7636453399999 0.0 0.0 28436.963399995773 -628.7628773593874 -0.0
298.15 MO RE 0.08 0.92 25968.13 26659.19 2.3178307 -691.0612232049999 0.0 0.0 28131.18959999517 -691.0604007790716 -0.0
298.15 MO RE 0.09 0.91 25437.43 26187.41 2.5154538 -749.98255047 0.0 0.0 27825.415799994567 -749.9816351924776 -0.0
298.15 MO RE 0.1 0.9 24913.77 25719.64 2.7029056 -805.8713046399998 0.0 0.0 27519.64199999396 -805.870345271772 -0.0
298.15 MO RE 0.11 0.89 24396.87 25255.87 2.8811052 -859.0015153799999 0.0 0.0 27213.868199993358 -859.000492370776 -0.0
298.15 MO RE 0.12 0.88 23886.5 24796.09 3.0508015 -909.596467225 0.0 0.0 26908.094399992755 -909.5953759771999 -0.0
298.15 MO RE 0.13 0.87 23382.48 24340.32 3.2126161 -957.8414902149999 0.0 0.0 26602.32059999215 -957.840348132521 -0.0
298.15 MO RE 0.14 0.86 22884.65 23888.55 3.3670729 -1003.8927851349999 0.0 0.0 26296.546799991545 -1003.8915915105914 -0.0
298.15 MO RE 0.15 0.85 22392.89 23440.77 3.5146189 -1047.8836250349998 0.0 0.0 25990.772999990942 -1047.882375954332 -0.0
298.15 MO RE 0.16 0.84 21907.07 22997.0 3.6556396 -1089.92894674 0.0 0.0 25684.999199990336 -1089.9276385420173 -0.0
298.15 MO RE 0.17 0.83 21427.1 22557.22 3.7904705 -1130.128779575 0.0 0.0 25379.225399989733 -1130.1274135160918 -0.0
298.15 MO RE 0.18 0.82 20952.88 22121.45 3.9194059 -1168.570869085 0.0 0.0 25073.451599989134 -1168.5694517045056 -0.0
298.15 MO RE 0.19 0.81 20484.34 21689.68 4.0427057 -1205.3327044549999 0.0 0.0 24767.677799988527 -1205.3312553507326 -0.0
298.15 MO RE 0.2 0.8 20021.42 21261.9 4.160601 -1240.48318815 0.0 0.0 24461.903999987924 -1240.4816826440385 -0.0
298.15 MO RE 0.21 0.79 19564.05 20838.13 4.2732979 -1274.083768885 0.0 0.0 24156.13019998732 -1274.08222978906 -0.0
298.15 MO RE 0.22 0.78 19112.17 20418.36 4.3809815 -1306.189634225 0.0 0.0 23850.356399986715 -1306.188067542519 -0.0
298.15 MO RE 0.23 0.77 18665.73 20002.58 4.4838185 -1336.850485775 0.0 0.0 23544.58259998611 -1336.8488881016199 -0.0
298.15 MO RE 0.24 0.76 18224.7 19590.81 4.5819596 -1366.11125474 0.0 0.0 23238.808799985505 -1366.1096036088943 -0.0
298.15 MO RE 0.25 0.75 17789.02 19183.03 4.6755412 -1394.0126087799997 0.0 0.0 22933.0349999849 -1394.0109271940482 -0.0
298.15 MO RE 0.26 0.74 17358.67 18779.26 4.7646875 -1420.5915781249998 0.0 0.0 22627.261199984296 -1420.5898600324033 -0.0
298.15 MO RE 0.27 0.73 16933.6 18379.49 4.8495115 -1445.881853725 0.0 0.0 22321.487399983693 -1445.8801024662048 -0.0
298.15 MO RE 0.28 0.72 16513.8 17983.71 4.9301163 -1469.914174845 0.0 0.0 22015.713599983086 -1469.9124032129614 -0.0
298.15 MO RE 0.29 0.71 16099.22 17591.94 5.0065962 -1492.7166570299999 0.0 0.0 21709.939799982483 -1492.7148576699553 -0.0
298.15 MO RE 0.3 0.7 15689.85 17204.16 5.0790373 -1514.314970995 0.0 0.0 21404.16599998188 -1514.313164037668 -0.0
298.15 MO RE 0.31 0.69 15285.66 16820.39 5.1475187 -1534.7327004049998 0.0 0.0 21098.392199981274 -1534.730844232385 -0.0
298.15 MO RE 0.32 0.68 14886.63 16440.62 5.2121124 -1553.9913120599997 0.0 0.0 20792.61839998067 -1553.9894352015579 -0.0
298.15 MO RE 0.33 0.67 14492.73 16064.84 5.2728846 -1572.11054349 0.0 0.0 20486.844599980064 -1572.1086551954763 -0.0
298.15 MO RE 0.34 0.66 14103.96 15693.07 5.3298959 -1589.108462585 0.0 0.0 20181.07079997946 -1589.1065487133012 -0.0
298.15 MO RE 0.35 0.65 13720.29 15325.3 5.3832016 -1605.0015570399999 0.0 0.0 19875.296999978862 -1604.9996131775667 -0.0
298.15 MO RE 0.36 0.64 13341.72 14961.52 5.4328521 -1619.8048536149997 0.0 0.0 19569.523199978255 -1619.8029098595373 -0.0
298.15 MO RE 0.37 0.63 12968.22 14601.75 5.4788936 -1633.5321268399998 0.0 0.0 19263.749399977653 -1633.5301611487748 -0.0
298.15 MO RE 0.38 0.62 12599.78 14245.97 5.5213678 -1646.19580957 0.0 0.0 18957.97559997705 -1646.193835911596 -0.0
298.15 MO RE 0.39 0.61 12236.39 13894.2 5.5603127 -1657.807231505 0.0 0.0 18652.201799976443 -1657.8052243977716 -0.0
298.15 MO RE 0.4 0.6 11878.05 13546.43 5.5957622 -1668.37649993 0.0 0.0 18346.42799997584 -1668.3745039196444 -0.0
298.15 MO RE 0.41 0.59 11524.74 13202.65 5.6277472 -1677.91282768 0.0 0.0 18040.65419997524 -1677.9107963326926 -0.0
298.15 MO RE 0.42 0.58 11176.46 12862.88 5.6562946 -1686.4242349899998 0.0 0.0 17734.880399974634 -1686.4222181834425 -0.0
298.15 MO RE 0.43 0.57 10833.19 12527.11 5.6814287 -1693.9179669049997 0.0 0.0 17429.10659997403 -1693.9159242532326 -0.0
298.15 MO RE 0.44 0.56 10494.93 12195.33 5.7031702 -1700.4001951299997 0.0 0.0 17123.33279997343 -1700.3981451097393 -0.0
298.15 MO RE 0.45 0.55 10161.68 11867.56 5.721537 -1705.8762565499997 0.0 0.0 16817.55899997282 -1705.8742191782392 -0.0
298.15 MO RE 0.46 0.54 9833.434 11543.78 5.7365443 -1710.3506830449999 0.0 0.0 16511.78519997222 -1710.3486197582595 -0.0
298.15 MO RE 0.47 0.53 9510.183 11224.01 5.7482041 -1713.8270524149998 0.0 0.0 16206.011399971614 -1713.8249773357109 -0.0
298.15 MO RE 0.48 0.52 9191.929 10908.24 5.7565258 -1716.30816727 0.0 0.0 15900.23759997101 -1716.3060974737868 -0.0
298.15 MO RE 0.49 0.51 8878.667 10596.46 5.7615162 -1717.79605503 0.0 0.0 15594.463799970406 -1717.7939745058845 -0.0
298.15 MO RE 0.5 0.5 8570.397 10288.69 5.7631792 -1718.2918784799997 0.0 0.0 15288.689999969802 -1718.289801199083 -0.0
298.15 MO RE 0.51 0.49 8267.119 9984.915 5.7615162 -1717.79605503 0.0 0.0 14982.916199969197 -1717.7939745058845 -0.0
298.15 MO RE 0.52 0.48 7968.833 9685.142 5.7565258 -1716.30816727 0.0 0.0 14677.142399968594 -1716.3060974737868 -0.0
298.15 MO RE 0.53 0.47 7675.541 9389.368 5.7482041 -1713.8270524149998 0.0 0.0 14371.36859996799 -1713.8249773357109 -0.0
298.15 MO RE 0.54 0.46 7387.243 9097.594 5.7365443 -1710.3506830449999 0.0 0.0 14065.594799967384 -1710.3486197582595 -0.0
298.15 MO RE 0.55 0.45 7103.944 8809.82 5.721537 -1705.8762565499997 0.0 0.0 13759.820999966782 -1705.8742191782392 -0.0
298.15 MO RE 0.56 0.44 6825.646 8526.046 5.7031702 -1700.4001951299997 0.0 0.0 13454.047199966177 -1700.3981451097393 -0.0
298.15 MO RE 0.57 0.43 6552.355 8246.273 5.6814287 -1693.9179669049997 0.0 0.0 13148.273399965576 -1693.9159242532328 -0.0
298.15 MO RE 0.58 0.42 6284.075 7970.499 5.6562946 -1686.4242349899998 0.0 0.0 12842.49959996497 -1686.4222181834425 -0.0
298.15 MO RE 0.59 0.41 6020.812 7698.725 5.6277472 -1677.91282768 0.0 0.0 12536.725799964366 -1677.910796332693 -0.0
298.15 MO RE 0.6 0.4 5762.575 7430.951 5.5957622 -1668.37649993 0.0 0.0 12230.951999963761 -1668.3745039196444 -0.0
298.15 MO RE 0.61 0.39 5509.37 7167.178 5.5603127 -1657.807231505 0.0 0.0 11925.178199963157 -1657.8052243977716 -0.0
298.15 MO RE 0.62 0.38 5261.208 6907.404 5.5213678 -1646.19580957 0.0 0.0 11619.404399962554 -1646.193835911596 -0.0
