T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 MO TA 0.0 1.0 -12364.82 -0.00107989 41.471806 -12364.8189589 0.0 0.0 -12364.82 0.0 -0.0
298.15 MO TA 1.0 0.0 -8515.141 -0.002619712 28.559915 -8515.13865725 0.0 0.0 -8515.141 0.0 -0.0
298.15 MO TA 0.01 0.99 -13178.97 -802.3729 41.511313 -12376.597970949999 0.0 0.0 -12326.32321 -138.82602141683572 -0.0
298.15 MO TA 0.02 0.98 -13941.72 -1586.168 41.440716 -12355.5494754 0.0 0.0 -12287.82642 -243.03584172567548 -0.0
298.15 MO TA 0.03 0.97 -14674.52 -2351.458 41.331765 -12323.065734749998 0.0 0.0 -12249.329629999998 -334.02154674813943 -0.0
298.15 MO TA 0.04 0.96 -15382.01 -3098.317 41.199704 -12283.691747599998 0.0 0.0 -12210.83284 -416.3281974105132 -0.0
298.15 MO TA 0.05 0.95 -16066.4 -3826.816 41.051769 -12239.584927349999 0.0 0.0 -12172.33605 -492.11297050679866 -0.0
298.15 MO TA 0.06 0.94 -16729.04 -4537.028 40.892217 -12192.01449855 0.0 0.0 -12133.839259999999 -562.6452650375949 -0.0
298.15 MO TA 0.07 0.93 -17370.84 -5229.025 40.723857 -12141.81796455 0.0 0.0 -12095.34247 -628.7628773593874 -0.0
298.15 MO TA 0.08 0.92 -17992.47 -5902.88 40.548686 -12089.590730899998 0.0 0.0 -12056.84568 -691.0604007790716 -0.0
298.15 MO TA 0.09 0.91 -18594.44 -6558.666 40.36819 -12035.7758485 0.0 0.0 -12018.34889 -749.9816351924776 -0.0
298.15 MO TA 0.1 0.9 -19177.17 -7196.455 40.183523 -11980.717382449999 0.0 0.0 -11979.8521 -805.870345271772 -0.0
298.15 MO TA 0.11 0.89 -19741.01 -7816.318 39.995603 -11924.68903445 0.0 0.0 -11941.35531 -859.000492370776 -0.0
298.15 MO TA 0.12 0.88 -20286.24 -8418.33 39.805181 -11867.914715149998 0.0 0.0 -11902.85852 -909.5953759771999 -0.0
298.15 MO TA 0.13 0.87 -20813.14 -9002.562 39.612877 -11810.579277549998 0.0 0.0 -11864.361729999999 -957.840348132521 -0.0
298.15 MO TA 0.14 0.86 -21321.93 -9569.087 39.419214 -11752.838654099998 0.0 0.0 -11825.86494 -1003.8915915105914 -0.0
298.15 MO TA 0.15 0.85 -21812.8 -10117.98 39.224641 -11694.826714149998 0.0 0.0 -11787.36815 -1047.882375954332 -0.0
298.15 MO TA 0.16 0.84 -22285.96 -10649.3 39.029543 -11636.658245449999 0.0 0.0 -11748.871360000001 -1089.9276385420173 -0.0
298.15 MO TA 0.17 0.83 -22741.57 -11163.14 38.834255 -11578.433128249999 0.0 0.0 -11710.374569999998 -1130.1274135160918 -0.0
298.15 MO TA 0.18 0.82 -23179.8 -11659.56 38.639072 -11520.239316799998 0.0 0.0 -11671.87778 -1168.5694517045056 -0.0
298.15 MO TA 0.19 0.81 -23600.79 -12138.64 38.444253 -11462.15403195 0.0 0.0 -11633.380990000001 -1205.3312553507326 -0.0
298.15 MO TA 0.2 0.8 -24004.69 -12600.44 38.250029 -11404.246146349999 0.0 0.0 -11594.8842 -1240.4816826440385 -0.0
298.15 MO TA 0.21 0.79 -24391.62 -13045.04 38.056607 -11346.577377049998 0.0 0.0 -11556.38741 -1274.08222978906 -0.0
298.15 MO TA 0.22 0.78 -24761.72 -13472.52 37.864172 -11289.2028818 0.0 0.0 -11517.89062 -1306.188067542519 -0.0
298.15 MO TA 0.23 0.77 -25115.11 -13882.94 37.67289 -11232.1721535 0.0 0.0 -11479.39383 -1336.8488881016199 -0.0
298.15 MO TA 0.24 0.76 -25451.91 -14276.38 37.482912 -11175.530212799998 0.0 0.0 -11440.89704 -1366.1096036088943 -0.0
298.15 MO TA 0.25 0.75 -25772.22 -14652.91 37.294375 -11119.31790625 0.0 0.0 -11402.400249999999 -1394.0109271940482 -0.0
298.15 MO TA 0.26 0.74 -26076.17 -15012.6 37.107402 -11063.5719063 0.0 0.0 -11363.90346 -1420.5898600324033 -0.0
298.15 MO TA 0.27 0.73 -26363.85 -15355.52 36.922107 -11008.326202049999 0.0 0.0 -11325.406669999998 -1445.8801024662048 -0.0
298.15 MO TA 0.28 0.72 -26635.36 -15681.75 36.738593 -10953.61150295 0.0 0.0 -11286.90988 -1469.9124032129614 -0.0
298.15 MO TA 0.29 0.71 -26890.82 -15991.37 36.556954 -10899.455835099998 0.0 0.0 -11248.413089999998 -1492.7148576699553 -0.0
298.15 MO TA 0.3 0.7 -27130.31 -16284.43 36.377276 -10845.8848394 0.0 0.0 -11209.916299999999 -1514.313164037668 -0.0
298.15 MO TA 0.31 0.69 -27353.94 -16561.02 36.199639 -10792.922367849998 0.0 0.0 -11171.419509999998 -1534.730844232385 -0.0
298.15 MO TA 0.32 0.68 -27561.79 -16821.21 36.024113 -10740.58929095 0.0 0.0 -11132.922719999999 -1553.9894352015579 -0.0
298.15 MO TA 0.33 0.67 -27753.97 -17065.06 35.850767 -10688.906181049999 0.0 0.0 -11094.42593 -1572.1086551954763 -0.0
298.15 MO TA 0.34 0.66 -27930.55 -17292.66 35.679659 -10637.89033085 0.0 0.0 -11055.929139999998 -1589.1065487133012 -0.0
298.15 MO TA 0.35 0.65 -28091.63 -17504.07 35.510846 -10587.5587349 0.0 0.0 -11017.43235 -1604.9996131775667 -0.0
298.15 MO TA 0.36 0.64 -28237.3 -17699.37 35.344377 -10537.926002549999 0.0 0.0 -10978.93556 -1619.8029098595373 -0.0
298.15 MO TA 0.37 0.63 -28367.64 -17878.63 35.1803 -10489.006444999999 0.0 0.0 -10940.438769999999 -1633.5301611487748 -0.0
298.15 MO TA 0.38 0.62 -28482.74 -18041.92 35.018655 -10440.81198825 0.0 0.0 -10901.94198 -1646.193835911596 -0.0
298.15 MO TA 0.39 0.61 -28582.67 -18189.32 34.859481 -10393.35426015 0.0 0.0 -10863.445189999999 -1657.8052243977716 -0.0
298.15 MO TA 0.4 0.6 -28667.54 -18320.89 34.702812 -10346.6433978 0.0 0.0 -10824.9484 -1668.3745039196444 -0.0
298.15 MO TA 0.41 0.59 -28737.4 -18436.72 34.548678 -10300.6883457 0.0 0.0 -10786.45161 -1677.9107963326926 -0.0
298.15 MO TA 0.42 0.58 -28792.36 -18536.86 34.397106 -10255.4971539 0.0 0.0 -10747.95482 -1686.4222181834425 -0.0
298.15 MO TA 0.43 0.57 -28832.48 -18621.4 34.248122 -10211.0775743 0.0 0.0 -10709.458030000002 -1693.9159242532326 -0.0
298.15 MO TA 0.44 0.56 -28857.84 -18690.4 34.101744 -10167.434973599999 0.0 0.0 -10670.96124 -1700.3981451097393 -0.0
298.15 MO TA 0.45 0.55 -28868.53 -18743.95 33.957992 -10124.575314799999 0.0 0.0 -10632.464450000001 -1705.8742191782392 -0.0
298.15 MO TA 0.46 0.54 -28864.61 -18782.11 33.81688 -10082.502771999998 0.0 0.0 -10593.96766 -1710.3486197582595 -0.0
298.15 MO TA 0.47 0.53 -28846.17 -18804.95 33.678421 -10041.22122115 0.0 0.0 -10555.470870000001 -1713.8249773357109 -0.0
298.15 MO TA 0.48 0.52 -28813.28 -18812.55 33.542624 -10000.7333456 0.0 0.0 -10516.97408 -1716.3060974737868 -0.0
298.15 MO TA 0.49 0.51 -28766.01 -18804.97 33.409496 -9961.041232399999 0.0 0.0 -10478.477289999999 -1717.7939745058845 -0.0
298.15 MO TA 0.5 0.5 -28704.45 -18782.3 33.27904 -9922.145776 0.0 0.0 -10439.9805 -1718.289801199083 -0.0
298.15 MO TA 0.51 0.49 -28628.65 -18744.6 33.151258 -9884.0475727 0.0 0.0 -10401.48371 -1717.7939745058845 -0.0
298.15 MO TA 0.52 0.48 -28538.7 -18691.95 33.026148 -9846.746026199999 0.0 0.0 -10362.98692 -1716.3060974737868 -0.0
298.15 MO TA 0.53 0.47 -28434.66 -18624.42 32.903708 -9810.2405402 0.0 0.0 -10324.490129999998 -1713.8249773357109 -0.0
298.15 MO TA 0.54 0.46 -28316.61 -18542.08 32.783929 -9774.52843135 0.0 0.0 -10285.99334 -1710.3486197582595 -0.0
298.15 MO TA 0.55 0.45 -28184.62 -18445.01 32.666803 -9739.60731445 0.0 0.0 -10247.49655 -1705.8742191782392 -0.0
298.15 MO TA 0.56 0.44 -28038.74 -18333.27 32.552317 -9705.47331355 0.0 0.0 -10208.999759999999 -1700.3981451097393 -0.0
298.15 MO TA 0.57 0.43 -27879.06 -18206.94 32.440457 -9672.12225455 0.0 0.0 -10170.50297 -1693.9159242532328 -0.0
298.15 MO TA 0.58 0.42 -27705.64 -18066.09 32.331204 -9639.5484726 0.0 0.0 -10132.00618 -1686.4222181834425 -0.0
298.15 MO TA 0.59 0.41 -27518.54 -17910.79 32.224537 -9607.745706549998 0.0 0.0 -10093.50939 -1677.910796332693 -0.0
298.15 MO TA 0.6 0.4 -27317.83 -17741.13 32.120434 -9576.7073971 0.0 0.0 -10055.012599999998 -1668.3745039196444 -0.0
298.15 MO TA 0.61 0.39 -27103.58 -17557.16 32.018865 -9546.424599749998 0.0 0.0 -10016.51581 -1657.8052243977716 -0.0
298.15 MO TA 0.62 0.38 -26875.85 -17358.96 31.919801 -9516.888668149999 0.0 0.0 -9978.01902 -1646.193835911596 -0.0
298.15 MO TA 0.63 0.37 -26634.69 -17146.6 31.823208 -9488.089465199999 0.0 0.0 -9939.522229999999 -1633.5301611487748 -0.0
298.15 MO TA 0.64 0.36 -26380.18 -16920.17 31.729048 -9460.0156612 0.0 0.0 -9901.02544 -1619.8029098595373 -0.0
298.15 MO TA 0.65 0.35 -26112.37 -16679.72 31.637278 -9432.654435699998 0.0 0.0 -9862.52865 -1604.9996131775667 -0.0
298.15 MO TA 0.66 0.34 -25831.32 -16425.33 31.547854 -9405.9926701 0.0 0.0 -9824.03186 -1589.106548713301 -0.0
298.15 MO TA 0.67 0.33 -25537.09 -16157.07 31.460723 -9380.01456245 0.0 0.0 -9785.53507 -1572.1086551954763 -0.0
298.15 MO TA 0.68 0.32 -25229.73 -15875.03 31.375832 -9354.7043108 0.0 0.0 -9747.03828 -1553.9894352015576 -0.0
298.15 MO TA 0.69 0.31 -24909.3 -15579.26 31.29312 -9330.043727999999 0.0 0.0 -9708.54149 -1534.730844232385 -0.0
298.15 MO TA 0.7 0.3 -24575.85 -15269.84 31.212519 -9306.012539849999 0.0 0.0 -9670.0447 -1514.313164037668 -0.0
298.15 MO TA 0.71 0.29 -24229.43 -14946.84 31.133959 -9282.589875849999 0.0 0.0 -9631.54791 -1492.7148576699553 -0.0
298.15 MO TA 0.72 0.28 -23870.1 -14610.34 31.057361 -9259.75218215 0.0 0.0 -9593.05112 -1469.9124032129614 -0.0
298.15 MO TA 0.73 0.27 -23497.89 -14260.41 30.982637 -9237.473221549999 0.0 0.0 -9554.554329999999 -1445.8801024662048 -0.0
298.15 MO TA 0.74 0.26 -23112.85 -13897.12 30.909694 -9215.725266099998 0.0 0.0 -9516.05754 -1420.5898600324033 -0.0
298.15 MO TA 0.75 0.25 -22715.03 -13520.55 30.838429 -9194.47760635 0.0 0.0 -9477.56075 -1394.0109271940482 -0.0
298.15 MO TA 0.76 0.24 -22304.45 -13130.76 30.768728 -9173.6962532 0.0 0.0 -9439.06396 -1366.1096036088943 -0.0
298.15 MO TA 0.77 0.23 -21881.17 -12727.83 30.700468 -9153.3445342 0.0 0.0 -9400.567169999998 -1336.8488881016199 -0.0
298.15 MO TA 0.78 0.22 -21445.21 -12311.83 30.633512 -9133.381602799998 0.0 0.0 -9362.07038 -1306.188067542519 -0.0
