T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 N ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 0.0 0.0 -6719.723 0.0 -0.0
298.15 N ZR 1.0 0.0 308665.7 281490.1 -91.147455 27175.613708249995 0.0 0.0 308665.7 0.0 -0.0
298.15 N ZR 0.01 0.99 -18912.9 -4877.642 47.074498 -14035.261578699998 0.0 0.0 -3565.86877 -138.82602141683572 -0.0
298.15 N ZR 0.02 0.98 -30700.61 -16764.78 46.740993 -13935.82706295 0.0 0.0 -412.0145399999992 -243.03584172567548 -0.0
298.15 N ZR 0.03 0.97 -42147.01 -28350.29 46.274425 -13796.71981375 0.0 0.0 2741.83969 -334.02154674813943 -0.0
298.15 N ZR 0.04 0.96 -53265.75 -39634.18 45.720528 -13631.5754232 0.0 0.0 5895.693920000001 -416.3281974105132 -0.0
298.15 N ZR 0.05 0.95 -64063.3 -50616.43 45.101007 -13446.86523705 0.0 0.0 9049.548150000002 -492.11297050679866 -0.0
298.15 N ZR 0.06 0.94 -74543.46 -61297.06 44.428636 -13246.397823399999 0.0 0.0 12203.40238 -562.6452650375949 -0.0
298.15 N ZR 0.07 0.93 -84708.75 -71676.07 43.711844 -13032.686288599998 0.0 0.0 15357.256610000002 -628.7628773593874 -0.0
298.15 N ZR 0.08 0.92 -94560.96 -81753.44 42.956614 -12807.514464099999 0.0 0.0 18511.11084 -691.0604007790716 -0.0
298.15 N ZR 0.09 0.91 -104101.4 -91529.19 42.167412 -12572.213887799999 0.0 0.0 21664.96507 -749.9816351924776 -0.0
298.15 N ZR 0.1 0.9 -113331.1 -101003.3 41.347696 -12327.8155624 0.0 0.0 24818.819300000003 -805.870345271772 -0.0
