T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NB TA 0.0 1.0 -12364.82 -0.00107989 41.471806 -12364.8189589 0.0 0.0 -12364.82 0.0 -0.0
298.15 NB TA 1.0 0.0 -10813.9 0.0003004242 36.270001 -10813.90079815 0.0 0.0 -10813.9 0.0 -0.0
298.15 NB TA 0.01 0.99 -12475.29 12.84943 41.885414 -12488.136184099998 0.0 0.0 -12349.3108 -138.82602141683572 -0.0
298.15 NB TA 0.02 0.98 -12551.4 25.44034 42.182917 -12576.83670355 0.0 0.0 -12333.801599999999 -243.03584172567548 -0.0
298.15 NB TA 0.03 0.97 -12614.54 37.77163 42.436067 -12652.313376049999 0.0 0.0 -12318.292399999998 -334.02154674813943 -0.0
298.15 NB TA 0.04 0.96 -12669.27 49.84333 42.660107 -12719.11090205 0.0 0.0 -12302.7832 -416.3281974105132 -0.0
298.15 NB TA 0.05 0.95 -12717.73 61.65541 42.862273 -12779.386694949999 0.0 0.0 -12287.274 -492.11297050679866 -0.0
298.15 NB TA 0.06 0.94 -12761.2 73.20789 43.046822 -12834.409979299999 0.0 0.0 -12271.764799999999 -562.6452650375949 -0.0
298.15 NB TA 0.07 0.93 -12800.52 84.50077 43.216563 -12885.01825845 0.0 0.0 -12256.255599999999 -628.7628773593874 -0.0
298.15 NB TA 0.08 0.92 -12836.27 95.53404 43.373493 -12931.80693795 0.0 0.0 -12240.7464 -691.0604007790716 -0.0
298.15 NB TA 0.09 0.91 -12868.91 106.3077 43.519098 -12975.219068699998 0.0 0.0 -12225.2372 -749.9816351924776 -0.0
298.15 NB TA 0.1 0.9 -12898.78 116.8218 43.654531 -13015.598417649999 0.0 0.0 -12209.728 -805.870345271772 -0.0
298.15 NB TA 0.11 0.89 -12926.14 127.0762 43.780713 -13053.219580949999 0.0 0.0 -12194.2188 -859.000492370776 -0.0
298.15 NB TA 0.12 0.88 -12951.23 137.0711 43.898391 -13088.305276649999 0.0 0.0 -12178.7096 -909.5953759771999 -0.0
298.15 NB TA 0.13 0.87 -12974.23 146.8063 44.008188 -13121.041252199999 0.0 0.0 -12163.2004 -957.840348132521 -0.0
298.15 NB TA 0.14 0.86 -12995.3 156.2819 44.110626 -13151.5831419 0.0 0.0 -12147.6912 -1003.8915915105914 -0.0
298.15 NB TA 0.15 0.85 -13014.57 165.498 44.206154 -13180.064815099999 0.0 0.0 -12132.181999999999 -1047.882375954332 -0.0
298.15 NB TA 0.16 0.84 -13032.15 174.4544 44.295157 -13206.60105955 0.0 0.0 -12116.6728 -1089.9276385420173 -0.0
298.15 NB TA 0.17 0.83 -13048.14 183.1512 44.37797 -13231.291755499999 0.0 0.0 -12101.163599999998 -1130.1274135160918 -0.0
298.15 NB TA 0.18 0.82 -13062.64 191.5884 44.454887 -13254.224559049999 0.0 0.0 -12085.654400000001 -1168.5694517045056 -0.0
298.15 NB TA 0.19 0.81 -13075.71 199.766 44.526169 -13275.47728735 0.0 0.0 -12070.1452 -1205.3312553507326 -0.0
298.15 NB TA 0.2 0.8 -13087.43 207.684 44.592046 -13295.1185149 0.0 0.0 -12054.636 -1240.4816826440385 -0.0
298.15 NB TA 0.21 0.79 -13097.87 215.3424 44.652725 -13313.209958749998 0.0 0.0 -12039.1268 -1274.08222978906 -0.0
298.15 NB TA 0.22 0.78 -13107.07 222.7412 44.708391 -13329.806776649999 0.0 0.0 -12023.617600000001 -1306.188067542519 -0.0
298.15 NB TA 0.23 0.77 -13115.08 229.8804 44.75921 -13344.9584615 0.0 0.0 -12008.108400000001 -1336.8488881016199 -0.0
298.15 NB TA 0.24 0.76 -13121.95 236.7599 44.805333 -13358.710033949998 0.0 0.0 -11992.599199999999 -1366.1096036088943 -0.0
298.15 NB TA 0.25 0.75 -13127.72 243.3799 44.846896 -13371.1020424 0.0 0.0 -11977.09 -1394.0109271940482 -0.0
298.15 NB TA 0.26 0.74 -13132.43 249.7403 44.884024 -13382.171755599999 0.0 0.0 -11961.5808 -1420.5898600324033 -0.0
298.15 NB TA 0.27 0.73 -13136.11 255.841 44.91683 -13391.952864499997 0.0 0.0 -11946.0716 -1445.8801024662048 -0.0
298.15 NB TA 0.28 0.72 -13138.79 261.6822 44.945417 -13400.476078549998 0.0 0.0 -11930.562399999999 -1469.9124032129614 -0.0
298.15 NB TA 0.29 0.71 -13140.51 267.2637 44.969879 -13407.769423849999 0.0 0.0 -11915.053199999998 -1492.7148576699553 -0.0
298.15 NB TA 0.3 0.7 -13141.27 272.5856 44.990302 -13413.858541299998 0.0 0.0 -11899.544 -1514.313164037668 -0.0
298.15 NB TA 0.31 0.69 -13141.12 277.648 45.006765 -13418.76698475 0.0 0.0 -11884.034799999998 -1534.730844232385 -0.0
298.15 NB TA 0.32 0.68 -13140.07 282.4507 45.019341 -13422.516519149998 0.0 0.0 -11868.525599999999 -1553.9894352015579 -0.0
298.15 NB TA 0.33 0.67 -13138.13 286.9938 45.028095 -13425.12652425 0.0 0.0 -11853.016399999999 -1572.1086551954763 -0.0
298.15 NB TA 0.34 0.66 -13135.34 291.2773 45.033088 -13426.6151872 0.0 0.0 -11837.507199999998 -1589.1065487133012 -0.0
298.15 NB TA 0.35 0.65 -13131.7 295.3012 45.034376 -13426.9992044 0.0 0.0 -11821.998 -1604.9996131775667 -0.0
298.15 NB TA 0.36 0.64 -13127.23 299.0655 45.032008 -13426.293185199998 0.0 0.0 -11806.4888 -1619.8029098595373 -0.0
298.15 NB TA 0.37 0.63 -13121.94 302.5702 45.026032 -13424.511440799999 0.0 0.0 -11790.979599999999 -1633.5301611487748 -0.0
298.15 NB TA 0.38 0.62 -13115.85 305.8153 45.016488 -13421.6658972 0.0 0.0 -11775.4704 -1646.193835911596 -0.0
298.15 NB TA 0.39 0.61 -13108.97 308.8008 45.003415 -13417.768182249998 0.0 0.0 -11759.9612 -1657.8052243977716 -0.0
298.15 NB TA 0.4 0.6 -13101.3 311.5267 44.986846 -13412.828134899999 0.0 0.0 -11744.452000000001 -1668.3745039196444 -0.0
298.15 NB TA 0.41 0.59 -13092.86 313.9929 44.966813 -13406.85529595 0.0 0.0 -11728.9428 -1677.9107963326926 -0.0
298.15 NB TA 0.42 0.58 -13083.66 316.1996 44.943343 -13399.857715449998 0.0 0.0 -11713.4336 -1686.4222181834425 -0.0
298.15 NB TA 0.43 0.57 -13073.7 318.1467 44.916459 -13391.84225085 0.0 0.0 -11697.9244 -1693.9159242532326 -0.0
298.15 NB TA 0.44 0.56 -13062.98 319.8341 44.886182 -13382.815163299998 0.0 0.0 -11682.4152 -1700.3981451097393 -0.0
298.15 NB TA 0.45 0.55 -13051.52 321.262 44.852531 -13372.782117649998 0.0 0.0 -11666.906 -1705.8742191782392 -0.0
298.15 NB TA 0.46 0.54 -13039.32 322.4302 44.81552 -13361.747287999999 0.0 0.0 -11651.3968 -1710.3486197582595 -0.0
298.15 NB TA 0.47 0.53 -13026.38 323.3388 44.775162 -13349.7145503 0.0 0.0 -11635.8876 -1713.8249773357109 -0.0
298.15 NB TA 0.48 0.52 -13012.7 323.9879 44.731465 -13336.68628975 0.0 0.0 -11620.3784 -1716.3060974737868 -0.0
298.15 NB TA 0.49 0.51 -12998.29 324.3773 44.684438 -13322.6651897 0.0 0.0 -11604.869200000001 -1717.7939745058845 -0.0
298.15 NB TA 0.5 0.5 -12983.14 324.5071 44.634083 -13307.651846449999 0.0 0.0 -11589.36 -1718.289801199083 -0.0
298.15 NB TA 0.51 0.49 -12967.27 324.3773 44.580402 -13291.646856299998 0.0 0.0 -11573.8508 -1717.7939745058845 -0.0
298.15 NB TA 0.52 0.48 -12950.66 323.9879 44.523393 -13274.649622949999 0.0 0.0 -11558.3416 -1716.3060974737868 -0.0
298.15 NB TA 0.53 0.47 -12933.32 323.3389 44.463053 -13256.659251949999 0.0 0.0 -11542.8324 -1713.8249773357109 -0.0
298.15 NB TA 0.54 0.46 -12915.24 322.4303 44.399375 -13237.67365625 0.0 0.0 -11527.323199999999 -1710.3486197582595 -0.0
298.15 NB TA 0.55 0.45 -12896.43 321.2621 44.33235 -13217.690152499998 0.0 0.0 -11511.813999999998 -1705.8742191782392 -0.0
298.15 NB TA 0.56 0.44 -12876.87 319.8343 44.261965 -13196.704864749998 0.0 0.0 -11496.3048 -1700.3981451097393 -0.0
298.15 NB TA 0.57 0.43 -12856.57 318.1469 44.188206 -13174.7136189 0.0 0.0 -11480.7956 -1693.9159242532328 -0.0
298.15 NB TA 0.58 0.42 -12835.51 316.1998 44.111054 -13151.7107501 0.0 0.0 -11465.286399999999 -1686.4222181834425 -0.0
298.15 NB TA 0.59 0.41 -12813.7 313.9932 44.030488 -13127.6899972 0.0 0.0 -11449.7772 -1677.910796332693 -0.0
298.15 NB TA 0.6 0.4 -12791.12 311.5269 43.946485 -13102.64450275 0.0 0.0 -11434.268 -1668.3745039196444 -0.0
298.15 NB TA 0.61 0.39 -12767.76 308.8011 43.859017 -13076.565918549999 0.0 0.0 -11418.7588 -1657.8052243977716 -0.0
298.15 NB TA 0.62 0.38 -12743.63 305.8156 43.768055 -13049.445598249999 0.0 0.0 -11403.2496 -1646.193835911596 -0.0
298.15 NB TA 0.63 0.37 -12718.7 302.5706 43.673562 -13021.272510299998 0.0 0.0 -11387.740399999999 -1633.5301611487748 -0.0
