T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NB ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 0.0 0.0 -6719.723 0.0 -0.0
298.15 NB ZR 1.0 0.0 -10813.9 0.00030045 36.270001 -10813.90079815 0.0 0.0 -10813.9 0.0 -0.0
298.15 NB ZR 0.01 0.99 -6766.95 7357.51 47.373672 -14124.460306799998 0.0 0.0 -6760.66477 -138.82602141683572 -0.0
298.15 NB ZR 0.02 0.98 -6780.83 7403.018 47.572859 -14183.84791085 0.0 0.0 -6801.60654 -243.03584172567548 -0.0
298.15 NB ZR 0.03 0.97 -6782.797 7447.601 47.72899 -14230.3983685 0.0 0.0 -6842.54831 -334.02154674813943 -0.0
298.15 NB ZR 0.04 0.96 -6777.441 7491.212 47.857297 -14268.65310055 0.0 0.0 -6883.49008 -416.3281974105132 -0.0
298.15 NB ZR 0.05 0.95 -6766.961 7533.804 47.965001 -14300.765048149999 0.0 0.0 -6924.431849999999 -492.11297050679866 -0.0
298.15 NB ZR 0.06 0.94 -6752.67 7575.33 48.056348 -14328.0001562 0.0 0.0 -6965.373619999999 -562.6452650375949 -0.0
298.15 NB ZR 0.07 0.93 -6735.449 7615.743 48.134133 -14351.19175395 0.0 0.0 -7006.31539 -628.7628773593874 -0.0
298.15 NB ZR 0.08 0.92 -6715.935 7654.996 48.200339 -14370.931072849999 0.0 0.0 -7047.25716 -691.0604007790716 -0.0
298.15 NB ZR 0.09 0.91 -6694.615 7693.042 48.256441 -14387.65788415 0.0 0.0 -7088.1989300000005 -749.9816351924776 -0.0
298.15 NB ZR 0.1 0.9 -6671.877 7729.834 48.303578 -14401.7117807 0.0 0.0 -7129.140700000001 -805.870345271772 -0.0
298.15 NB ZR 0.11 0.89 -6648.038 7765.325 48.342657 -14413.36318455 0.0 0.0 -7170.082469999999 -859.000492370776 -0.0
298.15 NB ZR 0.12 0.88 -6623.363 7799.468 48.374413 -14422.831235949998 0.0 0.0 -7211.02424 -909.5953759771999 -0.0
298.15 NB ZR 0.13 0.87 -6598.081 7832.216 48.399455 -14430.29750825 0.0 0.0 -7251.96601 -957.840348132521 -0.0
298.15 NB ZR 0.14 0.86 -6572.393 7863.522 48.418293 -14435.914057949998 0.0 0.0 -7292.90778 -1003.8915915105914 -0.0
298.15 NB ZR 0.15 0.85 -6546.473 7893.338 48.431362 -14439.810580299998 0.0 0.0 -7333.84955 -1047.882375954332 -0.0
298.15 NB ZR 0.16 0.84 -6520.48 7921.618 48.439034 -14442.097987099998 0.0 0.0 -7374.79132 -1089.9276385420173 -0.0
298.15 NB ZR 0.17 0.83 -6494.557 7948.315 48.441631 -14442.87228265 0.0 0.0 -7415.73309 -1130.1274135160918 -0.0
298.15 NB ZR 0.18 0.82 -6468.836 7973.382 48.439435 -14442.21754525 0.0 0.0 -7456.674860000001 -1168.5694517045056 -0.0
298.15 NB ZR 0.19 0.81 -6443.436 7996.771 48.432692 -14440.2071198 0.0 0.0 -7497.61663 -1205.3312553507326 -0.0
298.15 NB ZR 0.2 0.8 -6418.47 8018.436 48.42162 -14436.906002999998 0.0 0.0 -7538.5584 -1240.4816826440385 -0.0
298.15 NB ZR 0.21 0.79 -6394.042 8038.33 48.406413 -14432.372035949998 0.0 0.0 -7579.50017 -1274.08222978906 -0.0
298.15 NB ZR 0.22 0.78 -6370.251 8056.405 48.387242 -14426.656202299999 0.0 0.0 -7620.44194 -1306.188067542519 -0.0
298.15 NB ZR 0.23 0.77 -6347.19 8072.615 48.364261 -14419.804417149999 0.0 0.0 -7661.38371 -1336.8488881016199 -0.0
298.15 NB ZR 0.24 0.76 -6324.946 8086.912 48.337608 -14411.8578252 0.0 0.0 -7702.3254799999995 -1366.1096036088943 -0.0
298.15 NB ZR 0.25 0.75 -6303.603 8099.25 48.307406 -14402.8530989 0.0 0.0 -7743.267250000001 -1394.0109271940482 -0.0
298.15 NB ZR 0.26 0.74 -6283.242 8109.581 48.273765 -14392.823034749998 0.0 0.0 -7784.20902 -1420.5898600324033 -0.0
298.15 NB ZR 0.27 0.73 -6263.939 8117.859 48.236787 -14381.79804405 0.0 0.0 -7825.15079 -1445.8801024662048 -0.0
298.15 NB ZR 0.28 0.72 -6245.768 8124.037 48.19656 -14369.804363999998 0.0 0.0 -7866.092560000001 -1469.9124032129614 -0.0
298.15 NB ZR 0.29 0.71 -6228.8 8128.066 48.153167 -14356.86674105 0.0 0.0 -7907.034329999999 -1492.7148576699553 -0.0
298.15 NB ZR 0.3 0.7 -6213.105 8129.902 48.106679 -14343.006343849998 0.0 0.0 -7947.9761 -1514.313164037668 -0.0
298.15 NB ZR 0.31 0.69 -6198.748 8129.495 48.057164 -14328.2434466 0.0 0.0 -7988.917869999999 -1534.730844232385 -0.0
