T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NI NB 0.0 1.0 -351.7577 10554.15 36.578606 -10905.911378899998 0.0 0.0 -351.7577 0.0 -0.0
298.15 NI NB 1.0 0.0 -10813.9 0.0002474038 36.27 -10813.9005 0.0 0.0 -10813.9 0.0 -0.0
298.15 NI NB 0.01 0.99 -803.1466 10226.23 36.992705 -11029.374995749999 0.0 0.0 -456.379123 -138.82602141683572 -0.0
298.15 NI NB 0.02 0.98 -1215.718 9902.796 37.291679 -11118.514093849999 0.0 0.0 -561.000546 -243.03584172567548 -0.0
298.15 NI NB 0.03 0.97 -1610.865 9583.856 37.547278 -11194.7209357 0.0 0.0 -665.621969 -334.02154674813943 -0.0
298.15 NI NB 0.04 0.96 -1993.132 9269.408 37.774746 -11262.5405199 0.0 0.0 -770.243392 -416.3281974105132 -0.0
298.15 NI NB 0.05 0.95 -2364.676 8959.454 37.981318 -11324.1299617 0.0 0.0 -874.864815 -492.11297050679866 -0.0
298.15 NI NB 0.06 0.94 -2726.767 8653.991 38.171251 -11380.758485649998 0.0 0.0 -979.486238 -562.6452650375949 -0.0
298.15 NI NB 0.07 0.93 -3080.242 8353.022 38.347356 -11433.264191399998 0.0 0.0 -1084.107661 -628.7628773593874 -0.0
298.15 NI NB 0.08 0.92 -3425.697 8056.545 38.511627 -11482.241590049998 0.0 0.0 -1188.729084 -691.0604007790716 -0.0
298.15 NI NB 0.09 0.91 -3763.574 7764.56 38.665552 -11528.134328799999 0.0 0.0 -1293.350507 -749.9816351924776 -0.0
298.15 NI NB 0.1 0.9 -4094.218 7477.068 38.810285 -11571.28647275 0.0 0.0 -1397.9719300000002 -805.870345271772 -0.0
298.15 NI NB 0.11 0.89 -4417.903 7194.069 38.946744 -11611.9717236 0.0 0.0 -1502.593353 -859.000492370776 -0.0
298.15 NI NB 0.12 0.88 -4734.851 6915.563 39.075679 -11650.41369385 0.0 0.0 -1607.2147759999998 -909.5953759771999 -0.0
298.15 NI NB 0.13 0.87 -5045.249 6641.549 39.19771 -11686.797236499999 0.0 0.0 -1711.836199 -957.840348132521 -0.0
298.15 NI NB 0.14 0.86 -5349.252 6372.027 39.313362 -11721.278880299998 0.0 0.0 -1816.4576220000001 -1003.8915915105914 -0.0
298.15 NI NB 0.15 0.85 -5646.994 6106.998 39.423082 -11753.991898299999 0.0 0.0 -1921.0790449999997 -1047.882375954332 -0.0
298.15 NI NB 0.16 0.84 -5938.589 5846.462 39.527255 -11785.051078249999 0.0 0.0 -2025.700468 -1089.9276385420173 -0.0
298.15 NI NB 0.17 0.83 -6224.138 5590.418 39.626217 -11814.556598549998 0.0 0.0 -2130.321891 -1130.1274135160918 -0.0
298.15 NI NB 0.18 0.82 -6503.729 5338.867 39.720262 -11842.596115299999 0.0 0.0 -2234.943314 -1168.5694517045056 -0.0
298.15 NI NB 0.19 0.81 -6777.438 5091.809 39.80965 -11869.247147499998 0.0 0.0 -2339.564737 -1205.3312553507326 -0.0
298.15 NI NB 0.2 0.8 -7045.336 4849.243 39.894613 -11894.57886595 0.0 0.0 -2444.18616 -1240.4816826440385 -0.0
298.15 NI NB 0.21 0.79 -7307.482 4611.17 39.975355 -11918.652093249999 0.0 0.0 -2548.807583 -1274.08222978906 -0.0
298.15 NI NB 0.22 0.78 -7563.933 4377.589 40.052063 -11941.522583449998 0.0 0.0 -2653.429006 -1306.188067542519 -0.0
298.15 NI NB 0.23 0.77 -7814.738 4148.501 40.124902 -11963.239531299998 0.0 0.0 -2758.050429 -1336.8488881016199 -0.0
298.15 NI NB 0.24 0.76 -8059.943 3923.906 40.194025 -11983.84855375 0.0 0.0 -2862.671852 -1366.1096036088943 -0.0
298.15 NI NB 0.25 0.75 -8299.587 3703.803 40.259566 -12003.389602899999 0.0 0.0 -2967.293275 -1394.0109271940482 -0.0
298.15 NI NB 0.26 0.74 -8533.708 3488.193 40.321651 -12021.90024565 0.0 0.0 -3071.914698 -1420.5898600324033 -0.0
298.15 NI NB 0.27 0.73 -8762.339 3277.075 40.380392 -12039.413874799999 0.0 0.0 -3176.536121 -1445.8801024662048 -0.0
298.15 NI NB 0.28 0.72 -8985.511 3070.45 40.435892 -12055.9611998 0.0 0.0 -3281.157544 -1469.9124032129614 -0.0
298.15 NI NB 0.29 0.71 -9203.253 2868.318 40.488246 -12071.570544899998 0.0 0.0 -3385.7789669999993 -1492.7148576699553 -0.0
298.15 NI NB 0.3 0.7 -9415.59 2670.678 40.53754 -12086.267550999999 0.0 0.0 -3490.40039 -1514.313164037668 -0.0
298.15 NI NB 0.31 0.69 -9622.545 2477.53 40.583853 -12100.075771949998 0.0 0.0 -3595.021813 -1534.730844232385 -0.0
298.15 NI NB 0.32 0.68 -9824.141 2288.876 40.627257 -12113.01667455 0.0 0.0 -3699.643236 -1553.9894352015579 -0.0
298.15 NI NB 0.33 0.67 -10020.4 2104.714 40.667818 -12125.109936699999 0.0 0.0 -3804.264659 -1572.1086551954763 -0.0
298.15 NI NB 0.34 0.66 -10211.33 1925.044 40.705596 -12136.3734474 0.0 0.0 -3908.886082 -1589.1065487133012 -0.0
298.15 NI NB 0.35 0.65 -10396.96 1749.868 40.740647 -12146.823903049999 0.0 0.0 -4013.5075049999996 -1604.9996131775667 -0.0
298.15 NI NB 0.36 0.64 -10577.29 1579.183 40.773022 -12156.476509299999 0.0 0.0 -4118.128928 -1619.8029098595373 -0.0
298.15 NI NB 0.37 0.63 -10752.35 1412.992 40.802767 -12165.34498105 0.0 0.0 -4222.750351 -1633.5301611487748 -0.0
298.15 NI NB 0.38 0.62 -10922.15 1251.293 40.829923 -12173.441542449998 0.0 0.0 -4327.371774 -1646.193835911596 -0.0
298.15 NI NB 0.39 0.61 -11086.69 1094.086 40.854528 -12180.7775232 0.0 0.0 -4431.993197000001 -1657.8052243977716 -0.0
298.15 NI NB 0.4 0.6 -11245.99 941.3724 40.876616 -12187.363060399999 0.0 0.0 -4536.61462 -1668.3745039196444 -0.0
298.15 NI NB 0.41 0.59 -11400.06 793.1511 40.896218 -12193.207396699998 0.0 0.0 -4641.236043 -1677.9107963326926 -0.0
298.15 NI NB 0.42 0.58 -11548.9 649.4225 40.913361 -12198.31858215 0.0 0.0 -4745.8574659999995 -1686.4222181834425 -0.0
298.15 NI NB 0.43 0.57 -11692.52 510.1865 40.92807 -12202.704070499998 0.0 0.0 -4850.478889 -1693.9159242532326 -0.0
298.15 NI NB 0.44 0.56 -11830.93 375.443 40.940365 -12206.36982475 0.0 0.0 -4955.100312 -1700.3981451097393 -0.0
298.15 NI NB 0.45 0.55 -11964.13 245.1922 40.950263 -12209.32091345 0.0 0.0 -5059.721735 -1705.8742191782392 -0.0
298.15 NI NB 0.46 0.54 -12092.13 119.434 40.957781 -12211.562405149998 0.0 0.0 -5164.343158000001 -1710.3486197582595 -0.0
298.15 NI NB 0.47 0.53 -12214.93 -1.831675 40.962929 -12213.09728135 0.0 0.0 -5268.964580999999 -1713.8249773357109 -0.0
298.15 NI NB 0.48 0.52 -12332.53 -118.6047 40.965718 -12213.9288217 0.0 0.0 -5373.586004 -1716.3060974737868 -0.0
298.15 NI NB 0.49 0.51 -12444.94 -230.8851 40.966155 -12214.05911325 0.0 0.0 -5478.207426999999 -1717.7939745058845 -0.0
298.15 NI NB 0.5 0.5 -12552.16 -338.673 40.964243 -12213.48905045 0.0 0.0 -5582.82885 -1718.289801199083 -0.0
298.15 NI NB 0.51 0.49 -12654.19 -441.9682 40.959983 -12212.21893145 0.0 0.0 -5687.450273 -1717.7939745058845 -0.0
298.15 NI NB 0.52 0.48 -12751.02 -540.7709 40.953374 -12210.248458099997 0.0 0.0 -5792.071696 -1716.3060974737868 -0.0
298.15 NI NB 0.53 0.47 -12842.66 -635.0809 40.944413 -12207.576735949999 0.0 0.0 -5896.6931190000005 -1713.8249773357109 -0.0
298.15 NI NB 0.54 0.46 -12929.1 -724.8983 40.933092 -12204.201379799999 0.0 0.0 -6001.314542 -1710.3486197582595 -0.0
298.15 NI NB 0.55 0.45 -13010.34 -810.2232 40.919402 -12200.119706299998 0.0 0.0 -6105.935965000001 -1705.8742191782392 -0.0
298.15 NI NB 0.56 0.44 -13086.38 -891.0554 40.903332 -12195.328435799998 0.0 0.0 -6210.557388 -1700.3981451097393 -0.0
298.15 NI NB 0.57 0.43 -13157.22 -967.395 40.884865 -12189.822499749998 0.0 0.0 -6315.178810999999 -1693.9159242532328 -0.0
298.15 NI NB 0.58 0.42 -13222.84 -1039.242 40.863984 -12183.5968296 0.0 0.0 -6419.800233999999 -1686.4222181834425 -0.0
298.15 NI NB 0.59 0.41 -13283.24 -1106.597 40.840669 -12176.64546235 0.0 0.0 -6524.421656999999 -1677.910796332693 -0.0
298.15 NI NB 0.6 0.4 -13338.42 -1169.458 40.814895 -12168.960944249999 0.0 0.0 -6629.0430799999995 -1668.3745039196444 -0.0
298.15 NI NB 0.61 0.39 -13388.36 -1227.828 40.786634 -12160.5349271 0.0 0.0 -6733.664502999999 -1657.8052243977716 -0.0
298.15 NI NB 0.62 0.38 -13433.06 -1281.704 40.755857 -12151.35876455 0.0 0.0 -6838.285926 -1646.193835911596 -0.0
298.15 NI NB 0.63 0.37 -13472.51 -1331.088 40.722529 -12141.42202135 0.0 0.0 -6942.907348999999 -1633.5301611487748 -0.0
298.15 NI NB 0.64 0.36 -13506.69 -1375.98 40.686613 -12130.71366595 0.0 0.0 -7047.528772 -1619.8029098595373 -0.0
298.15 NI NB 0.65 0.35 -13535.6 -1416.379 40.648066 -12119.2208779 0.0 0.0 -7152.150195 -1604.9996131775667 -0.0
298.15 NI NB 0.66 0.34 -13559.21 -1452.285 40.606842 -12106.9299423 0.0 0.0 -7256.771618 -1589.106548713301 -0.0
298.15 NI NB 0.67 0.33 -13577.52 -1483.698 40.562891 -12093.825951649998 0.0 0.0 -7361.393041 -1572.1086551954763 -0.0
298.15 NI NB 0.68 0.32 -13590.51 -1510.619 40.516159 -12079.89280585 0.0 0.0 -7466.014464 -1553.9894352015576 -0.0
298.15 NI NB 0.69 0.31 -13598.16 -1533.048 40.466583 -12065.11172145 0.0 0.0 -7570.6358869999995 -1534.730844232385 -0.0
298.15 NI NB 0.7 0.3 -13600.45 -1550.984 40.414098 -12049.4633187 0.0 0.0 -7675.25731 -1514.313164037668 -0.0
298.15 NI NB 0.71 0.29 -13597.35 -1564.427 40.358632 -12032.926130799999 0.0 0.0 -7779.878733 -1492.7148576699553 -0.0
298.15 NI NB 0.72 0.28 -13588.85 -1573.378 40.300106 -12015.476603899999 0.0 0.0 -7884.500156 -1469.9124032129614 -0.0
298.15 NI NB 0.73 0.27 -13574.92 -1577.836 40.238433 -11997.088798949999 0.0 0.0 -7989.121579 -1445.8801024662048 -0.0
298.15 NI NB 0.74 0.26 -13555.54 -1577.801 40.17352 -11977.734988 0.0 0.0 -8093.743002 -1420.5898600324033 -0.0
298.15 NI NB 0.75 0.25 -13530.66 -1573.274 40.105263 -11957.384163449999 0.0 0.0 -8198.364425 -1394.0109271940482 -0.0
298.15 NI NB 0.76 0.24 -13500.26 -1564.254 40.033549 -11936.00263435 0.0 0.0 -8302.985848 -1366.1096036088943 -0.0
298.15 NI NB 0.77 0.23 -13464.3 -1550.742 39.958255 -11913.553728249999 0.0 0.0 -8407.607270999999 -1336.8488881016199 -0.0
298.15 NI NB 0.78 0.22 -13422.73 -1532.737 39.879243 -11889.99630045 0.0 0.0 -8512.228694000001 -1306.188067542519 -0.0
298.15 NI NB 0.79 0.21 -13375.52 -1510.239 39.796363 -11865.28562845 0.0 0.0 -8616.850117 -1274.08222978906 -0.0
298.15 NI NB 0.8 0.2 -13322.62 -1483.249 39.709449 -11839.37221935 0.0 0.0 -8721.47154 -1240.4816826440385 -0.0
298.15 NI NB 0.81 0.19 -13263.97 -1451.766 39.618315 -11812.20061725 0.0 0.0 -8826.092963 -1205.3312553507324 -0.0
298.15 NI NB 0.82 0.18 -13199.5 -1415.791 39.522754 -11783.709105099999 0.0 0.0 -8930.714386 -1168.5694517045058 -0.0
298.15 NI NB 0.83 0.17 -13129.15 -1375.323 39.422537 -11753.82940655 0.0 0.0 -9035.335808999998 -1130.127413516092 -0.0
298.15 NI NB 0.84 0.16 -13052.85 -1330.362 39.317403 -11722.483704449998 0.0 0.0 -9139.957231999999 -1089.9276385420173 -0.0
298.15 NI NB 0.85 0.15 -12970.49 -1280.909 39.207058 -11689.5843427 0.0 0.0 -9244.578655 -1047.882375954332 -0.0
298.15 NI NB 0.86 0.14 -12881.99 -1226.963 39.091166 -11655.0311429 0.0 0.0 -9349.200078 -1003.8915915105914 -0.0
298.15 NI NB 0.87 0.13 -12787.23 -1168.525 38.969341 -11618.70901915 0.0 0.0 -9453.821500999999 -957.840348132521 -0.0
298.15 NI NB 0.88 0.12 -12686.08 -1105.594 38.841138 -11580.4852947 0.0 0.0 -9558.442924 -909.5953759771999 -0.0
298.15 NI NB 0.89 0.11 -12578.37 -1038.171 38.706031 -11540.20314265 0.0 0.0 -9663.064347 -859.000492370776 -0.0
298.15 NI NB 0.9 0.1 -12463.93 -966.2544 38.5634 -11497.67771 0.0 0.0 -9767.68577 -805.870345271772 -0.0
298.15 NI NB 0.91 0.09 -12342.53 -889.8456 38.412495 -11452.685384249999 0.0 0.0 -9872.307192999999 -749.9816351924775 -0.0
298.15 NI NB 0.92 0.08 -12213.9 -808.9443 38.252398 -11404.9524637 0.0 0.0 -9976.928616000001 -691.0604007790713 -0.0
298.15 NI NB 0.93 0.07 -12077.69 -723.5503 38.081955 -11354.134883249999 0.0 0.0 -10081.550039 -628.762877359387 -0.0
298.15 NI NB 0.94 0.06 -11933.45 -633.6637 37.899677 -11299.788697549999 0.0 0.0 -10186.171461999998 -562.6452650375951 -0.0
298.15 NI NB 0.95 0.05 -11780.6 -539.2846 37.703572 -11241.3199918 0.0 0.0 -10290.792885 -492.1129705067989 -0.0
298.15 NI NB 0.96 0.04 -11618.3 -440.4128 37.490828 -11177.8903682 0.0 0.0 -10395.414308 -416.3281974105133 -0.0
298.15 NI NB 0.97 0.03 -11445.28 -337.0484 37.257188 -11108.2306022 0.0 0.0 -10500.035731 -334.02154674813966 -0.0
298.15 NI NB 0.98 0.02 -11259.38 -229.1915 36.995418 -11030.183876699999 0.0 0.0 -10604.657153999999 -243.03584172567562 -0.0
298.15 NI NB 0.99 0.01 -11056.05 -116.8419 36.690271 -10939.20429865 0.0 0.0 -10709.278577000001 -138.82602141683583 -0.0
970.0 NI NB 0.0 1.0 -37551.54 29523.66 69.149692 -67075.20124 0.0 0.0 -37551.54 0.0 -0.0
970.0 NI NB 1.0 0.0 -47355.15 17797.83 67.168022 -65152.98133999999 0.0 0.0 -47355.15 0.0 -0.0
970.0 NI NB 0.01 0.99 -38276.63 29184.02 69.54706 -67460.6482 0.0 0.0 -37649.5761 -451.65601467157694 -0.0
970.0 NI NB 0.02 0.98 -38885.56 28848.87 69.829304 -67734.42487999999 0.0 0.0 -37747.6122 -790.6918211434019 -0.0
970.0 NI NB 0.03 0.97 -39447.92 28518.21 70.068172 -67966.12684 0.0 0.0 -37845.64829999999 -1086.7043446107507 -0.0
970.0 NI NB 0.04 0.96 -39978.49 28192.05 70.278909 -68170.54173 0.0 0.0 -37943.6844 -1354.480467845708 -0.0
970.0 NI NB 0.05 0.95 -40484.31 27870.38 70.46875 -68354.6875 0.0 0.0 -38041.720499999996 -1601.03834107528 -0.0
970.0 NI NB 0.06 0.94 -40969.5 27553.2 70.641953 -68522.69441 0.0 0.0 -38139.7566 -1830.5078218563378 -0.0
980.0 NI NB 0.0 1.0 -38244.66 29839.01 69.473134 -68083.67132000001 0.0 0.0 -38244.66 0.0 -0.0
980.0 NI NB 1.0 0.0 -48028.27 18076.58 67.45392 -66104.8416 0.0 0.0 -48028.27 0.0 -0.0
980.0 NI NB 0.01 0.99 -38973.72 29499.01 69.870126 -68472.72348 0.0 0.0 -38342.496100000004 -456.31226224551074 -0.0
980.0 NI NB 0.02 0.98 -39585.46 29163.49 70.151995 -68748.9551 0.0 0.0 -38440.332200000004 -798.8432832170452 -0.0
980.0 NI NB 0.03 0.97 -40150.21 28832.47 70.390487 -68982.67726 0.0 0.0 -38538.168300000005 -1097.9074821840575 -0.0
980.0 NI NB 0.04 0.96 -40682.9 28505.94 70.600849 -69188.83202 0.0 0.0 -38636.0044 -1368.4441840090658 -0.0
980.0 NI NB 0.05 0.95 -41190.61 28183.9 70.790314 -69374.50772 0.0 0.0 -38733.840500000006 -1617.5438909832726 -0.0
980.0 NI NB 0.06 0.94 -41677.52 27866.35 70.963142 -69543.87916000001 0.0 0.0 -38831.6766 -1849.3790365146506 -0.0
990.0 NI NB 0.0 1.0 -38941.0 30155.34 69.794274 -69096.33126 0.0 0.0 -38941.0 0.0 -0.0
990.0 NI NB 1.0 0.0 -48704.22 18355.74 67.737332 -67059.95868 0.0 0.0 -48704.22 0.0 -0.0
990.0 NI NB 0.01 0.99 -39674.03 29814.96 70.19089 -69488.98109999999 0.0 0.0 -39038.6322 -460.96850981944453 -0.0
990.0 NI NB 0.02 0.98 -40288.59 29479.07 70.472381 -69767.65719 0.0 0.0 -39136.2644 -806.9947452906886 -0.0
990.0 NI NB 0.03 0.97 -40855.72 29147.67 70.710496 -70003.39104 0.0 0.0 -39233.8966 -1109.1106197573642 -0.0
990.0 NI NB 0.04 0.96 -41390.5 28820.77 70.92048 -70211.2752 0.0 0.0 -39331.5288 -1382.4079001724238 -0.0
990.0 NI NB 0.05 0.95 -41900.11 28498.36 71.109569 -70398.47330999999 0.0 0.0 -39429.161 -1634.0494408912652 -0.0
990.0 NI NB 0.06 0.94 -42388.75 28180.45 71.282019 -70569.19881 0.0 0.0 -39526.7932 -1868.2502511729635 -0.0
1000.0 NI NB 0.0 1.0 -39640.54 30472.63 70.113161 -70113.16100000001 0.0 0.0 -39640.54 0.0 -0.0
1000.0 NI NB 1.0 0.0 -49383.0 18635.31 68.018312 -68018.31199999999 0.0 0.0 -49383.0 0.0 -0.0
1000.0 NI NB 0.01 0.99 -40377.53 30131.87 70.509397 -70509.39700000001 0.0 0.0 -39737.9646 -465.6247573933783 -0.0
1000.0 NI NB 0.02 0.98 -40994.9 29795.6 70.790509 -70790.509 0.0 0.0 -39835.389200000005 -815.1462073643318 -0.0
1000.0 NI NB 0.03 0.97 -41564.41 29463.83 71.028245 -71028.245 0.0 0.0 -39932.813799999996 -1120.3137573306706 -0.0
1000.0 NI NB 0.04 0.96 -42101.3 29136.55 71.23785 -71237.84999999999 0.0 0.0 -40030.2384 -1396.3716163357813 -0.0
1000.0 NI NB 0.05 0.95 -42612.79 28813.77 71.42656 -71426.56 0.0 0.0 -40127.663 -1650.5549907992577 -0.0
1000.0 NI NB 0.06 0.94 -43103.16 28495.47 71.598631 -71598.631 0.0 0.0 -40225.0876 -1887.121465831276 -0.0
1010.0 NI NB 0.0 1.0 -40343.25 30790.88 70.429837 -71134.13537 0.0 0.0 -40343.25 0.0 -0.0
1010.0 NI NB 1.0 0.0 -50064.58 18915.3 68.29691 -68979.87909999999 0.0 0.0 -50064.58 0.0 -0.0
1010.0 NI NB 0.01 0.99 -41084.21 30449.74 70.825693 -71533.94993 0.0 0.0 -40440.463299999996 -470.2810049673121 -0.0
1010.0 NI NB 0.02 0.98 -41704.39 30113.1 71.106424 -71817.48824 0.0 0.0 -40537.6766 -823.2976694379751 -0.0
1010.0 NI NB 0.03 0.97 -42276.27 29780.94 71.343779 -72057.21678999999 0.0 0.0 -40634.8899 -1131.5168949039773 -0.0
