T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NI V 0.0 1.0 -9209.853 0.0002657617 30.89 -9209.8535 5.75e-28 8.5e-31 -9209.853 0.0 -0.0
298.15 NI V 1.0 0.0 -1521.871 7989.419 31.901023 -9511.29000745 575.0 0.85 -1521.871 0.0 -1042.4491903721046
298.15 NI V 0.01 0.99 -9524.953 -196.5448 31.287635 -9328.40837525 5.75 0.0085 -9132.973179999999 -138.82602141683572 -2.3897047489119965e-09
298.15 NI V 0.02 0.98 -9800.086 -386.9871 31.571689 -9413.09907535 11.5 0.017 -9056.093359999999 -243.03584172567548 -1.5229927983225914e-07
298.15 NI V 0.03 0.97 -10056.64 -571.3267 31.813912 -9485.317862799999 17.25 0.0255 -8979.213539999999 -334.02154674813943 -1.727554339575452e-06
298.15 NI V 0.04 0.96 -10299.17 -749.5636 32.029548 -9549.609736199998 23.0 0.034 -8902.333719999999 -416.3281974105132 -9.66635953082306e-06
298.15 NI V 0.05 0.95 -10529.83 -921.6978 32.225831 -9608.13151265 28.75 0.0425 -8825.453899999999 -492.11297050679866 -3.6722660763931226e-05
298.15 NI V 0.06 0.94 -10749.88 -1087.73 32.40702 -9662.153013000001 34.5 0.051 -8748.574079999999 -562.6452650375949 -0.000109205589104795
298.15 NI V 0.07 0.93 -10960.17 -1247.659 32.575922 -9712.511144299999 40.25 0.0595 -8671.694259999998 -628.7628773593874 -0.00027425894881363306
298.15 NI V 0.08 0.92 -11161.29 -1401.488 32.734532 -9759.8007158 46.0 0.068 -8594.81444 -691.0604007790716 -0.0006086385756193444
298.15 NI V 0.09 0.91 -11353.68 -1549.215 32.884334 -9804.4641821 51.75 0.0765 -8517.93462 -749.9816351924776 -0.0012289471557787245
298.15 NI V 0.1 0.9 -11537.69 -1690.844 33.026478 -9846.844415699998 57.5 0.085 -8441.054799999998 -805.870345271772 -0.002303287768377704
298.15 NI V 0.11 0.89 -11713.59 -1826.374 33.161879 -9887.214223849998 63.25 0.0935 -8364.17498 -859.000492370776 -0.004064298999415338
298.15 NI V 0.12 0.88 -11881.6 -1955.81 33.29128 -9925.795132 69.0 0.102 -8287.29516 -909.5953759771999 -0.006823535984027621
298.15 NI V 0.13 0.87 -12041.92 -2079.153 33.415293 -9962.769607949998 74.75 0.1105 -8210.41534 -957.840348132521 -0.010987163172327204
298.15 NI V 0.14 0.86 -12194.7 -2196.408 33.534432 -9998.2909008 80.5 0.119 -8133.5355199999985 -1003.8915915105914 -0.01707292599826273
298.15 NI V 0.15 0.85 -12340.07 -2307.58 33.649132 -10032.4887058 86.25 0.1275 -8056.655699999998 -1047.882375954332 -0.02572836998004602
298.15 NI V 0.16 0.84 -12478.15 -2412.674 33.759761 -10065.47274215 92.0 0.136 -7979.775879999999 -1089.9276385420173 -0.037750277126771016
298.15 NI V 0.17 0.83 -12609.03 -2511.697 33.866636 -10097.3375234 97.75 0.1445 -7902.896059999999 -1130.1274135160918 -0.054105290918159694
298.15 NI V 0.18 0.82 -12732.82 -2604.66 33.970027 -10128.16355005 103.5 0.153 -7826.01624 -1168.5694517045056 -0.07595170263855973
298.15 NI V 0.19 0.81 -12849.59 -2691.571 34.070167 -10158.02029105 109.25 0.1615 -7749.13642 -1205.3312553507326 -0.10466237359618344
298.15 NI V 0.2 0.8 -12959.41 -2772.443 34.167254 -10186.9667801 115.0 0.17 -7672.2566 -1240.4816826440385 -0.14184876991177503
298.15 NI V 0.21 0.79 -13062.34 -2847.29 34.261457 -10215.053404549999 120.75 0.1785 -7595.37678 -1274.08222978906 -0.18938608935933912
298.15 NI V 0.22 0.78 -13158.45 -2916.129 34.352917 -10242.322203549998 126.5 0.187 -7518.49696 -1306.188067542519 -0.2494394635276802
298.15 NI V 0.23 0.77 -13247.79 -2978.977 34.44175 -10268.807762499999 132.25 0.1955 -7441.61714 -1336.8488881016199 -0.3244912238215232
298.15 NI V 0.24 0.76 -13330.4 -3035.857 34.528051 -10294.538405649999 138.0 0.204 -7364.737319999999 -1366.1096036088943 -0.41736922718689756
298.15 NI V 0.25 0.75 -13406.33 -3086.792 34.611891 -10319.53530165 143.75 0.2125 -7287.857499999999 -1394.0109271940482 -0.5312762478080173
298.15 NI V 0.26 0.74 -13475.62 -3131.81 34.693321 -10343.813656149998 149.5 0.221 -7210.977679999999 -1420.5898600324033 -0.6698204555580876
298.15 NI V 0.27 0.73 -13538.32 -3170.94 34.772372 -10367.382711799999 155.25 0.2295 -7134.097859999999 -1445.8801024662048 -0.837047022250853
298.15 NI V 0.28 0.72 -13594.46 -3204.218 34.849058 -10390.2466427 161.0 0.238 -7057.218039999999 -1469.9124032129614 -1.0374709247801785
298.15 NI V 0.29 0.71 -13644.08 -3231.68 34.923369 -10412.402467349999 166.75 0.2465 -6980.33822 -1492.7148576699553 -1.2761110527342479
298.15 NI V 0.3 0.7 -13687.21 -3253.369 34.99528 -10433.842732 172.5 0.255 -6903.4583999999995 -1514.313164037668 -1.5585257805451453
298.15 NI V 0.31 0.69 -13723.88 -3269.331 35.064744 -10454.553423599998 178.25 0.2635 -6826.578579999999 -1534.730844232385 -1.8908502353072068
298.15 NI V 0.32 0.68 -13754.13 -3279.618 35.131696 -10474.5151624 184.0 0.272 -6749.698759999999 -1553.9894352015579 -2.279835587192648
298.15 NI V 0.33 0.67 -13777.99 -3284.285 35.196051 -10493.702605649998 189.75 0.2805 -6672.818939999998 -1572.1086551954763 -2.7328908181061355
298.15 NI V 0.34 0.66 -13795.48 -3283.396 35.2577 -10512.083255 195.5 0.289 -6595.939119999998 -1589.1065487133012 -3.2581275969655077
298.15 NI V 0.35 0.65 -13806.64 -3277.017 35.316517 -10529.619543549998 201.25 0.2975 -6519.0593 -1604.9996131775667 -3.8644091220710695
298.15 NI V 0.36 0.64 -13811.49 -3265.225 35.372347 -10546.265258049998 207.0 0.306 -6442.17948 -1619.8029098595373 -4.561404103810612
298.15 NI V 0.37 0.63 -13810.07 -3248.102 35.425014 -10561.967924099998 212.75 0.3145 -6365.29966 -1633.5301611487748 -5.359647484753768
