T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NI ZR 0.0 1.0 -160.7136 962.0 3.7656 -1122.71364 5.75e-28 8.5e-31 -160.7136 0.0 -0.0
298.15 NI ZR 1.0 0.0 5567.008 4933.265 -2.1255838 633.7428099699999 575.0 0.85 5567.008 0.0 -1042.4491903721046
298.15 NI ZR 0.01 0.99 -1046.321 211.6 4.2190893 -1257.921474795 5.75 0.0085 -103.43638400000002 -138.82602141683572 -2.3897047489119965e-09
298.15 NI ZR 0.02 0.98 -1888.673 -530.16 4.5564752 -1358.51308088 11.5 0.017 -46.15916800000002 -243.03584172567548 -1.5229927983225914e-07
298.15 NI ZR 0.03 0.97 -2708.921 -1263.04 4.8495071 -1445.880541865 17.25 0.0255 11.118047999999959 -334.02154674813943 -1.727554339575452e-06
298.15 NI ZR 0.04 0.96 -3511.369 -1986.8 5.1134291 -1524.5688861649999 23.0 0.034 68.395264 -416.3281974105132 -9.66635953082306e-06
298.15 NI ZR 0.05 0.95 -4297.936 -2701.2 5.3554762 -1596.7352290299998 28.75 0.0425 125.67247999999998 -492.11297050679866 -3.6722660763931226e-05
298.15 NI ZR 0.06 0.94 -5069.65 -3406.001 5.5799055 -1663.6488248249998 34.5 0.051 182.94969599999996 -562.6452650375949 -0.000109205589104795
298.15 NI ZR 0.07 0.93 -5827.109 -4100.962 5.789526 -1726.1471769 40.25 0.0595 240.226912 -628.7628773593874 -0.00027425894881363306
298.15 NI ZR 0.08 0.92 -6570.669 -4785.845 5.9863305 -1784.824438575 46.0 0.068 297.504128 -691.0604007790716 -0.0006086385756193444
298.15 NI ZR 0.09 0.91 -7300.533 -5460.409 6.171805 -1840.1236607499998 51.75 0.0765 354.781344 -749.9816351924776 -0.0012289471557787245
