T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 O TI 0.0 1.0 -4597.551 6475.799 37.1402 -11073.350629999999 0.0 0.0 -4597.551 0.0 -0.0
298.15 O TI 1.0 0.0 -970084.9 -950665.1 65.134402 -19419.8219563 0.0 0.0 -970084.9 0.0 -0.0
298.15 O TI 0.01 0.99 -21458.18 -9997.503 38.439283 -11460.67222645 0.0 0.0 -14252.424490000001 -138.82602141683572 -0.0
298.15 O TI 0.02 0.98 -38077.79 -26331.37 39.397687 -11746.420379049998 0.0 0.0 -23907.29798 -243.03584172567548 -0.0
298.15 O TI 0.03 0.97 -54520.58 -42525.81 40.23066 -11994.771278999999 0.0 0.0 -33562.17147 -334.02154674813943 -0.0
298.15 O TI 0.04 0.96 -70800.18 -58580.82 40.983936 -12219.360518399999 0.0 0.0 -43217.04496 -416.3281974105132 -0.0
298.15 O TI 0.05 0.95 -86923.05 -74496.39 41.679218 -12426.658846699998 0.0 0.0 -52871.918450000005 -492.11297050679866 -0.0
298.15 O TI 0.06 0.94 -102893.0 -90272.53 42.329281 -12620.47513015 0.0 0.0 -62526.791939999996 -562.6452650375949 -0.0
298.15 O TI 0.07 0.93 -118712.6 -105909.2 42.942554 -12803.3224751 0.0 0.0 -72181.66543000001 -628.7628773593874 -0.0
298.15 O TI 0.08 0.92 -134383.5 -121406.5 43.52502 -12976.984712999998 0.0 0.0 -81836.53892 -691.0604007790716 -0.0
298.15 O TI 0.09 0.91 -149907.2 -136764.4 44.081145 -13142.793381749998 0.0 0.0 -91491.41241 -749.9816351924776 -0.0
298.15 O TI 0.1 0.9 -165284.6 -151982.8 44.614387 -13301.77948405 0.0 0.0 -101146.2859 -805.870345271772 -0.0
298.15 O TI 0.11 0.89 -180516.5 -167061.8 45.127503 -13454.765019449998 0.0 0.0 -110801.15939 -859.000492370776 -0.0
298.15 O TI 0.12 0.88 -195603.7 -182001.3 45.62274 -13602.419930999999 0.0 0.0 -120456.03288 -909.5953759771999 -0.0
298.15 O TI 0.13 0.87 -210546.7 -196801.4 46.101964 -13745.300566599999 0.0 0.0 -130110.90637000001 -957.840348132521 -0.0
298.15 O TI 0.14 0.86 -225346.0 -211462.1 46.566745 -13883.875021749998 0.0 0.0 -139765.77986000004 -1003.8915915105914 -0.0
298.15 O TI 0.15 0.85 -240001.9 -225983.4 47.018424 -14018.5431156 0.0 0.0 -149420.65334999998 -1047.882375954332 -0.0
298.15 O TI 0.16 0.84 -254514.8 -240365.2 47.458159 -14149.65010585 0.0 0.0 -159075.52684 -1089.9276385420173 -0.0
298.15 O TI 0.17 0.83 -268885.1 -254607.6 47.886955 -14277.495633249999 0.0 0.0 -168730.40033000003 -1130.1274135160918 -0.0
298.15 O TI 0.18 0.82 -283112.9 -268710.5 48.305696 -14402.343262399998 0.0 0.0 -178385.27382 -1168.5694517045056 -0.0
298.15 O TI 0.19 0.81 -297198.5 -282674.0 48.715161 -14524.42525215 0.0 0.0 -188040.14731 -1205.3312553507326 -0.0
298.15 O TI 0.2 0.8 -311142.1 -296498.1 49.116043 -14643.948220449998 0.0 0.0 -197695.0208 -1240.4816826440385 -0.0
298.15 O TI 0.21 0.79 -324943.9 -310182.8 49.508961 -14761.09672215 0.0 0.0 -207349.89429 -1274.08222978906 -0.0
298.15 O TI 0.22 0.78 -338604.1 -323728.0 49.894471 -14876.03652865 0.0 0.0 -217004.76778000002 -1306.188067542519 -0.0
298.15 O TI 0.23 0.77 -352122.7 -337133.8 50.273071 -14988.916118649999 0.0 0.0 -226659.64127 -1336.8488881016199 -0.0
298.15 O TI 0.24 0.76 -365500.0 -350400.2 50.645215 -15099.870852249998 0.0 0.0 -236314.51476 -1366.1096036088943 -0.0
298.15 O TI 0.25 0.75 -378736.1 -363527.1 51.011311 -15209.022374649998 0.0 0.0 -245969.38825000002 -1394.0109271940482 -0.0
298.15 O TI 0.26 0.74 -391831.1 -376514.6 51.371733 -15316.482193949998 0.0 0.0 -255624.26174000002 -1420.5898600324033 -0.0
298.15 O TI 0.27 0.73 -404785.0 -389362.7 51.726818 -15422.350786699999 0.0 0.0 -265279.13523 -1445.8801024662048 -0.0
298.15 O TI 0.28 0.72 -417598.0 -402071.3 52.076877 -15526.72087755 0.0 0.0 -274934.00872000004 -1469.9124032129614 -0.0
298.15 O TI 0.29 0.71 -430270.2 -414640.5 52.422192 -15629.676544799999 0.0 0.0 -284588.88221 -1492.7148576699553 -0.0
298.15 O TI 0.3 0.7 -442801.6 -427070.3 52.763022 -15731.295009299998 0.0 0.0 -294243.7557 -1514.313164037668 -0.0
298.15 O TI 0.31 0.69 -455192.3 -439360.6 53.099604 -15831.646932599999 0.0 0.0 -303898.62919 -1534.730844232385 -0.0
298.15 O TI 0.32 0.68 -467442.3 -451511.5 53.432153 -15930.79641695 0.0 0.0 -313553.50268000003 -1553.9894352015579 -0.0
298.15 O TI 0.33 0.67 -479551.8 -463523.0 53.76087 -16028.803390499997 0.0 0.0 -323208.37617000006 -1572.1086551954763 -0.0
298.15 O TI 0.34 0.66 -491520.7 -475395.0 54.085934 -16125.721222099999 0.0 0.0 -332863.24966000003 -1589.1065487133012 -0.0
298.15 O TI 0.35 0.65 -503349.2 -487127.6 54.407513 -16221.600000949999 0.0 0.0 -342518.12314999994 -1604.9996131775667 -0.0
298.15 O TI 0.36 0.64 -515037.3 -498720.8 54.725757 -16316.484449549998 0.0 0.0 -352172.99664 -1619.8029098595373 -0.0
