T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 O V 0.0 1.0 -9209.853 0.0002657617 30.89 -9209.8535 0.0 0.0 -9209.853 0.0 -0.0
298.15 O V 1.0 0.0 -560550.4 -515378.0 151.5091 -45172.43816499999 0.0 0.0 -560550.4 0.0 -0.0
298.15 O V 0.01 0.99 -22887.08 -12901.12 33.493067 -9985.95792605 0.0 0.0 -14723.25847 -138.82602141683572 -0.0
298.15 O V 0.02 0.98 -36196.27 -25538.05 35.747824 -10658.213725599999 0.0 0.0 -20236.66394 -243.03584172567548 -0.0
298.15 O V 0.03 0.97 -49204.89 -37914.1 37.869519 -11290.797089849999 0.0 0.0 -25750.069409999996 -334.02154674813943 -0.0
298.15 O V 0.04 0.96 -61929.89 -50032.55 39.903884 -11897.3430146 0.0 0.0 -31263.474879999998 -416.3281974105132 -0.0
298.15 O V 0.05 0.95 -74381.03 -61896.7 41.872626 -12484.323441899998 0.0 0.0 -36776.88035000001 -492.11297050679866 -0.0
298.15 O V 0.06 0.94 -86565.4 -73509.85 43.788518 -13055.5466417 0.0 0.0 -42290.28582 -562.6452650375949 -0.0
298.15 O V 0.07 0.93 -98488.83 -84875.3 45.659988 -13613.525422199999 0.0 0.0 -47803.69129 -628.7628773593874 -0.0
298.15 O V 0.08 0.92 -110156.4 -95996.34 47.493021 -14160.044211149998 0.0 0.0 -53317.09676 -691.0604007790716 -0.0
298.15 O V 0.09 0.91 -121572.7 -106876.3 49.292081 -14696.43395015 0.0 0.0 -58830.50223 -749.9816351924776 -0.0
298.15 O V 0.1 0.9 -132742.1 -117518.4 51.060628 -15223.726238199999 0.0 0.0 -64343.90770000001 -805.870345271772 -0.0
298.15 O V 0.11 0.89 -143668.7 -127926.0 52.801418 -15742.742776699999 0.0 0.0 -69857.31317000001 -859.000492370776 -0.0
298.15 O V 0.12 0.88 -154356.5 -138102.3 54.516697 -16254.15321055 0.0 0.0 -75370.71863999999 -909.5953759771999 -0.0
298.15 O V 0.13 0.87 -164809.3 -148050.8 56.208332 -16758.5141858 0.0 0.0 -80884.12411 -957.840348132521 -0.0
298.15 O V 0.14 0.86 -175030.9 -157774.6 57.877894 -17256.2940961 0.0 0.0 -86397.52958000002 -1003.8915915105914 -0.0
298.15 O V 0.15 0.85 -185025.0 -167277.1 59.526723 -17747.892462449996 0.0 0.0 -91910.93505 -1047.882375954332 -0.0
298.15 O V 0.16 0.84 -194795.1 -176561.5 61.155976 -18233.6542444 0.0 0.0 -97424.34052 -1089.9276385420173 -0.0
298.15 O V 0.17 0.83 -204345.1 -185631.2 62.766659 -18713.879380849998 0.0 0.0 -102937.74599000001 -1130.1274135160918 -0.0
298.15 O V 0.18 0.82 -213678.3 -194489.4 64.359657 -19188.831734549996 0.0 0.0 -108451.15146 -1168.5694517045056 -0.0
298.15 O V 0.19 0.81 -222798.3 -203139.5 65.935747 -19658.74296805 0.0 0.0 -113964.55693 -1205.3312553507326 -0.0
298.15 O V 0.2 0.8 -231708.6 -211584.8 67.495624 -20123.8202956 0.0 0.0 -119477.96240000002 -1240.4816826440385 -0.0
298.15 O V 0.21 0.79 -240412.7 -219828.4 69.039906 -20584.247973899997 0.0 0.0 -124991.36787 -1274.08222978906 -0.0
298.15 O V 0.22 0.78 -248914.0 -227873.8 70.569148 -21040.191476199998 0.0 0.0 -130504.77334 -1306.188067542519 -0.0
298.15 O V 0.23 0.77 -257216.1 -235724.3 72.08385 -21491.799877499998 0.0 0.0 -136018.17881 -1336.8488881016199 -0.0
298.15 O V 0.24 0.76 -265322.3 -243383.1 73.584464 -21939.207941599998 0.0 0.0 -141531.58427999998 -1366.1096036088943 -0.0
298.15 O V 0.25 0.75 -273236.0 -250853.5 75.0714 -22382.53791 0.0 0.0 -147044.98975 -1394.0109271940482 -0.0
