T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 PT TI 0.0 1.0 -4576.083 6475.8 37.0682 -11051.883829999999 0.0 0.0 -4576.083 0.0 -0.0
298.15 PT TI 1.0 0.0 1872.219 15000.0 44.030805 -13127.78451075 0.0 0.0 1872.219 0.0 -0.0
298.15 PT TI 0.01 0.99 -5896.837 5310.65 37.590096 -11207.4871224 0.0 0.0 -4511.599979999999 -138.82602141683572 -0.0
298.15 PT TI 0.02 0.98 -7157.795 4170.759 37.996158 -11328.554507699999 0.0 0.0 -4447.116959999999 -243.03584172567548 -0.0
298.15 PT TI 0.03 0.97 -8380.349 3056.13 38.358137 -11436.478546549999 0.0 0.0 -4382.633939999999 -334.02154674813943 -0.0
298.15 PT TI 0.04 0.96 -9569.044 1966.76 38.691276 -11535.803939399999 0.0 0.0 -4318.15092 -416.3281974105132 -0.0
298.15 PT TI 0.05 0.95 -10726.04 902.6513 39.002809 -11628.687503349998 0.0 0.0 -4253.6678999999995 -492.11297050679866 -0.0
298.15 PT TI 0.06 0.94 -11852.6 -136.1971 39.296996 -11716.3993574 0.0 0.0 -4189.18488 -562.6452650375949 -0.0
298.15 PT TI 0.07 0.93 -12949.56 -1149.785 39.576646 -11799.777004899997 0.0 0.0 -4124.701859999999 -628.7628773593874 -0.0
298.15 PT TI 0.08 0.92 -14017.53 -2138.113 39.843752 -11879.4146588 0.0 0.0 -4060.21884 -691.0604007790716 -0.0
298.15 PT TI 0.09 0.91 -15056.94 -3101.18 40.099805 -11955.75686075 0.0 0.0 -3995.73582 -749.9816351924776 -0.0
298.15 PT TI 0.1 0.9 -16068.13 -4038.986 40.345956 -12029.146781399999 0.0 0.0 -3931.2527999999998 -805.870345271772 -0.0
298.15 PT TI 0.11 0.89 -17051.39 -4951.532 40.583124 -12099.858420599998 0.0 0.0 -3866.7697799999996 -859.000492370776 -0.0
298.15 PT TI 0.12 0.88 -18006.93 -5838.818 40.812059 -12168.115390849998 0.0 0.0 -3802.28676 -909.5953759771999 -0.0
298.15 PT TI 0.13 0.87 -18934.95 -6700.843 41.033383 -12234.10314145 0.0 0.0 -3737.80374 -957.840348132521 -0.0
298.15 PT TI 0.14 0.86 -19835.59 -7537.608 41.247618 -12297.9773067 0.0 0.0 -3673.3207199999997 -1003.8915915105914 -0.0
298.15 PT TI 0.15 0.85 -20708.98 -8349.112 41.455212 -12359.8714578 0.0 0.0 -3608.837699999999 -1047.882375954332 -0.0
