T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 RE TA 0.0 1.0 -12364.82 -0.00107989 41.471806 -12364.8189589 0.0 0.0 -12364.82 0.0 -0.0
298.15 RE TA 1.0 0.0 16520.78 29200.0 42.52632 -12679.222307999999 0.0 0.0 16520.78 0.0 -0.0
298.15 RE TA 0.01 0.99 -13936.27 -1589.573 41.411021 -12346.695911149998 0.0 0.0 -12075.964 -138.82602141683572 -0.0
298.15 RE TA 0.02 0.98 -15425.47 -3126.015 41.252584 -12299.4579196 0.0 0.0 -11787.107999999998 -243.03584172567548 -0.0
298.15 RE TA 0.03 0.97 -16854.2 -4609.769 41.068013 -12244.42807595 0.0 0.0 -11498.251999999999 -334.02154674813943 -0.0
298.15 RE TA 0.04 0.96 -18227.36 -6041.28 40.872319 -12186.081909849998 0.0 0.0 -11209.395999999999 -416.3281974105132 -0.0
298.15 RE TA 0.05 0.95 -19547.5 -7420.99 40.672504 -12126.5070676 0.0 0.0 -10920.539999999999 -492.11297050679866 -0.0
298.15 RE TA 0.06 0.94 -20816.25 -8749.346 40.472594 -12066.903901099999 0.0 0.0 -10631.683999999997 -562.6452650375949 -0.0
298.15 RE TA 0.07 0.93 -22034.83 -10026.79 40.275165 -12008.040444749999 0.0 0.0 -10342.827999999998 -628.7628773593874 -0.0
298.15 RE TA 0.08 0.92 -23204.22 -11253.78 40.081979 -11950.442038849998 0.0 0.0 -10053.972000000002 -691.0604007790716 -0.0
298.15 RE TA 0.09 0.91 -24325.23 -12430.75 39.894292 -11894.483159799998 0.0 0.0 -9765.116 -749.9816351924776 -0.0
298.15 RE TA 0.1 0.9 -25398.59 -13558.15 39.713023 -11840.437807449998 0.0 0.0 -9476.26 -805.870345271772 -0.0
298.15 RE TA 0.11 0.89 -26424.95 -14636.44 39.53886 -11788.511109 0.0 0.0 -9187.404 -859.000492370776 -0.0
298.15 RE TA 0.12 0.88 -27404.92 -15666.06 39.372317 -11738.856313549999 0.0 0.0 -8898.548 -909.5953759771999 -0.0
298.15 RE TA 0.13 0.87 -28339.06 -16647.47 39.213785 -11691.58999775 0.0 0.0 -8609.692 -957.840348132521 -0.0
298.15 RE TA 0.14 0.86 -29227.91 -17581.11 39.063554 -11646.7986251 0.0 0.0 -8320.836 -1003.8915915105914 -0.0
298.15 RE TA 0.15 0.85 -30071.98 -18467.44 38.921837 -11604.545701549998 0.0 0.0 -8031.98 -1047.882375954332 -0.0
298.15 RE TA 0.16 0.84 -30871.78 -19306.91 38.788789 -11564.87744035 0.0 0.0 -7743.124 -1089.9276385420173 -0.0
298.15 RE TA 0.17 0.83 -31627.8 -20099.97 38.664511 -11527.823954649999 0.0 0.0 -7454.267999999998 -1130.1274135160918 -0.0
298.15 RE TA 0.18 0.82 -32340.49 -20847.09 38.549065 -11493.403729749998 0.0 0.0 -7165.412000000001 -1168.5694517045056 -0.0
298.15 RE TA 0.19 0.81 -33010.34 -21548.71 38.442479 -11461.62511385 0.0 0.0 -6876.556000000001 -1205.3312553507326 -0.0
298.15 RE TA 0.2 0.8 -33637.79 -22205.3 38.34475 -11432.487212499998 0.0 0.0 -6587.7 -1240.4816826440385 -0.0
298.15 RE TA 0.21 0.79 -34223.29 -22817.31 38.255852 -11405.982273799998 0.0 0.0 -6298.844000000001 -1274.08222978906 -0.0
298.15 RE TA 0.22 0.78 -34767.3 -23385.2 38.175737 -11382.095986549999 0.0 0.0 -6009.988000000001 -1306.188067542519 -0.0
298.15 RE TA 0.23 0.77 -35270.24 -23909.43 38.104339 -11360.80867285 0.0 0.0 -5721.132000000001 -1336.8488881016199 -0.0
298.15 RE TA 0.24 0.76 -35732.55 -24390.46 38.041576 -11342.0958844 0.0 0.0 -5432.276 -1366.1096036088943 -0.0
298.15 RE TA 0.25 0.75 -36154.67 -24828.74 37.987351 -11325.928700649998 0.0 0.0 -5143.42 -1394.0109271940482 -0.0
298.15 RE TA 0.26 0.74 -36537.03 -25224.75 37.941556 -11312.2749214 0.0 0.0 -4854.564 -1420.5898600324033 -0.0
298.15 RE TA 0.27 0.73 -36880.05 -25578.95 37.904071 -11301.09876865 0.0 0.0 -4565.707999999999 -1445.8801024662048 -0.0
298.15 RE TA 0.28 0.72 -37184.15 -25891.79 37.874767 -11292.361781049998 0.0 0.0 -4276.851999999999 -1469.9124032129614 -0.0
298.15 RE TA 0.29 0.71 -37449.76 -26163.74 37.853505 -11286.022515749999 0.0 0.0 -3987.996 -1492.7148576699553 -0.0
298.15 RE TA 0.3 0.7 -37677.31 -26395.27 37.840138 -11282.0371447 0.0 0.0 -3699.1400000000003 -1514.313164037668 -0.0
298.15 RE TA 0.31 0.69 -37867.21 -26586.85 37.834512 -11280.359752799997 0.0 0.0 -3410.2839999999987 -1534.730844232385 -0.0
298.15 RE TA 0.32 0.68 -38019.87 -26738.93 37.836467 -11280.942636049998 0.0 0.0 -3121.427999999999 -1553.9894352015579 -0.0
298.15 RE TA 0.33 0.67 -38135.73 -26851.99 37.845836 -11283.7360034 0.0 0.0 -2832.571999999999 -1572.1086551954763 -0.0
298.15 RE TA 0.34 0.66 -38215.19 -26926.5 37.862447 -11288.68857305 0.0 0.0 -2543.7159999999985 -1589.1065487133012 -0.0
298.15 RE TA 0.35 0.65 -38258.67 -26962.92 37.886123 -11295.747572449998 0.0 0.0 -2254.8600000000006 -1604.9996131775667 -0.0
298.15 RE TA 0.36 0.64 -38266.59 -26961.73 37.91668 -11304.858142 0.0 0.0 -1966.0040000000008 -1619.8029098595373 -0.0
298.15 RE TA 0.37 0.63 -38239.36 -26923.39 37.953933 -11315.965123949998 0.0 0.0 -1677.1480000000001 -1633.5301611487748 -0.0
298.15 RE TA 0.38 0.62 -38177.39 -26848.38 37.99769 -11329.011273499998 0.0 0.0 -1388.2920000000004 -1646.193835911596 -0.0
298.15 RE TA 0.39 0.61 -38081.11 -26737.18 38.047757 -11343.938749549998 0.0 0.0 -1099.4359999999997 -1657.8052243977716 -0.0
298.15 RE TA 0.4 0.6 -37950.93 -26590.24 38.103934 -11360.6879221 0.0 0.0 -810.5799999999999 -1668.3745039196444 -0.0
298.15 RE TA 0.41 0.59 -37787.26 -26408.06 38.16602 -11379.198863 0.0 0.0 -521.724000000002 -1677.9107963326926 -0.0
298.15 RE TA 0.42 0.58 -37590.51 -26191.1 38.233809 -11399.41015335 0.0 0.0 -232.8680000000013 -1686.4222181834425 -0.0
298.15 RE TA 0.43 0.57 -37361.1 -25939.84 38.307092 -11421.2594798 0.0 0.0 55.987999999998465 -1693.9159242532326 -0.0
298.15 RE TA 0.44 0.56 -37099.43 -25654.75 38.385657 -11444.68363455 0.0 0.0 344.84399999999914 -1700.3981451097393 -0.0
298.15 RE TA 0.45 0.55 -36805.94 -25336.32 38.46929 -11469.6188135 0.0 0.0 633.6999999999989 -1705.8742191782392 -0.0
298.15 RE TA 0.46 0.54 -36481.02 -24985.02 38.557772 -11495.999721799999 0.0 0.0 922.5559999999996 -1710.3486197582595 -0.0
298.15 RE TA 0.47 0.53 -36125.1 -24601.33 38.650883 -11523.76076645 0.0 0.0 1211.4119999999984 -1713.8249773357109 -0.0
298.15 RE TA 0.48 0.52 -35738.57 -24185.74 38.7484 -11552.835459999998 0.0 0.0 1500.2679999999991 -1716.3060974737868 -0.0
298.15 RE TA 0.49 0.51 -35321.87 -23738.72 38.850096 -11583.1561224 0.0 0.0 1789.123999999999 -1717.7939745058845 -0.0
298.15 RE TA 0.5 0.5 -34875.4 -23260.75 38.955742 -11614.654477299999 0.0 0.0 2077.9799999999996 -1718.289801199083 -0.0
298.15 RE TA 0.51 0.49 -34399.58 -22752.32 39.065108 -11647.2619502 0.0 0.0 2366.8360000000002 -1717.7939745058845 -0.0
298.15 RE TA 0.52 0.48 -33894.82 -22213.91 39.177959 -11680.90847585 0.0 0.0 2655.692 -1716.3060974737868 -0.0
298.15 RE TA 0.53 0.47 -33361.53 -21646.01 39.294058 -11715.523392699999 0.0 0.0 2944.5480000000007 -1713.8249773357109 -0.0
298.15 RE TA 0.54 0.46 -32800.13 -21049.09 39.413166 -11751.035442899998 0.0 0.0 3233.4040000000005 -1710.3486197582595 -0.0
298.15 RE TA 0.55 0.45 -32211.03 -20423.66 39.535041 -11787.37247415 0.0 0.0 3522.260000000001 -1705.8742191782392 -0.0
298.15 RE TA 0.56 0.44 -31594.64 -19770.18 39.659437 -11824.461141549999 0.0 0.0 3811.116000000001 -1700.3981451097393 -0.0
298.15 RE TA 0.57 0.43 -30951.39 -19089.16 39.786107 -11862.22780205 0.0 0.0 4099.971999999998 -1693.9159242532328 -0.0
298.15 RE TA 0.58 0.42 -30281.67 -18381.08 39.9148 -11900.597619999999 0.0 0.0 4388.827999999999 -1686.4222181834425 -0.0
298.15 RE TA 0.59 0.41 -29585.92 -17646.42 40.045262 -11939.4948653 0.0 0.0 4677.683999999998 -1677.910796332693 -0.0
298.15 RE TA 0.6 0.4 -28864.53 -16885.69 40.177237 -11978.843211549998 0.0 0.0 4966.539999999999 -1668.3745039196444 -0.0
298.15 RE TA 0.61 0.39 -28117.92 -16099.36 40.310464 -12018.5648416 0.0 0.0 5255.395999999999 -1657.8052243977716 -0.0
298.15 RE TA 0.62 0.38 -27346.52 -15287.94 40.444681 -12058.58164015 0.0 0.0 5544.2519999999995 -1646.193835911596 -0.0
298.15 RE TA 0.63 0.37 -26550.72 -14451.91 40.579619 -12098.81340485 0.0 0.0 5833.107999999999 -1633.5301611487748 -0.0
298.15 RE TA 0.64 0.36 -25730.94 -13591.76 40.71501 -12139.180231499999 0.0 0.0 6121.964 -1619.8029098595373 -0.0
298.15 RE TA 0.65 0.35 -24887.6 -12708.0 40.850577 -12179.599532549999 0.0 0.0 6410.82 -1604.9996131775667 -0.0
298.15 RE TA 0.66 0.34 -24021.11 -11801.12 40.986042 -12219.988422299999 0.0 0.0 6699.676 -1589.106548713301 -0.0
298.15 RE TA 0.67 0.33 -23131.87 -10871.61 41.121122 -12260.262524299998 0.0 0.0 6988.532000000001 -1572.1086551954763 -0.0
298.15 RE TA 0.68 0.32 -22220.31 -9919.972 41.255529 -12300.33597135 0.0 0.0 7277.388000000001 -1553.9894352015576 -0.0
298.15 RE TA 0.69 0.31 -21286.82 -8946.702 41.388969 -12340.12110735 0.0 0.0 7566.243999999998 -1534.730844232385 -0.0
298.15 RE TA 0.7 0.3 -20331.83 -7952.297 41.521143 -12379.52878545 0.0 0.0 7855.0999999999985 -1514.313164037668 -0.0
298.15 RE TA 0.71 0.29 -19355.73 -6937.259 41.651747 -12418.468368049998 0.0 0.0 8143.955999999998 -1492.7148576699553 -0.0
298.15 RE TA 0.72 0.28 -18358.93 -5902.087 41.780469 -12456.846832349998 0.0 0.0 8432.811999999998 -1469.9124032129614 -0.0
298.15 RE TA 0.73 0.27 -17341.85 -4847.282 41.906989 -12494.56877035 0.0 0.0 8721.667999999998 -1445.8801024662048 -0.0
298.15 RE TA 0.74 0.26 -16304.88 -3773.346 42.03098 -12531.536687 0.0 0.0 9010.524 -1420.5898600324033 -0.0
298.15 RE TA 0.75 0.25 -15248.43 -2680.781 42.152108 -12567.651000199998 0.0 0.0 9299.38 -1394.0109271940482 -0.0
298.15 RE TA 0.76 0.24 -14172.9 -1570.092 42.270025 -12602.807953749998 0.0 0.0 9588.235999999999 -1366.1096036088943 -0.0
298.15 RE TA 0.77 0.23 -13078.68 -441.7826 42.384375 -12636.90140625 0.0 0.0 9877.092 -1336.8488881016199 -0.0
298.15 RE TA 0.78 0.22 -11966.18 703.642 42.494789 -12669.821340349998 0.0 0.0 10165.948 -1306.188067542519 -0.0
298.15 RE TA 0.79 0.21 -10835.78 1865.676 42.600883 -12701.45326645 0.0 0.0 10454.804 -1274.08222978906 -0.0
