T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 RE TA 0.0 1.0 -12364.82 -0.00107989 41.471806 -12364.8189589 0.0 0.0 -12364.82 0.0 -0.0
298.15 RE TA 1.0 0.0 16520.78 29200.0 42.52632 -12679.222307999999 0.0 0.0 16520.78 0.0 -0.0
298.15 RE TA 0.01 0.99 -13546.97 -1108.554 41.718643 -12438.413410449999 0.0 0.0 -12075.964 -138.82602141683572 -0.0
298.15 RE TA 0.02 0.98 -14667.59 -2188.813 41.85401 -12478.7730815 0.0 0.0 -11787.107999999998 -243.03584172567548 -0.0
298.15 RE TA 0.03 0.97 -15748.07 -3240.778 41.949655 -12507.289638249998 0.0 0.0 -11498.251999999999 -334.02154674813943 -0.0
298.15 RE TA 0.04 0.96 -16792.96 -4264.449 42.020824 -12528.508675599998 0.0 0.0 -11209.395999999999 -416.3281974105132 -0.0
298.15 RE TA 0.05 0.95 -17804.41 -5259.826 42.074751 -12544.587010649999 0.0 0.0 -10920.539999999999 -492.11297050679866 -0.0
298.15 RE TA 0.06 0.94 -18783.7 -6226.909 42.115695 -12556.79446425 0.0 0.0 -10631.683999999997 -562.6452650375949 -0.0
298.15 RE TA 0.07 0.93 -19731.67 -7165.698 42.146464 -12565.9682416 0.0 0.0 -10342.827999999998 -628.7628773593874 -0.0
298.15 RE TA 0.08 0.92 -20648.9 -8076.193 42.169054 -12572.7034501 0.0 0.0 -10053.972000000002 -691.0604007790716 -0.0
298.15 RE TA 0.09 0.91 -21535.84 -8958.394 42.184953 -12577.44373695 0.0 0.0 -9765.116 -749.9816351924776 -0.0
298.15 RE TA 0.1 0.9 -22392.83 -9812.301 42.195313 -12580.53257095 0.0 0.0 -9476.26 -805.870345271772 -0.0
298.15 RE TA 0.11 0.89 -23220.16 -10637.91 42.201055 -12582.244548249999 0.0 0.0 -9187.404 -859.000492370776 -0.0
298.15 RE TA 0.12 0.88 -24018.04 -11435.23 42.202925 -12582.802088749999 0.0 0.0 -8898.548 -909.5953759771999 -0.0
298.15 RE TA 0.13 0.87 -24786.65 -12204.26 42.201548 -12582.391536199999 0.0 0.0 -8609.692 -957.840348132521 -0.0
298.15 RE TA 0.14 0.86 -25526.16 -12944.99 42.197445 -12581.16822675 0.0 0.0 -8320.836 -1003.8915915105914 -0.0
298.15 RE TA 0.15 0.85 -26236.69 -13657.43 42.191065 -12579.266029749999 0.0 0.0 -8031.98 -1047.882375954332 -0.0
298.15 RE TA 0.16 0.84 -26918.37 -14341.57 42.182792 -12576.7994348 0.0 0.0 -7743.124 -1089.9276385420173 -0.0
298.15 RE TA 0.17 0.83 -27571.29 -14997.42 42.172963 -12573.86891845 0.0 0.0 -7454.267999999998 -1130.1274135160918 -0.0
298.15 RE TA 0.18 0.82 -28195.53 -15624.97 42.161871 -12570.56183865 0.0 0.0 -7165.412000000001 -1168.5694517045056 -0.0
298.15 RE TA 0.19 0.81 -28791.19 -16224.23 42.149776 -12566.9557144 0.0 0.0 -6876.556000000001 -1205.3312553507326 -0.0
298.15 RE TA 0.2 0.8 -29358.32 -16795.2 42.13691 -12563.1197165 0.0 0.0 -6587.7 -1240.4816826440385 -0.0
298.15 RE TA 0.21 0.79 -29896.99 -17337.87 42.123479 -12559.11526385 0.0 0.0 -6298.844000000001 -1274.08222978906 -0.0
298.15 RE TA 0.22 0.78 -30407.25 -17852.25 42.109667 -12554.99721605 0.0 0.0 -6009.988000000001 -1306.188067542519 -0.0
298.15 RE TA 0.23 0.77 -30889.15 -18338.34 42.095642 -12550.815662299998 0.0 0.0 -5721.132000000001 -1336.8488881016199 -0.0
298.15 RE TA 0.24 0.76 -31342.74 -18796.13 42.081553 -12546.61502695 0.0 0.0 -5432.276 -1366.1096036088943 -0.0
298.15 RE TA 0.25 0.75 -31768.06 -19225.63 42.067538 -12542.436454699999 0.0 0.0 -5143.42 -1394.0109271940482 -0.0
298.15 RE TA 0.26 0.74 -32165.15 -19626.83 42.053721 -12538.316916149999 0.0 0.0 -4854.564 -1420.5898600324033 -0.0
298.15 RE TA 0.27 0.73 -32534.03 -19999.74 42.040215 -12534.290102250001 0.0 0.0 -4565.707999999999 -1445.8801024662048 -0.0
298.15 RE TA 0.28 0.72 -32874.74 -20344.35 42.027122 -12530.386424299999 0.0 0.0 -4276.851999999999 -1469.9124032129614 -0.0
298.15 RE TA 0.29 0.71 -33187.31 -20660.67 42.014538 -12526.6345047 0.0 0.0 -3987.996 -1492.7148576699553 -0.0
298.15 RE TA 0.3 0.7 -33471.76 -20948.7 42.002548 -12523.059686199998 0.0 0.0 -3699.1400000000003 -1514.313164037668 -0.0
298.15 RE TA 0.31 0.69 -33728.12 -21208.43 41.991231 -12519.68552265 0.0 0.0 -3410.2839999999987 -1534.730844232385 -0.0
298.15 RE TA 0.32 0.68 -33956.41 -21439.87 41.980659 -12516.53348085 0.0 0.0 -3121.427999999999 -1553.9894352015579 -0.0
298.15 RE TA 0.33 0.67 -34156.64 -21643.02 41.970899 -12513.62353685 0.0 0.0 -2832.571999999999 -1572.1086551954763 -0.0
298.15 RE TA 0.34 0.66 -34328.84 -21817.87 41.962011 -12510.973579649999 0.0 0.0 -2543.7159999999985 -1589.1065487133012 -0.0
298.15 RE TA 0.35 0.65 -34473.03 -21964.43 41.95405 -12508.6000075 0.0 0.0 -2254.8600000000006 -1604.9996131775667 -0.0
298.15 RE TA 0.36 0.64 -34589.21 -22082.69 41.947067 -12506.518026049998 0.0 0.0 -1966.0040000000008 -1619.8029098595373 -0.0
298.15 RE TA 0.37 0.63 -34677.4 -22172.66 41.941109 -12504.741648349998 0.0 0.0 -1677.1480000000001 -1633.5301611487748 -0.0
298.15 RE TA 0.38 0.62 -34737.62 -22234.33 41.936215 -12503.282502249998 0.0 0.0 -1388.2920000000004 -1646.193835911596 -0.0
298.15 RE TA 0.39 0.61 -34769.87 -22267.71 41.932426 -12502.1528119 0.0 0.0 -1099.4359999999997 -1657.8052243977716 -0.0
298.15 RE TA 0.4 0.6 -34774.16 -22272.8 41.929774 -12501.3621181 0.0 0.0 -810.5799999999999 -1668.3745039196444 -0.0
298.15 RE TA 0.41 0.59 -34750.51 -22249.59 41.928291 -12500.91996165 0.0 0.0 -521.724000000002 -1677.9107963326926 -0.0
298.15 RE TA 0.42 0.58 -34698.93 -22198.09 41.928003 -12500.834094449998 0.0 0.0 -232.8680000000013 -1686.4222181834425 -0.0
298.15 RE TA 0.43 0.57 -34619.41 -22118.3 41.928934 -12501.111672099998 0.0 0.0 55.987999999998465 -1693.9159242532326 -0.0
298.15 RE TA 0.44 0.56 -34511.97 -22010.21 41.931107 -12501.759552049998 0.0 0.0 344.84399999999914 -1700.3981451097393 -0.0
298.15 RE TA 0.45 0.55 -34376.61 -21873.83 41.934537 -12502.782206549999 0.0 0.0 633.6999999999989 -1705.8742191782392 -0.0
298.15 RE TA 0.46 0.54 -34213.33 -21709.15 41.939241 -12504.18470415 0.0 0.0 922.5559999999996 -1710.3486197582595 -0.0
298.15 RE TA 0.47 0.53 -34022.15 -21516.18 41.94523 -12505.9703245 0.0 0.0 1211.4119999999984 -1713.8249773357109 -0.0
298.15 RE TA 0.48 0.52 -33803.05 -21294.91 41.952515 -12508.14234725 0.0 0.0 1500.2679999999991 -1716.3060974737868 -0.0
298.15 RE TA 0.49 0.51 -33556.06 -21045.35 41.961101 -12510.702263149999 0.0 0.0 1789.123999999999 -1717.7939745058845 -0.0
298.15 RE TA 0.5 0.5 -33281.15 -20767.5 41.970992 -12513.651264799999 0.0 0.0 2077.9799999999996 -1718.289801199083 -0.0
298.15 RE TA 0.51 0.49 -32978.34 -20461.35 41.982191 -12516.990246649999 0.0 0.0 2366.8360000000002 -1717.7939745058845 -0.0
298.15 RE TA 0.52 0.48 -32647.63 -20126.91 41.994695 -12520.71831425 0.0 0.0 2655.692 -1716.3060974737868 -0.0
298.15 RE TA 0.53 0.47 -32289.01 -19764.18 42.008501 -12524.83457315 0.0 0.0 2944.5480000000007 -1713.8249773357109 -0.0
298.15 RE TA 0.54 0.46 -31902.49 -19373.15 42.023602 -12529.336936299998 0.0 0.0 3233.4040000000005 -1710.3486197582595 -0.0
298.15 RE TA 0.55 0.45 -31488.05 -18953.83 42.039988 -12534.222422199999 0.0 0.0 3522.260000000001 -1705.8742191782392 -0.0
298.15 RE TA 0.56 0.44 -31045.7 -18506.21 42.057648 -12539.487751199998 0.0 0.0 3811.116000000001 -1700.3981451097393 -0.0
298.15 RE TA 0.57 0.43 -30575.43 -18030.3 42.076566 -12545.128152899999 0.0 0.0 4099.971999999998 -1693.9159242532328 -0.0
298.15 RE TA 0.58 0.42 -30077.23 -17526.09 42.096725 -12551.138558749999 0.0 0.0 4388.827999999999 -1686.4222181834425 -0.0
298.15 RE TA 0.59 0.41 -29551.11 -16993.59 42.118103 -12557.512409449999 0.0 0.0 4677.683999999998 -1677.910796332693 -0.0
298.15 RE TA 0.6 0.4 -28997.04 -16432.8 42.140677 -12564.242847549998 0.0 0.0 4966.539999999999 -1668.3745039196444 -0.0
298.15 RE TA 0.61 0.39 -28415.03 -15843.71 42.164419 -12571.32152485 0.0 0.0 5255.395999999999 -1657.8052243977716 -0.0
298.15 RE TA 0.62 0.38 -27805.07 -15226.33 42.189299 -12578.73949685 0.0 0.0 5544.2519999999995 -1646.193835911596 -0.0
298.15 RE TA 0.63 0.37 -27167.14 -14580.66 42.215282 -12586.4863283 0.0 0.0 5833.107999999999 -1633.5301611487748 -0.0
298.15 RE TA 0.64 0.36 -26501.24 -13906.69 42.242331 -12594.550987649998 0.0 0.0 6121.964 -1619.8029098595373 -0.0
298.15 RE TA 0.65 0.35 -25807.35 -13204.43 42.270404 -12602.9209526 0.0 0.0 6410.82 -1604.9996131775667 -0.0
298.15 RE TA 0.66 0.34 -25085.45 -12473.87 42.299455 -12611.58250825 0.0 0.0 6699.676 -1589.106548713301 -0.0
298.15 RE TA 0.67 0.33 -24335.54 -11715.02 42.329434 -12620.5207471 0.0 0.0 6988.532000000001 -1572.1086551954763 -0.0
298.15 RE TA 0.68 0.32 -23557.59 -10927.87 42.360284 -12629.718674599999 0.0 0.0 7277.388000000001 -1553.9894352015576 -0.0
298.15 RE TA 0.69 0.31 -22751.59 -10112.43 42.391946 -12639.158699899997 0.0 0.0 7566.243999999998 -1534.730844232385 -0.0
298.15 RE TA 0.7 0.3 -21917.52 -9268.7 42.424353 -12648.82084695 0.0 0.0 7855.0999999999985 -1514.313164037668 -0.0
298.15 RE TA 0.71 0.29 -21055.36 -8396.673 42.457434 -12658.683947099998 0.0 0.0 8143.955999999998 -1492.7148576699553 -0.0
298.15 RE TA 0.72 0.28 -20165.08 -7496.352 42.491109 -12668.72414835 0.0 0.0 8432.811999999998 -1469.9124032129614 -0.0
298.15 RE TA 0.73 0.27 -19246.65 -6567.737 42.525291 -12678.91551165 0.0 0.0 8721.667999999998 -1445.8801024662048 -0.0
298.15 RE TA 0.74 0.26 -18300.06 -5610.828 42.559888 -12689.2306072 0.0 0.0 9010.524 -1420.5898600324033 -0.0
298.15 RE TA 0.75 0.25 -17325.26 -4625.625 42.594795 -12699.63812925 0.0 0.0 9299.38 -1394.0109271940482 -0.0
298.15 RE TA 0.76 0.24 -16322.23 -3612.128 42.6299 -12710.104684999998 0.0 0.0 9588.235999999999 -1366.1096036088943 -0.0
298.15 RE TA 0.77 0.23 -15290.93 -2570.337 42.665079 -12720.593303849999 0.0 0.0 9877.092 -1336.8488881016199 -0.0
298.15 RE TA 0.78 0.22 -14231.32 -1500.252 42.700195 -12731.06313925 0.0 0.0 10165.948 -1306.188067542519 -0.0
298.15 RE TA 0.79 0.21 -13143.34 -401.873 42.735097 -12741.46917055 0.0 0.0 10454.804 -1274.08222978906 -0.0
