T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 RE TI 0.0 1.0 -4597.55 6475.8 37.1402 -11073.350629999999 0.0 0.0 -4597.55 0.0 -0.0
298.15 RE TI 1.0 0.0 5019.737 17000.0 40.182 -11980.2633 0.0 0.0 5019.737 0.0 -0.0
298.15 RE TI 0.01 0.99 -6299.827 4700.042 36.893743 -10999.86947545 0.0 0.0 -4501.37713 -138.82602141683572 -0.0
298.15 RE TI 0.02 0.98 -7933.96 2962.284 36.546183 -10896.244461449998 0.0 0.0 -4405.20426 -243.03584172567548 -0.0
298.15 RE TI 0.03 0.97 -9521.341 1262.526 36.169269 -10783.867552349999 0.0 0.0 -4309.03139 -334.02154674813943 -0.0
298.15 RE TI 0.04 0.96 -11066.52 -399.2316 35.778245 -10667.28374675 0.0 0.0 -4212.85852 -416.3281974105132 -0.0
298.15 RE TI 0.05 0.95 -12571.64 -2022.99 35.380347 -10548.650458049999 0.0 0.0 -4116.685649999999 -492.11297050679866 -0.0
298.15 RE TI 0.06 0.94 -14037.98 -3608.748 34.979831 -10429.236612649998 0.0 0.0 -4020.51278 -562.6452650375949 -0.0
298.15 RE TI 0.07 0.93 -15466.39 -5156.506 34.579509 -10309.88060835 0.0 0.0 -3924.3399099999997 -628.7628773593874 -0.0
298.15 RE TI 0.08 0.92 -16857.44 -6666.264 34.181374 -10191.1766581 0.0 0.0 -3828.1670400000003 -691.0604007790716 -0.0
298.15 RE TI 0.09 0.91 -18211.59 -8138.022 33.786915 -10073.568707249999 0.0 0.0 -3731.9941700000004 -749.9816351924776 -0.0
298.15 RE TI 0.1 0.9 -19529.18 -9571.78 33.397285 -9957.400522749998 0.0 0.0 -3635.8213 -805.870345271772 -0.0
298.15 RE TI 0.11 0.89 -20810.48 -10967.54 33.013403 -9842.946104449999 0.0 0.0 -3539.64843 -859.000492370776 -0.0
298.15 RE TI 0.12 0.88 -22055.72 -12325.3 32.636017 -9730.42846855 0.0 0.0 -3443.47556 -909.5953759771999 -0.0
298.15 RE TI 0.13 0.87 -23265.09 -13645.05 32.26575 -9620.033362499998 0.0 0.0 -3347.30269 -957.840348132521 -0.0
298.15 RE TI 0.14 0.86 -24438.73 -14926.81 31.903125 -9511.916718749999 0.0 0.0 -3251.12982 -1003.8915915105914 -0.0
298.15 RE TI 0.15 0.85 -25576.78 -16170.57 31.548589 -9406.21181035 0.0 0.0 -3154.95695 -1047.882375954332 -0.0
298.15 RE TI 0.16 0.84 -26679.36 -17376.33 31.202527 -9303.03342505 0.0 0.0 -3058.78408 -1089.9276385420173 -0.0
298.15 RE TI 0.17 0.83 -27746.57 -18544.09 30.865276 -9202.4820394 0.0 0.0 -2962.61121 -1130.1274135160918 -0.0
298.15 RE TI 0.18 0.82 -28778.49 -19673.84 30.53713 -9104.6453095 0.0 0.0 -2866.4383400000006 -1168.5694517045056 -0.0
298.15 RE TI 0.19 0.81 -29775.2 -20765.6 30.218347 -9009.60015805 0.0 0.0 -2770.2654700000003 -1205.3312553507326 -0.0
298.15 RE TI 0.2 0.8 -30736.78 -21819.36 29.909161 -8917.41635215 0.0 0.0 -2674.0926000000004 -1240.4816826440385 -0.0
