T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 SN ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 0.0 0.0 -6719.723 0.0 -0.0
298.15 SN ZR 1.0 0.0 -12648.2 4400.0 57.179958 -17048.204477699997 0.0 0.0 -12648.2 0.0 -0.0
298.15 SN ZR 0.01 0.99 -8281.291 5943.485 47.710131 -14224.775557649999 0.0 0.0 -6779.00777 -138.82602141683572 -0.0
298.15 SN ZR 0.02 0.98 -9758.057 4629.092 48.254734 -14387.148942099999 0.0 0.0 -6838.2925399999995 -243.03584172567548 -0.0
298.15 SN ZR 0.03 0.97 -11172.11 3367.143 48.764886 -14539.250760899999 0.0 0.0 -6897.57731 -334.02154674813943 -0.0
298.15 SN ZR 0.04 0.96 -12528.68 2156.836 49.255465 -14685.516889749999 0.0 0.0 -6956.86208 -416.3281974105132 -0.0
298.15 SN ZR 0.05 0.95 -13830.63 997.3689 49.73334 -14827.995320999999 0.0 0.0 -7016.146849999999 -492.11297050679866 -0.0
298.15 SN ZR 0.06 0.94 -15079.91 -112.0605 50.202403 -14967.846454449998 0.0 0.0 -7075.431619999999 -562.6452650375949 -0.0
298.15 SN ZR 0.07 0.93 -16278.05 -1172.254 50.665098 -15105.798968699999 0.0 0.0 -7134.71639 -628.7628773593874 -0.0
298.15 SN ZR 0.08 0.92 -17426.35 -2184.015 51.123052 -15242.337953799999 0.0 0.0 -7194.00116 -691.0604007790716 -0.0
298.15 SN ZR 0.09 0.91 -18525.94 -3148.145 51.577389 -15377.798530349997 0.0 0.0 -7253.28593 -749.9816351924776 -0.0
298.15 SN ZR 0.1 0.9 -19577.86 -4065.445 52.028895 -15512.415044249998 0.0 0.0 -7312.5707 -805.870345271772 -0.0
298.15 SN ZR 0.11 0.89 -20583.07 -4936.72 52.478124 -15646.3526706 0.0 0.0 -7371.85547 -859.000492370776 -0.0
298.15 SN ZR 0.12 0.88 -21542.49 -5762.769 52.925457 -15779.725004549999 0.0 0.0 -7431.140240000001 -909.5953759771999 -0.0
298.15 SN ZR 0.13 0.87 -22457.01 -6544.397 53.371151 -15912.608670649997 0.0 0.0 -7490.425010000001 -957.840348132521 -0.0
298.15 SN ZR 0.14 0.86 -23327.45 -7282.405 53.815363 -16045.050478449999 0.0 0.0 -7549.70978 -1003.8915915105914 -0.0
298.15 SN ZR 0.15 0.85 -24154.67 -7977.594 54.258175 -16177.074876249999 0.0 0.0 -7608.994549999999 -1047.882375954332 -0.0
298.15 SN ZR 0.16 0.84 -24939.46 -8630.769 54.699605 -16308.687230749998 0.0 0.0 -7668.279320000001 -1089.9276385420173 -0.0
298.15 SN ZR 0.17 0.83 -25682.61 -9242.729 55.139624 -16439.8788956 0.0 0.0 -7727.56409 -1130.1274135160918 -0.0
298.15 SN ZR 0.18 0.82 -26384.91 -9814.279 55.578159 -16570.62810585 0.0 0.0 -7786.84886 -1168.5694517045056 -0.0
298.15 SN ZR 0.19 0.81 -27047.12 -10346.22 56.015104 -16700.9032576 0.0 0.0 -7846.13363 -1205.3312553507326 -0.0
298.15 SN ZR 0.2 0.8 -27670.02 -10839.35 56.450325 -16830.66439875 0.0 0.0 -7905.4184000000005 -1240.4816826440385 -0.0
298.15 SN ZR 0.21 0.79 -28254.35 -11294.48 56.883661 -16959.86352715 0.0 0.0 -7964.703170000001 -1274.08222978906 -0.0
298.15 SN ZR 0.22 0.78 -28800.86 -11712.41 57.314931 -17088.446677649998 0.0 0.0 -8023.98794 -1306.188067542519 -0.0
