T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 SN ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 0.0 0.0 -6719.723 0.0 -0.0
298.15 SN ZR 1.0 0.0 -12648.2 4400.0 57.179958 -17048.204477699997 0.0 0.0 -12648.2 0.0 -0.0
298.15 SN ZR 0.01 0.99 -8568.095 5648.773 47.683608 -14216.867725199998 0.0 0.0 -6779.00777 -138.82602141683572 -0.0
298.15 SN ZR 0.02 0.98 -10331.17 4040.222 48.201886 -14371.392310899999 0.0 0.0 -6838.2925399999995 -243.03584172567548 -0.0
298.15 SN ZR 0.03 0.97 -12030.87 2484.834 48.685921 -14515.707346149999 0.0 0.0 -6897.57731 -334.02154674813943 -0.0
298.15 SN ZR 0.04 0.96 -13672.28 981.9726 49.150602 -14654.251986299998 0.0 0.0 -6956.86208 -416.3281974105132 -0.0
298.15 SN ZR 0.05 0.95 -15258.08 -468.9992 49.602808 -14789.0772052 0.0 0.0 -7016.146849999999 -492.11297050679866 -0.0
298.15 SN ZR 0.06 0.94 -16790.06 -1868.718 50.046442 -14921.346682299998 0.0 0.0 -7075.431619999999 -562.6452650375949 -0.0
298.15 SN ZR 0.07 0.93 -18269.61 -3217.822 50.483956 -15051.791481399998 0.0 0.0 -7134.71639 -628.7628773593874 -0.0
298.15 SN ZR 0.08 0.92 -19697.85 -4516.946 50.916991 -15180.90086665 0.0 0.0 -7194.00116 -691.0604007790716 -0.0
298.15 SN ZR 0.09 0.91 -21075.74 -5766.729 51.346678 -15309.012045699998 0.0 0.0 -7253.28593 -749.9816351924776 -0.0
298.15 SN ZR 0.1 0.9 -22404.17 -6967.806 51.773815 -15436.362942249998 0.0 0.0 -7312.5707 -805.870345271772 -0.0
298.15 SN ZR 0.11 0.89 -23683.94 -8120.816 52.198966 -15563.121712899998 0.0 0.0 -7371.85547 -859.000492370776 -0.0
298.15 SN ZR 0.12 0.88 -24915.8 -9226.394 52.622522 -15689.404934299997 0.0 0.0 -7431.140240000001 -909.5953759771999 -0.0
298.15 SN ZR 0.13 0.87 -26100.47 -10285.18 53.044751 -15815.292510649999 0.0 0.0 -7490.425010000001 -957.840348132521 -0.0
298.15 SN ZR 0.14 0.86 -27238.64 -11297.8 53.465821 -15940.834531149998 0.0 0.0 -7549.70978 -1003.8915915105914 -0.0
298.15 SN ZR 0.15 0.85 -28330.97 -12264.91 53.885822 -16066.057829299998 0.0 0.0 -7608.994549999999 -1047.882375954332 -0.0
298.15 SN ZR 0.16 0.84 -29378.1 -13187.13 54.304785 -16190.971647749999 0.0 0.0 -7668.279320000001 -1089.9276385420173 -0.0
298.15 SN ZR 0.17 0.83 -30380.68 -14065.11 54.722689 -16315.56972535 0.0 0.0 -7727.56409 -1130.1274135160918 -0.0
298.15 SN ZR 0.18 0.82 -31339.31 -14899.47 55.139473 -16439.83387495 0.0 0.0 -7786.84886 -1168.5694517045056 -0.0
298.15 SN ZR 0.19 0.81 -32254.6 -15690.87 55.555041 -16563.73547415 0.0 0.0 -7846.13363 -1205.3312553507326 -0.0
298.15 SN ZR 0.2 0.8 -33127.16 -16439.92 55.969269 -16687.237552349998 0.0 0.0 -7905.4184000000005 -1240.4816826440385 -0.0
298.15 SN ZR 0.21 0.79 -33957.57 -17147.28 56.382006 -16810.2950889 0.0 0.0 -7964.703170000001 -1274.08222978906 -0.0
298.15 SN ZR 0.22 0.78 -34746.43 -17813.57 56.793083 -16932.85769645 0.0 0.0 -8023.98794 -1306.188067542519 -0.0
