T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 TB HO 0.0 1.0 -18478.57 4167.835 75.956407 -22646.402747049997 0.0 0.0 -18478.57 0.0 -0.0
298.15 TB HO 1.0 0.0 -18730.64 4380.0 77.513453 -23110.63601195 0.0 0.0 -18730.64 0.0 -0.0
298.15 TB HO 0.01 0.99 -18619.91 4169.957 76.437603 -22789.871334449996 0.0 0.0 -18481.0907 -138.82602141683572 -0.0
298.15 TB HO 0.02 0.98 -18726.65 4172.078 76.802695 -22898.72351425 0.0 0.0 -18483.611399999998 -243.03584172567548 -0.0
298.15 TB HO 0.03 0.97 -18820.15 4174.2 77.123433 -22994.35154895 0.0 0.0 -18486.1321 -334.02154674813943 -0.0
298.15 TB HO 0.04 0.96 -18904.98 4176.322 77.415062 -23081.3007353 0.0 0.0 -18488.6528 -416.3281974105132 -0.0
298.15 TB HO 0.05 0.95 -18983.28 4178.443 77.684816 -23161.727890399998 0.0 0.0 -18491.173499999997 -492.11297050679866 -0.0
298.15 TB HO 0.06 0.94 -19056.34 4180.565 77.936953 -23236.902536949998 0.0 0.0 -18493.694199999998 -562.6452650375949 -0.0
298.15 TB HO 0.07 0.93 -19124.98 4182.687 78.174284 -23307.662774599998 0.0 0.0 -18496.2149 -628.7628773593874 -0.0
298.15 TB HO 0.08 0.92 -19189.79 4184.808 78.398801 -23374.60251815 0.0 0.0 -18498.7356 -691.0604007790716 -0.0
298.15 TB HO 0.09 0.91 -19251.24 4186.93 78.611995 -23438.166309249995 0.0 0.0 -18501.2563 -749.9816351924776 -0.0
298.15 TB HO 0.1 0.9 -19309.65 4189.052 78.815017 -23498.69731855 0.0 0.0 -18503.777 -805.870345271772 -0.0
298.15 TB HO 0.11 0.89 -19365.3 4191.173 79.008787 -23556.469844049996 0.0 0.0 -18506.2977 -859.000492370776 -0.0
298.15 TB HO 0.12 0.88 -19418.41 4193.295 79.194054 -23611.707200099998 0.0 0.0 -18508.8184 -909.5953759771999 -0.0
298.15 TB HO 0.13 0.87 -19469.18 4195.417 79.371439 -23664.594537849996 0.0 0.0 -18511.3391 -957.840348132521 -0.0
298.15 TB HO 0.14 0.86 -19517.75 4197.538 79.541466 -23715.288087899997 0.0 0.0 -18513.8598 -1003.8915915105914 -0.0
298.15 TB HO 0.15 0.85 -19564.26 4199.66 79.704583 -23763.92142145 0.0 0.0 -18516.3805 -1047.882375954332 -0.0
298.15 TB HO 0.16 0.84 -19608.83 4201.781 79.861174 -23810.6090281 0.0 0.0 -18518.9012 -1089.9276385420173 -0.0
298.15 TB HO 0.17 0.83 -19651.55 4203.903 80.011575 -23855.451086249996 0.0 0.0 -18521.4219 -1130.1274135160918 -0.0
298.15 TB HO 0.18 0.82 -19692.51 4206.025 80.156081 -23898.535550149998 0.0 0.0 -18523.942600000002 -1168.5694517045056 -0.0
298.15 TB HO 0.19 0.81 -19731.79 4208.146 80.294951 -23939.93964065 0.0 0.0 -18526.4633 -1205.3312553507326 -0.0
298.15 TB HO 0.2 0.8 -19769.46 4210.268 80.428417 -23979.732528549997 0.0 0.0 -18528.984 -1240.4816826440385 -0.0
298.15 TB HO 0.21 0.79 -19805.59 4212.39 80.556684 -24017.9753346 0.0 0.0 -18531.5047 -1274.08222978906 -0.0
298.15 TB HO 0.22 0.78 -19840.21 4214.511 80.679939 -24054.72381285 0.0 0.0 -18534.0254 -1306.188067542519 -0.0
298.15 TB HO 0.23 0.77 -19873.39 4216.633 80.798346 -24090.026859899997 0.0 0.0 -18536.5461 -1336.8488881016199 -0.0
298.15 TB HO 0.24 0.76 -19905.18 4218.755 80.912058 -24123.9300927 0.0 0.0 -18539.0668 -1366.1096036088943 -0.0
298.15 TB HO 0.25 0.75 -19935.6 4220.876 81.02121 -24156.473761499998 0.0 0.0 -18541.5875 -1394.0109271940482 -0.0
298.15 TB HO 0.26 0.74 -19964.7 4222.998 81.125926 -24187.694836900002 0.0 0.0 -18544.1082 -1420.5898600324033 -0.0
298.15 TB HO 0.27 0.73 -19992.51 4225.12 81.226321 -24217.62760615 0.0 0.0 -18546.6289 -1445.8801024662048 -0.0
298.15 TB HO 0.28 0.72 -20019.06 4227.241 81.322496 -24246.3021824 0.0 0.0 -18549.149599999997 -1469.9124032129614 -0.0
298.15 TB HO 0.29 0.71 -20044.38 4229.363 81.414546 -24273.746889899998 0.0 0.0 -18551.670299999998 -1492.7148576699553 -0.0
298.15 TB HO 0.3 0.7 -20068.5 4231.485 81.502558 -24299.987667699996 0.0 0.0 -18554.191 -1514.313164037668 -0.0
298.15 TB HO 0.31 0.69 -20091.44 4233.606 81.58661 -24325.047771499998 0.0 0.0 -18556.7117 -1534.730844232385 -0.0
298.15 TB HO 0.32 0.68 -20113.22 4235.728 81.666774 -24348.948668099998 0.0 0.0 -18559.2324 -1553.9894352015579 -0.0
298.15 TB HO 0.33 0.67 -20133.86 4237.85 81.743117 -24371.710333549996 0.0 0.0 -18561.753099999998 -1572.1086551954763 -0.0
298.15 TB HO 0.34 0.66 -20153.38 4239.971 81.815698 -24393.350358699998 0.0 0.0 -18564.2738 -1589.1065487133012 -0.0
298.15 TB HO 0.35 0.65 -20171.79 4242.093 81.884575 -24413.886036249998 0.0 0.0 -18566.7945 -1604.9996131775667 -0.0
298.15 TB HO 0.36 0.64 -20189.12 4244.215 81.949796 -24433.3316774 0.0 0.0 -18569.315199999997 -1619.8029098595373 -0.0
298.15 TB HO 0.37 0.63 -20205.36 4246.336 82.011408 -24451.7012952 0.0 0.0 -18571.8359 -1633.5301611487748 -0.0
298.15 TB HO 0.38 0.62 -20220.55 4248.458 82.069452 -24469.0071138 0.0 0.0 -18574.3566 -1646.193835911596 -0.0
298.15 TB HO 0.39 0.61 -20234.68 4250.579 82.123968 -24485.2610592 0.0 0.0 -18576.8773 -1657.8052243977716 -0.0
298.15 TB HO 0.4 0.6 -20247.77 4252.701 82.174988 -24500.472672199998 0.0 0.0 -18579.398 -1668.3745039196444 -0.0
