T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 TI ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 0.0 0.0 -6719.723 0.0 -0.0
298.15 TI ZR 1.0 0.0 -4597.55 6475.8 37.1402 -11073.350629999999 0.0 0.0 -4597.55 0.0 -0.0
298.15 TI ZR 0.01 0.99 -6864.151 7259.746 47.371783 -14123.897101449998 0.0 0.0 -6698.50127 -138.82602141683572 -0.0
298.15 TI ZR 0.02 0.98 -6973.421 7209.237 47.568867 -14182.657696049999 0.0 0.0 -6677.2795399999995 -243.03584172567548 -0.0
298.15 TI ZR 0.03 0.97 -7068.925 7159.597 47.722694 -14228.521216099998 0.0 0.0 -6656.057809999999 -334.02154674813943 -0.0
298.15 TI ZR 0.04 0.96 -7155.208 7110.826 47.84851 -14266.033256499999 0.0 0.0 -6634.83608 -416.3281974105132 -0.0
298.15 TI ZR 0.05 0.95 -7234.427 7062.924 47.953549 -14297.35063435 0.0 0.0 -6613.614349999999 -492.11297050679866 -0.0
298.15 TI ZR 0.06 0.94 -7307.852 7015.891 48.042068 -14323.7425742 0.0 0.0 -6592.39262 -562.6452650375949 -0.0
298.15 TI ZR 0.07 0.93 -7376.32 6969.728 48.116879 -14346.047473849998 0.0 0.0 -6571.170889999999 -628.7628773593874 -0.0
298.15 TI ZR 0.08 0.92 -7440.426 6924.433 48.179975 -14364.859546249998 0.0 0.0 -6549.94916 -691.0604007790716 -0.0
298.15 TI ZR 0.09 0.91 -7500.614 6880.008 48.232844 -14380.6224386 0.0 0.0 -6528.72743 -749.9816351924776 -0.0
298.15 TI ZR 0.1 0.9 -7557.228 6836.452 48.27664 -14393.680215999999 0.0 0.0 -6507.505700000001 -805.870345271772 -0.0
298.15 TI ZR 0.11 0.89 -7610.541 6793.766 48.312282 -14404.3068783 0.0 0.0 -6486.2839699999995 -859.000492370776 -0.0
298.15 TI ZR 0.12 0.88 -7660.777 6751.948 48.340518 -14412.7254417 0.0 0.0 -6465.06224 -909.5953759771999 -0.0
298.15 TI ZR 0.13 0.87 -7708.121 6711.0 48.36197 -14419.1213555 0.0 0.0 -6443.84051 -957.840348132521 -0.0
298.15 TI ZR 0.14 0.86 -7752.73 6670.921 48.377162 -14423.650850299999 0.0 0.0 -6422.61878 -1003.8915915105914 -0.0
298.15 TI ZR 0.15 0.85 -7794.736 6631.711 48.386541 -14426.44719915 0.0 0.0 -6401.39705 -1047.882375954332 -0.0
298.15 TI ZR 0.16 0.84 -7834.255 6593.371 48.390493 -14427.62548795 0.0 0.0 -6380.17532 -1089.9276385420173 -0.0
298.15 TI ZR 0.17 0.83 -7871.386 6555.899 48.389352 -14427.2852988 0.0 0.0 -6358.953589999999 -1130.1274135160918 -0.0
298.15 TI ZR 0.18 0.82 -7906.218 6519.297 48.383414 -14425.5148841 0.0 0.0 -6337.731860000001 -1168.5694517045056 -0.0
298.15 TI ZR 0.19 0.81 -7938.828 6483.564 48.372939 -14422.39176285 0.0 0.0 -6316.51013 -1205.3312553507326 -0.0
298.15 TI ZR 0.2 0.8 -7969.284 6448.7 48.358156 -14417.984211399998 0.0 0.0 -6295.2884 -1240.4816826440385 -0.0
298.15 TI ZR 0.21 0.79 -7997.649 6414.705 48.339273 -14412.354244949998 0.0 0.0 -6274.06667 -1274.08222978906 -0.0
298.15 TI ZR 0.22 0.78 -8023.977 6381.58 48.316474 -14405.556723099999 0.0 0.0 -6252.84494 -1306.188067542519 -0.0
298.15 TI ZR 0.23 0.77 -8048.318 6349.324 48.289927 -14397.641735049998 0.0 0.0 -6231.62321 -1336.8488881016199 -0.0
298.15 TI ZR 0.24 0.76 -8070.717 6317.937 48.259781 -14388.653705149998 0.0 0.0 -6210.40148 -1366.1096036088943 -0.0
298.15 TI ZR 0.25 0.75 -8091.215 6287.419 48.226174 -14378.633778099998 0.0 0.0 -6189.17975 -1394.0109271940482 -0.0
298.15 TI ZR 0.26 0.74 -8109.849 6257.77 48.189229 -14367.618626349999 0.0 0.0 -6167.95802 -1420.5898600324033 -0.0
298.15 TI ZR 0.27 0.73 -8126.652 6228.991 48.14906 -14355.642238999999 0.0 0.0 -6146.73629 -1445.8801024662048 -0.0
298.15 TI ZR 0.28 0.72 -8141.655 6201.08 48.105769 -14342.73502735 0.0 0.0 -6125.5145600000005 -1469.9124032129614 -0.0
298.15 TI ZR 0.29 0.71 -8154.886 6174.039 48.059452 -14328.925613799998 0.0 0.0 -6104.292829999999 -1492.7148576699553 -0.0
298.15 TI ZR 0.3 0.7 -8166.371 6147.868 48.010193 -14314.23904295 0.0 0.0 -6083.0711 -1514.313164037668 -0.0
298.15 TI ZR 0.31 0.69 -8176.134 6122.565 47.958072 -14298.6991668 0.0 0.0 -6061.84937 -1534.730844232385 -0.0
298.15 TI ZR 0.32 0.68 -8184.196 6098.131 47.903162 -14282.327750299999 0.0 0.0 -6040.62764 -1553.9894352015579 -0.0
298.15 TI ZR 0.33 0.67 -8190.577 6074.567 47.845528 -14265.1441732 0.0 0.0 -6019.4059099999995 -1572.1086551954763 -0.0
298.15 TI ZR 0.34 0.66 -8195.294 6051.872 47.78523 -14247.166324499998 0.0 0.0 -5998.18418 -1589.1065487133012 -0.0
298.15 TI ZR 0.35 0.65 -8198.365 6030.046 47.722325 -14228.411198749998 0.0 0.0 -5976.96245 -1604.9996131775667 -0.0
298.15 TI ZR 0.36 0.64 -8199.804 6009.09 47.656862 -14208.893405299998 0.0 0.0 -5955.74072 -1619.8029098595373 -0.0
298.15 TI ZR 0.37 0.63 -8199.625 5989.002 47.588889 -14188.62725535 0.0 0.0 -5934.51899 -1633.5301611487748 -0.0
298.15 TI ZR 0.38 0.62 -8197.841 5969.784 47.518446 -14167.624674899998 0.0 0.0 -5913.29726 -1646.193835911596 -0.0
298.15 TI ZR 0.39 0.61 -8194.462 5951.435 47.445571 -14145.89699365 0.0 0.0 -5892.07553 -1657.8052243977716 -0.0
298.15 TI ZR 0.4 0.6 -8189.499 5933.955 47.370298 -14123.4543487 0.0 0.0 -5870.8538 -1668.3745039196444 -0.0
298.15 TI ZR 0.41 0.59 -8182.962 5917.344 47.292659 -14100.30628085 0.0 0.0 -5849.632070000001 -1677.9107963326926 -0.0
298.15 TI ZR 0.42 0.58 -8174.858 5901.603 47.212681 -14076.460840149999 0.0 0.0 -5828.41034 -1686.4222181834425 -0.0
298.15 TI ZR 0.43 0.57 -8165.194 5886.731 47.130386 -14051.9245859 0.0 0.0 -5807.188610000001 -1693.9159242532326 -0.0
298.15 TI ZR 0.44 0.56 -8153.977 5872.728 47.045797 -14026.70437555 0.0 0.0 -5785.96688 -1700.3981451097393 -0.0
298.15 TI ZR 0.45 0.55 -8141.211 5859.594 46.958931 -14000.805277649999 0.0 0.0 -5764.745150000001 -1705.8742191782392 -0.0
298.15 TI ZR 0.46 0.54 -8126.903 5847.329 46.869803 -13974.231764449998 0.0 0.0 -5743.52342 -1710.3486197582595 -0.0
298.15 TI ZR 0.47 0.53 -8111.054 5835.934 46.778426 -13946.9877119 0.0 0.0 -5722.30169 -1713.8249773357109 -0.0
298.15 TI ZR 0.48 0.52 -8093.668 5825.408 46.684808 -13919.075505199999 0.0 0.0 -5701.07996 -1716.3060974737868 -0.0
298.15 TI ZR 0.49 0.51 -8074.747 5815.751 46.588957 -13890.497529549999 0.0 0.0 -5679.85823 -1717.7939745058845 -0.0
