T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 V GE 0.0 1.0 -9209.853 0.0002657617 30.89 -9209.8535 0.0 0.0 -9209.853 0.0 -0.0
298.15 V GE 1.0 0.0 17824.85 34100.0 54.587122 -16275.150424299998 0.0 0.0 17824.85 0.0 -0.0
298.15 V GE 0.01 0.99 -10483.19 -1171.957 31.230039 -9311.23612785 0.0 0.0 -8939.50597 -138.82602141683572 -0.0
298.15 V GE 0.02 0.98 -11671.34 -2289.046 31.468355 -9382.29004325 0.0 0.0 -8669.15894 -243.03584172567548 -0.0
298.15 V GE 0.03 0.97 -12796.35 -3352.01 31.676481 -9444.34281015 0.0 0.0 -8398.81191 -334.02154674813943 -0.0
298.15 V GE 0.04 0.96 -13863.47 -4361.593 31.869446 -9501.8753249 0.0 0.0 -8128.464879999999 -416.3281974105132 -0.0
298.15 V GE 0.05 0.95 -14875.52 -5318.54 32.054268 -9556.980004199999 0.0 0.0 -7858.117849999999 -492.11297050679866 -0.0
298.15 V GE 0.06 0.94 -15834.46 -6223.593 32.234991 -9610.86256665 0.0 0.0 -7587.770819999998 -562.6452650375949 -0.0
298.15 V GE 0.07 0.93 -16741.79 -7077.498 32.414206 -9664.295518899999 0.0 0.0 -7317.423789999999 -628.7628773593874 -0.0
298.15 V GE 0.08 0.92 -17598.81 -7880.998 32.593694 -9717.809866099999 0.0 0.0 -7047.07676 -691.0604007790716 -0.0
298.15 V GE 0.09 0.91 -18406.62 -8634.837 32.774725 -9771.784258749998 0.0 0.0 -6776.72973 -749.9816351924776 -0.0
298.15 V GE 0.1 0.9 -19166.26 -9339.76 32.958238 -9826.498659699999 0.0 0.0 -6506.382699999999 -805.870345271772 -0.0
298.15 V GE 0.11 0.89 -19878.67 -9996.509 33.144935 -9882.162370249998 0.0 0.0 -6236.035669999999 -859.000492370776 -0.0
298.15 V GE 0.12 0.88 -20544.76 -10605.83 33.335349 -9938.93430435 0.0 0.0 -5965.688639999999 -909.5953759771999 -0.0
298.15 V GE 0.13 0.87 -21165.4 -11168.47 33.529886 -9996.935510899999 0.0 0.0 -5695.3416099999995 -957.840348132521 -0.0
298.15 V GE 0.14 0.86 -21741.42 -11685.16 33.728853 -10056.25752195 0.0 0.0 -5424.994579999999 -1003.8915915105914 -0.0
298.15 V GE 0.15 0.85 -22273.63 -12156.66 33.932482 -10116.969508299999 0.0 0.0 -5154.64755 -1047.882375954332 -0.0
298.15 V GE 0.16 0.84 -22762.83 -12583.71 34.140943 -10179.122155449999 0.0 0.0 -4884.30052 -1089.9276385420173 -0.0
298.15 V GE 0.17 0.83 -23209.79 -12967.04 34.354353 -10242.75034695 0.0 0.0 -4613.95349 -1130.1274135160918 -0.0
298.15 V GE 0.18 0.82 -23615.29 -13307.41 34.572793 -10307.878232949999 0.0 0.0 -4343.606460000001 -1168.5694517045056 -0.0
298.15 V GE 0.19 0.81 -23980.08 -13605.57 34.796305 -10374.51833575 0.0 0.0 -4073.25943 -1205.3312553507326 -0.0
298.15 V GE 0.2 0.8 -24304.92 -13862.24 35.024906 -10442.6757239 0.0 0.0 -3802.9123999999997 -1240.4816826440385 -0.0
298.15 V GE 0.21 0.79 -24590.53 -14078.18 35.258584 -10512.3468196 0.0 0.0 -3532.56537 -1274.08222978906 -0.0
298.15 V GE 0.22 0.78 -24837.66 -14254.13 35.497309 -10583.52267835 0.0 0.0 -3262.2183400000004 -1306.188067542519 -0.0
298.15 V GE 0.23 0.77 -25047.03 -14390.84 35.741033 -10656.18898895 0.0 0.0 -2991.8713099999995 -1336.8488881016199 -0.0
298.15 V GE 0.24 0.76 -25219.37 -14489.05 35.989688 -10730.3254772 0.0 0.0 -2721.5242799999996 -1366.1096036088943 -0.0
298.15 V GE 0.25 0.75 -25355.41 -14549.5 36.243197 -10805.90918555 0.0 0.0 -2451.1772499999997 -1394.0109271940482 -0.0
298.15 V GE 0.26 0.74 -25455.85 -14572.94 36.501467 -10882.912386049999 0.0 0.0 -2180.83022 -1420.5898600324033 -0.0
298.15 V GE 0.27 0.73 -25521.41 -14560.11 36.764394 -10961.3040711 0.0 0.0 -1910.483189999999 -1445.8801024662048 -0.0
298.15 V GE 0.28 0.72 -25552.8 -14511.75 37.031867 -11041.051146049998 0.0 0.0 -1640.136159999999 -1469.9124032129614 -0.0
298.15 V GE 0.29 0.71 -25550.73 -14428.61 37.303764 -11122.1172366 0.0 0.0 -1369.7891300000001 -1492.7148576699553 -0.0
298.15 V GE 0.3 0.7 -25515.9 -14311.44 37.579954 -11204.463285099999 0.0 0.0 -1099.4421000000002 -1514.313164037668 -0.0
298.15 V GE 0.31 0.69 -25449.02 -14160.97 37.860301 -11288.048743149999 0.0 0.0 -829.0950699999994 -1534.730844232385 -0.0
298.15 V GE 0.32 0.68 -25350.79 -13977.96 38.14466 -11372.830378999999 0.0 0.0 -558.7480399999995 -1553.9894352015579 -0.0
298.15 V GE 0.33 0.67 -25221.9 -13763.14 38.432883 -11458.764066449998 0.0 0.0 -288.4010099999987 -1572.1086551954763 -0.0
298.15 V GE 0.34 0.66 -25063.06 -13517.26 38.724813 -11545.802995949998 0.0 0.0 -18.053979999998774 -1589.1065487133012 -0.0
298.15 V GE 0.35 0.65 -24874.96 -13241.06 39.020289 -11633.899165349998 0.0 0.0 252.2930499999993 -1604.9996131775667 -0.0
