T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 V MO 0.0 1.0 -9209.853 0.0002657617 30.89 -9209.8535 0.0 0.0 -9209.853 0.0 -0.0
298.15 V MO 1.0 0.0 -8515.141 -0.002619623 28.559915 -8515.13865725 0.0 0.0 -8515.141 0.0 -0.0
298.15 V MO 0.01 0.99 -9151.207 190.5257 31.332325 -9341.73269875 0.0 0.0 -9202.90588 -138.82602141683572 -0.0
298.15 V MO 0.02 0.98 -9061.793 377.2022 31.658546 -9438.9954899 0.0 0.0 -9195.95876 -243.03584172567548 -0.0
298.15 V MO 0.03 0.97 -8963.004 560.0297 31.940413 -9523.03413595 0.0 0.0 -9189.011639999999 -334.02154674813943 -0.0
298.15 V MO 0.04 0.96 -8859.386 739.0082 32.19317 -9598.3936355 0.0 0.0 -9182.064519999998 -416.3281974105132 -0.0
298.15 V MO 0.05 0.95 -8753.094 914.1376 32.424053 -9667.231401949999 0.0 0.0 -9175.1174 -492.11297050679866 -0.0
298.15 V MO 0.06 0.94 -8645.399 1085.418 32.637319 -9730.81665985 0.0 0.0 -9168.170279999998 -562.6452650375949 -0.0
298.15 V MO 0.07 0.93 -8537.138 1252.85 32.835778 -9789.9872107 0.0 0.0 -9161.223159999998 -628.7628773593874 -0.0
298.15 V MO 0.08 0.92 -8428.906 1416.432 33.021424 -9845.3375656 0.0 0.0 -9154.276039999999 -691.0604007790716 -0.0
298.15 V MO 0.09 0.91 -8321.146 1576.166 33.195746 -9897.311669899998 0.0 0.0 -9147.32892 -749.9816351924776 -0.0
298.15 V MO 0.1 0.9 -8214.203 1732.05 33.359897 -9946.253290549997 0.0 0.0 -9140.3818 -805.870345271772 -0.0
298.15 V MO 0.11 0.89 -8108.351 1884.085 33.514796 -9992.436427399998 0.0 0.0 -9133.43468 -859.000492370776 -0.0
298.15 V MO 0.12 0.88 -8003.812 2032.272 33.661192 -10036.084394799998 0.0 0.0 -9126.48756 -909.5953759771999 -0.0
298.15 V MO 0.13 0.87 -7900.773 2176.609 33.799705 -10077.38204575 0.0 0.0 -9119.540439999999 -957.840348132521 -0.0
298.15 V MO 0.14 0.86 -7799.388 2317.098 33.930861 -10116.48620715 0.0 0.0 -9112.59332 -1003.8915915105914 -0.0
298.15 V MO 0.15 0.85 -7699.793 2453.737 34.055106 -10153.5298539 0.0 0.0 -9105.6462 -1047.882375954332 -0.0
298.15 V MO 0.16 0.84 -7602.1 2586.528 34.172826 -10188.628071899999 0.0 0.0 -9098.699079999999 -1089.9276385420173 -0.0
298.15 V MO 0.17 0.83 -7506.412 2715.469 34.284356 -10221.8807414 0.0 0.0 -9091.75196 -1130.1274135160918 -0.0
298.15 V MO 0.18 0.82 -7412.814 2840.562 34.389991 -10253.37581665 0.0 0.0 -9084.80484 -1168.5694517045056 -0.0
298.15 V MO 0.19 0.81 -7321.385 2961.805 34.48999 -10283.1905185 0.0 0.0 -9077.85772 -1205.3312553507326 -0.0
298.15 V MO 0.2 0.8 -7232.194 3079.2 34.584584 -10311.393719599999 0.0 0.0 -9070.9106 -1240.4816826440385 -0.0
298.15 V MO 0.21 0.79 -7145.302 3192.745 34.67398 -10338.047137 0.0 0.0 -9063.963479999999 -1274.08222978906 -0.0
298.15 V MO 0.22 0.78 -7060.764 3302.442 34.758363 -10363.20592845 0.0 0.0 -9057.01636 -1306.188067542519 -0.0
298.15 V MO 0.23 0.77 -6978.631 3408.289 34.837899 -10386.91958685 0.0 0.0 -9050.06924 -1336.8488881016199 -0.0
298.15 V MO 0.24 0.76 -6898.946 3510.288 34.912739 -10409.23313285 0.0 0.0 -9043.12212 -1366.1096036088943 -0.0
298.15 V MO 0.25 0.75 -6821.75 3608.437 34.98302 -10430.187413 0.0 0.0 -9036.175 -1394.0109271940482 -0.0
298.15 V MO 0.26 0.74 -6747.082 3702.738 35.048866 -10449.819397899999 0.0 0.0 -9029.227879999999 -1420.5898600324033 -0.0
298.15 V MO 0.27 0.73 -6674.973 3793.189 35.110389 -10468.162480349998 0.0 0.0 -9022.28076 -1445.8801024662048 -0.0
298.15 V MO 0.28 0.72 -6605.456 3879.791 35.167693 -10485.24766795 0.0 0.0 -9015.333639999999 -1469.9124032129614 -0.0
