T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 V ZN 0.0 1.0 -10273.5 2886.96 44.1404 -13160.460259999998 0.0 0.0 -10273.5 0.0 -0.0
298.15 V ZN 1.0 0.0 -9209.853 0.0002657626 30.89 -9209.8535 0.0 0.0 -9209.853 0.0 -0.0
298.15 V ZN 0.01 0.99 -10332.91 2839.027 44.178898 -13171.938438699997 0.0 0.0 -10262.863529999999 -138.82602141683572 -0.0
298.15 V ZN 0.02 0.98 -10359.1 2791.478 44.107244 -13150.574798599999 0.0 0.0 -10252.227060000001 -243.03584172567548 -0.0
298.15 V ZN 0.03 0.97 -10373.45 2744.314 43.997187 -13117.761304049998 0.0 0.0 -10241.59059 -334.02154674813943 -0.0
298.15 V ZN 0.04 0.96 -10380.51 2697.536 43.863974 -13078.043848099998 0.0 0.0 -10230.95412 -416.3281974105132 -0.0
298.15 V ZN 0.05 0.95 -10382.44 2651.143 43.714837 -13033.57865155 0.0 0.0 -10220.317649999999 -492.11297050679866 -0.0
298.15 V ZN 0.06 0.94 -10380.5 2605.134 43.554036 -12985.6358334 0.0 0.0 -10209.68118 -562.6452650375949 -0.0
298.15 V ZN 0.07 0.93 -10375.54 2559.511 43.38438 -12935.052897 0.0 0.0 -10199.04471 -628.7628773593874 -0.0
298.15 V ZN 0.08 0.92 -10368.15 2514.274 43.207863 -12882.42435345 0.0 0.0 -10188.40824 -691.0604007790716 -0.0
298.15 V ZN 0.09 0.91 -10358.77 2469.421 43.025974 -12828.194148099998 0.0 0.0 -10177.77177 -749.9816351924776 -0.0
298.15 V ZN 0.1 0.9 -10347.75 2424.953 42.839866 -12772.7060479 0.0 0.0 -10167.1353 -805.870345271772 -0.0
298.15 V ZN 0.11 0.89 -10335.36 2380.871 42.650458 -12716.2340527 0.0 0.0 -10156.49883 -859.000492370776 -0.0
298.15 V ZN 0.12 0.88 -10321.83 2337.173 42.458498 -12659.001178699998 0.0 0.0 -10145.86236 -909.5953759771999 -0.0
298.15 V ZN 0.13 0.87 -10307.33 2293.861 42.264608 -12601.1928752 0.0 0.0 -10135.22589 -957.840348132521 -0.0
298.15 V ZN 0.14 0.86 -10292.03 2250.934 42.069313 -12542.96567095 0.0 0.0 -10124.589419999998 -1003.8915915105914 -0.0
298.15 V ZN 0.15 0.85 -10276.06 2208.392 41.873059 -12484.452540849998 0.0 0.0 -10113.95295 -1047.882375954332 -0.0
298.15 V ZN 0.16 0.84 -10259.53 2166.235 41.676232 -12425.768570799999 0.0 0.0 -10103.31648 -1089.9276385420173 -0.0
298.15 V ZN 0.17 0.83 -10242.55 2124.464 41.479167 -12367.013641049998 0.0 0.0 -10092.68001 -1130.1274135160918 -0.0
298.15 V ZN 0.18 0.82 -10225.2 2083.077 41.282158 -12308.275407699999 0.0 0.0 -10082.04354 -1168.5694517045056 -0.0
298.15 V ZN 0.19 0.81 -10207.56 2042.076 41.085466 -12249.631687899999 0.0 0.0 -10071.40707 -1205.3312553507326 -0.0
298.15 V ZN 0.2 0.8 -10189.69 2001.46 40.889321 -12191.15105615 0.0 0.0 -10060.770600000002 -1240.4816826440385 -0.0
298.15 V ZN 0.21 0.79 -10171.67 1961.228 40.69393 -12132.8952295 0.0 0.0 -10050.13413 -1274.08222978906 -0.0
298.15 V ZN 0.22 0.78 -10153.54 1921.382 40.499478 -12074.9193657 0.0 0.0 -10039.497659999999 -1306.188067542519 -0.0
298.15 V ZN 0.23 0.77 -10135.35 1881.922 40.306131 -12017.272957649999 0.0 0.0 -10028.86119 -1336.8488881016199 -0.0
298.15 V ZN 0.24 0.76 -10117.16 1842.846 40.11404 -11960.001026 0.0 0.0 -10018.224719999998 -1366.1096036088943 -0.0
298.15 V ZN 0.25 0.75 -10098.99 1804.155 39.923342 -11903.144417299998 0.0 0.0 -10007.58825 -1394.0109271940482 -0.0
298.15 V ZN 0.26 0.74 -10080.89 1765.85 39.73416 -11846.739804 0.0 0.0 -9996.95178 -1420.5898600324033 -0.0
298.15 V ZN 0.27 0.73 -10062.89 1727.93 39.546608 -11790.821175199999 0.0 0.0 -9986.31531 -1445.8801024662048 -0.0
298.15 V ZN 0.28 0.72 -10045.02 1690.394 39.360789 -11735.419240349998 0.0 0.0 -9975.67884 -1469.9124032129614 -0.0
