T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 V ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 0.0 0.0 -6719.723 0.0 -0.0
298.15 V ZR 1.0 0.0 -9209.853 0.0002657961 30.89 -9209.8535 0.0 0.0 -9209.853 0.0 -0.0
298.15 V ZR 0.01 0.99 -6380.643 7834.83 47.67893 -14215.472979499998 0.0 0.0 -6744.6243 -138.82602141683572 -0.0
298.15 V ZR 0.02 0.98 -6052.316 8299.641 48.1367 -14351.957104999998 0.0 0.0 -6769.5256 -243.03584172567548 -0.0
298.15 V ZR 0.03 0.97 -5754.123 8708.214 48.506915 -14462.336707249999 0.0 0.0 -6794.4268999999995 -334.02154674813943 -0.0
298.15 V ZR 0.04 0.96 -5488.639 9063.151 48.806943 -14551.790055449997 0.0 0.0 -6819.3282 -416.3281974105132 -0.0
298.15 V ZR 0.05 0.95 -5256.09 9367.006 49.046105 -14623.096205749998 0.0 0.0 -6844.2294999999995 -492.11297050679866 -0.0
298.15 V ZR 0.06 0.94 -5055.85 9622.283 49.2307 -14678.133204999998 0.0 0.0 -6869.130799999999 -562.6452650375949 -0.0
298.15 V ZR 0.07 0.93 -4886.902 9831.434 49.365543 -14718.33664545 0.0 0.0 -6894.032099999999 -628.7628773593874 -0.0
298.15 V ZR 0.08 0.92 -4748.024 9996.862 49.454592 -14744.886604799998 0.0 0.0 -6918.9334 -691.0604007790716 -0.0
298.15 V ZR 0.09 0.91 -4637.881 10120.92 49.501258 -14758.800072699998 0.0 0.0 -6943.8347 -749.9816351924776 -0.0
298.15 V ZR 0.1 0.9 -4555.076 10205.91 49.508579 -14760.982828849998 0.0 0.0 -6968.736000000001 -805.870345271772 -0.0
