"deg1","deg2","deg3","deg4","deg5"
1,0.0132956256032276,1.66821497355304e-14,6.50382834085592e-28,7.37930264107085e-41
1,0.0143727655595132,1.01012795598767e-12,8.53302077833755e-28,3.79302156786532e-39
1,0.00878590781756504,1.34920509220055e-13,4.62477286915064e-26,3.07096110778287e-41
1,0.0114731427831001,1.1793250546138e-13,6.18293781183083e-27,3.5673448868345e-40
1,0.00968164016356414,8.68969688058688e-13,1.04825603476369e-26,2.49862976490752e-41
1,0.0142824278956322,9.36318122293505e-13,1.42389178912683e-27,1.29854963890387e-38
1,0.0175522097074472,1.20178301778122e-13,3.19624773271533e-28,4.89742976393626e-39
1,0.00749231422860364,2.12275974417884e-13,3.18708162079313e-27,6.23228040472829e-41
1,0.0154408164534939,5.26902985508219e-13,5.87617996617966e-27,4.29075163755684e-42
1,0.0108883307722928,1.06740215016935e-13,2.29347178079896e-27,7.08612475092552e-40
1,0.022669299039186,1.8883726920391e-13,2.09431481770298e-27,6.11538909550724e-40
1,0.0148488379934811,7.95109495991639e-14,4.05403719599988e-27,4.89057189589773e-40
1,0.017190357392864,8.41535051209209e-13,4.84054598124258e-28,4.77347242472551e-38
1,0.0147403899467292,1.8159537847649e-13,1.00210493940136e-27,7.2097104331177e-40
1,0.0150404539130943,8.62010317104674e-13,1.55973033344178e-26,1.2728027640637e-39
1,0.0095683200552028,2.06625521791555e-13,1.74320033885589e-27,7.51113205119065e-41
1,0.0127835778410882,2.8162216302509e-13,6.2309385167462e-26,1.51407372347473e-39
1,0.0100557238735632,1.95180390406175e-12,4.09014934724817e-28,3.1575222627269e-40
1,0.0156861463597216,1.89903257956301e-13,2.23523487798061e-27,3.19194316136405e-41
1,0.02417140738593,6.06533319219371e-14,6.99709265627246e-24,5.76472223664921e-40
1,0.0297051124832792,3.81062663342644e-13,1.42782528664437e-25,8.13265190444701e-40
1,0.0146748716494033,1.19669652008619e-13,2.15443010372239e-28,6.99933378533957e-39
1,0.0274400424549135,2.07407931349158e-14,1.53024199823376e-28,2.0491403156254e-41
1,0.0079442077296716,4.22164357828087e-14,9.36305634041148e-26,8.8858115649393e-40
1,0.00808151078397126,1.26704013573009e-13,5.61288948180786e-27,1.2716470204296e-40
1,0.0108936535873876,4.16416740895387e-13,2.90864409508242e-27,1.46720073061792e-38
1,0.0219799389344315,1.18710892086419e-12,2.88841579226526e-25,7.04202208327707e-42
1,0.00465633888919327,1.21279644354454e-12,9.49146415127397e-27,5.27280341985119e-39
1,0.0226998919142314,7.041400351978e-14,2.41206682122926e-26,8.71010099809212e-40
1,0.00999770593064768,1.85257469924023e-13,2.43246081320221e-27,1.90455282819257e-40
1,0.00898714115641698,5.27693226029566e-13,2.73434706530656e-26,1.63243127488765e-41
1,0.0168646356008942,8.28953521898751e-13,2.49053594447865e-26,5.08599487215996e-39
1,0.00834638874555261,1.38508219015052e-12,5.60920572763093e-27,2.97285296400726e-39
1,0.0115554542354523,3.22785129477274e-13,5.04753037335005e-27,3.29556408951425e-39
1,0.0109170289999221,1.05640210373468e-12,3.34416310365748e-27,1.91619794360797e-38
1,0.0110406906894458,2.08927190432273e-12,3.90186569621804e-27,8.66615793744448e-40
1,0.00828218021996197,1.7314463467436e-13,8.54776142768371e-27,1.42887279020506e-40
1,0.0196942997501573,1.14134701284437e-12,1.93365100392731e-27,3.3779692720745e-41
1,0.00991655807691937,5.01446720263037e-13,8.49081237747763e-27,5.7938173706652e-41
1,0.0130272937331621,5.52044364119371e-13,5.5039014481716e-29,6.68608589079153e-43
1,0.0121439950034364,1.60765663576139e-13,1.83930735323098e-27,2.63539670177117e-40
1,0.0142930438817345,2.11977124807216e-13,3.178337592063e-27,7.54361763303073e-40
1,0.00535932823178444,1.35861672675489e-12,1.35389289305014e-27,4.7017431407405e-40
1,0.0144793145740164,2.84283158211322e-13,1.07652887325937e-26,3.90123083055652e-41
1,0.0143264871834947,1.53481296543156e-13,2.36996157913183e-26,1.11843495560598e-41
1,0.0129622427160663,1.36051760883947e-13,6.01269768272942e-26,4.91969546546809e-44
1,0.0119086248718219,6.46335844005323e-14,3.05579567609411e-27,7.37351252681398e-41
1,0.0173438643494419,1.28032235060588e-13,2.36964106302369e-27,3.54447244150236e-39
1,0.0084918477609089,3.8960772951125e-13,8.38631412685573e-27,2.5137639604156e-40
1,0.00687193891418958,2.97092023400618e-12,3.82382952040496e-27,3.11388005788022e-42
1,0.00647552591365124,4.75193822350351e-13,3.26496121969576e-27,6.39963399499506e-42
1,0.0273063804800013,1.31765924600684e-13,2.22226333201842e-28,4.78662176208123e-40
1,0.0091141845557942,1.00735980311844e-13,1.42401123122726e-26,4.72249335746321e-40
1,0.0149895255506521,3.02725280380028e-13,5.42850090513762e-26,5.18785604746836e-38
1,0.0255838103698691,1.84927059655402e-13,5.30497788532781e-28,9.99545789866925e-38
