"deg2","deg3"
1,3.30758432543767e-110
1,2.95759900279594e-109
1,7.73730744175236e-115
1,4.48650911518833e-111
1,2.75664259641583e-112
1,1.66665122757937e-110
1,5.46728139253092e-110
1,5.13496707728792e-108
1,4.2531407776483e-112
1,1.35243352015432e-112
1,5.59778458712505e-112
1,9.78885798537314e-113
1,9.14968950846615e-109
1,5.13567521046523e-108
1,1.40923725243031e-110
1,5.62183094154629e-111
1,2.00103321271475e-108
1,2.49752519490779e-107
1,1.52169882508847e-110
1,6.44427121766428e-108
1,2.64977401960471e-112
1,5.70031499185934e-110
1,2.34916511936442e-110
1,4.72726339410415e-113
1,1.22428161612962e-109
1,4.01948023749632e-112
1,2.4127641304626e-113
1,1.39668015418407e-109
1,2.42243932287386e-111
1,1.44028735863425e-110
