"deg2","deg3"
1,5.58631254414663e-92
1,1.20294220513869e-92
1,1.20546968361744e-95
1,1.18069378011591e-94
1,5.00328970276306e-93
1,1.30853266770291e-92
1,1.84059910667297e-93
1,3.91033652311604e-92
1,6.67797505548711e-94
1,1.1230744425472e-92
1,1.71928894693799e-94
1,3.23786380657722e-93
1,2.15446188078586e-93
1,6.8177325415245e-92
1,1.61963778578923e-94
1,6.10699433045136e-93
1,5.62192025370138e-91
1,6.38067426841069e-91
1,2.79991021893186e-92
1,2.7852403489881e-92
1,2.05062371779037e-94
1,3.92356986657682e-94
1,4.6641105951391e-92
1,3.84829787342393e-94
1,8.81545590199376e-94
1,6.64504376222965e-94
1,1.19685537642899e-92
1,1.12713493587598e-92
1,2.99416676037272e-92
1,3.12477626884877e-93
