"deg4","deg5"
1,8.84750572131194e-94
1,5.63059843524071e-95
1,9.99384494262828e-95
1,1.00484778049397e-98
1,2.63550137709175e-96
1,2.95664190838969e-96
1,8.16548264589037e-96
1,5.92972174481986e-95
1,4.3442498481139e-98
1,2.0975872949733e-94
1,1.73599446687806e-95
1,3.61809437455286e-96
1,4.72304276235325e-95
1,1.4142003341754e-94
1,9.78423268274703e-98
1,2.40320918523123e-94
1,3.23168548594781e-93
1,5.30346575154758e-95
1,6.19140115648135e-96
1,1.22184077580509e-95
1,1.2436076679159e-95
1,8.3688499852773e-96
1,7.52056651727397e-94
1,3.60782454433809e-96
1,5.55999828955036e-97
1,1.64343973325971e-97
1,3.94137869231181e-95
1,1.10107996578442e-96
1,1.38266451097493e-94
1,4.52225095597936e-96
