"model","data_gen","dataset_num","leg_deg","llik","aic","bic"
"model_Ycubic_tr100_legd1.RData","Ycubic",1,1,-256363.529529192,512729.059058385,512731.664228571
"model_Ycubic_tr100_legd1.RData","Ycubic",2,1,-78098.1959393338,156198.391878668,156200.997048854
"model_Ycubic_tr100_legd1.RData","Ycubic",3,1,-179139.579385296,358281.158770591,358283.763940777
"model_Ycubic_tr100_legd1.RData","Ycubic",4,1,-107737.498789274,215476.997578547,215479.602748733
"model_Ycubic_tr100_legd1.RData","Ycubic",5,1,-138755.282282058,277512.564564115,277515.169734301
"model_Ycubic_tr100_legd1.RData","Ycubic",6,1,-135664.229688211,271330.459376422,271333.064546608
"model_Ycubic_tr100_legd1.RData","Ycubic",7,1,-92808.3877561549,185618.77551231,185621.380682496
"model_Ycubic_tr100_legd1.RData","Ycubic",8,1,-59567.3952778455,119136.790555691,119139.395725877
"model_Ycubic_tr100_legd1.RData","Ycubic",9,1,-145825.72221566,291653.44443132,291656.049601506
"model_Ycubic_tr100_legd1.RData","Ycubic",10,1,-94380.1205018443,188762.241003689,188764.846173875
"model_Ycubic_tr100_legd1.RData","Ycubic",11,1,-103385.0380199,206772.0760398,206774.681209986
"model_Ycubic_tr100_legd1.RData","Ycubic",12,1,-78637.0005414581,157276.001082916,157278.606253102
"model_Ycubic_tr100_legd1.RData","Ycubic",13,1,-96020.7823830754,192043.564766151,192046.169936337
"model_Ycubic_tr100_legd1.RData","Ycubic",14,1,-68478.6553256533,136959.310651307,136961.915821493
"model_Ycubic_tr100_legd1.RData","Ycubic",15,1,-60739.2633485735,121480.526697147,121483.131867333
"model_Ycubic_tr100_legd1.RData","Ycubic",16,1,-57910.2589198531,115822.517839706,115825.123009892
"model_Ycubic_tr100_legd1.RData","Ycubic",17,1,-218626.141534267,437254.283068534,437256.88823872
"model_Ycubic_tr100_legd1.RData","Ycubic",18,1,-107570.861402403,215143.722804806,215146.327974992
"model_Ycubic_tr100_legd1.RData","Ycubic",19,1,-70422.2228358475,140846.445671695,140849.050841881
"model_Ycubic_tr100_legd1.RData","Ycubic",20,1,-197644.870735358,395291.741470715,395294.346640901
"model_Ycubic_tr100_legd1.RData","Ycubic",21,1,-47034.7545885568,94071.5091771136,94074.1143472996
"model_Ycubic_tr100_legd1.RData","Ycubic",22,1,-107957.616802294,215917.233604589,215919.838774775
"model_Ycubic_tr100_legd1.RData","Ycubic",23,1,-252418.352248248,504838.704496497,504841.309666683
"model_Ycubic_tr100_legd1.RData","Ycubic",24,1,-88505.946368582,177013.892737164,177016.49790735
"model_Ycubic_tr100_legd1.RData","Ycubic",25,1,-132573.454033364,265148.908066729,265151.513236915
"model_Ycubic_tr100_legd1.RData","Ycubic",26,1,-108304.463619647,216610.927239294,216613.53240948
"model_Ycubic_tr100_legd1.RData","Ycubic",27,1,-57659.653920537,115321.307841074,115323.91301126
"model_Ycubic_tr100_legd1.RData","Ycubic",28,1,-65956.3230384887,131914.646076977,131917.251247163
"model_Ycubic_tr100_legd1.RData","Ycubic",29,1,-251123.099213202,502248.198426403,502250.803596589
"model_Ycubic_tr100_legd1.RData","Ycubic",30,1,-60575.7078974415,121153.415794883,121156.020965069
"model_Ycubic_tr100_legd1.RData","Ycubic",31,1,-141856.278590463,283714.557180927,283717.162351113
"model_Ycubic_tr100_legd1.RData","Ycubic",32,1,-66874.7163097737,133751.432619547,133754.037789733
