"model","data_gen","dataset_num","leg_deg","llik_stationary","aic_stationary","bic_stationary"
"model_Ycubic_tr100_legd1.RData","Ycubic",1,1,-384.783270160905,771.56654032181,774.171710507798
"model_Ycubic_tr100_legd1.RData","Ycubic",2,1,-439.031234354972,880.062468709944,882.667638895932
"model_Ycubic_tr100_legd1.RData","Ycubic",3,1,-380.349507671617,762.699015343233,765.304185529221
"model_Ycubic_tr100_legd1.RData","Ycubic",4,1,-468.18368601149,938.367372022979,940.972542208967
"model_Ycubic_tr100_legd1.RData","Ycubic",5,1,-449.319520530133,900.639041060265,903.244211246253
"model_Ycubic_tr100_legd1.RData","Ycubic",6,1,-487.808281568089,977.616563136179,980.221733322167
"model_Ycubic_tr100_legd1.RData","Ycubic",7,1,-496.90722849881,995.81445699762,998.419627183608
"model_Ycubic_tr100_legd1.RData","Ycubic",8,1,-456.416284968041,914.832569936081,917.437740122069
"model_Ycubic_tr100_legd1.RData","Ycubic",9,1,-433.076513238485,868.153026476971,870.758196662959
"model_Ycubic_tr100_legd1.RData","Ycubic",10,1,-530.017287122505,1062.03457424501,1064.639744431
"model_Ycubic_tr100_legd1.RData","Ycubic",11,1,-489.460893480983,980.921786961966,983.526957147954
"model_Ycubic_tr100_legd1.RData","Ycubic",12,1,-488.180207789453,978.360415578906,980.965585764894
"model_Ycubic_tr100_legd1.RData","Ycubic",13,1,-506.541607662162,1015.08321532432,1017.68838551031
"model_Ycubic_tr100_legd1.RData","Ycubic",14,1,-317.95076702456,637.90153404912,640.506704235108
"model_Ycubic_tr100_legd1.RData","Ycubic",15,1,-511.204641275114,1024.40928255023,1027.01445273622
"model_Ycubic_tr100_legd1.RData","Ycubic",16,1,-302.68071825877,607.36143651754,609.966606703528
"model_Ycubic_tr100_legd1.RData","Ycubic",17,1,-437.70326731234,877.40653462468,880.011704810668
"model_Ycubic_tr100_legd1.RData","Ycubic",18,1,-357.077322060187,716.154644120373,718.759814306361
"model_Ycubic_tr100_legd1.RData","Ycubic",19,1,-377.583896539821,757.167793079642,759.77296326563
"model_Ycubic_tr100_legd1.RData","Ycubic",20,1,-319.299563012292,640.599126024583,643.204296210572
"model_Ycubic_tr100_legd1.RData","Ycubic",21,1,-397.57272760328,797.145455206561,799.750625392549
"model_Ycubic_tr100_legd1.RData","Ycubic",22,1,-335.391218402631,672.782436805262,675.38760699125
"model_Ycubic_tr100_legd1.RData","Ycubic",23,1,-709.403391440172,1420.80678288034,1423.41195306633
"model_Ycubic_tr100_legd1.RData","Ycubic",24,1,-662.744846482669,1327.48969296534,1330.09486315133
"model_Ycubic_tr100_legd1.RData","Ycubic",25,1,-617.724312187402,1237.4486243748,1240.05379456079
"model_Ycubic_tr100_legd1.RData","Ycubic",26,1,-282.667148183976,567.334296367952,569.93946655394
