T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 AG ND 0.0 1.0 -19919.93 1437.295 71.632481 -21357.224210149998 0.0 0.0 -19919.93 0.0 -0.0
298.15 AG ND 1.0 0.0 -9599.34 3400.001 43.600002 -12999.3405963 0.0 0.0 -9599.34 0.0 -0.0
298.15 AG ND 0.01 0.99 -20184.98 1213.51 71.770895 -21398.492344249997 0.0 0.0 -19816.7241 -138.82602141683572 -0.0
298.15 AG ND 0.02 0.98 -20410.78 994.6436 71.794153 -21405.426716949998 0.0 0.0 -19713.5182 -243.03584172567548 -0.0
298.15 AG ND 0.03 0.97 -20618.73 780.6942 71.774004 -21399.4192926 0.0 0.0 -19610.312299999998 -334.02154674813943 -0.0
298.15 AG ND 0.04 0.96 -20813.35 571.6621 71.725693 -21385.01536795 0.0 0.0 -19507.1064 -416.3281974105132 -0.0
298.15 AG ND 0.05 0.95 -20996.82 367.5475 71.656454 -21364.3717601 0.0 0.0 -19403.9005 -492.11297050679866 -0.0
298.15 AG ND 0.06 0.94 -21170.41 168.3503 71.570545 -21338.757991749997 0.0 0.0 -19300.6946 -562.6452650375949 -0.0
298.15 AG ND 0.07 0.93 -21334.94 -25.92958 71.470777 -21309.01216255 0.0 0.0 -19197.488699999998 -628.7628773593874 -0.0
298.15 AG ND 0.08 0.92 -21491.02 -215.292 71.359144 -21275.7287836 0.0 0.0 -19094.2828 -691.0604007790716 -0.0
298.15 AG ND 0.09 0.91 -21639.09 -399.7371 71.237133 -21239.35120395 0.0 0.0 -18991.076900000004 -749.9816351924776 -0.0
298.15 AG ND 0.1 0.9 -21779.49 -579.2647 71.105899 -21200.223786849998 0.0 0.0 -18887.871000000003 -805.870345271772 -0.0
298.15 AG ND 0.11 0.89 -21912.49 -753.8749 70.966359 -21158.619935849998 0.0 0.0 -18784.665100000002 -859.000492370776 -0.0
298.15 AG ND 0.12 0.88 -22038.33 -923.5678 70.819263 -21114.76326345 0.0 0.0 -18681.4592 -909.5953759771999 -0.0
298.15 AG ND 0.13 0.87 -22157.18 -1088.343 70.665233 -21068.839218949997 0.0 0.0 -18578.2533 -957.840348132521 -0.0
298.15 AG ND 0.14 0.86 -22269.21 -1248.201 70.504792 -21021.003734799997 0.0 0.0 -18475.0474 -1003.8915915105914 -0.0
298.15 AG ND 0.15 0.85 -22374.53 -1403.142 70.338388 -20971.390382199996 0.0 0.0 -18371.841500000002 -1047.882375954332 -0.0
298.15 AG ND 0.16 0.84 -22473.28 -1553.165 70.166405 -20920.113650749998 0.0 0.0 -18268.6356 -1089.9276385420173 -0.0
298.15 AG ND 0.17 0.83 -22565.55 -1698.271 69.98918 -20867.274017 0.0 0.0 -18165.4297 -1130.1274135160918 -0.0
298.15 AG ND 0.18 0.82 -22651.42 -1838.459 69.807007 -20812.95913705 0.0 0.0 -18062.223800000003 -1168.5694517045056 -0.0
298.15 AG ND 0.19 0.81 -22730.98 -1973.73 69.620145 -20757.246231749996 0.0 0.0 -17959.017900000003 -1205.3312553507326 -0.0
298.15 AG ND 0.2 0.8 -22804.29 -2104.084 69.428826 -20700.204471899997 0.0 0.0 -17855.812 -1240.4816826440385 -0.0
298.15 AG ND 0.21 0.79 -22871.42 -2229.52 69.233256 -20641.8952764 0.0 0.0 -17752.6061 -1274.08222978906 -0.0
298.15 AG ND 0.22 0.78 -22932.41 -2350.039 69.033619 -20582.37350485 0.0 0.0 -17649.4002 -1306.188067542519 -0.0
298.15 AG ND 0.23 0.77 -22987.33 -2465.641 68.830084 -20521.689544599998 0.0 0.0 -17546.1943 -1336.8488881016199 -0.0
298.15 AG ND 0.24 0.76 -23036.21 -2576.325 68.622799 -20459.88752185 0.0 0.0 -17442.988400000002 -1366.1096036088943 -0.0
298.15 AG ND 0.25 0.75 -23079.1 -2682.091 68.411902 -20397.008581299997 0.0 0.0 -17339.7825 -1394.0109271940482 -0.0
298.15 AG ND 0.26 0.74 -23116.03 -2782.941 68.197517 -20333.08969355 0.0 0.0 -17236.5766 -1420.5898600324033 -0.0
298.15 AG ND 0.27 0.73 -23147.04 -2878.872 67.979757 -20268.16454955 0.0 0.0 -17133.3707 -1445.8801024662048 -0.0
298.15 AG ND 0.28 0.72 -23172.15 -2969.887 67.758725 -20202.263858749997 0.0 0.0 -17030.1648 -1469.9124032129614 -0.0
298.15 AG ND 0.29 0.71 -23191.4 -3055.984 67.534516 -20135.415945399996 0.0 0.0 -16926.958899999998 -1492.7148576699553 -0.0
298.15 AG ND 0.3 0.7 -23204.81 -3137.163 67.307215 -20067.64615225 0.0 0.0 -16823.753 -1514.313164037668 -0.0
298.15 AG ND 0.31 0.69 -23212.4 -3213.426 67.076901 -19998.97803315 0.0 0.0 -16720.5471 -1534.730844232385 -0.0
298.15 AG ND 0.32 0.68 -23214.2 -3284.771 66.843646 -19929.4330549 0.0 0.0 -16617.3412 -1553.9894352015579 -0.0
298.15 AG ND 0.33 0.67 -23210.23 -3351.198 66.607518 -19859.0314917 0.0 0.0 -16514.135299999998 -1572.1086551954763 -0.0
298.15 AG ND 0.34 0.66 -23200.5 -3412.708 66.368576 -19787.7909344 0.0 0.0 -16410.929399999997 -1589.1065487133012 -0.0
298.15 AG ND 0.35 0.65 -23185.03 -3469.301 66.126875 -19715.72778125 0.0 0.0 -16307.7235 -1604.9996131775667 -0.0
298.15 AG ND 0.36 0.64 -23163.83 -3520.976 65.882466 -19642.857237899996 0.0 0.0 -16204.5176 -1619.8029098595373 -0.0
298.15 AG ND 0.37 0.63 -23136.93 -3567.734 65.635396 -19569.193317399997 0.0 0.0 -16101.311699999998 -1633.5301611487748 -0.0
298.15 AG ND 0.38 0.62 -23104.32 -3609.574 65.385705 -19494.747945749998 0.0 0.0 -15998.105800000001 -1646.193835911596 -0.0
298.15 AG ND 0.39 0.61 -23066.03 -3646.497 65.133432 -19419.532750799997 0.0 0.0 -15894.8999 -1657.8052243977716 -0.0
298.15 AG ND 0.4 0.6 -23022.06 -3678.503 64.878612 -19343.558167799998 0.0 0.0 -15791.694000000001 -1668.3745039196444 -0.0
298.15 AG ND 0.41 0.59 -22972.42 -3705.591 64.621273 -19266.83254495 0.0 0.0 -15688.488100000002 -1677.9107963326926 -0.0
298.15 AG ND 0.42 0.58 -22917.13 -3727.762 64.361445 -19189.36482675 0.0 0.0 -15585.282200000001 -1686.4222181834425 -0.0
298.15 AG ND 0.43 0.57 -22856.18 -3745.015 64.09915 -19111.161572499997 0.0 0.0 -15482.0763 -1693.9159242532326 -0.0
298.15 AG ND 0.44 0.56 -22789.58 -3757.351 63.83441 -19032.2293415 0.0 0.0 -15378.870400000002 -1700.3981451097393 -0.0
298.15 AG ND 0.45 0.55 -22717.34 -3764.77 63.567242 -18952.5732023 0.0 0.0 -15275.664500000003 -1705.8742191782392 -0.0
298.15 AG ND 0.46 0.54 -22639.47 -3767.271 63.297662 -18872.1979253 0.0 0.0 -15172.458600000002 -1710.3486197582595 -0.0
298.15 AG ND 0.47 0.53 -22555.96 -3764.855 63.025682 -18791.1070883 0.0 0.0 -15069.252700000001 -1713.8249773357109 -0.0
298.15 AG ND 0.48 0.52 -22466.83 -3757.522 62.751311 -18709.30337465 0.0 0.0 -14966.0468 -1716.3060974737868 -0.0
298.15 AG ND 0.49 0.51 -22372.06 -3745.271 62.474556 -18626.7888714 0.0 0.0 -14862.8409 -1717.7939745058845 -0.0
298.15 AG ND 0.5 0.5 -22271.67 -3728.102 62.195421 -18543.56477115 0.0 0.0 -14759.635 -1718.289801199083 -0.0
298.15 AG ND 0.51 0.49 -22165.65 -3706.017 61.913906 -18459.631073899996 0.0 0.0 -14656.429100000001 -1717.7939745058845 -0.0
298.15 AG ND 0.52 0.48 -22054.0 -3679.013 61.630012 -18374.9880778 0.0 0.0 -14553.2232 -1716.3060974737868 -0.0
298.15 AG ND 0.53 0.47 -21936.73 -3647.093 61.343734 -18289.6342921 0.0 0.0 -14450.0173 -1713.8249773357109 -0.0
298.15 AG ND 0.54 0.46 -21813.82 -3610.255 61.055064 -18203.5673316 0.0 0.0 -14346.811399999999 -1710.3486197582595 -0.0
298.15 AG ND 0.55 0.45 -21685.28 -3568.499 60.763995 -18116.78510925 0.0 0.0 -14243.6055 -1705.8742191782392 -0.0
298.15 AG ND 0.56 0.44 -21551.11 -3521.827 60.470513 -18029.28345095 0.0 0.0 -14140.3996 -1700.3981451097393 -0.0
298.15 AG ND 0.57 0.43 -21411.29 -3470.237 60.174603 -17941.057884449998 0.0 0.0 -14037.1937 -1693.9159242532328 -0.0
298.15 AG ND 0.58 0.42 -21265.83 -3413.729 59.876248 -17852.103341199996 0.0 0.0 -13933.987799999999 -1686.4222181834425 -0.0
