T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 AL CE 0.0 1.0 -19160.05 1966.432 70.858565 -21126.48115475 0.0 0.0 -19160.05 0.0 -0.0
298.15 AL CE 1.0 0.0 210.3581 10083.0 33.112997 -9872.640055549999 0.0 0.0 210.3581 0.0 -0.0
298.15 AL CE 0.01 0.99 -19970.91 1057.598 70.529945 -21028.503101749997 0.0 0.0 -18966.345919 -138.82602141683572 -0.0
298.15 AL CE 0.02 0.98 -20729.66 168.7633 70.093641 -20898.41906415 0.0 0.0 -18772.641838 -243.03584172567548 -0.0
298.15 AL CE 0.03 0.97 -21457.69 -700.0711 69.621403 -20757.62130445 0.0 0.0 -18578.937757 -334.02154674813943 -0.0
298.15 AL CE 0.04 0.96 -22159.56 -1548.905 69.128476 -20610.6551194 0.0 0.0 -18385.233675999996 -416.3281974105132 -0.0
298.15 AL CE 0.05 0.95 -22837.42 -2377.74 68.622094 -20459.677326099998 0.0 0.0 -18191.529594999996 -492.11297050679866 -0.0
298.15 AL CE 0.06 0.94 -23492.53 -3186.574 68.106515 -20305.95744725 0.0 0.0 -17997.825513999996 -562.6452650375949 -0.0
298.15 AL CE 0.07 0.93 -24125.74 -3975.408 67.584549 -20150.333284349996 0.0 0.0 -17804.121433 -628.7628773593874 -0.0
298.15 AL CE 0.08 0.92 -24737.64 -4744.243 67.05819 -19993.399348499996 0.0 0.0 -17610.417352 -691.0604007790716 -0.0
298.15 AL CE 0.09 0.91 -25328.68 -5493.077 66.528928 -19835.599883199997 0.0 0.0 -17416.713271 -749.9816351924776 -0.0
298.15 AL CE 0.1 0.9 -25899.19 -6221.911 65.997914 -19677.278059099997 0.0 0.0 -17223.009189999997 -805.870345271772 -0.0
298.15 AL CE 0.11 0.89 -26449.45 -6930.746 65.466068 -19518.7081742 0.0 0.0 -17029.305109 -859.000492370776 -0.0
298.15 AL CE 0.12 0.88 -26979.69 -7619.58 64.934138 -19360.113244699998 0.0 0.0 -16835.601028 -909.5953759771999 -0.0
298.15 AL CE 0.13 0.87 -27490.09 -8288.414 64.402747 -19201.67901805 0.0 0.0 -16641.896947 -957.840348132521 -0.0
298.15 AL CE 0.14 0.86 -27980.81 -8937.249 63.872418 -19043.5614267 0.0 0.0 -16448.192866 -1003.8915915105914 -0.0
298.15 AL CE 0.15 0.85 -28451.98 -9566.083 63.343599 -18885.89404185 0.0 0.0 -16254.488785 -1047.882375954332 -0.0
298.15 AL CE 0.16 0.84 -28903.71 -10174.92 62.816674 -18728.791353099998 0.0 0.0 -16060.784704 -1089.9276385420173 -0.0
298.15 AL CE 0.17 0.83 -29336.11 -10763.75 62.291979 -18572.35353885 0.0 0.0 -15867.080622999998 -1130.1274135160918 -0.0
298.15 AL CE 0.18 0.82 -29749.25 -11332.59 61.769809 -18416.66855335 0.0 0.0 -15673.376542 -1168.5694517045056 -0.0
298.15 AL CE 0.19 0.81 -30143.23 -11881.42 61.250423 -18261.81361745 0.0 0.0 -15479.672461000002 -1205.3312553507326 -0.0
298.15 AL CE 0.2 0.8 -30518.11 -12410.25 60.734052 -18107.8576038 0.0 0.0 -15285.96838 -1240.4816826440385 -0.0
298.15 AL CE 0.21 0.79 -30873.95 -12919.09 60.220903 -17954.86222945 0.0 0.0 -15092.264299 -1274.08222978906 -0.0
298.15 AL CE 0.22 0.78 -31210.81 -13407.92 59.711161 -17802.882652149998 0.0 0.0 -14898.560218 -1306.188067542519 -0.0
298.15 AL CE 0.23 0.77 -31528.73 -13876.76 59.204993 -17651.96866295 0.0 0.0 -14704.856136999999 -1336.8488881016199 -0.0
298.15 AL CE 0.24 0.76 -31827.76 -14325.59 58.702548 -17502.164686199998 0.0 0.0 -14511.152055999999 -1366.1096036088943 -0.0
298.15 AL CE 0.25 0.75 -32107.94 -14754.43 58.203964 -17353.511866599998 0.0 0.0 -14317.447975 -1394.0109271940482 -0.0
298.15 AL CE 0.26 0.74 -32369.31 -15163.26 57.709365 -17206.047174749998 0.0 0.0 -14123.743894 -1420.5898600324033 -0.0
298.15 AL CE 0.27 0.73 -32611.9 -15552.1 57.218863 -17059.804003449997 0.0 0.0 -13930.039813 -1445.8801024662048 -0.0
298.15 AL CE 0.28 0.72 -32835.74 -15920.93 56.732562 -16914.8133603 0.0 0.0 -13736.335732 -1469.9124032129614 -0.0
298.15 AL CE 0.29 0.71 -33040.87 -16269.76 56.250556 -16771.1032714 0.0 0.0 -13542.631650999998 -1492.7148576699553 -0.0
298.15 AL CE 0.3 0.7 -33227.3 -16598.6 55.772932 -16628.6996758 0.0 0.0 -13348.927569999998 -1514.313164037668 -0.0
298.15 AL CE 0.31 0.69 -33395.06 -16907.43 55.299767 -16487.62553105 0.0 0.0 -13155.223488999998 -1534.730844232385 -0.0
298.15 AL CE 0.32 0.68 -33544.17 -17196.27 54.831135 -16347.90290025 0.0 0.0 -12961.519407999998 -1553.9894352015579 -0.0
298.15 AL CE 0.33 0.67 -33674.65 -17465.1 54.367102 -16209.5514613 0.0 0.0 -12767.815326999998 -1572.1086551954763 -0.0
298.15 AL CE 0.34 0.66 -33786.52 -17713.94 53.907728 -16072.589103199998 0.0 0.0 -12574.111245999999 -1589.1065487133012 -0.0
298.15 AL CE 0.35 0.65 -33879.8 -17942.77 53.453068 -15937.0322242 0.0 0.0 -12380.407164999999 -1604.9996131775667 -0.0
298.15 AL CE 0.36 0.64 -33954.5 -18151.6 53.003173 -15802.896029949998 0.0 0.0 -12186.703084 -1619.8029098595373 -0.0
298.15 AL CE 0.37 0.63 -34010.63 -18340.44 52.558088 -15670.193937199998 0.0 0.0 -11992.999003 -1633.5301611487748 -0.0
298.15 AL CE 0.38 0.62 -34048.21 -18509.27 52.117857 -15538.939064549999 0.0 0.0 -11799.294922 -1646.193835911596 -0.0
298.15 AL CE 0.39 0.61 -34067.25 -18658.11 51.682516 -15409.1421454 0.0 0.0 -11605.590841 -1657.8052243977716 -0.0
298.15 AL CE 0.4 0.6 -34067.76 -18786.94 51.2521 -15280.813615 0.0 0.0 -11411.88676 -1668.3745039196444 -0.0
298.15 AL CE 0.41 0.59 -34049.74 -18895.78 50.826639 -15153.962417849998 0.0 0.0 -11218.182679000001 -1677.9107963326926 -0.0
298.15 AL CE 0.42 0.58 -34013.21 -18984.61 50.406161 -15028.596902149999 0.0 0.0 -11024.478598000002 -1686.4222181834425 -0.0
298.15 AL CE 0.43 0.57 -33958.17 -19053.44 49.990689 -14904.72392535 0.0 0.0 -10830.774517000002 -1693.9159242532326 -0.0
298.15 AL CE 0.44 0.56 -33884.63 -19102.28 49.580245 -14782.350046749998 0.0 0.0 -10637.070436 -1700.3981451097393 -0.0
298.15 AL CE 0.45 0.55 -33792.59 -19131.11 49.174846 -14661.4803349 0.0 0.0 -10443.366355 -1705.8742191782392 -0.0
298.15 AL CE 0.46 0.54 -33682.07 -19139.95 48.774508 -14542.119560199999 0.0 0.0 -10249.662274 -1710.3486197582595 -0.0
298.15 AL CE 0.47 0.53 -33553.05 -19128.78 48.379242 -14424.271002299998 0.0 0.0 -10055.958193 -1713.8249773357109 -0.0
298.15 AL CE 0.48 0.52 -33405.55 -19097.62 47.989058 -14307.937642699999 0.0 0.0 -9862.254112 -1716.3060974737868 -0.0
298.15 AL CE 0.49 0.51 -33239.57 -19046.45 47.603963 -14193.121568449998 0.0 0.0 -9668.550031 -1717.7939745058845 -0.0
298.15 AL CE 0.5 0.5 -33055.11 -18975.28 47.22396 -14079.823673999997 0.0 0.0 -9474.845949999999 -1718.289801199083 -0.0
298.15 AL CE 0.51 0.49 -32852.16 -18884.12 46.849051 -13968.04455565 0.0 0.0 -9281.141869 -1717.7939745058845 -0.0
298.15 AL CE 0.52 0.48 -32630.74 -18772.95 46.479235 -13857.78391525 0.0 0.0 -9087.437788 -1716.3060974737868 -0.0
298.15 AL CE 0.53 0.47 -32390.83 -18641.79 46.114508 -13749.0405602 0.0 0.0 -8893.733706999998 -1713.8249773357109 -0.0
298.15 AL CE 0.54 0.46 -32132.43 -18490.62 45.754862 -13641.8121053 0.0 0.0 -8700.029626 -1710.3486197582595 -0.0
298.15 AL CE 0.55 0.45 -31855.55 -18319.46 45.400289 -13536.09616535 0.0 0.0 -8506.325545 -1705.8742191782392 -0.0
298.15 AL CE 0.56 0.44 -31560.18 -18128.29 45.050777 -13431.889162549998 0.0 0.0 -8312.621463999998 -1700.3981451097393 -0.0
298.15 AL CE 0.57 0.43 -31246.31 -17917.13 44.70631 -13329.1863265 0.0 0.0 -8118.917383 -1693.9159242532328 -0.0
298.15 AL CE 0.58 0.42 -30913.94 -17685.96 44.36687 -13227.982290499998 0.0 0.0 -7925.213302 -1686.4222181834425 -0.0
298.15 AL CE 0.59 0.41 -30563.07 -17434.79 44.032437 -13128.27109155 0.0 0.0 -7731.509221 -1677.910796332693 -0.0
298.15 AL CE 0.6 0.4 -30193.67 -17163.63 43.702986 -13030.0452759 0.0 0.0 -7537.80514 -1668.3745039196444 -0.0
298.15 AL CE 0.61 0.39 -29805.76 -16872.46 43.378491 -12933.297091649998 0.0 0.0 -7344.101059 -1657.8052243977716 -0.0
298.15 AL CE 0.62 0.38 -29399.31 -16561.3 43.05892 -12838.016998 0.0 0.0 -7150.396978 -1646.193835911596 -0.0
298.15 AL CE 0.63 0.37 -28974.33 -16230.13 42.744241 -12744.19545415 0.0 0.0 -6956.692897 -1633.5301611487748 -0.0
298.15 AL CE 0.64 0.36 -28530.79 -15878.97 42.434413 -12651.82023595 0.0 0.0 -6762.988815999999 -1619.8029098595373 -0.0
298.15 AL CE 0.65 0.35 -28068.68 -15507.8 42.129397 -12560.879715549998 0.0 0.0 -6569.284734999999 -1604.9996131775667 -0.0
298.15 AL CE 0.66 0.34 -27587.99 -15116.63 41.829146 -12471.3598799 0.0 0.0 -6375.580653999999 -1589.106548713301 -0.0
298.15 AL CE 0.67 0.33 -27088.71 -14705.47 41.533609 -12383.245523349999 0.0 0.0 -6181.876572999999 -1572.1086551954763 -0.0
298.15 AL CE 0.68 0.32 -26570.82 -14274.3 41.242731 -12296.520247649998 0.0 0.0 -5988.172491999999 -1553.9894352015576 -0.0
298.15 AL CE 0.69 0.31 -26034.3 -13823.14 40.956452 -12211.166163799999 0.0 0.0 -5794.468411000001 -1534.730844232385 -0.0
298.15 AL CE 0.7 0.3 -25479.13 -13351.97 40.674705 -12127.16329575 0.0 0.0 -5600.76433 -1514.313164037668 -0.0
298.15 AL CE 0.71 0.29 -24905.3 -12860.81 40.397418 -12044.4901767 0.0 0.0 -5407.060249000001 -1492.7148576699553 -0.0
298.15 AL CE 0.72 0.28 -24312.76 -12349.64 40.124512 -11963.1232528 0.0 0.0 -5213.356168 -1469.9124032129614 -0.0
298.15 AL CE 0.73 0.27 -23701.51 -11818.47 39.855902 -11883.037181299998 0.0 0.0 -5019.6520869999995 -1445.8801024662048 -0.0
298.15 AL CE 0.74 0.26 -23071.51 -11267.31 39.591492 -11804.2033398 0.0 0.0 -4825.9480060000005 -1420.5898600324033 -0.0
298.15 AL CE 0.75 0.25 -22422.73 -10696.14 39.33118 -11726.591317 0.0 0.0 -4632.243925 -1394.0109271940482 -0.0
298.15 AL CE 0.76 0.24 -21755.15 -10104.98 39.074853 -11650.167421949998 0.0 0.0 -4438.539843999999 -1366.1096036088943 -0.0
298.15 AL CE 0.77 0.23 -21068.71 -9493.812 38.822386 -11574.8943859 0.0 0.0 -4244.835763 -1336.8488881016199 -0.0
298.15 AL CE 0.78 0.22 -20363.38 -8862.646 38.573643 -11500.731660449997 0.0 0.0 -4051.1316819999993 -1306.188067542519 -0.0
298.15 AL CE 0.79 0.21 -19639.12 -8211.481 38.328474 -11427.6345231 0.0 0.0 -3857.4276009999994 -1274.08222978906 -0.0
298.15 AL CE 0.8 0.2 -18895.87 -7540.315 38.086711 -11355.55288465 0.0 0.0 -3663.7235199999986 -1240.4816826440385 -0.0
298.15 AL CE 0.81 0.19 -18133.58 -6849.15 37.84817 -11284.4318855 0.0 0.0 -3470.019438999999 -1205.3312553507324 -0.0
298.15 AL CE 0.82 0.18 -17352.19 -6137.984 37.612645 -11214.210106749999 0.0 0.0 -3276.3153580000007 -1168.5694517045058 -0.0
298.15 AL CE 0.83 0.17 -16551.64 -5406.818 37.379904 -11144.8183776 0.0 0.0 -3082.611277000001 -1130.127413516092 -0.0
298.15 AL CE 0.84 0.16 -15731.83 -4655.653 37.149687 -11076.17917905 0.0 0.0 -2888.9071960000006 -1089.9276385420173 -0.0
298.15 AL CE 0.85 0.15 -14892.69 -3884.487 36.921701 -11008.205153149998 0.0 0.0 -2695.2031150000003 -1047.882375954332 -0.0
298.15 AL CE 0.86 0.14 -14034.12 -3093.321 36.695609 -10940.795823349998 0.0 0.0 -2501.499034 -1003.8915915105914 -0.0
298.15 AL CE 0.87 0.13 -13155.99 -2282.156 36.471027 -10873.836700049998 0.0 0.0 -2307.794953 -957.840348132521 -0.0
298.15 AL CE 0.88 0.12 -12258.18 -1450.99 36.247506 -10807.193913899999 0.0 0.0 -2114.0908719999998 -909.5953759771999 -0.0
298.15 AL CE 0.89 0.11 -11340.54 -599.8242 36.024524 -10740.7118306 0.0 0.0 -1920.3867909999997 -859.000492370776 -0.0
298.15 AL CE 0.9 0.1 -10402.86 271.3414 35.801459 -10674.20500085 0.0 0.0 -1726.6827099999994 -805.870345271772 -0.0
298.15 AL CE 0.91 0.09 -9444.943 1162.507 35.577562 -10607.450110299998 0.0 0.0 -1532.9786289999995 -749.9816351924775 -0.0
298.15 AL CE 0.92 0.08 -8466.5 2073.673 35.351913 -10540.17286095 0.0 0.0 -1339.2745479999992 -691.0604007790713 -0.0
298.15 AL CE 0.93 0.07 -7467.191 3004.838 35.12336 -10472.029783999998 0.0 0.0 -1145.5704669999989 -628.762877359387 -0.0
298.15 AL CE 0.94 0.06 -6446.573 3956.004 34.890415 -10402.577232249998 0.0 0.0 -951.866386000001 -562.6452650375951 -0.0
298.15 AL CE 0.95 0.05 -5404.05 4927.17 34.651082 -10331.2200983 0.0 0.0 -758.1623050000009 -492.1129705067989 -0.0
298.15 AL CE 0.96 0.04 -4338.786 5918.335 34.402553 -10257.121176949999 0.0 0.0 -564.4582240000007 -416.3281974105133 -0.0
298.15 AL CE 0.97 0.03 -3249.51 6929.501 34.140569 -10179.010647349998 0.0 0.0 -370.75414300000045 -334.02154674813966 -0.0
298.15 AL CE 0.98 0.02 -2134.065 7960.667 33.857895 -10094.731394249999 0.0 0.0 -177.0500620000003 -243.03584172567562 -0.0
298.15 AL CE 0.99 0.01 -987.9062 9011.832 33.539288 -9999.738717199998 0.0 0.0 16.654018999999863 -138.82602141683583 -0.0
1000.0 AL CE 0.0 1.0 -84481.11 25513.09 109.9942 -109994.20000000001 0.0 0.0 -84481.11 0.0 -0.0
1000.0 AL CE 1.0 0.0 -36645.27 30429.76 67.075033 -67075.03300000001 0.0 0.0 -36645.27 0.0 -0.0
1000.0 AL CE 0.01 0.99 -85041.58 24572.26 109.61384 -109613.84 0.0 0.0 -84002.75159999999 -465.6247573933783 -0.0
1000.0 AL CE 0.02 0.98 -85474.38 23651.43 109.1258 -109125.8 0.0 0.0 -83524.3932 -815.1462073643318 -0.0
1000.0 AL CE 0.03 0.97 -85851.24 22750.59 108.60183 -108601.83 0.0 0.0 -83046.0348 -1120.3137573306706 -0.0
