T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 AL CU 0.0 1.0 -6240.85 4017.002 34.405002 -10257.8513463 0.0 0.0 -6240.85 0.0 -0.0
298.15 AL CU 1.0 0.0 210.3581 10083.0 33.112997 -9872.640055549999 0.0 0.0 210.3581 0.0 -0.0
298.15 AL CU 0.01 0.99 -7498.275 2848.091 34.701882 -10346.366118299999 0.0 0.0 -6176.337919 -138.82602141683572 -0.0
298.15 AL CU 0.02 0.98 -8678.321 1724.284 34.890509 -10402.60525835 0.0 0.0 -6111.825838000001 -243.03584172567548 -0.0
298.15 AL CU 0.03 0.97 -9802.956 644.9625 35.042491 -10447.918691649998 0.0 0.0 -6047.313757 -334.02154674813943 -0.0
298.15 AL CU 0.04 0.96 -10877.3 -390.4956 35.172927 -10486.80818505 0.0 0.0 -5982.801676 -416.3281974105132 -0.0
298.15 AL CU 0.05 0.95 -11904.1 -1382.71 35.288909 -10521.388218349999 0.0 0.0 -5918.289595 -492.11297050679866 -0.0
298.15 AL CU 0.06 0.94 -12885.19 -2332.301 35.39455 -10552.885082499999 0.0 0.0 -5853.777514 -562.6452650375949 -0.0
298.15 AL CU 0.07 0.93 -13821.98 -3239.89 35.492515 -10582.093347249998 0.0 0.0 -5789.265433 -628.7628773593874 -0.0
298.15 AL CU 0.08 0.92 -14715.66 -4106.095 35.584657 -10609.56548455 0.0 0.0 -5724.753352000001 -691.0604007790716 -0.0
298.15 AL CU 0.09 0.91 -15567.24 -4931.539 35.672318 -10635.701611699998 0.0 0.0 -5660.241271000001 -749.9816351924776 -0.0
298.15 AL CU 0.1 0.9 -16377.64 -5716.841 35.756507 -10660.80256205 0.0 0.0 -5595.72919 -805.870345271772 -0.0
298.15 AL CU 0.11 0.89 -17147.72 -6462.621 35.838001 -10685.099998149999 0.0 0.0 -5531.217109000001 -859.000492370776 -0.0
298.15 AL CU 0.12 0.88 -17878.27 -7169.5 35.917403 -10708.773704449999 0.0 0.0 -5466.705028 -909.5953759771999 -0.0
298.15 AL CU 0.13 0.87 -18570.06 -7838.099 35.995192 -10731.9664948 0.0 0.0 -5402.192947 -957.840348132521 -0.0
298.15 AL CU 0.14 0.86 -19223.83 -8469.036 36.071746 -10754.791069899999 0.0 0.0 -5337.680866000001 -1003.8915915105914 -0.0
298.15 AL CU 0.15 0.85 -19840.27 -9062.934 36.14737 -10777.3383655 0.0 0.0 -5273.168785 -1047.882375954332 -0.0
298.15 AL CU 0.16 0.84 -20420.09 -9620.413 36.222305 -10799.680235749998 0.0 0.0 -5208.656704 -1089.9276385420173 -0.0
298.15 AL CU 0.17 0.83 -20963.96 -10142.09 36.296742 -10821.8736273 0.0 0.0 -5144.144623 -1130.1274135160918 -0.0
298.15 AL CU 0.18 0.82 -21472.55 -10628.59 36.370831 -10843.96326265 0.0 0.0 -5079.632542 -1168.5694517045056 -0.0
298.15 AL CU 0.19 0.81 -21946.52 -11080.53 36.444689 -10865.984025349999 0.0 0.0 -5015.120461 -1205.3312553507326 -0.0
298.15 AL CU 0.2 0.8 -22386.5 -11498.54 36.518402 -10887.961556299999 0.0 0.0 -4950.608380000001 -1240.4816826440385 -0.0
298.15 AL CU 0.21 0.79 -22793.13 -11883.22 36.592033 -10909.91463895 0.0 0.0 -4886.096299000001 -1274.08222978906 -0.0
298.15 AL CU 0.22 0.78 -23167.06 -12235.21 36.665623 -10931.855497449998 0.0 0.0 -4821.584218 -1306.188067542519 -0.0
298.15 AL CU 0.23 0.77 -23508.91 -12555.12 36.739194 -10953.7906911 0.0 0.0 -4757.072137000001 -1336.8488881016199 -0.0
298.15 AL CU 0.24 0.76 -23819.29 -12843.57 36.812753 -10975.72230695 0.0 0.0 -4692.560056 -1366.1096036088943 -0.0
298.15 AL CU 0.25 0.75 -24098.83 -13101.19 36.886292 -10997.647959799999 0.0 0.0 -4628.047975 -1394.0109271940482 -0.0
298.15 AL CU 0.26 0.74 -24348.15 -13328.59 36.959792 -11019.561984799999 0.0 0.0 -4563.535894000001 -1420.5898600324033 -0.0
298.15 AL CU 0.27 0.73 -24567.85 -13526.39 37.033222 -11041.4551393 0.0 0.0 -4499.023813 -1445.8801024662048 -0.0
298.15 AL CU 0.28 0.72 -24758.54 -13695.22 37.106541 -11063.31519915 0.0 0.0 -4434.511732 -1469.9124032129614 -0.0
298.15 AL CU 0.29 0.71 -24920.82 -13835.69 37.179699 -11085.127256849999 0.0 0.0 -4369.999651 -1492.7148576699553 -0.0
298.15 AL CU 0.3 0.7 -25055.31 -13948.43 37.252638 -11106.874019699999 0.0 0.0 -4305.48757 -1514.313164037668 -0.0
298.15 AL CU 0.31 0.69 -25162.59 -14034.06 37.325293 -11128.53610795 0.0 0.0 -4240.9754889999995 -1534.730844232385 -0.0
298.15 AL CU 0.32 0.68 -25243.28 -14093.19 37.397593 -11150.09235295 0.0 0.0 -4176.4634080000005 -1553.9894352015579 -0.0
298.15 AL CU 0.33 0.67 -25297.96 -14126.45 37.469459 -11171.51920085 0.0 0.0 -4111.951327 -1572.1086551954763 -0.0
298.15 AL CU 0.34 0.66 -25327.24 -14134.45 37.540808 -11192.791905199998 0.0 0.0 -4047.4392459999995 -1589.1065487133012 -0.0
298.15 AL CU 0.35 0.65 -25331.7 -14117.82 37.611552 -11213.8842288 0.0 0.0 -3982.927165 -1604.9996131775667 -0.0
298.15 AL CU 0.36 0.64 -25311.94 -14077.18 37.681596 -11234.767847399999 0.0 0.0 -3918.415084 -1619.8029098595373 -0.0
298.15 AL CU 0.37 0.63 -25268.56 -14013.14 37.750844 -11255.4141386 0.0 0.0 -3853.9030030000004 -1633.5301611487748 -0.0
298.15 AL CU 0.38 0.62 -25202.13 -13926.34 37.819192 -11275.7920948 0.0 0.0 -3789.390922 -1646.193835911596 -0.0
298.15 AL CU 0.39 0.61 -25113.25 -13817.38 37.886535 -11295.87041025 0.0 0.0 -3724.878841 -1657.8052243977716 -0.0
298.15 AL CU 0.4 0.6 -25002.5 -13686.89 37.952762 -11315.615990299999 0.0 0.0 -3660.3667600000003 -1668.3745039196444 -0.0
298.15 AL CU 0.41 0.59 -24870.48 -13535.49 38.017761 -11334.995442149999 0.0 0.0 -3595.8546790000005 -1677.9107963326926 -0.0
298.15 AL CU 0.42 0.58 -24717.77 -13363.8 38.081415 -11353.973882249998 0.0 0.0 -3531.3425980000006 -1686.4222181834425 -0.0
298.15 AL CU 0.43 0.57 -24544.95 -13172.44 38.143603 -11372.515234449998 0.0 0.0 -3466.830517000001 -1693.9159242532326 -0.0
298.15 AL CU 0.44 0.56 -24352.61 -12962.02 38.204202 -11390.5828263 0.0 0.0 -3402.3184360000005 -1700.3981451097393 -0.0
298.15 AL CU 0.45 0.55 -24141.32 -12733.18 38.263087 -11408.139389049998 0.0 0.0 -3337.8063550000006 -1705.8742191782392 -0.0
298.15 AL CU 0.46 0.54 -23911.68 -12486.53 38.320128 -11425.146163199997 0.0 0.0 -3273.2942740000003 -1710.3486197582595 -0.0
298.15 AL CU 0.47 0.53 -23664.26 -12222.7 38.375194 -11441.5640911 0.0 0.0 -3208.782193 -1713.8249773357109 -0.0
298.15 AL CU 0.48 0.52 -23399.64 -11942.29 38.428149 -11457.352624349998 0.0 0.0 -3144.270112 -1716.3060974737868 -0.0
298.15 AL CU 0.49 0.51 -23118.4 -11645.93 38.478858 -11472.4715127 0.0 0.0 -3079.7580310000003 -1717.7939745058845 -0.0
298.15 AL CU 0.5 0.5 -22821.13 -11334.25 38.527179 -11486.878418849998 0.0 0.0 -3015.24595 -1718.289801199083 -0.0
298.15 AL CU 0.51 0.49 -22508.39 -11007.86 38.57297 -11500.531005499999 0.0 0.0 -2950.733869 -1717.7939745058845 -0.0
298.15 AL CU 0.52 0.48 -22180.77 -10667.38 38.616085 -11513.385742749999 0.0 0.0 -2886.2217880000003 -1716.3060974737868 -0.0
298.15 AL CU 0.53 0.47 -21838.84 -10313.44 38.656377 -11525.398802549998 0.0 0.0 -2821.709707 -1713.8249773357109 -0.0
298.15 AL CU 0.54 0.46 -21483.17 -9946.648 38.693696 -11536.5254624 0.0 0.0 -2757.197626 -1710.3486197582595 -0.0
298.15 AL CU 0.55 0.45 -21114.35 -9567.632 38.727886 -11546.719210899999 0.0 0.0 -2692.685545 -1705.8742191782392 -0.0
298.15 AL CU 0.56 0.44 -20732.94 -9177.01 38.758793 -11555.934132949998 0.0 0.0 -2628.1734639999995 -1700.3981451097393 -0.0
298.15 AL CU 0.57 0.43 -20339.53 -8775.403 38.786258 -11564.122822699997 0.0 0.0 -2563.6613830000006 -1693.9159242532328 -0.0
298.15 AL CU 0.58 0.42 -19934.67 -8363.43 38.810118 -11571.2366817 0.0 0.0 -2499.1493020000007 -1686.4222181834425 -0.0
298.15 AL CU 0.59 0.41 -19518.94 -7941.714 38.830208 -11577.226515199998 0.0 0.0 -2434.637221 -1677.910796332693 -0.0
298.15 AL CU 0.6 0.4 -19092.92 -7510.872 38.846361 -11582.042532149999 0.0 0.0 -2370.12514 -1668.3745039196444 -0.0
